product,region,date,price
Таваарын буудай,Төв,2020-06,780000.0
Үрийн буудай,Төв,2020-06,926667.0
Таваарын буудай,Дорнод,2020-07,600000.0
Үрийн буудай,Дорнод,2020-07,950000.0
Таваарын буудай,Хэнтий,2020-07,550000.0
Үрийн буудай,Хэнтий,2020-07,550000.0
Таваарын буудай,Орхон,2020-07,600000.0
Үрийн буудай,Орхон,2020-07,800000.0
Таваарын буудай,Сэлэнгэ,2020-07,550000.0
Таваарын буудай,Төв,2020-07,780000.0
Үрийн буудай,Төв,2020-07,965000.0
Таваарын буудай,Булган,2020-08,600000.0
Үрийн буудай,Булган,2020-08,850000.0
Таваарын буудай,Дорнод,2020-08,600000.0
Үрийн буудай,Дорнод,2020-08,950000.0
Таваарын буудай,Хэнтий,2020-08,550000.0
Үрийн буудай,Хэнтий,2020-08,550000.0
Таваарын буудай,Орхон,2020-08,600000.0
Үрийн буудай,Орхон,2020-08,800000.0
Таваарын буудай,Сэлэнгэ,2020-08,550000.0
Таваарын буудай,Төв,2020-08,640000.0
Үрийн буудай,Төв,2020-08,890000.0
Таваарын буудай,Булган,2020-09,525000.0
Үрийн буудай,Булган,2020-09,700000.0
Таваарын буудай,Дорнод,2020-09,600000.0
Үрийн буудай,Дорнод,2020-09,950000.0
Таваарын буудай,Орхон,2020-09,600000.0
Үрийн буудай,Орхон,2020-09,800000.0
Таваарын буудай,Сэлэнгэ,2020-09,550000.0
Таваарын буудай,Төв,2020-09,643333.0
Үрийн буудай,Төв,2020-09,890000.0
Таваарын буудай,Архангай,2020-10,700000.0
Таваарын буудай,Булган,2020-10,556667.0
Үрийн буудай,Булган,2020-10,773333.0
Таваарын буудай,Дорнод,2020-10,600000.0
Үрийн буудай,Дорнод,2020-10,950000.0
Таваарын буудай,Орхон,2020-10,600000.0
Үрийн буудай,Орхон,2020-10,800000.0
Таваарын буудай,Сэлэнгэ,2020-10,565000.0
Үрийн буудай,Сэлэнгэ,2020-10,683333.0
Таваарын буудай,Төв,2020-10,606000.0
Үрийн буудай,Төв,2020-10,807500.0
Таваарын буудай,Завхан,2020-10,500000.0
Үрийн буудай,Завхан,2020-10,675000.0
Таваарын буудай,Архангай,2020-11,850000.0
Таваарын буудай,Булган,2020-11,653333.0
Үрийн буудай,Булган,2020-11,823333.0
Таваарын буудай,Дорнод,2020-11,5833.0
