Салбар,Он,Цалин (мян.төг)
"Төрийн удирдлага ба батлан хамгаалах үйл ажиллагаа, албан журмын нийгмийн хамгаалал",2003,78.2
Боловсрол,2003,77.5
Хүний эрүүл мэнд ба нийгмийн үйл ажиллагаа,2003,60.8
"Урлаг, үзвэр, тоглоом, наадам",2003,
Үйлчилгээний бусад үйл ажиллагаа,2003,53.7
Хүн хөлслөн ажиллуулдаг өрхийн үйл ажиллагаа,2003,
"Олон улсын байгууллага, суурин төлөөлөгчийн үйл ажиллагаа",2003,
Улсын дундаж,2004,93.1
"Хөдөө аж ахуй, ойн аж ахуй, загас барилт, ан агнуур",2004,52.6
"Уул уурхай, олборлолт",2004,89.7
Боловсруулах үйлдвэрлэл,2004,92.8
"Цахилгаан, хий, агааржуулалт",2004,111.8
"Ус хангамж; бохир ус зайлуулах систем, хог, хаягдлын менежмент болон цэвэрлэх үйл ажиллагаа",2004,
Барилга,2004,99.6
"Бөөний болон жижиглэн худалдаа, машин, мотоциклийн засвар, үйлчилгээ",2004,73.8
Тээвэр ба агуулахын үйл ажиллагаа,2004,109.0
"Зочид буудал, байр, сууц болон нийтийн хоолны үйлчилгээ",2004,100.4
"Мэдээлэл, холбоо",2004,
Санхүүгийн болон даатгалын үйл ажиллагаа,2004,125.4
Үл хөдлөх хөрөнгийн үйл ажиллагаа,2004,66.0
"Мэргэжлийн, шинжлэх ухаан болон техникийн үйл ажиллагаа",2004,
Удирдлагын болон дэмжлэг үзүүлэх үйл ажиллагаа,2004,
"Төрийн удирдлага ба батлан хамгаалах үйл ажиллагаа, албан журмын нийгмийн хамгаалал",2004,94.4
Боловсрол,2004,88.2
Хүний эрүүл мэнд ба нийгмийн үйл ажиллагаа,2004,79.9
"Урлаг, үзвэр, тоглоом, наадам",2004,
Үйлчилгээний бусад үйл ажиллагаа,2004,62.4
Хүн хөлслөн ажиллуулдаг өрхийн үйл ажиллагаа,2004,
"Олон улсын байгууллага, суурин төлөөлөгчийн үйл ажиллагаа",2004,
Улсын дундаж,2005,101.2
"Хөдөө аж ахуй, ойн аж ахуй, загас барилт, ан агнуур",2005,52.8
"Уул уурхай, олборлолт",2005,122.8
Боловсруулах үйлдвэрлэл,2005,100.5
"Цахилгаан, хий, агааржуулалт",2005,119.6
"Ус хангамж; бохир ус зайлуулах систем, хог, хаягдлын менежмент болон цэвэрлэх үйл ажиллагаа",2005,
Барилга,2005,110.9
"Бөөний болон жижиглэн худалдаа, машин, мотоциклийн засвар, үйлчилгээ",2005,73.0
Тээвэр ба агуулахын үйл ажиллагаа,2005,112.4
"Зочид буудал, байр, сууц болон нийтийн хоолны үйлчилгээ",2005,116.1
"Мэдээлэл, холбоо",2005,
Санхүүгийн болон даатгалын үйл ажиллагаа,2005,163.9
Үл хөдлөх хөрөнгийн үйл ажиллагаа,2005,68.3
"Мэргэжлийн, шинжлэх ухаан болон техникийн үйл ажиллагаа",2005,
Удирдлагын болон дэмжлэг үзүүлэх үйл ажиллагаа,2005,
"Төрийн удирдлага ба батлан хамгаалах үйл ажиллагаа, албан журмын нийгмийн хамгаалал",2005,106.2
Боловсрол,2005,92.8
Хүний эрүүл мэнд ба нийгмийн үйл ажиллагаа,2005,84.6
"Урлаг, үзвэр, тоглоом, наадам",2005,
Үйлчилгээний бусад үйл ажиллагаа,2005,68.4
Хүн хөлслөн ажиллуулдаг өрхийн үйл ажиллагаа,2005,
"Олон улсын байгууллага, суурин төлөөлөгчийн үйл ажиллагаа",2005,
Улсын дундаж,2006,127.7
"Хөдөө аж ахуй, ойн аж ахуй, загас барилт, ан агнуур",2006,72.6
"Уул уурхай, олборлолт",2006,147.7
Боловсруулах үйлдвэрлэл,2006,129.4
"Цахилгаан, хий, агааржуулалт",2006,139.3
"Ус хангамж; бохир ус зайлуулах систем, хог, хаягдлын менежмент болон цэвэрлэх үйл ажиллагаа",2006,
Барилга,2006,137.1
"Бөөний болон жижиглэн худалдаа, машин, мотоциклийн засвар, үйлчилгээ",2006,84.0
Тээвэр ба агуулахын үйл ажиллагаа,2006,130.8
"Зочид буудал, байр, сууц болон нийтийн хоолны үйлчилгээ",2006,122.8
"Мэдээлэл, холбоо",2006,
Санхүүгийн болон даатгалын үйл ажиллагаа,2006,265.5
Үл хөдлөх хөрөнгийн үйл ажиллагаа,2006,93.0
"Мэргэжлийн, шинжлэх ухаан болон техникийн үйл ажиллагаа",2006,
Удирдлагын болон дэмжлэг үзүүлэх үйл ажиллагаа,2006,
"Төрийн удирдлага ба батлан хамгаалах үйл ажиллагаа, албан журмын нийгмийн хамгаалал",2006,140.8
Боловсрол,2006,105.2
Хүний эрүүл мэнд ба нийгмийн үйл ажиллагаа,2006,120.1
"Урлаг, үзвэр, тоглоом, наадам",2006,
Үйлчилгээний бусад үйл ажиллагаа,2006,91.3
Хүн хөлслөн ажиллуулдаг өрхийн үйл ажиллагаа,2006,
"Олон улсын байгууллага, суурин төлөөлөгчийн үйл ажиллагаа",2006,
Улсын дундаж,2007,173.0
"Хөдөө аж ахуй, ойн аж ахуй, загас барилт, ан агнуур",2007,90.5
"Уул уурхай, олборлолт",2007,219.7
Боловсруулах үйлдвэрлэл,2007,160.2
"Цахилгаан, хий, агааржуулалт",2007,165.7
"Ус хангамж; бохир ус зайлуулах систем, хог, хаягдлын менежмент болон цэвэрлэх үйл ажиллагаа",2007,
Барилга,2007,167.7
"Бөөний болон жижиглэн худалдаа, машин, мотоциклийн засвар, үйлчилгээ",2007,123.1
Тээвэр ба агуулахын үйл ажиллагаа,2007,174.1
"Зочид буудал, байр, сууц болон нийтийн хоолны үйлчилгээ",2007,153.2
"Мэдээлэл, холбоо",2007,
Санхүүгийн болон даатгалын үйл ажиллагаа,2007,361.9
Үл хөдлөх хөрөнгийн үйл ажиллагаа,2007,132.4
"Мэргэжлийн, шинжлэх ухаан болон техникийн үйл ажиллагаа",2007,
Удирдлагын болон дэмжлэг үзүүлэх үйл ажиллагаа,2007,
"Төрийн удирдлага ба батлан хамгаалах үйл ажиллагаа, албан журмын нийгмийн хамгаалал",2007,194.0
Боловсрол,2007,174.3
Хүний эрүүл мэнд ба нийгмийн үйл ажиллагаа,2007,166.0
"Урлаг, үзвэр, тоглоом, наадам",2007,
Үйлчилгээний бусад үйл ажиллагаа,2007,147.1
Хүн хөлслөн ажиллуулдаг өрхийн үйл ажиллагаа,2007,
"Олон улсын байгууллага, суурин төлөөлөгчийн үйл ажиллагаа",2007,
Улсын дундаж,2008,274.2
"Хөдөө аж ахуй, ойн аж ахуй, загас барилт, ан агнуур",2008,158.1
"Уул уурхай, олборлолт",2008,328.6
Боловсруулах үйлдвэрлэл,2008,268.0
"Цахилгаан, хий, агааржуулалт",2008,240.9
"Ус хангамж; бохир ус зайлуулах систем, хог, хаягдлын менежмент болон цэвэрлэх үйл ажиллагаа",2008,
Барилга,2008,223.2
"Бөөний болон жижиглэн худалдаа, машин, мотоциклийн засвар, үйлчилгээ",2008,193.8
Тээвэр ба агуулахын үйл ажиллагаа,2008,255.6
"Зочид буудал, байр, сууц болон нийтийн хоолны үйлчилгээ",2008,193.2
"Мэдээлэл, холбоо",2008,
Санхүүгийн болон даатгалын үйл ажиллагаа,2008,471.4
Үл хөдлөх хөрөнгийн үйл ажиллагаа,2008,251.7
"Мэргэжлийн, шинжлэх ухаан болон техникийн үйл ажиллагаа",2008,
Удирдлагын болон дэмжлэг үзүүлэх үйл ажиллагаа,2008,
"Төрийн удирдлага ба батлан хамгаалах үйл ажиллагаа, албан журмын нийгмийн хамгаалал",2008,327.3
Боловсрол,2008,289.2
Хүний эрүүл мэнд ба нийгмийн үйл ажиллагаа,2008,295.8
"Урлаг, үзвэр, тоглоом, наадам",2008,
Үйлчилгээний бусад үйл ажиллагаа,2008,213.9
Хүн хөлслөн ажиллуулдаг өрхийн үйл ажиллагаа,2008,
"Олон улсын байгууллага, суурин төлөөлөгчийн үйл ажиллагаа",2008,
Улсын дундаж,2009,300.5
"Хөдөө аж ахуй, ойн аж ахуй, загас барилт, ан агнуур",2009,174.6
"Уул уурхай, олборлолт",2009,405.4
Боловсруулах үйлдвэрлэл,2009,271.8
"Цахилгаан, хий, агааржуулалт",2009,296.0
"Ус хангамж; бохир ус зайлуулах систем, хог, хаягдлын менежмент болон цэвэрлэх үйл ажиллагаа",2009,
Барилга,2009,234.8
"Бөөний болон жижиглэн худалдаа, машин, мотоциклийн засвар, үйлчилгээ",2009,214.3
Тээвэр ба агуулахын үйл ажиллагаа,2009,294.6
"Зочид буудал, байр, сууц болон нийтийн хоолны үйлчилгээ",2009,239.7
"Мэдээлэл, холбоо",2009,
Санхүүгийн болон даатгалын үйл ажиллагаа,2009,599.9
Үл хөдлөх хөрөнгийн үйл ажиллагаа,2009,264.7
"Мэргэжлийн, шинжлэх ухаан болон техникийн үйл ажиллагаа",2009,
Удирдлагын болон дэмжлэг үзүүлэх үйл ажиллагаа,2009,
"Төрийн удирдлага ба батлан хамгаалах үйл ажиллагаа, албан журмын нийгмийн хамгаалал",2009,332.0
Боловсрол,2009,297.3
Хүний эрүүл мэнд ба нийгмийн үйл ажиллагаа,2009,298.5
"Урлаг, үзвэр, тоглоом, наадам",2009,
Үйлчилгээний бусад үйл ажиллагаа,2009,264.9
Хүн хөлслөн ажиллуулдаг өрхийн үйл ажиллагаа,2009,
"Олон улсын байгууллага, суурин төлөөлөгчийн үйл ажиллагаа",2009,148.8
Улсын дундаж,2010,341.5
"Хөдөө аж ахуй, ойн аж ахуй, загас барилт, ан агнуур",2010,172.5
"Уул уурхай, олборлолт",2010,572.2
Боловсруулах үйлдвэрлэл,2010,326.2
"Цахилгаан, хий, агааржуулалт",2010,337.5
"Ус хангамж; бохир ус зайлуулах систем, хог, хаягдлын менежмент болон цэвэрлэх үйл ажиллагаа",2010,
Барилга,2010,247.5
"Бөөний болон жижиглэн худалдаа, машин, мотоциклийн засвар, үйлчилгээ",2010,231.6
Тээвэр ба агуулахын үйл ажиллагаа,2010,369.0
"Зочид буудал, байр, сууц болон нийтийн хоолны үйлчилгээ",2010,267.1
"Мэдээлэл, холбоо",2010,
Санхүүгийн болон даатгалын үйл ажиллагаа,2010,696.7
Үл хөдлөх хөрөнгийн үйл ажиллагаа,2010,277.3
"Мэргэжлийн, шинжлэх ухаан болон техникийн үйл ажиллагаа",2010,
Удирдлагын болон дэмжлэг үзүүлэх үйл ажиллагаа,2010,
"Төрийн удирдлага ба батлан хамгаалах үйл ажиллагаа, албан журмын нийгмийн хамгаалал",2010,351.1
Боловсрол,2010,311.6
Хүний эрүүл мэнд ба нийгмийн үйл ажиллагаа,2010,319.1
"Урлаг, үзвэр, тоглоом, наадам",2010,
Үйлчилгээний бусад үйл ажиллагаа,2010,257.6
Хүн хөлслөн ажиллуулдаг өрхийн үйл ажиллагаа,2010,
"Олон улсын байгууллага, суурин төлөөлөгчийн үйл ажиллагаа",2010,159.8
Улсын дундаж,2011,424.2
"Хөдөө аж ахуй, ойн аж ахуй, загас барилт, ан агнуур",2011,203.1
"Уул уурхай, олборлолт",2011,732.8
Боловсруулах үйлдвэрлэл,2011,402.4
"Цахилгаан, хий, агааржуулалт",2011,411.3
"Ус хангамж; бохир ус зайлуулах систем, хог, хаягдлын менежмент болон цэвэрлэх үйл ажиллагаа",2011,
Барилга,2011,341.7
"Бөөний болон жижиглэн худалдаа, машин, мотоциклийн засвар, үйлчилгээ",2011,273.0
Тээвэр ба агуулахын үйл ажиллагаа,2011,487.2
"Зочид буудал, байр, сууц болон нийтийн хоолны үйлчилгээ",2011,298.3
"Мэдээлэл, холбоо",2011,
Санхүүгийн болон даатгалын үйл ажиллагаа,2011,886.9
Үл хөдлөх хөрөнгийн үйл ажиллагаа,2011,330.1
"Мэргэжлийн, шинжлэх ухаан болон техникийн үйл ажиллагаа",2011,
Удирдлагын болон дэмжлэг үзүүлэх үйл ажиллагаа,2011,
"Төрийн удирдлага ба батлан хамгаалах үйл ажиллагаа, албан журмын нийгмийн хамгаалал",2011,434.3
Боловсрол,2011,366.1
Хүний эрүүл мэнд ба нийгмийн үйл ажиллагаа,2011,382.4
"Урлаг, үзвэр, тоглоом, наадам",2011,
Үйлчилгээний бусад үйл ажиллагаа,2011,305.3
Хүн хөлслөн ажиллуулдаг өрхийн үйл ажиллагаа,2011,
"Олон улсын байгууллага, суурин төлөөлөгчийн үйл ажиллагаа",2011,162.2
Улсын дундаж,2012,557.6
"Хөдөө аж ахуй, ойн аж ахуй, загас барилт, ан агнуур",2012,244.5
"Уул уурхай, олборлолт",2012,814.5
Боловсруулах үйлдвэрлэл,2012,498.5
"Цахилгаан, хий, агааржуулалт",2012,540.8
"Ус хангамж; бохир ус зайлуулах систем, хог, хаягдлын менежмент болон цэвэрлэх үйл ажиллагаа",2012,
Барилга,2012,485.1
"Бөөний болон жижиглэн худалдаа, машин, мотоциклийн засвар, үйлчилгээ",2012,356.8
Тээвэр ба агуулахын үйл ажиллагаа,2012,521.3
"Зочид буудал, байр, сууц болон нийтийн хоолны үйлчилгээ",2012,377.6
"Мэдээлэл, холбоо",2012,
Санхүүгийн болон даатгалын үйл ажиллагаа,2012,1066.7
Үл хөдлөх хөрөнгийн үйл ажиллагаа,2012,490.7
"Мэргэжлийн, шинжлэх ухаан болон техникийн үйл ажиллагаа",2012,
Удирдлагын болон дэмжлэг үзүүлэх үйл ажиллагаа,2012,
"Төрийн удирдлага ба батлан хамгаалах үйл ажиллагаа, албан журмын нийгмийн хамгаалал",2012,613.9
Боловсрол,2012,529.4
Хүний эрүүл мэнд ба нийгмийн үйл ажиллагаа,2012,553.7
"Урлаг, үзвэр, тоглоом, наадам",2012,
Үйлчилгээний бусад үйл ажиллагаа,2012,436.3
Хүн хөлслөн ажиллуулдаг өрхийн үйл ажиллагаа,2012,
"Олон улсын байгууллага, суурин төлөөлөгчийн үйл ажиллагаа",2012,377.5
Улсын дундаж,2013,774.9
"Хөдөө аж ахуй, ойн аж ахуй, загас барилт, ан агнуур",2013,324.7
"Уул уурхай, олборлолт",2013,1418.4
Боловсруулах үйлдвэрлэл,2013,613.8
"Цахилгаан, хий, агааржуулалт",2013,933.1
"Ус хангамж; бохир ус зайлуулах систем, хог, хаягдлын менежмент болон цэвэрлэх үйл ажиллагаа",2013,560.2
Барилга,2013,719.0
"Бөөний болон жижиглэн худалдаа, машин, мотоциклийн засвар, үйлчилгээ",2013,735.9
Тээвэр ба агуулахын үйл ажиллагаа,2013,822.1
"Зочид буудал, байр, сууц болон нийтийн хоолны үйлчилгээ",2013,601.4
"Мэдээлэл, холбоо",2013,861.6
Санхүүгийн болон даатгалын үйл ажиллагаа,2013,1190.0
Үл хөдлөх хөрөнгийн үйл ажиллагаа,2013,593.7
"Мэргэжлийн, шинжлэх ухаан болон техникийн үйл ажиллагаа",2013,729.9
Удирдлагын болон дэмжлэг үзүүлэх үйл ажиллагаа,2013,589.2
"Төрийн удирдлага ба батлан хамгаалах үйл ажиллагаа, албан журмын нийгмийн хамгаалал",2013,719.5
Боловсрол,2013,663.2
Хүний эрүүл мэнд ба нийгмийн үйл ажиллагаа,2013,708.6
"Урлаг, үзвэр, тоглоом, наадам",2013,554.4
Үйлчилгээний бусад үйл ажиллагаа,2013,446.6
Хүн хөлслөн ажиллуулдаг өрхийн үйл ажиллагаа,2013,
"Олон улсын байгууллага, суурин төлөөлөгчийн үйл ажиллагаа",2013,1139.1
Улсын дундаж,2014,796.6
"Хөдөө аж ахуй, ойн аж ахуй, загас барилт, ан агнуур",2014,752.9
"Уул уурхай, олборлолт",2014,1550.8
Боловсруулах үйлдвэрлэл,2014,765.2
"Цахилгаан, хий, агааржуулалт",2014,1133.0
"Ус хангамж; бохир ус зайлуулах систем, хог, хаягдлын менежмент болон цэвэрлэх үйл ажиллагаа",2014,609.1
Барилга,2014,678.7
"Бөөний болон жижиглэн худалдаа, машин, мотоциклийн засвар, үйлчилгээ",2014,723.7
Тээвэр ба агуулахын үйл ажиллагаа,2014,924.5
"Зочид буудал, байр, сууц болон нийтийн хоолны үйлчилгээ",2014,532.7
"Мэдээлэл, холбоо",2014,774.9
Санхүүгийн болон даатгалын үйл ажиллагаа,2014,1067.6
Үл хөдлөх хөрөнгийн үйл ажиллагаа,2014,769.9
"Мэргэжлийн, шинжлэх ухаан болон техникийн үйл ажиллагаа",2014,1080.6
Удирдлагын болон дэмжлэг үзүүлэх үйл ажиллагаа,2014,625.5
"Төрийн удирдлага ба батлан хамгаалах үйл ажиллагаа, албан журмын нийгмийн хамгаалал",2014,776.4
Боловсрол,2014,705.2
Хүний эрүүл мэнд ба нийгмийн үйл ажиллагаа,2014,725.0
"Урлаг, үзвэр, тоглоом, наадам",2014,596.9
Үйлчилгээний бусад үйл ажиллагаа,2014,601.2
Хүн хөлслөн ажиллуулдаг өрхийн үйл ажиллагаа,2014,486.5
"Олон улсын байгууллага, суурин төлөөлөгчийн үйл ажиллагаа",2014,1433.6
Улсын дундаж,2015,808.0
"Хөдөө аж ахуй, ойн аж ахуй, загас барилт, ан агнуур",2015,643.9
"Уул уурхай, олборлолт",2015,1895.4
Боловсруулах үйлдвэрлэл,2015,770.1
"Цахилгаан, хий, агааржуулалт",2015,1137.3
"Ус хангамж; бохир ус зайлуулах систем, хог, хаягдлын менежмент болон цэвэрлэх үйл ажиллагаа",2015,634.9
Барилга,2015,662.8
"Бөөний болон жижиглэн худалдаа, машин, мотоциклийн засвар, үйлчилгээ",2015,695.3
Тээвэр ба агуулахын үйл ажиллагаа,2015,885.0
"Зочид буудал, байр, сууц болон нийтийн хоолны үйлчилгээ",2015,527.8
"Мэдээлэл, холбоо",2015,798.5
Санхүүгийн болон даатгалын үйл ажиллагаа,2015,1049.7
Үл хөдлөх хөрөнгийн үйл ажиллагаа,2015,810.9
"Мэргэжлийн, шинжлэх ухаан болон техникийн үйл ажиллагаа",2015,1144.7
Удирдлагын болон дэмжлэг үзүүлэх үйл ажиллагаа,2015,662.3
"Төрийн удирдлага ба батлан хамгаалах үйл ажиллагаа, албан журмын нийгмийн хамгаалал",2015,788.9
Боловсрол,2015,735.5
Хүний эрүүл мэнд ба нийгмийн үйл ажиллагаа,2015,776.4
"Урлаг, үзвэр, тоглоом, наадам",2015,619.8
Үйлчилгээний бусад үйл ажиллагаа,2015,722.0
Хүн хөлслөн ажиллуулдаг өрхийн үйл ажиллагаа,2015,561.3
"Олон улсын байгууллага, суурин төлөөлөгчийн үйл ажиллагаа",2015,1460.8
Улсын дундаж,2016,861.9
"Хөдөө аж ахуй, ойн аж ахуй, загас барилт, ан агнуур",2016,631.5
"Уул уурхай, олборлолт",2016,1989.4
Боловсруулах үйлдвэрлэл,2016,887.0
"Цахилгаан, хий, агааржуулалт",2016,1213.4
"Ус хангамж; бохир ус зайлуулах систем, хог, хаягдлын менежмент болон цэвэрлэх үйл ажиллагаа",2016,646.7
Барилга,2016,729.5
"Бөөний болон жижиглэн худалдаа, машин, мотоциклийн засвар, үйлчилгээ",2016,742.5
Тээвэр ба агуулахын үйл ажиллагаа,2016,984.8
"Зочид буудал, байр, сууц болон нийтийн хоолны үйлчилгээ",2016,555.4
"Мэдээлэл, холбоо",2016,818.3
Санхүүгийн болон даатгалын үйл ажиллагаа,2016,1082.3
Үл хөдлөх хөрөнгийн үйл ажиллагаа,2016,815.2
"Мэргэжлийн, шинжлэх ухаан болон техникийн үйл ажиллагаа",2016,1267.0
Удирдлагын болон дэмжлэг үзүүлэх үйл ажиллагаа,2016,683.2
"Төрийн удирдлага ба батлан хамгаалах үйл ажиллагаа, албан журмын нийгмийн хамгаалал",2016,780.1
Боловсрол,2016,712.9
Хүний эрүүл мэнд ба нийгмийн үйл ажиллагаа,2016,739.6
"Урлаг, үзвэр, тоглоом, наадам",2016,587.6
Үйлчилгээний бусад үйл ажиллагаа,2016,724.3
Хүн хөлслөн ажиллуулдаг өрхийн үйл ажиллагаа,2016,560.9
"Олон улсын байгууллага, суурин төлөөлөгчийн үйл ажиллагаа",2016,1387.6
Улсын дундаж,2017,944.5
"Хөдөө аж ахуй, ойн аж ахуй, загас барилт, ан агнуур",2017,681.5
"Уул уурхай, олборлолт",2017,2119.1
Боловсруулах үйлдвэрлэл,2017,1088.2
"Цахилгаан, хий, агааржуулалт",2017,1334.2
"Ус хангамж; бохир ус зайлуулах систем, хог, хаягдлын менежмент болон цэвэрлэх үйл ажиллагаа",2017,678.0
Барилга,2017,852.3
"Бөөний болон жижиглэн худалдаа, машин, мотоциклийн засвар, үйлчилгээ",2017,793.0
Тээвэр ба агуулахын үйл ажиллагаа,2017,1022.5
"Зочид буудал, байр, сууц болон нийтийн хоолны үйлчилгээ",2017,585.0
"Мэдээлэл, холбоо",2017,865.8
Санхүүгийн болон даатгалын үйл ажиллагаа,2017,1131.6
Үл хөдлөх хөрөнгийн үйл ажиллагаа,2017,870.1
"Мэргэжлийн, шинжлэх ухаан болон техникийн үйл ажиллагаа",2017,1569.7
Удирдлагын болон дэмжлэг үзүүлэх үйл ажиллагаа,2017,760.3
"Төрийн удирдлага ба батлан хамгаалах үйл ажиллагаа, албан журмын нийгмийн хамгаалал",2017,832.2
Боловсрол,2017,720.8
Хүний эрүүл мэнд ба нийгмийн үйл ажиллагаа,2017,767.1
"Урлаг, үзвэр, тоглоом, наадам",2017,605.2
Үйлчилгээний бусад үйл ажиллагаа,2017,751.1
Хүн хөлслөн ажиллуулдаг өрхийн үйл ажиллагаа,2017,594.4
"Олон улсын байгууллага, суурин төлөөлөгчийн үйл ажиллагаа",2017,1710.0
Улсын дундаж,2018,1002.9
"Хөдөө аж ахуй, ойн аж ахуй, загас барилт, ан агнуур",2018,736.4
"Уул уурхай, олборлолт",2018,2221.4
Боловсруулах үйлдвэрлэл,2018,1150.8
"Цахилгаан, хий, агааржуулалт",2018,1403.3
"Ус хангамж; бохир ус зайлуулах систем, хог, хаягдлын менежмент болон цэвэрлэх үйл ажиллагаа",2018,726.8
Барилга,2018,1032.7
"Бөөний болон жижиглэн худалдаа, машин, мотоциклийн засвар, үйлчилгээ",2018,818.6
Тээвэр ба агуулахын үйл ажиллагаа,2018,1046.8
"Зочид буудал, байр, сууц болон нийтийн хоолны үйлчилгээ",2018,621.4
"Мэдээлэл, холбоо",2018,979.0
Санхүүгийн болон даатгалын үйл ажиллагаа,2018,1160.6
Үл хөдлөх хөрөнгийн үйл ажиллагаа,2018,1022.8
"Мэргэжлийн, шинжлэх ухаан болон техникийн үйл ажиллагаа",2018,1546.9
Удирдлагын болон дэмжлэг үзүүлэх үйл ажиллагаа,2018,829.4
"Төрийн удирдлага ба батлан хамгаалах үйл ажиллагаа, албан журмын нийгмийн хамгаалал",2018,898.0
Боловсрол,2018,760.2
Хүний эрүүл мэнд ба нийгмийн үйл ажиллагаа,2018,800.4
"Урлаг, үзвэр, тоглоом, наадам",2018,624.2
Үйлчилгээний бусад үйл ажиллагаа,2018,809.8
Хүн хөлслөн ажиллуулдаг өрхийн үйл ажиллагаа,2018,672.9
"Олон улсын байгууллага, суурин төлөөлөгчийн үйл ажиллагаа",2018,1479.9
Улсын дундаж,2019,1124.3
"Хөдөө аж ахуй, ойн аж ахуй, загас барилт, ан агнуур",2019,833.1
"Уул уурхай, олборлолт",2019,2590.0
Боловсруулах үйлдвэрлэл,2019,1171.1
"Цахилгаан, хий, агааржуулалт",2019,1452.0
"Ус хангамж; бохир ус зайлуулах систем, хог, хаягдлын менежмент болон цэвэрлэх үйл ажиллагаа",2019,830.2
Барилга,2019,1161.9
"Бөөний болон жижиглэн худалдаа, машин, мотоциклийн засвар, үйлчилгээ",2019,904.8
Тээвэр ба агуулахын үйл ажиллагаа,2019,1117.0
"Зочид буудал, байр, сууц болон нийтийн хоолны үйлчилгээ",2019,691.5
"Мэдээлэл, холбоо",2019,1086.6
