үзүүлэлт,байршил,он,хувь
Ядуурлын мэдрэмж,Аймгийн төв,2016,3.4
Ядуурлын мэдрэмж,Сумын төв,2016,3.2
Ядуурлын мэдрэмж,Хөдөө нутаг,2016,3.2
Ядуурлын хамралтын хүрээ,Улсын дундаж,2018,28.4
Ядуурлын хамралтын хүрээ,Хот,2018,27.2
Ядуурлын хамралтын хүрээ,Хөдөө,2018,30.8
Ядуурлын хамралтын хүрээ,Баруун бүс,2018,31.8
Ядуурлын хамралтын хүрээ,Хангайн бүс,2018,30.8
Ядуурлын хамралтын хүрээ,Төвийн бүс,2018,26.1
Ядуурлын хамралтын хүрээ,Зүүн бүс,2018,37.4
Ядуурлын хамралтын хүрээ,Улаанбаатар,2018,25.9
Ядуурлын хамралтын хүрээ,Аймгийн төв,2018,30.1
Ядуурлын хамралтын хүрээ,Сумын төв,2018,28.9
Ядуурлын хамралтын хүрээ,Хөдөө нутаг,2018,32.9
Ядуурлын гүнзгийрэлт,Улсын дундаж,2018,7.2
Ядуурлын гүнзгийрэлт,Хот,2018,7.2
Ядуурлын гүнзгийрэлт,Хөдөө,2018,7.2
Ядуурлын гүнзгийрэлт,Баруун бүс,2018,7.8
Ядуурлын гүнзгийрэлт,Хангайн бүс,2018,7.3
Ядуурлын гүнзгийрэлт,Төвийн бүс,2018,6.6
Ядуурлын гүнзгийрэлт,Зүүн бүс,2018,10.0
Ядуурлын гүнзгийрэлт,Улаанбаатар,2018,6.7
Ядуурлын гүнзгийрэлт,Аймгийн төв,2018,8.2
Ядуурлын гүнзгийрэлт,Сумын төв,2018,7.0
Ядуурлын гүнзгийрэлт,Хөдөө нутаг,2018,7.4
Ядуурлын мэдрэмж,Улсын дундаж,2018,2.7
Ядуурлын мэдрэмж,Хот,2018,2.8
Ядуурлын мэдрэмж,Хөдөө,2018,2.4
Ядуурлын мэдрэмж,Баруун бүс,2018,2.8
Ядуурлын мэдрэмж,Хангайн бүс,2018,2.5
Ядуурлын мэдрэмж,Төвийн бүс,2018,2.4
Ядуурлын мэдрэмж,Зүүн бүс,2018,3.7
Ядуурлын мэдрэмж,Улаанбаатар,2018,2.6
Ядуурлын мэдрэмж,Аймгийн төв,2018,3.2
Ядуурлын мэдрэмж,Сумын төв,2018,2.4
Ядуурлын мэдрэмж,Хөдөө нутаг,2018,2.4
Ядуурлын хамралтын хүрээ,Улсын дундаж,2020,27.8
Ядуурлын хамралтын хүрээ,Хот,2020,26.5
Ядуурлын хамралтын хүрээ,Хөдөө,2020,30.5
Ядуурлын хамралтын хүрээ,Баруун бүс,2020,31.5
Ядуурлын хамралтын хүрээ,Хангайн бүс,2020,31.4
Ядуурлын хамралтын хүрээ,Төвийн бүс,2020,25.2
Ядуурлын хамралтын хүрээ,Зүүн бүс,2020,33.3
Ядуурлын хамралтын хүрээ,Улаанбаатар,2020,25.4
Ядуурлын хамралтын хүрээ,Аймгийн төв,2020,29.1
Ядуурлын хамралтын хүрээ,Сумын төв,2020,30.5
Ядуурлын хамралтын хүрээ,Хөдөө нутаг,2020,30.5
Ядуурлын гүнзгийрэлт,Улсын дундаж,2020,7.4
