жил,аймаг,ажилгүйдлийн_түвшин
2019,Улаанбаатар,11.2
2019,Ховд,9.2
2019,Хэнтий,8.1
2019,Хөвсгөл,12.8
2019,Өвөрхангай,6.5
2019,Өмнөговь,6.2
2020,Архангай,3.5
2020,Баян-Өлгий,21.4
2020,Баянхонгор,5.7
2020,Булган,7.2
2020,Говь-Алтай,7.4
2020,Говьсүмбэр,9.8
2020,Дархан-Уул,12.2
2020,Дорноговь,4.2
2020,Дорнод,13.5
2020,Дундговь,3.4
2020,Завхан,1.3
2020,Орхон,7.4
2020,Сэлэнгэ,10.9
2020,Сүхбаатар,5.2
2020,Төв,2.7
2020,Увс,8.7
2020,Улаанбаатар,6.3
2020,Ховд,6.6
2020,Хэнтий,4.2
2020,Хөвсгөл,6.3
2020,Өвөрхангай,7.6
2020,Өмнөговь,5.7
2021,Архангай,3.1
2021,Баян-Өлгий,16.4
2021,Баянхонгор,13.1
2021,Булган,3.3
2021,Говь-Алтай,10.3
2021,Говьсүмбэр,13.6
2021,Дархан-Уул,16.5
2021,Дорноговь,2.9
2021,Дорнод,7.9
2021,Дундговь,6.4
2021,Завхан,6.5
2021,Орхон,15.4
2021,Сэлэнгэ,24.5
2021,Сүхбаатар,2.3
2021,Төв,2.2
2021,Увс,4.6
2021,Улаанбаатар,8.1
2021,Ховд,9.7
2021,Хэнтий,4.4
2021,Хөвсгөл,8.3
2021,Өвөрхангай,3.4
2021,Өмнөговь,7.5
2022,Архангай,1.0
2022,Баян-Өлгий,11.5
2022,Баянхонгор,10.1
2022,Булган,5.8
2022,Говь-Алтай,10.7
2022,Говьсүмбэр,5.7
2022,Дархан-Уул,8.5
2022,Дорноговь,0.7
2022,Дорнод,7.7
2022,Дундговь,5.5
2022,Завхан,9.7
2022,Орхон,10.0
2022,Сэлэнгэ,9.3
2022,Сүхбаатар,2.9
2022,Төв,5.4
2022,Увс,7.3
2022,Улаанбаатар,5.8
2022,Ховд,7.2
2022,Хэнтий,3.0
2022,Хөвсгөл,6.9
2022,Өвөрхангай,5.8
2022,Өмнөговь,7.3
2023,Архангай,6.8
2023,Баян-Өлгий,6.8
2023,Баянхонгор,6.4
2023,Булган,6.0
2023,Говь-Алтай,7.6
2023,Говьсүмбэр,5.8
2023,Дархан-Уул,12.6
2023,Дорноговь,3.2
2023,Дорнод,6.3
2023,Дундговь,7.0
2023,Завхан,3.8
2023,Орхон,8.4
2023,Сэлэнгэ,9.6
2023,Сүхбаатар,2.1
2023,Төв,1.5
2023,Увс,6.4
2023,Улаанбаатар,5.0
2023,Ховд,3.9
2023,Хэнтий,2.9
2023,Хөвсгөл,4.0
2023,Өвөрхангай,4.6
2023,Өмнөговь,4.3
2024,Архангай,5.0
2024,Баян-Өлгий,9.8
2024,Баянхонгор,6.1
2024,Булган,7.3
2024,Говь-Алтай,6.7
2024,Говьсүмбэр,13.4
2024,Дархан-Уул,11.1
2024,Дорноговь,5.4
2024,Дорнод,7.1
2024,Дундговь,3.4
2024,Завхан,8.3
2024,Орхон,7.3
2024,Сэлэнгэ,6.7
2024,Сүхбаатар,3.2
2024,Төв,2.6
2024,Увс,5.5
2024,Улаанбаатар,5.8
2024,Ховд,6.3
2024,Хэнтий,2.1
2024,Хөвсгөл,9.1
2024,Өвөрхангай,2.2
2024,Өмнөговь,1.5
