огноо,бүтээгдэхүүн_бүс,үнэ
2020-03,"Хивэг,25кг — Дорноговь",17200.0
2020-03,"Хивэг,25кг — Дундговь",15000.0
2020-03,"Хивэг,25кг — Говь-Алтай",16250.0
2020-03,"Хивэг,25кг — Ховд",16000.0
2020-03,"Хивэг,25кг — Хөвсгөл",14750.0
2020-03,"Хивэг,25кг — Орхон",15000.0
2020-03,"Хивэг,25кг — Сэлэнгэ",12667.0
2020-03,"Хивэг,25кг — Сүхбаатар",14000.0
2020-03,"Хивэг,25кг — Төв",14442.0
2020-03,"Хивэг,25кг — Өмнөговь",16375.0
2020-03,"Хивэг,25кг — Увс",13188.0
2020-03,"Хивэг,25кг — Өвөрхангай",14688.0
2020-03,"Хивэг,25кг — Завхан",14814.0
2020-03,"Хивэг,50кг — Архангай",33000.0
2020-03,"Хивэг,50кг — Баян-Өлгий",28500.0
2020-03,"Хивэг,50кг — Баянхонгор",17000.0
2020-03,"Хивэг,50кг — Булган",27000.0
2020-03,"Хивэг,50кг — Говь-Алтай",27500.0
2020-03,"Хивэг,50кг — Ховд",18500.0
2020-03,"Хивэг,50кг — Хөвсгөл",28000.0
2020-03,"Хивэг,50кг — Орхон",30000.0
2020-03,"Хивэг,50кг — Сэлэнгэ",26000.0
2020-03,"Хивэг,50кг — Сүхбаатар",16000.0
2020-03,"Хивэг,50кг — Өмнөговь",30000.0
2020-03,"Хивэг,50кг — Өвөрхангай",28800.0
2020-03,"Хивэг,50кг — Завхан",35000.0
2020-04,"Хивэг,25кг — Архангай",14300.0
2020-04,"Хивэг,25кг — Баян-Өлгий",15000.0
2020-04,"Хивэг,25кг — Баянхонгор",15833.0
2020-04,"Хивэг,25кг — Булган",14550.0
2020-04,"Хивэг,25кг — Дорнод",17000.0
2020-04,"Хивэг,25кг — Дорноговь",17400.0
2020-04,"Хивэг,25кг — Дундговь",15000.0
2020-04,"Хивэг,25кг — Говь-Алтай",16300.0
2020-04,"Хивэг,25кг — Хэнтий",15250.0
2020-04,"Хивэг,25кг — Ховд",15000.0
2020-04,"Хивэг,25кг — Хөвсгөл",14500.0
2020-04,"Хивэг,25кг — Орхон",14000.0
2020-04,"Хивэг,25кг — Сэлэнгэ",13000.0
2020-04,"Хивэг,25кг — Төв",15167.0
2020-04,"Хивэг,25кг — Өмнөговь",17667.0
2020-04,"Хивэг,25кг — Увс",13375.0
2020-04,"Хивэг,25кг — Өвөрхангай",14500.0
2020-04,"Хивэг,25кг — Завхан",16480.0
2020-04,"Хивэг,50кг — Архангай",30000.0
2020-04,"Хивэг,50кг — Баян-Өлгий",29688.0
2020-04,"Хивэг,50кг — Булган",32000.0
2020-04,"Хивэг,50кг — Дундговь",28000.0
2020-04,"Хивэг,50кг — Говь-Алтай",24250.0
2020-04,"Хивэг,50кг — Хэнтий",32000.0
2020-04,"Хивэг,50кг — Ховд",13000.0
2020-04,"Хивэг,50кг — Хөвсгөл",22000.0
2020-04,"Хивэг,50кг — Орхон",28000.0
2020-04,"Хивэг,50кг — Сэлэнгэ",26000.0
2020-04,"Хивэг,50кг — Төв",45000.0
2020-04,"Хивэг,50кг — Өмнөговь",30000.0
2020-04,"Хивэг,50кг — Өвөрхангай",25333.0
2020-04,"Хивэг,50кг — Завхан",35000.0
2020-05,"Хивэг,25кг — Архангай",14000.0
2020-05,"Хивэг,25кг — Баян-Өлгий",15500.0
2020-05,"Хивэг,25кг — Баянхонгор",17250.0
2020-05,"Хивэг,25кг — Булган",13875.0
2020-05,"Хивэг,25кг — Дорноговь",19500.0
2020-05,"Хивэг,25кг — Говь-Алтай",15500.0
2020-05,"Хивэг,25кг — Говьсүмбэр",20000.0
2020-05,"Хивэг,25кг — Хэнтий",16500.0
2020-05,"Хивэг,25кг — Ховд",14250.0
2020-05,"Хивэг,25кг — Хөвсгөл",14000.0
2020-05,"Хивэг,25кг — Орхон",12000.0
2020-05,"Хивэг,25кг — Сэлэнгэ",12000.0
2020-05,"Хивэг,25кг — Төв",15250.0
2020-05,"Хивэг,25кг — Өмнөговь",17500.0
2020-05,"Хивэг,25кг — Увс",12000.0
2020-05,"Хивэг,25кг — Өвөрхангай",15571.0
2020-05,"Хивэг,25кг — Завхан",16333.0
2020-05,"Хивэг,50кг — Архангай",28000.0
2020-05,"Хивэг,50кг — Баян-Өлгий",30375.0
2020-05,"Хивэг,50кг — Булган",34000.0
2020-05,"Хивэг,50кг — Дорноговь",25000.0
2020-05,"Хивэг,50кг — Говь-Алтай",23500.0
2020-05,"Хивэг,50кг — Хэнтий",36000.0
2020-05,"Хивэг,50кг — Орхон",24000.0
2020-05,"Хивэг,50кг — Төв",32000.0
2020-05,"Хивэг,50кг — Өмнөговь",180000.0
2020-05,"Хивэг,50кг — Өвөрхангай",22000.0
2020-05,"Хивэг,50кг — Завхан",35000.0
2020-06,"Хивэг,25кг — Архангай",14000.0
2020-06,"Хивэг,25кг — Баян-Өлгий",15500.0
2020-06,"Хивэг,25кг — Баянхонгор",17000.0
2020-06,"Хивэг,25кг — Булган",13714.0
2020-06,"Хивэг,25кг — Дорноговь",19500.0
2020-06,"Хивэг,25кг — Говь-Алтай",15750.0
2020-06,"Хивэг,25кг — Говьсүмбэр",15000.0
2020-06,"Хивэг,25кг — Хэнтий",18000.0
2020-06,"Хивэг,25кг — Орхон",12000.0
2020-06,"Хивэг,25кг — Сэлэнгэ",12500.0
2020-06,"Хивэг,25кг — Төв",15000.0
2020-06,"Хивэг,25кг — Өмнөговь",12750.0
2020-06,"Хивэг,25кг — Увс",11250.0
2020-06,"Хивэг,25кг — Өвөрхангай",14214.0
2020-06,"Хивэг,50кг — Архангай",23000.0
2020-06,"Хивэг,50кг — Баян-Өлгий",29571.0
2020-06,"Хивэг,50кг — Булган",29500.0
2020-06,"Хивэг,50кг — Дорноговь",25000.0
2020-06,"Хивэг,50кг — Говь-Алтай",23500.0
2020-06,"Хивэг,50кг — Хэнтий",36000.0
2020-06,"Хивэг,50кг — Орхон",24000.0
2020-06,"Хивэг,50кг — Өвөрхангай",28000.0
2020-07,"Хивэг,25кг — Архангай",15000.0
2020-07,"Хивэг,25кг — Баян-Өлгий",15500.0
2020-07,"Хивэг,25кг — Баянхонгор",17000.0
2020-07,"Хивэг,25кг — Булган",15167.0
2020-07,"Хивэг,25кг — Дорноговь",15167.0
2020-07,"Хивэг,25кг — Говь-Алтай",15667.0
2020-07,"Хивэг,25кг — Хэнтий",15500.0
2020-07,"Хивэг,25кг — Орхон",12000.0
2020-07,"Хивэг,25кг — Сэлэнгэ",12500.0
2020-07,"Хивэг,25кг — Төв",15100.0
2020-07,"Хивэг,25кг — Өмнөговь",12750.0
2020-07,"Хивэг,25кг — Өвөрхангай",13000.0
2020-07,"Хивэг,25кг — Завхан",14000.0
2020-07,"Хивэг,50кг — Архангай",30000.0
2020-07,"Хивэг,50кг — Баян-Өлгий",29429.0
2020-07,"Хивэг,50кг — Булган",29500.0
2020-07,"Хивэг,50кг — Дорноговь",25000.0
2020-07,"Хивэг,50кг — Говь-Алтай",30000.0
2020-07,"Хивэг,50кг — Хэнтий",36000.0
2020-07,"Хивэг,50кг — Орхон",24000.0
2020-07,"Хивэг,50кг — Өвөрхангай",28000.0
2020-07,"Хивэг,50кг — Завхан",28000.0
2020-08,"Хивэг,25кг — Архангай",15000.0
2020-08,"Хивэг,25кг — Баян-Өлгий",15500.0
2020-08,"Хивэг,25кг — Булган",14400.0
2020-08,"Хивэг,25кг — Дорноговь",15167.0
2020-08,"Хивэг,25кг — Говь-Алтай",16000.0
2020-08,"Хивэг,25кг — Хэнтий",18000.0
2020-08,"Хивэг,25кг — Орхон",12000.0
2020-08,"Хивэг,25кг — Сэлэнгэ",11000.0
2020-08,"Хивэг,25кг — Төв",14400.0
2020-08,"Хивэг,25кг — Өмнөговь",12750.0
2020-08,"Хивэг,25кг — Өвөрхангай",16000.0
2020-08,"Хивэг,50кг — Архангай",30000.0
2020-08,"Хивэг,50кг — Баян-Өлгий",30357.0
2020-08,"Хивэг,50кг — Булган",29500.0
2020-08,"Хивэг,50кг — Дорноговь",25000.0
2020-08,"Хивэг,50кг — Говь-Алтай",30000.0
2020-08,"Хивэг,50кг — Хэнтий",36000.0
2020-08,"Хивэг,50кг — Орхон",24000.0
2020-09,"Хивэг,25кг — Архангай",17000.0
2020-09,"Хивэг,25кг — Баян-Өлгий",16000.0
2020-09,"Хивэг,25кг — Баянхонгор",16000.0
2020-09,"Хивэг,25кг — Булган",16166.0
2020-09,"Хивэг,25кг — Дорноговь",12000.0
2020-09,"Хивэг,25кг — Говь-Алтай",16500.0
2020-09,"Хивэг,25кг — Говьсүмбэр",17000.0
2020-09,"Хивэг,25кг — Орхон",12000.0
2020-09,"Хивэг,25кг — Сэлэнгэ",13666.0
2020-09,"Хивэг,25кг — Төв",15571.0
2020-09,"Хивэг,25кг — Өвөрхангай",16000.0
2020-09,"Хивэг,50кг — Баян-Өлгий",30500.0
2020-09,"Хивэг,50кг — Булган",29500.0
2020-09,"Хивэг,50кг — Дорноговь",25000.0
2020-09,"Хивэг,50кг — Орхон",24000.0
2020-10,"Хивэг,25кг — Архангай",13000.0
2020-10,"Хивэг,25кг — Баян-Өлгий",18000.0
2020-10,"Хивэг,25кг — Баянхонгор",16600.0
2020-10,"Хивэг,25кг — Булган",15929.0
2020-10,"Хивэг,25кг — Дорнод",600000.0
2020-10,"Хивэг,25кг — Дорноговь",15333.0
2020-10,"Хивэг,25кг — Говь-Алтай",17333.0
2020-10,"Хивэг,25кг — Говьсүмбэр",18000.0
2020-10,"Хивэг,25кг — Ховд",13000.0
2020-10,"Хивэг,25кг — Хөвсгөл",16000.0
2020-10,"Хивэг,25кг — Орхон",12000.0
2020-10,"Хивэг,25кг — Сэлэнгэ",14400.0
2020-10,"Хивэг,25кг — Төв",15333.0
2020-10,"Хивэг,25кг — Өмнөговь",17500.0
2020-10,"Хивэг,25кг — Увс",15000.0
2020-10,"Хивэг,25кг — Өвөрхангай",16333.0
2020-10,"Хивэг,25кг — Завхан",13000.0
2020-10,"Хивэг,50кг — Архангай",20000.0
2020-10,"Хивэг,50кг — Баян-Өлгий",36375.0
2020-10,"Хивэг,50кг — Булган",25333.0
2020-10,"Хивэг,50кг — Дорноговь",23833.0
2020-10,"Хивэг,50кг — Ховд",50000.0
2020-10,"Хивэг,50кг — Хөвсгөл",32000.0
2020-10,"Хивэг,50кг — Орхон",24000.0
2020-10,"Хивэг,50кг — Төв",25000.0
2020-10,"Хивэг,50кг — Өвөрхангай",19500.0
2020-11,"Хивэг,25кг — Архангай",12500.0
2020-11,"Хивэг,25кг — Баян-Өлгий",23000.0
2020-11,"Хивэг,25кг — Баянхонгор",21100.0
2020-11,"Хивэг,25кг — Булган",18000.0
2020-11,"Хивэг,25кг — Дорноговь",15875.0
2020-11,"Хивэг,25кг — Говь-Алтай",22750.0
2020-11,"Хивэг,25кг — Говьсүмбэр",23000.0
2020-11,"Хивэг,25кг — Хөвсгөл",16000.0
2020-11,"Хивэг,25кг — Орхон",17000.0
2020-11,"Хивэг,25кг — Сэлэнгэ",15900.0
2020-11,"Хивэг,25кг — Төв",17857.0
2020-11,"Хивэг,25кг — Увс",18000.0
2020-11,"Хивэг,25кг — Өвөрхангай",21400.0
2020-11,"Хивэг,25кг — Завхан",20292.0
2020-11,"Хивэг,50кг — Архангай",20667.0
2020-11,"Хивэг,50кг — Баян-Өлгий",40100.0
2020-11,"Хивэг,50кг — Булган",22500.0
2020-11,"Хивэг,50кг — Дорноговь",27500.0
2020-11,"Хивэг,50кг — Говь-Алтай",38000.0
2020-11,"Хивэг,50кг — Хөвсгөл",32000.0
2020-11,"Хивэг,50кг — Орхон",24000.0
2020-11,"Хивэг,50кг — Төв",26500.0
2020-11,"Хивэг,50кг — Өвөрхангай",21000.0
2020-12,"Хивэг,25кг — Архангай",25000.0
2020-12,"Хивэг,25кг — Баян-Өлгий",25000.0
2020-12,"Хивэг,25кг — Баянхонгор",22200.0
2020-12,"Хивэг,25кг — Булган",22000.0
2020-12,"Хивэг,25кг — Дархан-Уул",18000.0
2020-12,"Хивэг,25кг — Дорнод",14000.0
2020-12,"Хивэг,25кг — Дорноговь",15667.0
2020-12,"Хивэг,25кг — Говь-Алтай",23750.0
2020-12,"Хивэг,25кг — Говьсүмбэр",25000.0
2020-12,"Хивэг,25кг — Хөвсгөл",19000.0
2020-12,"Хивэг,25кг — Орхон",24000.0
2020-12,"Хивэг,25кг — Сэлэнгэ",19125.0
2020-12,"Хивэг,25кг — Төв",22962.0
2020-12,"Хивэг,25кг — Өмнөговь",21500.0
2020-12,"Хивэг,25кг — Увс",21200.0
2020-12,"Хивэг,25кг — Өвөрхангай",23125.0
2020-12,"Хивэг,25кг — Завхан",23344.0
2020-12,"Хивэг,50кг — Архангай",22500.0
2020-12,"Хивэг,50кг — Баян-Өлгий",45000.0
2020-12,"Хивэг,50кг — Булган",29000.0
2020-12,"Хивэг,50кг — Дорноговь",27333.0
2020-12,"Хивэг,50кг — Дундговь",26000.0
2020-12,"Хивэг,50кг — Говь-Алтай",38000.0
2020-12,"Хивэг,50кг — Хөвсгөл",36500.0
2020-12,"Хивэг,50кг — Орхон",48000.0
2020-12,"Хивэг,50кг — Төв",50000.0
2020-12,"Хивэг,50кг — Өмнөговь",24500.0
2020-12,"Хивэг,50кг — Өвөрхангай",21000.0
2021-01,"Хивэг,25кг — Архангай",24000.0
2021-01,"Хивэг,25кг — Баян-Өлгий",25000.0
2021-01,"Хивэг,25кг — Баянхонгор",23410.0
2021-01,"Хивэг,25кг — Булган",24500.0
2021-01,"Хивэг,25кг — Дархан-Уул",13200.0
2021-01,"Хивэг,25кг — Дорнод",14500.0
2021-01,"Хивэг,25кг — Дорноговь",24900.0
2021-01,"Хивэг,25кг — Дундговь",24000.0
2021-01,"Хивэг,25кг — Говь-Алтай",24667.0
2021-01,"Хивэг,25кг — Говьсүмбэр",25000.0
2021-01,"Хивэг,25кг — Хэнтий",24000.0
2021-01,"Хивэг,25кг — Ховд",26000.0
2021-01,"Хивэг,25кг — Хөвсгөл",22125.0
2021-01,"Хивэг,25кг — Орхон",24000.0
2021-01,"Хивэг,25кг — Сэлэнгэ",20100.0
2021-01,"Хивэг,25кг — Сүхбаатар",26000.0
2021-01,"Хивэг,25кг — Төв",22911.0
2021-01,"Хивэг,25кг — Өмнөговь",21900.0
2021-01,"Хивэг,25кг — Увс",23000.0
2021-01,"Хивэг,25кг — Өвөрхангай",23190.0
2021-01,"Хивэг,25кг — Завхан",22075.0
2021-01,"Хивэг,50кг — Архангай",35500.0
2021-01,"Хивэг,50кг — Баян-Өлгий",44944.0
2021-01,"Хивэг,50кг — Баянхонгор",46250.0
2021-01,"Хивэг,50кг — Булган",40000.0
2021-01,"Хивэг,50кг — Дархан-Уул",26300.0
2021-01,"Хивэг,50кг — Дорноговь",26000.0
2021-01,"Хивэг,50кг — Хөвсгөл",36750.0
2021-01,"Хивэг,50кг — Орхон",48000.0
2021-01,"Хивэг,50кг — Сэлэнгэ",29000.0
2021-01,"Хивэг,50кг — Төв",30000.0
2021-01,"Хивэг,50кг — Увс",25500.0
2021-01,"Хивэг,50кг — Өвөрхангай",44000.0
2021-01,"Хивэг,50кг — Завхан",33600.0
2021-02,"Хивэг,25кг — Архангай",24667.0
2021-02,"Хивэг,25кг — Баян-Өлгий",21000.0
2021-02,"Хивэг,25кг — Баянхонгор",22167.0
2021-02,"Хивэг,25кг — Булган",23500.0
2021-02,"Хивэг,25кг — Дархан-Уул",13200.0
2021-02,"Хивэг,25кг — Дорнод",17500.0
2021-02,"Хивэг,25кг — Дорноговь",23188.0
2021-02,"Хивэг,25кг — Говь-Алтай",25000.0
2021-02,"Хивэг,25кг — Говьсүмбэр",25000.0
2021-02,"Хивэг,25кг — Хэнтий",23667.0
2021-02,"Хивэг,25кг — Хөвсгөл",21750.0
2021-02,"Хивэг,25кг — Сэлэнгэ",21917.0
2021-02,"Хивэг,25кг — Сүхбаатар",26000.0
2021-02,"Хивэг,25кг — Төв",21781.0
2021-02,"Хивэг,25кг — Өмнөговь",25000.0
2021-02,"Хивэг,25кг — Увс",22250.0
2021-02,"Хивэг,25кг — Өвөрхангай",22591.0
2021-02,"Хивэг,25кг — Завхан",21958.0
2021-02,"Хивэг,50кг — Архангай",35500.0
2021-02,"Хивэг,50кг — Баян-Өлгий",46214.0
2021-02,"Хивэг,50кг — Баянхонгор",41667.0
2021-02,"Хивэг,50кг — Булган",40000.0
2021-02,"Хивэг,50кг — Дархан-Уул",26300.0
2021-02,"Хивэг,50кг — Дорноговь",27000.0
2021-02,"Хивэг,50кг — Говь-Алтай",50000.0
2021-02,"Хивэг,50кг — Говьсүмбэр",25000.0
2021-02,"Хивэг,50кг — Хэнтий",45000.0
2021-02,"Хивэг,50кг — Хөвсгөл",41667.0
2021-02,"Хивэг,50кг — Төв",29667.0
2021-02,"Хивэг,50кг — Өвөрхангай",39333.0
2021-02,"Хивэг,50кг — Завхан",28201.0
2021-03,"Хивэг,25кг — Архангай",19167.0
2021-03,"Хивэг,25кг — Баян-Өлгий",26000.0
2021-03,"Хивэг,25кг — Баянхонгор",22833.0
2021-03,"Хивэг,25кг — Булган",21429.0
2021-03,"Хивэг,25кг — Дархан-Уул",13200.0
2021-03,"Хивэг,25кг — Дорнод",17500.0
2021-03,"Хивэг,25кг — Дорноговь",21250.0
2021-03,"Хивэг,25кг — Говь-Алтай",24400.0
2021-03,"Хивэг,25кг — Говьсүмбэр",25000.0
2021-03,"Хивэг,25кг — Хэнтий",24000.0
2021-03,"Хивэг,25кг — Ховд",25000.0
2021-03,"Хивэг,25кг — Хөвсгөл",24000.0
2021-03,"Хивэг,25кг — Орхон",24000.0
2021-03,"Хивэг,25кг — Сэлэнгэ",20813.0
2021-03,"Хивэг,25кг — Сүхбаатар",22000.0
2021-03,"Хивэг,25кг — Төв",19633.0
2021-03,"Хивэг,25кг — Өмнөговь",22750.0
2021-03,"Хивэг,25кг — Увс",20000.0
2021-03,"Хивэг,25кг — Өвөрхангай",20682.0
2021-03,"Хивэг,25кг — Завхан",24125.0
2021-03,"Хивэг,50кг — Архангай",27500.0
2021-03,"Хивэг,50кг — Баян-Өлгий",42286.0
2021-03,"Хивэг,50кг — Баянхонгор",39333.0
2021-03,"Хивэг,50кг — Булган",36000.0
2021-03,"Хивэг,50кг — Дархан-Уул",26300.0
2021-03,"Хивэг,50кг — Дорноговь",26500.0
2021-03,"Хивэг,50кг — Говь-Алтай",29000.0
2021-03,"Хивэг,50кг — Говьсүмбэр",35000.0
2021-03,"Хивэг,50кг — Хэнтий",47333.0
2021-03,"Хивэг,50кг — Ховд",50000.0
2021-03,"Хивэг,50кг — Хөвсгөл",45000.0
2021-03,"Хивэг,50кг — Орхон",48000.0
2021-03,"Хивэг,50кг — Сүхбаатар",25000.0
2021-03,"Хивэг,50кг — Төв",29000.0
2021-03,"Хивэг,50кг — Өвөрхангай",43500.0
2021-04,"Хивэг,25кг — Архангай",20500.0
2021-04,"Хивэг,25кг — Баян-Өлгий",25000.0
2021-04,"Хивэг,25кг — Баянхонгор",21500.0
2021-04,"Хивэг,25кг — Булган",21417.0
2021-04,"Хивэг,25кг — Дорноговь",24583.0
2021-04,"Хивэг,25кг — Дундговь",16000.0
2021-04,"Хивэг,25кг — Говь-Алтай",24167.0
2021-04,"Хивэг,25кг — Говьсүмбэр",24333.0
2021-04,"Хивэг,25кг — Хэнтий",26000.0
2021-04,"Хивэг,25кг — Ховд",25000.0
2021-04,"Хивэг,25кг — Хөвсгөл",20833.0
2021-04,"Хивэг,25кг — Орхон",24000.0
2021-04,"Хивэг,25кг — Сэлэнгэ",19143.0
2021-04,"Хивэг,25кг — Сүхбаатар",21000.0
2021-04,"Хивэг,25кг — Төв",19538.0
2021-04,"Хивэг,25кг — Өмнөговь",23167.0
2021-04,"Хивэг,25кг — Өвөрхангай",20846.0
2021-04,"Хивэг,25кг — Завхан",22429.0
2021-04,"Хивэг,50кг — Баян-Өлгий",45000.0
2021-04,"Хивэг,50кг — Баянхонгор",47500.0
2021-04,"Хивэг,50кг — Булган",30500.0
2021-04,"Хивэг,50кг — Дундговь",17000.0
2021-04,"Хивэг,50кг — Говь-Алтай",37500.0
2021-04,"Хивэг,50кг — Говьсүмбэр",45000.0
2021-04,"Хивэг,50кг — Хэнтий",50667.0
2021-04,"Хивэг,50кг — Хөвсгөл",45000.0
2021-04,"Хивэг,50кг — Орхон",48000.0
2021-04,"Хивэг,50кг — Сэлэнгэ",21000.0
2021-04,"Хивэг,50кг — Төв",27333.0
2021-04,"Хивэг,50кг — Өвөрхангай",43000.0
2021-04,"Хивэг,50кг — Завхан",24500.0
2021-05,"Хивэг,25кг — Архангай",11000.0
2021-05,"Хивэг,25кг — Баян-Өлгий",23000.0
2021-05,"Хивэг,25кг — Баянхонгор",23333.0
2021-05,"Хивэг,25кг — Булган",19500.0
2021-05,"Хивэг,25кг — Дорноговь",23875.0
2021-05,"Хивэг,25кг — Говь-Алтай",21500.0
2021-05,"Хивэг,25кг — Говьсүмбэр",23000.0
2021-05,"Хивэг,25кг — Хэнтий",22500.0
2021-05,"Хивэг,25кг — Хөвсгөл",23250.0
2021-05,"Хивэг,25кг — Орхон",24000.0
2021-05,"Хивэг,25кг — Сэлэнгэ",16667.0
2021-05,"Хивэг,25кг — Сүхбаатар",19000.0
2021-05,"Хивэг,25кг — Төв",19250.0
2021-05,"Хивэг,25кг — Өмнөговь",20750.0
2021-05,"Хивэг,25кг — Өвөрхангай",21500.0
2021-05,"Хивэг,25кг — Завхан",24000.0
2021-05,"Хивэг,50кг — Архангай",20000.0
2021-05,"Хивэг,50кг — Баян-Өлгий",43600.0
2021-05,"Хивэг,50кг — Баянхонгор",50000.0
2021-05,"Хивэг,50кг — Булган",31000.0
2021-05,"Хивэг,50кг — Говьсүмбэр",35000.0
2021-05,"Хивэг,50кг — Хөвсгөл",36000.0
2021-05,"Хивэг,50кг — Орхон",48000.0
2021-05,"Хивэг,50кг — Сэлэнгэ",22000.0
2021-05,"Хивэг,50кг — Төв",20500.0
2021-05,"Хивэг,50кг — Өвөрхангай",43000.0
2021-07,"Хивэг,25кг — Баян-Өлгий",23000.0
2021-07,"Хивэг,25кг — Булган",17500.0
2021-07,"Хивэг,25кг — Дорноговь",22500.0
2021-07,"Хивэг,25кг — Говь-Алтай",22500.0
2021-07,"Хивэг,25кг — Говьсүмбэр",20000.0
2021-07,"Хивэг,25кг — Хөвсгөл",25000.0
2021-07,"Хивэг,25кг — Орхон",22000.0
2021-07,"Хивэг,25кг — Сэлэнгэ",15000.0
2021-07,"Хивэг,25кг — Сүхбаатар",25000.0
2021-07,"Хивэг,25кг — Төв",17900.0
2021-07,"Хивэг,25кг — Өмнөговь",23167.0
2021-07,"Хивэг,25кг — Өвөрхангай",21000.0
2021-07,"Хивэг,25кг — Завхан",22000.0
2021-07,"Хивэг,50кг — Баян-Өлгий",42000.0
2021-07,"Хивэг,50кг — Булган",30667.0
2021-07,"Хивэг,50кг — Говьсүмбэр",40000.0
2021-07,"Хивэг,50кг — Орхон",44000.0
2021-07,"Хивэг,50кг — Төв",24000.0
2021-07,"Хивэг,50кг — Өвөрхангай",42000.0
2021-08,"Хивэг,25кг — Архангай",12500.0
2021-08,"Хивэг,25кг — Баян-Өлгий",23000.0
2021-08,"Хивэг,25кг — Булган",16800.0
2021-08,"Хивэг,25кг — Дорноговь",24375.0
2021-08,"Хивэг,25кг — Говь-Алтай",17000.0
2021-08,"Хивэг,25кг — Говьсүмбэр",20000.0
2021-08,"Хивэг,25кг — Орхон",18000.0
2021-08,"Хивэг,25кг — Сэлэнгэ",16500.0
2021-08,"Хивэг,25кг — Сүхбаатар",19700.0
2021-08,"Хивэг,25кг — Төв",17700.0
2021-08,"Хивэг,25кг — Өмнөговь",20750.0
2021-08,"Хивэг,25кг — Өвөрхангай",22000.0
2021-08,"Хивэг,25кг — Завхан",22000.0
