код,бүс,дүүргийн_код,дүүрэг,талбай_км2,lon,lat
13216,"Хадат, Хожуултын ам",13,Баянзүрх,13.666,107.078192,48.012585
13217,Шарын ам,13,Баянзүрх,17.486,107.117451,48.048645
13218,Улиастай гол,13,Баянзүрх,217.204,107.098005,48.125505
13220,Чулуут,13,Баянзүрх,10.998,107.077679,47.855939
13221,Хар усан тохой,13,Баянзүрх,19.86,107.100498,47.908778
13240,Хүрхрээ,13,Баянзүрх,15.319,107.047134,47.871475
13241,Залаатын ам,13,Баянзүрх,22.923,107.004163,47.864498
13250,Улиастай,13,Баянзүрх,4.268,107.035215,47.918681
13251,Цагаан даваа,13,Баянзүрх,8.257,107.006341,47.965054
13252,Богдын давааны ам,13,Баянзүрх,5.498,107.019912,47.991025
13253,Улиастайн бага ам,13,Баянзүрх,5.838,107.034045,48.014418
13254,Их цуурай,13,Баянзүрх,5.16,107.044844,48.039179
13260,Амгалан-1,13,Баянзүрх,3.56,107.015576,47.915517
13270,Амгалан-2,13,Баянзүрх,2.315,107.008671,47.904567
13271,Амгалан-3,13,Баянзүрх,2.564,106.980708,47.906126
13280,Шар хад-1,13,Баянзүрх,3.555,107.010513,47.929257
13281,Шар хад-2,13,Баянзүрх,3.303,107.006314,47.941678
13290,Цахлай,13,Баянзүрх,2.496,106.991129,47.937267
13291,Цайз,13,Баянзүрх,2.188,106.980584,47.936123
13292,Алтан-Өлгий,13,Баянзүрх,4.467,106.970248,47.942221
13300,Улаанхуаран-1,13,Баянзүрх,0.264,106.988764,47.921488
13301,Улаанхуаран-2,13,Баянзүрх,0.536,106.987881,47.915596
13302,Улаанхуаран-3,13,Баянзүрх,0.295,106.97941,47.914424
13311,Олимп хороолол-1,13,Баянзүрх,0.327,106.935975,47.90592
13312,Олимп хороолол-2,13,Баянзүрх,0.395,106.935151,47.902908
13313,Үндэсний цэцэрлэгт хүрээлэн,13,Баянзүрх,8.184,106.974698,47.897192
13314,Бага тэнгэрийн ам,13,Баянзүрх,2.069,106.974367,47.877185
13315,Их тэнгэрийн ам-1,13,Баянзүрх,12.196,106.959611,47.86004
13320,16-р хороолол-1,13,Баянзүрх,0.262,106.982797,47.920973
13321,16-р хороолол-2,13,Баянзүрх,0.374,106.976702,47.92002
13330,14-р хороолол-1,13,Баянзүрх,0.304,106.967105,47.914951
13331,14-р хороолол-2,13,Баянзүрх,0.327,106.968313,47.912444
13332,14-р хороолол-3,13,Баянзүрх,0.38,106.96732,47.909416
13333,14-р хороолол-4,13,Баянзүрх,0.291,106.956332,47.915006
13334,14-р хороолол-5,13,Баянзүрх,0.467,106.955866,47.909853
13335,14-р хороолол-6,13,Баянзүрх,0.394,106.948001,47.915284
13336,14-р хороолол-7,13,Баянзүрх,0.314,106.947046,47.909991
13340,15-р хороолол-1,13,Баянзүрх,0.284,106.971756,47.920274
13341,15-р хороолол-2,13,Баянзүрх,0.294,106.967269,47.919568
13342,15-р хороолол-3,13,Баянзүрх,0.303,106.962583,47.920313
13343,15-р хороолол-4,13,Баянзүрх,0.407,106.956018,47.920807
13344,15-р хороолол-5,13,Баянзүрх,0.282,106.949329,47.920295
13345,15-р хороолол-6,13,Баянзүрх,0.257,106.944388,47.923035
13350,Дарь эх-2,13,Баянзүрх,0.797,106.941495,47.934181
13351,Дарь эх-3,13,Баянзүрх,1.04,106.930639,47.946966
13352,Дунд дарь-Эх,13,Баянзүрх,1.873,106.940692,47.943217
13353,Жамсран уулын өвөр,13,Баянзүрх,0.626,106.952997,47.949237
13354,Бага дарь-Эх,13,Баянзүрх,1.016,106.93786,47.956092
13355,Ганц худгийн ам,13,Баянзүрх,8.703,106.968014,47.966164
13360,Цэргийн хотхон,13,Баянзүрх,1.799,106.955331,47.933583
13361,Дарь эх 1,13,Баянзүрх,0.644,106.945995,47.928988
13370,13-р хороолол 2-1,13,Баянзүрх,0.406,106.939789,47.915673
13371,13-р хороолол 2-2,13,Баянзүрх,0.15,106.94164,47.910268
13372,13-р хороолол 2-3,13,Баянзүрх,0.183,106.937832,47.909881
13373,13-р хороолол 2-4,13,Баянзүрх,0.277,106.932824,47.915621
13374,13-р хороолол 2-5,13,Баянзүрх,0.199,106.933271,47.910444
13380,12-р хороолол-1,13,Баянзүрх,0.388,106.936133,47.926164
13381,12-р хороолол-2,13,Баянзүрх,0.482,106.93683,47.921056
14010,Бэлх хадат-1,14,Сүхбаатар,3.203,107.024666,48.041509
14011,Бэлх хадат-2,14,Сүхбаатар,1.577,107.018329,48.044935
14012,Бэлх Цуурайт,14,Сүхбаатар,1.424,107.013052,48.046496
14020,Сэлбэ-1,14,Сүхбаатар,11.989,107.012959,48.084511
14021,Сэлбэ-2,14,Сүхбаатар,11.858,106.99296,48.081089
14030,Цээнийн хэсэг,14,Сүхбаатар,1.726,106.981208,48.020044
14040,Цолмонгийн ам-1,14,Сүхбаатар,3.882,106.999101,48.006717
14041,Цолмонгийн ам-2,14,Сүхбаатар,0.226,106.981428,48.010504
14050,Бэлх-1,14,Сүхбаатар,3.678,107.008329,48.021472
14051,Бэлх-2,14,Сүхбаатар,1.981,106.996698,48.031965
14052,Бэлх Мааньтын ам,14,Сүхбаатар,1.23,106.986632,48.047474
14053,Бэлх Даваатын ам,14,Сүхбаатар,2.901,106.9822,48.036836
14060,Дамбадаржаа-1,14,Сүхбаатар,6.643,106.949562,47.996337
14061,Дамбадаржаа-2,14,Сүхбаатар,11.166,106.969914,47.985136
14062,Дамбадаржаа-3,14,Сүхбаатар,1.651,106.926382,47.970732
14070,Сэлх-1,14,Сүхбаатар,3.682,106.971467,48.037807
14071,Сэлх-2,14,Сүхбаатар,1.566,106.963085,48.012835
14072,Сэлх-3,14,Сүхбаатар,2.469,106.953339,48.025753
14073,Сэлх-4,14,Сүхбаатар,2.764,106.959713,48.042866
14080,Шарга морьт-1,14,Сүхбаатар,2.088,106.913691,48.053044
14081,Шарга морьт-2,14,Сүхбаатар,2.183,106.931852,48.062598
14082,Шарга морьт-3,14,Сүхбаатар,1.075,106.909747,48.061004
14083,Шарга морьт-4,14,Сүхбаатар,13.974,106.966226,48.105691
14084,Шарга морьт-5,14,Сүхбаатар,1.33,106.946287,48.078734
14085,Шарга морьт-6,14,Сүхбаатар,7.881,106.964406,48.074163
14090,Хандгайт-1,14,Сүхбаатар,22.131,106.948267,48.138761
14091,Хандгайт-2,14,Сүхбаатар,6.217,106.93987,48.113297
14092,Хандгайт-3,14,Сүхбаатар,1.109,106.894428,48.109499
14093,Хандгайтын богино-4,14,Сүхбаатар,2.214,106.913041,48.098117
14094,Хандгайтын богино-5,14,Сүхбаатар,0.844,106.908213,48.10294
14100,Ар хустай-1,14,Сүхбаатар,3.807,106.938869,48.016109
14101,Ар хустай-2,14,Сүхбаатар,0.82,106.932234,48.007855
14105,Зуун мод-1,14,Сүхбаатар,1.648,106.927726,48.027569
14110,Баянбулаг-1,14,Сүхбаатар,1.601,106.9097,48.081809
14111,Баянбулаг-2,14,Сүхбаатар,2.156,106.917084,48.092523
14112,Баянбулаг-3,14,Сүхбаатар,0.469,106.897174,48.077207
14120,Хуурай мухар-1,14,Сүхбаатар,3.144,106.927243,48.084233
14121,Хуурай мухар-2,14,Сүхбаатар,1.719,106.913701,48.076849
14122,Хуурай мухар-3,14,Сүхбаатар,0.302,106.898671,48.062347
14130,Гоодойн ам-1,14,Сүхбаатар,3.024,106.948544,48.052285
14131,Гоодойн ам-2,14,Сүхбаатар,2.446,106.9252,48.047982
14132,Гоодойн ам-3,14,Сүхбаатар,2.411,106.931677,48.038046
14140,Санзай-1,14,Сүхбаатар,32.023,106.91578,48.166994
14141,Санзай-2,14,Сүхбаатар,1.404,106.900966,48.128283
14142,Санзай-3,14,Сүхбаатар,4.671,106.880482,48.142035
14143,Санзай-4,14,Сүхбаатар,0.808,106.891637,48.120374
14150,Майхан толгой-1-1,14,Сүхбаатар,0.664,106.892864,48.091061
14151,Майхан толгой-1-2,14,Сүхбаатар,1.093,106.891597,48.100996
14160,5 буудал,14,Сүхбаатар,1.801,106.922105,47.956019
14170,100 айл-1,14,Сүхбаатар,1.004,106.920734,47.942886
14171,100 айл-2,14,Сүхбаатар,0.297,106.928578,47.934377
14180,7-р хороолол-1,14,Сүхбаатар,0.44,106.920434,47.935467
14181,7-р хороолол-2,14,Сүхбаатар,0.389,106.920699,47.931135
14182,7-р хороолол-3,14,Сүхбаатар,0.744,106.910856,47.933445
14190,11-р хороолол-1,14,Сүхбаатар,0.258,106.929394,47.926618
14191,11-р хороолол-2,14,Сүхбаатар,0.311,106.927198,47.920685
14192,11-р хороолол-3,14,Сүхбаатар,0.313,106.924343,47.926223
14193,11-р хороолол-4,14,Сүхбаатар,0.098,106.919446,47.92776
14200,Бага тойруу-1,14,Сүхбаатар,0.303,106.920702,47.921564
14201,Бага тойруу-2,14,Сүхбаатар,0.295,106.916848,47.922919
14210,13-р хороолол 1-1,14,Сүхбаатар,0.258,106.925277,47.916203
14220,13-р хороолол 1-2,14,Сүхбаатар,0.13,106.926066,47.913487
14230,13-р хороолол 1-3,14,Сүхбаатар,0.224,106.927779,47.910353
14240,Соёл амралтын хүрээлэн-1,14,Сүхбаатар,0.148,106.918207,47.915032
14241,Соёл амралтын хүрээлэн-2,14,Сүхбаатар,0.43,106.919265,47.910572
14250,5-р хороолол-1,14,Сүхбаатар,0.38,106.904329,47.914887
14251,5-р хороолол-2,14,Сүхбаатар,0.377,106.911415,47.911785
14252,5-р хороолол-3,14,Сүхбаатар,0.368,106.903318,47.911049
14253,5-р хороолол-4,14,Сүхбаатар,0.138,106.896674,47.910789
15010,Ар согоот-1,15,Чингэлтэй,0.574,106.92789,48.002055
15011,Ар согоот-2,15,Чингэлтэй,1.69,106.912044,48.002074
15020,Шадивлан-1,15,Чингэлтэй,0.783,106.922433,48.013069
15021,Шадивлан-2,15,Чингэлтэй,1.563,106.909685,48.009935
15022,Шадивлан-3,15,Чингэлтэй,1.275,106.903763,48.019412
15023,Шадивлан-4,15,Чингэлтэй,4.321,106.877963,48.020115
15024,Шадивлан-5,15,Чингэлтэй,0.686,106.891362,48.010914
15030,Чингэлтэй-3,15,Чингэлтэй,0.773,106.925607,47.985438
15031,Чингэлтэй-1,15,Чингэлтэй,9.498,106.895268,47.991395
15032,Чингэлтэй-2,15,Чингэлтэй,6.706,106.87819,47.986766
15040,Зуун мод-2-1,15,Чингэлтэй,0.316,106.915448,48.026284
15041,Зуун мод-2-2,15,Чингэлтэй,0.378,106.913721,48.032154
15050,Яргайт-1,15,Чингэлтэй,2.634,106.896018,48.027653
15051,Яргайт-2,15,Чингэлтэй,1.47,106.877694,48.034651
15052,Яргайтын богино-2,15,Чингэлтэй,0.445,106.908635,48.038467
15053,Яргайтын богино-1,15,Чингэлтэй,1.537,106.879685,48.038375
15054,Яргайтын богино-3,15,Чингэлтэй,1.88,106.879612,48.043001
15060,Салхит,15,Чингэлтэй,1.409,106.911774,47.995184
15070,Ойнбулаг,15,Чингэлтэй,6.938,106.870054,48.122915
15080,Майхан толгой-2-1,15,Чингэлтэй,7.974,106.860874,48.095134
15081,Майхан толгой-2-2,15,Чингэлтэй,3.528,106.864835,48.107366
15090,Гүнт-1,15,Чингэлтэй,5.932,106.871362,48.077702
15091,Гүнт-2,15,Чингэлтэй,5.612,106.863325,48.067477
15100,Жигжид-1,15,Чингэлтэй,0.511,106.899075,48.052569
15101,Жигжид-2,15,Чингэлтэй,0.183,106.893735,48.054753
15102,Жигжид-3,15,Чингэлтэй,0.591,106.895502,48.0467
15103,Жигжид-4,15,Чингэлтэй,0.927,106.885343,48.053653
15104,Жигжид-5,15,Чингэлтэй,3.515,106.870308,48.051281
15110,Хайлааст-1,15,Чингэлтэй,3.681,106.891454,47.967441
15111,Хайлааст-2,15,Чингэлтэй,3.656,106.880939,47.964674
15120,Дэнжийн мянга-1,15,Чингэлтэй,4.276,106.891671,47.949441
15121,Дэнжийн мянга-2,15,Чингэлтэй,1.43,106.899825,47.935877
15130,Телевиз,15,Чингэлтэй,2.639,106.879139,47.944242
15140,6-р хороолол-1,15,Чингэлтэй,0.25,106.909327,47.926903
15141,6-р хороолол-2,15,Чингэлтэй,0.301,106.90617,47.923865
15150,Тасганы овоо,15,Чингэлтэй,0.153,106.900126,47.924887
15160,Бага тойруу-3,15,Чингэлтэй,0.314,106.913562,47.920947
15170,"40, 50 мянгат-1",15,Чингэлтэй,0.227,106.909003,47.919307
15171,"40, 50 мянгат-2",15,Чингэлтэй,0.148,106.90275,47.920419
15172,"40, 50 мянгат-3",15,Чингэлтэй,0.286,106.901548,47.917325
16010,Үйлдвэрийн төвийн бүс-1,16,Баянгол,1.014,106.872333,47.910332
16020,Үйлдвэрийн төвийн бүс-2,16,Баянгол,0.522,106.900656,47.90573
16030,Үйлдвэрийн төвийн бүс-3,16,Баянгол,1.336,106.875153,47.906281
16040,Гандан,16,Баянгол,0.559,106.894608,47.920351
16050,2-р хороолол-1,16,Баянгол,0.321,106.884771,47.915405
16051,2-р хороолол-2,16,Баянгол,0.439,106.889044,47.911565
16052,2-р хороолол-3,16,Баянгол,0.444,106.878831,47.912073
16060,4-р хороолол-1,16,Баянгол,0.19,106.891168,47.925778
16061,4-р хороолол-2,16,Баянгол,0.5,106.884822,47.930773
16062,4-р хороолол-3,16,Баянгол,0.143,106.88602,47.924589
16063,4-р хороолол-4,16,Баянгол,0.255,106.887241,47.920914
16064,4-р хороолол-5,16,Баянгол,0.197,106.884802,47.917489
16065,4-р хороолол-6,16,Баянгол,0.273,106.879828,47.927712
16066,4-р хороолол-7,16,Баянгол,0.14,106.879574,47.923959
16067,4-р хороолол-8,16,Баянгол,0.307,106.879995,47.920439
16070,Наран-БГД,16,Баянгол,3.239,106.867685,47.934602
16080,10-р хороолол-1,16,Баянгол,0.322,106.870439,47.915661
16081,10-р хороолол-2,16,Баянгол,0.384,106.860094,47.915535
16090,3-р хороолол-1,16,Баянгол,0.237,106.872786,47.926773
16091,3-р хороолол-2,16,Баянгол,0.18,106.871037,47.923665
16092,3-р хороолол-3,16,Баянгол,0.411,106.871236,47.919952
16093,3-р хороолол-4,16,Баянгол,0.193,106.865789,47.925346
16094,3-р хороолол-5,16,Баянгол,0.37,106.860877,47.919758
16095,3-р хороолол-6,16,Баянгол,0.337,106.858173,47.922727
16100,Үйлдвэрийн баруун бүс-1,16,Баянгол,2.693,106.842155,47.90538
16101,Үйлдвэрийн баруун бүс-2,16,Баянгол,4.135,106.813321,47.901247
16102,Үйлдвэрийн баруун бүс-3,16,Баянгол,1.903,106.79266,47.900023
16103,Үйлдвэрийн баруун бүс-4,16,Баянгол,3.201,106.802403,47.886881
17009,Шинэ суурьшил,17,Хан-Уул,0.085,106.92963,47.907371
17010,Стадион Оргил-1,17,Хан-Уул,0.488,106.919501,47.906102
17011,Стадион Оргил-2,17,Хан-Уул,0.744,106.919763,47.901739
17012,Стадион Оргил-3,17,Хан-Уул,1.853,106.92445,47.891093
17013,Стадион Оргил-4,17,Хан-Уул,0.852,106.922076,47.897189
17020,Зайсан-1,17,Хан-Уул,0.646,106.924916,47.883795
17021,Зайсан-2,17,Хан-Уул,0.616,106.923414,47.878382
17022,Зайсан-3,17,Хан-Уул,2.187,106.911747,47.866424
