year,product,tj
2018,"Briquettes, ovoids and similar solid fuels manufactured from coal",57.39
2018,Gasoline (excluding biofuels),20059.13
2018,Diesel,36076.05
2018,Jet fuel for aircrafts,1750.53
2018,Kerosene,4799.42
2018,Fuel Oils,9.47
2018,LPG,2677.43
2018,Other spirits,786.2
2018,Oil and lubricants,866.59
2018,Other petroleum and oil products,4030.27
2018,"Petroleum Jelly, paraffin waxes and Bitumen and asphalt, natural products",1950.45
2018,"Wood, wood waste & other solid biomass, charcoal",33694.16
2018,Electrical energy - produced from wind and hydro only,29902.59
2018,Heat,50221.04
2019,Hard coal,5324.65
2019,Brown coal,7432.78
2019,Coke and semi-coke of coal,60.3
2019,"Briquettes, ovoids and similar solid fuels manufactured from coal",5887.64
2019,Gasoline (excluding biofuels),23392.97
2019,Diesel,45988.37
2019,Jet fuel for aircrafts,2058.02
2019,Kerosene,2302.38
2019,Fuel Oils,9.47
2019,LPG,1535.22
2019,Other spirits,309.9
2019,Oil and lubricants,959.17
2019,Other petroleum and oil products,3637.72
2019,"Petroleum Jelly, paraffin waxes and Bitumen and asphalt, natural products",2316.75
2019,"Wood, wood waste & other solid biomass, charcoal",35846.81
2019,Electrical energy - produced from wind and hydro only,31564.04
2019,Heat,53127.86
2020,Hard coal,3903.06
2020,Brown coal,10659.58
2020,Coke and semi-coke of coal,28.77
2020,"Briquettes, ovoids and similar solid fuels manufactured from coal",15620.54
2020,Gasoline (excluding biofuels),25901.22
2020,Diesel,43806.78
2020,Jet fuel for aircrafts,864.14
2020,Kerosene,1980.59
2020,Fuel Oils,8.79
2020,LPG,1556.21
2020,Other spirits,236.67
2020,Oil and lubricants,925.31
2020,Other petroleum and oil products,6211.25
2020,"Petroleum Jelly, paraffin waxes and Bitumen and asphalt, natural products",1812.26
2020,"Wood, wood waste & other solid biomass, charcoal",38090.07
2020,Electrical energy - produced from wind and hydro only,32048.51
2020,Heat,56439.38
2021,Hard coal,4393.25
2021,Brown coal,7339.07
2021,Coke and semi-coke of coal,40.01
2021,"Briquettes, ovoids and similar solid fuels manufactured from coal",6015.23
2021,Gasoline (excluding biofuels),26368.23
2021,Diesel,41143.13
2021,Jet fuel for aircrafts,1188.85
2021,Kerosene,1958.54
2021,Fuel Oils,5.69
2021,LPG,1517.47
2021,Other spirits,64.6
2021,Oil and lubricants,1019.94
2021,Other petroleum and oil products,3299.39
2021,"Petroleum Jelly, paraffin waxes and Bitumen and asphalt, natural products",1205.34
2021,"Wood, wood waste & other solid biomass, charcoal",40165.26
2021,Electrical energy - produced from wind and hydro only,35620.55
2021,Heat,60260.9
2022,Hard coal,5322.29
2022,Brown coal,6039.62
2022,Coke and semi-coke of coal,40.61
2022,"Briquettes, ovoids and similar solid fuels manufactured from coal",16949.65
2022,Gasoline (excluding biofuels),30094.14
2022,Diesel,41893.0
2022,Jet fuel for aircrafts,3249.03
2022,Kerosene,439.64
2022,Fuel Oils,7.95
2022,LPG,1257.56
2022,Other spirits,13.41
2022,Oil and lubricants,1073.28
2022,Other petroleum and oil products,1757.46
2022,"Petroleum Jelly, paraffin waxes and Bitumen and asphalt, natural products",1773.02
2022,"Wood, wood waste & other solid biomass, charcoal",39571.95
2022,Electrical energy - produced from wind and hydro only,37326.61
2022,Heat,63036.28
2023,Hard coal,5955.41
2023,Brown coal,9414.98
2023,Coke and semi-coke of coal,28.11
2023,"Briquettes, ovoids and similar solid fuels manufactured from coal",15388.74
2023,Gasoline (excluding biofuels),32295.13
2023,Diesel,57471.47
2023,Jet fuel for aircrafts,4862.03
2023,Kerosene,271.43
2023,Fuel Oils,11.73
2023,LPG,1822.67
2023,Other spirits,1.2
2023,Oil and lubricants,1171.3
2023,Other petroleum and oil products,3097.17
2023,"Petroleum Jelly, paraffin waxes and Bitumen and asphalt, natural products",3450.37
2023,"Wood, wood waste & other solid biomass, charcoal",38795.83
2023,Electrical energy - produced from wind and hydro only,40120.12
2023,Heat,66201.52
2024,Hard coal,13322.13
2024,Brown coal,13316.89
2024,Coke and semi-coke of coal,47.86
2024,"Briquettes, ovoids and similar solid fuels manufactured from coal",14421.48
2024,Gasoline (excluding biofuels),39717.08
2024,Diesel,70028.47
2024,Jet fuel for aircrafts,4315.0
2024,Kerosene,647.86
2024,Fuel Oils,9.19
2024,LPG,1740.93
2024,Other spirits,61.39
2024,Oil and lubricants,1400.54
2024,Other petroleum and oil products,1236.48
2024,"Petroleum Jelly, paraffin waxes and Bitumen and asphalt, natural products",2899.53
2024,"Wood, wood waste & other solid biomass, charcoal",35891.59
2024,Electrical energy - produced from wind and hydro only,42276.62
2024,Heat,70406.16
