салбар,огноо,утга
"Уул уурхай, олборлолт",2022-02,895.1
"Уул уурхай, олборлолт",2022-01,1116.6
"Уул уурхай, олборлолт",2021-12,899.1
"Уул уурхай, олборлолт",2021-11,995.5
"Уул уурхай, олборлолт",2021-10,1137.5
"Уул уурхай, олборлолт",2021-09,1020.1
"Уул уурхай, олборлолт",2021-08,1037.2
"Уул уурхай, олборлолт",2021-07,1022.6
"Уул уурхай, олборлолт",2021-06,1057.4
"Уул уурхай, олборлолт",2021-05,1121.5
"Уул уурхай, олборлолт",2021-04,1013.8
"Уул уурхай, олборлолт",2021-03,1081.6
"Уул уурхай, олборлолт",2021-02,880.5
"Уул уурхай, олборлолт",2021-01,920.4
"Уул уурхай, олборлолт",2020-12,1390.6
"Уул уурхай, олборлолт",2020-11,1363.5
"Уул уурхай, олборлолт",2020-10,1479.7
"Уул уурхай, олборлолт",2020-09,1285.5
"Уул уурхай, олборлолт",2020-08,1020.2
"Уул уурхай, олборлолт",2020-07,1043.8
"Уул уурхай, олборлолт",2020-06,1012.0
"Уул уурхай, олборлолт",2020-05,837.8
"Уул уурхай, олборлолт",2020-04,621.1
"Уул уурхай, олборлолт",2020-03,697.8
"Уул уурхай, олборлолт",2020-02,684.9
"Уул уурхай, олборлолт",2020-01,796.2
"Уул уурхай, олборлолт",2019-12,862.5
"Уул уурхай, олборлолт",2019-11,1112.5
"Уул уурхай, олборлолт",2019-10,1227.1
"Уул уурхай, олборлолт",2019-09,1180.7
"Уул уурхай, олборлолт",2019-08,1271.3
"Уул уурхай, олборлолт",2019-07,1152.9
"Уул уурхай, олборлолт",2019-06,1066.2
"Уул уурхай, олборлолт",2019-05,1217.6
"Уул уурхай, олборлолт",2019-04,1070.9
"Уул уурхай, олборлолт",2019-03,1070.7
"Уул уурхай, олборлолт",2019-02,950.8
"Уул уурхай, олборлолт",2019-01,976.1
"Уул уурхай, олборлолт",2018-12,1024.6
"Уул уурхай, олборлолт",2018-11,1018.1
"Уул уурхай, олборлолт",2018-10,1166.6
"Уул уурхай, олборлолт",2018-09,1067.6
"Уул уурхай, олборлолт",2018-08,933.7
"Уул уурхай, олборлолт",2018-07,892.6
"Уул уурхай, олборлолт",2018-06,1069.4
"Уул уурхай, олборлолт",2018-05,1101.0
"Уул уурхай, олборлолт",2018-04,911.2
"Уул уурхай, олборлолт",2018-03,902.5
"Уул уурхай, олборлолт",2018-02,688.0
"Уул уурхай, олборлолт",2018-01,815.1
"Уул уурхай, олборлолт",2017-12,771.6
"Уул уурхай, олборлолт",2017-11,783.9
"Уул уурхай, олборлолт",2017-10,957.1
"Уул уурхай, олборлолт",2017-09,972.2
Боловсруулах үйлдвэрлэл,2026-03,551.7
Боловсруулах үйлдвэрлэл,2026-02,481.5
Боловсруулах үйлдвэрлэл,2026-01,554.4
Боловсруулах үйлдвэрлэл,2025-12,748.9
Боловсруулах үйлдвэрлэл,2025-11,687.7
Боловсруулах үйлдвэрлэл,2025-10,828.3
Боловсруулах үйлдвэрлэл,2025-09,907.6
Боловсруулах үйлдвэрлэл,2025-08,888.8
Боловсруулах үйлдвэрлэл,2025-07,623.0
Боловсруулах үйлдвэрлэл,2025-06,750.2
Боловсруулах үйлдвэрлэл,2025-05,664.2
Боловсруулах үйлдвэрлэл,2025-04,519.1
Боловсруулах үйлдвэрлэл,2025-03,443.1
Боловсруулах үйлдвэрлэл,2025-02,539.5
Боловсруулах үйлдвэрлэл,2025-01,527.9
Боловсруулах үйлдвэрлэл,2024-12,627.3
Боловсруулах үйлдвэрлэл,2024-11,618.6
Боловсруулах үйлдвэрлэл,2024-10,650.0
Боловсруулах үйлдвэрлэл,2024-09,664.5
Боловсруулах үйлдвэрлэл,2024-08,674.0
Боловсруулах үйлдвэрлэл,2024-07,664.1
Боловсруулах үйлдвэрлэл,2024-06,741.2
Боловсруулах үйлдвэрлэл,2024-05,699.8
Боловсруулах үйлдвэрлэл,2024-04,513.5
Боловсруулах үйлдвэрлэл,2024-03,477.6
Боловсруулах үйлдвэрлэл,2024-02,391.3
Боловсруулах үйлдвэрлэл,2024-01,544.6
Боловсруулах үйлдвэрлэл,2023-12,712.8
Боловсруулах үйлдвэрлэл,2023-11,615.6
Боловсруулах үйлдвэрлэл,2023-10,656.7
Боловсруулах үйлдвэрлэл,2023-09,628.7
Боловсруулах үйлдвэрлэл,2023-08,724.0
Боловсруулах үйлдвэрлэл,2023-07,630.2
Боловсруулах үйлдвэрлэл,2023-06,697.1
Боловсруулах үйлдвэрлэл,2023-05,611.1
Боловсруулах үйлдвэрлэл,2023-04,437.3
Боловсруулах үйлдвэрлэл,2023-03,457.0
Боловсруулах үйлдвэрлэл,2023-02,403.6
Боловсруулах үйлдвэрлэл,2023-01,431.0
Боловсруулах үйлдвэрлэл,2022-12,516.8
Боловсруулах үйлдвэрлэл,2022-11,410.5
Боловсруулах үйлдвэрлэл,2022-10,502.5
Боловсруулах үйлдвэрлэл,2022-09,453.1
Боловсруулах үйлдвэрлэл,2022-08,486.4
Боловсруулах үйлдвэрлэл,2022-07,414.7
Боловсруулах үйлдвэрлэл,2022-06,566.4
Боловсруулах үйлдвэрлэл,2022-05,526.4
Боловсруулах үйлдвэрлэл,2022-04,365.6
Боловсруулах үйлдвэрлэл,2022-03,296.7
Боловсруулах үйлдвэрлэл,2022-02,241.7
Боловсруулах үйлдвэрлэл,2022-01,371.1
Боловсруулах үйлдвэрлэл,2021-12,464.4
Боловсруулах үйлдвэрлэл,2021-11,379.7
Боловсруулах үйлдвэрлэл,2021-10,342.0
Боловсруулах үйлдвэрлэл,2021-09,320.1
Боловсруулах үйлдвэрлэл,2021-08,336.1
Боловсруулах үйлдвэрлэл,2021-07,298.6
Боловсруулах үйлдвэрлэл,2021-06,444.8
Боловсруулах үйлдвэрлэл,2021-05,442.3
Боловсруулах үйлдвэрлэл,2021-04,304.3
Боловсруулах үйлдвэрлэл,2021-03,315.9
Боловсруулах үйлдвэрлэл,2021-02,257.6
Боловсруулах үйлдвэрлэл,2021-01,283.1
Боловсруулах үйлдвэрлэл,2020-12,268.6
Боловсруулах үйлдвэрлэл,2020-11,238.8
Боловсруулах үйлдвэрлэл,2020-10,318.6
Боловсруулах үйлдвэрлэл,2020-09,299.1
Боловсруулах үйлдвэрлэл,2020-08,319.0
Боловсруулах үйлдвэрлэл,2020-07,281.2
Боловсруулах үйлдвэрлэл,2020-06,284.5
Боловсруулах үйлдвэрлэл,2020-05,275.5
Боловсруулах үйлдвэрлэл,2020-04,217.6
Боловсруулах үйлдвэрлэл,2020-03,206.1
Боловсруулах үйлдвэрлэл,2020-02,228.0
Боловсруулах үйлдвэрлэл,2020-01,233.7
Боловсруулах үйлдвэрлэл,2019-12,281.6
Боловсруулах үйлдвэрлэл,2019-11,276.3
Боловсруулах үйлдвэрлэл,2019-10,288.0
Боловсруулах үйлдвэрлэл,2019-09,281.6
Боловсруулах үйлдвэрлэл,2019-08,267.1
Боловсруулах үйлдвэрлэл,2019-07,262.8
Боловсруулах үйлдвэрлэл,2019-06,318.1
Боловсруулах үйлдвэрлэл,2019-05,387.3
Боловсруулах үйлдвэрлэл,2019-04,288.9
Боловсруулах үйлдвэрлэл,2019-03,223.6
Боловсруулах үйлдвэрлэл,2019-02,167.1
Боловсруулах үйлдвэрлэл,2019-01,237.9
Боловсруулах үйлдвэрлэл,2018-12,280.0
Боловсруулах үйлдвэрлэл,2018-11,257.7
Боловсруулах үйлдвэрлэл,2018-10,302.7
Боловсруулах үйлдвэрлэл,2018-09,251.1
Боловсруулах үйлдвэрлэл,2018-08,256.0
Боловсруулах үйлдвэрлэл,2018-07,254.9
Боловсруулах үйлдвэрлэл,2018-06,304.1
Боловсруулах үйлдвэрлэл,2018-05,280.4
Боловсруулах үйлдвэрлэл,2018-04,221.5
Боловсруулах үйлдвэрлэл,2018-03,175.6
Боловсруулах үйлдвэрлэл,2018-02,163.6
Боловсруулах үйлдвэрлэл,2018-01,189.9
Боловсруулах үйлдвэрлэл,2017-12,231.7
Боловсруулах үйлдвэрлэл,2017-11,212.4
Боловсруулах үйлдвэрлэл,2017-10,219.6
Боловсруулах үйлдвэрлэл,2017-09,208.9
"Цахилгаан хий, уур, агааржуулалт",2026-03,379.3
"Цахилгаан хий, уур, агааржуулалт",2026-02,406.2
"Цахилгаан хий, уур, агааржуулалт",2026-01,373.6
"Цахилгаан хий, уур, агааржуулалт",2025-12,306.3
"Цахилгаан хий, уур, агааржуулалт",2025-11,275.0
"Цахилгаан хий, уур, агааржуулалт",2025-10,240.8
"Цахилгаан хий, уур, агааржуулалт",2025-09,181.0
"Цахилгаан хий, уур, агааржуулалт",2025-08,165.5
"Цахилгаан хий, уур, агааржуулалт",2025-07,158.4
"Цахилгаан хий, уур, агааржуулалт",2025-06,165.6
"Цахилгаан хий, уур, агааржуулалт",2025-05,203.4
"Цахилгаан хий, уур, агааржуулалт",2025-04,226.4
"Цахилгаан хий, уур, агааржуулалт",2025-03,246.0
"Цахилгаан хий, уур, агааржуулалт",2025-02,266.3
"Цахилгаан хий, уур, агааржуулалт",2025-01,278.1
"Цахилгаан хий, уур, агааржуулалт",2024-12,264.1
"Цахилгаан хий, уур, агааржуулалт",2024-11,205.8
"Цахилгаан хий, уур, агааржуулалт",2024-10,178.9
"Цахилгаан хий, уур, агааржуулалт",2024-09,135.2
"Цахилгаан хий, уур, агааржуулалт",2024-08,115.3
"Цахилгаан хий, уур, агааржуулалт",2024-07,112.5
"Цахилгаан хий, уур, агааржуулалт",2024-06,121.3
"Цахилгаан хий, уур, агааржуулалт",2024-05,141.1
"Цахилгаан хий, уур, агааржуулалт",2024-04,169.1
"Цахилгаан хий, уур, агааржуулалт",2024-03,194.6
"Цахилгаан хий, уур, агааржуулалт",2024-02,211.0
"Цахилгаан хий, уур, агааржуулалт",2024-01,217.0
"Цахилгаан хий, уур, агааржуулалт",2023-12,207.5
"Цахилгаан хий, уур, агааржуулалт",2023-11,195.5
"Цахилгаан хий, уур, агааржуулалт",2023-10,155.1
"Цахилгаан хий, уур, агааржуулалт",2023-09,126.2
"Цахилгаан хий, уур, агааржуулалт",2023-08,112.3
"Цахилгаан хий, уур, агааржуулалт",2023-07,108.5
"Цахилгаан хий, уур, агааржуулалт",2023-06,112.4
"Цахилгаан хий, уур, агааржуулалт",2023-05,136.9
"Цахилгаан хий, уур, агааржуулалт",2023-04,180.3
"Цахилгаан хий, уур, агааржуулалт",2023-03,158.6
"Цахилгаан хий, уур, агааржуулалт",2023-02,180.5
"Цахилгаан хий, уур, агааржуулалт",2023-01,201.3
"Цахилгаан хий, уур, агааржуулалт",2022-12,188.9
"Цахилгаан хий, уур, агааржуулалт",2022-11,152.5
"Цахилгаан хий, уур, агааржуулалт",2022-10,130.0
"Цахилгаан хий, уур, агааржуулалт",2022-09,94.6
"Цахилгаан хий, уур, агааржуулалт",2022-08,82.7
"Цахилгаан хий, уур, агааржуулалт",2022-07,78.7
"Цахилгаан хий, уур, агааржуулалт",2022-06,84.2
"Цахилгаан хий, уур, агааржуулалт",2022-05,101.7
"Цахилгаан хий, уур, агааржуулалт",2022-04,125.9
"Цахилгаан хий, уур, агааржуулалт",2022-03,137.3
"Цахилгаан хий, уур, агааржуулалт",2022-02,148.3
"Цахилгаан хий, уур, агааржуулалт",2022-01,151.5
"Цахилгаан хий, уур, агааржуулалт",2021-12,159.8
"Цахилгаан хий, уур, агааржуулалт",2021-11,137.4
"Цахилгаан хий, уур, агааржуулалт",2021-10,119.8
"Цахилгаан хий, уур, агааржуулалт",2021-09,90.3
"Цахилгаан хий, уур, агааржуулалт",2021-08,79.1
"Цахилгаан хий, уур, агааржуулалт",2021-07,73.9
"Цахилгаан хий, уур, агааржуулалт",2021-06,84.7
"Цахилгаан хий, уур, агааржуулалт",2021-05,98.5
"Цахилгаан хий, уур, агааржуулалт",2021-04,117.9
"Цахилгаан хий, уур, агааржуулалт",2021-03,128.7
"Цахилгаан хий, уур, агааржуулалт",2021-02,139.0
"Цахилгаан хий, уур, агааржуулалт",2021-01,140.5
"Цахилгаан хий, уур, агааржуулалт",2020-12,129.9
"Цахилгаан хий, уур, агааржуулалт",2020-11,116.6
"Цахилгаан хий, уур, агааржуулалт",2020-10,102.0
"Цахилгаан хий, уур, агааржуулалт",2020-09,76.7
"Цахилгаан хий, уур, агааржуулалт",2020-08,70.2
"Цахилгаан хий, уур, агааржуулалт",2020-07,68.9
"Цахилгаан хий, уур, агааржуулалт",2020-06,72.5
"Цахилгаан хий, уур, агааржуулалт",2020-05,83.7
"Цахилгаан хий, уур, агааржуулалт",2020-04,106.0
"Цахилгаан хий, уур, агааржуулалт",2020-03,115.9
"Цахилгаан хий, уур, агааржуулалт",2020-02,127.2
"Цахилгаан хий, уур, агааржуулалт",2020-01,131.0
"Цахилгаан хий, уур, агааржуулалт",2019-12,123.3
"Цахилгаан хий, уур, агааржуулалт",2019-11,114.7
"Цахилгаан хий, уур, агааржуулалт",2019-10,96.4
"Цахилгаан хий, уур, агааржуулалт",2019-09,77.8
"Цахилгаан хий, уур, агааржуулалт",2019-08,70.6
"Цахилгаан хий, уур, агааржуулалт",2019-07,70.2
"Цахилгаан хий, уур, агааржуулалт",2019-06,72.5
"Цахилгаан хий, уур, агааржуулалт",2019-05,83.1
"Цахилгаан хий, уур, агааржуулалт",2019-04,96.2
"Цахилгаан хий, уур, агааржуулалт",2019-03,99.3
"Цахилгаан хий, уур, агааржуулалт",2019-02,106.5
"Цахилгаан хий, уур, агааржуулалт",2019-01,109.8
"Цахилгаан хий, уур, агааржуулалт",2018-12,103.8
"Цахилгаан хий, уур, агааржуулалт",2018-11,93.3
"Цахилгаан хий, уур, агааржуулалт",2018-10,81.5
"Цахилгаан хий, уур, агааржуулалт",2018-09,65.0
"Цахилгаан хий, уур, агааржуулалт",2018-08,60.2
"Цахилгаан хий, уур, агааржуулалт",2018-07,58.3
"Цахилгаан хий, уур, агааржуулалт",2018-06,61.2
"Цахилгаан хий, уур, агааржуулалт",2018-05,72.2
"Цахилгаан хий, уур, агааржуулалт",2018-04,86.8
"Цахилгаан хий, уур, агааржуулалт",2018-03,91.1
"Цахилгаан хий, уур, агааржуулалт",2018-02,97.6
"Цахилгаан хий, уур, агааржуулалт",2018-01,100.1
"Цахилгаан хий, уур, агааржуулалт",2017-12,93.4
"Цахилгаан хий, уур, агааржуулалт",2017-11,84.1
"Цахилгаан хий, уур, агааржуулалт",2017-10,74.5
"Цахилгаан хий, уур, агааржуулалт",2017-09,56.3
"Ус хангамж; бохир ус зайлуулах систем, хог, хаягдлын менежмент болон цэвэрлэх үйл ажиллагаа",2026-03,25.9
"Ус хангамж; бохир ус зайлуулах систем, хог, хаягдлын менежмент болон цэвэрлэх үйл ажиллагаа",2026-02,24.8
"Ус хангамж; бохир ус зайлуулах систем, хог, хаягдлын менежмент болон цэвэрлэх үйл ажиллагаа",2026-01,25.4
"Ус хангамж; бохир ус зайлуулах систем, хог, хаягдлын менежмент болон цэвэрлэх үйл ажиллагаа",2025-12,25.9
"Ус хангамж; бохир ус зайлуулах систем, хог, хаягдлын менежмент болон цэвэрлэх үйл ажиллагаа",2025-11,26.0
"Ус хангамж; бохир ус зайлуулах систем, хог, хаягдлын менежмент болон цэвэрлэх үйл ажиллагаа",2025-10,27.7
"Ус хангамж; бохир ус зайлуулах систем, хог, хаягдлын менежмент болон цэвэрлэх үйл ажиллагаа",2025-09,27.1
"Ус хангамж; бохир ус зайлуулах систем, хог, хаягдлын менежмент болон цэвэрлэх үйл ажиллагаа",2025-08,22.6
"Ус хангамж; бохир ус зайлуулах систем, хог, хаягдлын менежмент болон цэвэрлэх үйл ажиллагаа",2025-07,22.4
"Ус хангамж; бохир ус зайлуулах систем, хог, хаягдлын менежмент болон цэвэрлэх үйл ажиллагаа",2025-06,24.2
"Ус хангамж; бохир ус зайлуулах систем, хог, хаягдлын менежмент болон цэвэрлэх үйл ажиллагаа",2025-05,26.3
"Ус хангамж; бохир ус зайлуулах систем, хог, хаягдлын менежмент болон цэвэрлэх үйл ажиллагаа",2025-04,25.6
"Ус хангамж; бохир ус зайлуулах систем, хог, хаягдлын менежмент болон цэвэрлэх үйл ажиллагаа",2025-03,25.3
"Ус хангамж; бохир ус зайлуулах систем, хог, хаягдлын менежмент болон цэвэрлэх үйл ажиллагаа",2025-02,25.0
"Ус хангамж; бохир ус зайлуулах систем, хог, хаягдлын менежмент болон цэвэрлэх үйл ажиллагаа",2025-01,26.2
"Ус хангамж; бохир ус зайлуулах систем, хог, хаягдлын менежмент болон цэвэрлэх үйл ажиллагаа",2024-12,24.4
"Ус хангамж; бохир ус зайлуулах систем, хог, хаягдлын менежмент болон цэвэрлэх үйл ажиллагаа",2024-11,25.1
"Ус хангамж; бохир ус зайлуулах систем, хог, хаягдлын менежмент болон цэвэрлэх үйл ажиллагаа",2024-10,25.0
"Ус хангамж; бохир ус зайлуулах систем, хог, хаягдлын менежмент болон цэвэрлэх үйл ажиллагаа",2024-09,22.3
"Ус хангамж; бохир ус зайлуулах систем, хог, хаягдлын менежмент болон цэвэрлэх үйл ажиллагаа",2024-08,21.3
"Ус хангамж; бохир ус зайлуулах систем, хог, хаягдлын менежмент болон цэвэрлэх үйл ажиллагаа",2024-07,21.8
"Ус хангамж; бохир ус зайлуулах систем, хог, хаягдлын менежмент болон цэвэрлэх үйл ажиллагаа",2024-06,22.2
"Ус хангамж; бохир ус зайлуулах систем, хог, хаягдлын менежмент болон цэвэрлэх үйл ажиллагаа",2024-05,23.1
"Ус хангамж; бохир ус зайлуулах систем, хог, хаягдлын менежмент болон цэвэрлэх үйл ажиллагаа",2024-04,22.4
"Ус хангамж; бохир ус зайлуулах систем, хог, хаягдлын менежмент болон цэвэрлэх үйл ажиллагаа",2024-03,21.6
"Ус хангамж; бохир ус зайлуулах систем, хог, хаягдлын менежмент болон цэвэрлэх үйл ажиллагаа",2024-02,21.9
"Ус хангамж; бохир ус зайлуулах систем, хог, хаягдлын менежмент болон цэвэрлэх үйл ажиллагаа",2024-01,22.4
"Ус хангамж; бохир ус зайлуулах систем, хог, хаягдлын менежмент болон цэвэрлэх үйл ажиллагаа",2023-12,23.2
"Ус хангамж; бохир ус зайлуулах систем, хог, хаягдлын менежмент болон цэвэрлэх үйл ажиллагаа",2023-11,21.2
"Ус хангамж; бохир ус зайлуулах систем, хог, хаягдлын менежмент болон цэвэрлэх үйл ажиллагаа",2023-10,19.9
"Ус хангамж; бохир ус зайлуулах систем, хог, хаягдлын менежмент болон цэвэрлэх үйл ажиллагаа",2023-09,20.2
"Ус хангамж; бохир ус зайлуулах систем, хог, хаягдлын менежмент болон цэвэрлэх үйл ажиллагаа",2023-08,17.2
"Ус хангамж; бохир ус зайлуулах систем, хог, хаягдлын менежмент болон цэвэрлэх үйл ажиллагаа",2023-07,16.3
"Ус хангамж; бохир ус зайлуулах систем, хог, хаягдлын менежмент болон цэвэрлэх үйл ажиллагаа",2023-06,17.9
"Ус хангамж; бохир ус зайлуулах систем, хог, хаягдлын менежмент болон цэвэрлэх үйл ажиллагаа",2023-05,17.5
"Ус хангамж; бохир ус зайлуулах систем, хог, хаягдлын менежмент болон цэвэрлэх үйл ажиллагаа",2023-04,18.9
"Ус хангамж; бохир ус зайлуулах систем, хог, хаягдлын менежмент болон цэвэрлэх үйл ажиллагаа",2023-03,18.6
"Ус хангамж; бохир ус зайлуулах систем, хог, хаягдлын менежмент болон цэвэрлэх үйл ажиллагаа",2023-02,18.2
"Ус хангамж; бохир ус зайлуулах систем, хог, хаягдлын менежмент болон цэвэрлэх үйл ажиллагаа",2023-01,18.4
"Ус хангамж; бохир ус зайлуулах систем, хог, хаягдлын менежмент болон цэвэрлэх үйл ажиллагаа",2022-12,18.8
"Ус хангамж; бохир ус зайлуулах систем, хог, хаягдлын менежмент болон цэвэрлэх үйл ажиллагаа",2022-11,16.9
"Ус хангамж; бохир ус зайлуулах систем, хог, хаягдлын менежмент болон цэвэрлэх үйл ажиллагаа",2022-10,17.1
"Ус хангамж; бохир ус зайлуулах систем, хог, хаягдлын менежмент болон цэвэрлэх үйл ажиллагаа",2022-09,17.6
"Ус хангамж; бохир ус зайлуулах систем, хог, хаягдлын менежмент болон цэвэрлэх үйл ажиллагаа",2022-08,15.9
"Ус хангамж; бохир ус зайлуулах систем, хог, хаягдлын менежмент болон цэвэрлэх үйл ажиллагаа",2022-07,15.3
"Ус хангамж; бохир ус зайлуулах систем, хог, хаягдлын менежмент болон цэвэрлэх үйл ажиллагаа",2022-06,16.1
"Ус хангамж; бохир ус зайлуулах систем, хог, хаягдлын менежмент болон цэвэрлэх үйл ажиллагаа",2022-05,16.1
"Ус хангамж; бохир ус зайлуулах систем, хог, хаягдлын менежмент болон цэвэрлэх үйл ажиллагаа",2022-04,17.1
"Ус хангамж; бохир ус зайлуулах систем, хог, хаягдлын менежмент болон цэвэрлэх үйл ажиллагаа",2022-03,15.6
"Ус хангамж; бохир ус зайлуулах систем, хог, хаягдлын менежмент болон цэвэрлэх үйл ажиллагаа",2022-02,15.1
"Ус хангамж; бохир ус зайлуулах систем, хог, хаягдлын менежмент болон цэвэрлэх үйл ажиллагаа",2022-01,12.7
"Ус хангамж; бохир ус зайлуулах систем, хог, хаягдлын менежмент болон цэвэрлэх үйл ажиллагаа",2021-12,19.4
"Ус хангамж; бохир ус зайлуулах систем, хог, хаягдлын менежмент болон цэвэрлэх үйл ажиллагаа",2021-11,17.9
"Ус хангамж; бохир ус зайлуулах систем, хог, хаягдлын менежмент болон цэвэрлэх үйл ажиллагаа",2021-10,18.2
"Ус хангамж; бохир ус зайлуулах систем, хог, хаягдлын менежмент болон цэвэрлэх үйл ажиллагаа",2021-09,14.0
"Ус хангамж; бохир ус зайлуулах систем, хог, хаягдлын менежмент болон цэвэрлэх үйл ажиллагаа",2021-08,12.9
"Ус хангамж; бохир ус зайлуулах систем, хог, хаягдлын менежмент болон цэвэрлэх үйл ажиллагаа",2021-07,12.8
"Ус хангамж; бохир ус зайлуулах систем, хог, хаягдлын менежмент болон цэвэрлэх үйл ажиллагаа",2021-06,13.9
"Ус хангамж; бохир ус зайлуулах систем, хог, хаягдлын менежмент болон цэвэрлэх үйл ажиллагаа",2021-05,13.1
"Ус хангамж; бохир ус зайлуулах систем, хог, хаягдлын менежмент болон цэвэрлэх үйл ажиллагаа",2021-04,13.4
"Ус хангамж; бохир ус зайлуулах систем, хог, хаягдлын менежмент болон цэвэрлэх үйл ажиллагаа",2021-03,13.3
"Ус хангамж; бохир ус зайлуулах систем, хог, хаягдлын менежмент болон цэвэрлэх үйл ажиллагаа",2021-02,11.9
"Ус хангамж; бохир ус зайлуулах систем, хог, хаягдлын менежмент болон цэвэрлэх үйл ажиллагаа",2021-01,11.6
"Ус хангамж; бохир ус зайлуулах систем, хог, хаягдлын менежмент болон цэвэрлэх үйл ажиллагаа",2020-12,12.4
"Ус хангамж; бохир ус зайлуулах систем, хог, хаягдлын менежмент болон цэвэрлэх үйл ажиллагаа",2020-11,11.1
"Ус хангамж; бохир ус зайлуулах систем, хог, хаягдлын менежмент болон цэвэрлэх үйл ажиллагаа",2020-10,11.9
"Ус хангамж; бохир ус зайлуулах систем, хог, хаягдлын менежмент болон цэвэрлэх үйл ажиллагаа",2020-09,11.0
"Ус хангамж; бохир ус зайлуулах систем, хог, хаягдлын менежмент болон цэвэрлэх үйл ажиллагаа",2020-08,11.0
"Ус хангамж; бохир ус зайлуулах систем, хог, хаягдлын менежмент болон цэвэрлэх үйл ажиллагаа",2020-07,11.0
"Ус хангамж; бохир ус зайлуулах систем, хог, хаягдлын менежмент болон цэвэрлэх үйл ажиллагаа",2020-06,11.0
"Ус хангамж; бохир ус зайлуулах систем, хог, хаягдлын менежмент болон цэвэрлэх үйл ажиллагаа",2020-05,11.2
"Ус хангамж; бохир ус зайлуулах систем, хог, хаягдлын менежмент болон цэвэрлэх үйл ажиллагаа",2020-04,11.0
"Ус хангамж; бохир ус зайлуулах систем, хог, хаягдлын менежмент болон цэвэрлэх үйл ажиллагаа",2020-03,10.6
"Ус хангамж; бохир ус зайлуулах систем, хог, хаягдлын менежмент болон цэвэрлэх үйл ажиллагаа",2020-02,10.7
"Ус хангамж; бохир ус зайлуулах систем, хог, хаягдлын менежмент болон цэвэрлэх үйл ажиллагаа",2020-01,10.7
"Ус хангамж; бохир ус зайлуулах систем, хог, хаягдлын менежмент болон цэвэрлэх үйл ажиллагаа",2019-12,10.1
"Ус хангамж; бохир ус зайлуулах систем, хог, хаягдлын менежмент болон цэвэрлэх үйл ажиллагаа",2019-11,59.4
"Ус хангамж; бохир ус зайлуулах систем, хог, хаягдлын менежмент болон цэвэрлэх үйл ажиллагаа",2019-10,58.3
"Ус хангамж; бохир ус зайлуулах систем, хог, хаягдлын менежмент болон цэвэрлэх үйл ажиллагаа",2019-09,58.6
"Ус хангамж; бохир ус зайлуулах систем, хог, хаягдлын менежмент болон цэвэрлэх үйл ажиллагаа",2019-08,57.5
"Ус хангамж; бохир ус зайлуулах систем, хог, хаягдлын менежмент болон цэвэрлэх үйл ажиллагаа",2019-07,57.5
"Ус хангамж; бохир ус зайлуулах систем, хог, хаягдлын менежмент болон цэвэрлэх үйл ажиллагаа",2019-06,58.2
