он,сар,аймаг,нийт_тоо,нийт_талбай_мян_га,ашиглалтын_тоо,ашиглалтын_талбай_мян_га,хайгуулын_тоо,хайгуулын_талбай_мян_га
2025,12,Өвөрхангай,65,180.5,30,23.2,35,157.3
2025,12,Өмнөговь,154,817.2,110,488.8,44,328.4
2025,12,Сүхбаатар,108,374.4,72,57.7,36,316.7
2025,12,Сэлэнгэ,169,105.5,133,50.0,36,55.5
2025,12,Төв,384,366.8,302,173.4,82,193.4
2025,12,Увс,120,250.1,50,27.0,70,223.1
2025,12,Улаанбаатар,96,10.6,93,9.8,3,0.8
2025,12,Ховд,114,391.4,38,32.3,76,359.1
2025,12,Хөвсгөл,24,17.5,21,10.3,3,7.2
2025,12,Хэнтий,229,262.4,138,62.1,91,200.3
