month,indicator,temperature
2015-02,Maximum,2.7
2015-02,Minimum,-24.8
2015-03,Average,-6.2
2015-03,Maximum,17.5
2015-03,Minimum,-22.4
2015-04,Average,4.1
2015-04,Maximum,27.0
2015-04,Minimum,-17.0
2015-05,Average,9.0
2015-05,Maximum,28.0
2015-05,Minimum,-5.0
2015-06,Average,16.7
2015-06,Maximum,31.1
2015-06,Minimum,3.0
2015-07,Average,20.3
2015-07,Maximum,34.0
2015-07,Minimum,10.0
2015-08,Average,18.8
2015-08,Maximum,33.7
2015-08,Minimum,7.8
2015-09,Average,10.7
2015-09,Maximum,27.3
2015-09,Minimum,-2.6
2015-10,Average,2.9
2015-10,Maximum,20.2
2015-10,Minimum,-8.9
2015-11,Average,-10.9
2015-11,Maximum,10.3
2015-11,Minimum,-30.2
2015-12,Average,-15.7
2015-12,Maximum,-6.9
2015-12,Minimum,-30.4
2016-01,Average,-23.9
2016-01,Maximum,-12.3
2016-01,Minimum,-32.0
2016-02,Average,-16.2
2016-02,Maximum,-1.2
2016-02,Minimum,-26.8
2016-03,Average,-4.7
2016-03,Maximum,12.7
2016-03,Minimum,-24.4
2016-04,Average,3.5
2016-04,Maximum,18.7
2016-04,Minimum,-8.9
2016-05,Average,9.1
2016-05,Maximum,28.0
2016-05,Minimum,-7.3
2016-06,Average,15.6
2016-06,Maximum,29.4
2016-06,Minimum,6.8
2016-07,Average,20.7
2016-07,Maximum,34.6
2016-07,Minimum,8.6
2016-08,Average,17.6
2016-08,Maximum,36.7
2016-08,Minimum,2.2
2016-09,Average,10.6
2016-09,Maximum,22.8
2016-09,Minimum,-4.1
2016-10,Average,-1.7
2016-10,Maximum,18.8
2016-10,Minimum,-19.2
2016-11,Average,-13.7
2016-11,Maximum,6.7
2016-11,Minimum,-31.5
2016-12,Average,-16.5
2016-12,Maximum,-4.3
2016-12,Minimum,-26.9
2017-01,Average,-20.0
2017-01,Maximum,-4.8
2017-01,Minimum,-31.4
2017-02,Average,-13.7
2017-02,Maximum,-0.8
2017-02,Minimum,-25.6
2017-03,Average,-4.2
2017-03,Maximum,13.1
2017-03,Minimum,-15.9
2017-04,Average,5.0
2017-04,Maximum,23.1
2017-04,Minimum,-8.2
2017-05,Average,12.7
2017-05,Maximum,31.4
2017-05,Minimum,-6.0
2017-06,Average,19.3
2017-06,Maximum,34.5
2017-06,Minimum,4.0
2017-07,Average,21.0
2017-07,Maximum,36.9
2017-07,Minimum,9.0
2017-08,Average,15.8
2017-08,Maximum,29.0
2017-08,Minimum,3.4
2017-09,Average,9.7
2017-09,Maximum,26.1
2017-09,Minimum,-6.1
2017-10,Average,0.7
2017-10,Maximum,17.7
2017-10,Minimum,-10.8
2017-11,Average,-12.2
2017-11,Maximum,9.4
2017-11,Minimum,-26.7
2017-12,Average,-16.7
2017-12,Maximum,-1.5
2017-12,Minimum,-25.5
2018-01,Average,-22.4
2018-01,Maximum,-10.0
2018-01,Minimum,-33.8
2018-02,Average,-17.7
2018-02,Maximum,-2.9
2018-02,Minimum,-28.3
2018-03,Average,-2.0
2018-03,Maximum,18.9
2018-03,Minimum,-22.1
2018-04,Average,4.5
2018-04,Maximum,24.1
2018-04,Minimum,-14.1
2018-05,Average,13.5
2018-05,Maximum,32.3
