огноо,ангилал,хэрэглээний_үнийн_индекс
2011-04,"Амралт, чөлөөт цаг, соёлын бараа, үйлчилгээ",66.8
2011-04,"Гэр ахуйн тавилга, гэр ахуйн бараа",53.3
2011-04,"Орон сууц, ус, цахилгаан, түлш",47.2
2011-04,Боловсролын үйлчилгээ,34.1
2011-04,"Холбооны хэрэгсэл, шуудангийн үйлчилгээ",103.8
2011-04,"Хүнсний бараа, ундаа, ус",50.4
2011-04,"Хувцас, бөс бараа, гутал",45.6
2011-04,"Согтууруулах ундаа, тамхи",42.2
2011-04,Тээвэр,65.9
2011-05,Тээвэр,66.0
2011-05,"Холбооны хэрэгсэл, шуудангийн үйлчилгээ",103.8
2011-05,"Амралт, чөлөөт цаг, соёлын бараа, үйлчилгээ",67.0
2011-05,"Эм тариа, эмнэлгийн үйлчилгээ",54.5
2011-05,"Согтууруулах ундаа, тамхи",42.3
2011-05,"Хүнсний бараа, ундаа, ус",50.0
2011-05,Боловсролын үйлчилгээ,34.1
2011-05,"Бусад бараа, үйлчилгээ",53.1
2011-05,"Гэр ахуйн тавилга, гэр ахуйн бараа",53.6
2011-05,"Зочид буудал, зоогийн газар, дотуур байр",46.9
2011-05,"Орон сууц, ус, цахилгаан, түлш",47.0
2011-05,"Хувцас, бөс бараа, гутал",46.0
2011-06,Боловсролын үйлчилгээ,34.1
2011-06,"Амралт, чөлөөт цаг, соёлын бараа, үйлчилгээ",67.2
2011-06,"Эм тариа, эмнэлгийн үйлчилгээ",54.7
2011-06,"Согтууруулах ундаа, тамхи",42.4
2011-06,"Хувцас, бөс бараа, гутал",46.1
2011-06,Тээвэр,66.4
2011-06,"Орон сууц, ус, цахилгаан, түлш",49.0
2011-06,"Холбооны хэрэгсэл, шуудангийн үйлчилгээ",103.8
2011-06,"Зочид буудал, зоогийн газар, дотуур байр",47.0
2011-06,"Хүнсний бараа, ундаа, ус",51.4
2011-06,"Бусад бараа, үйлчилгээ",53.6
2011-06,"Гэр ахуйн тавилга, гэр ахуйн бараа",53.9
2011-07,"Орон сууц, ус, цахилгаан, түлш",48.8
2011-07,"Зочид буудал, зоогийн газар, дотуур байр",47.7
2011-07,"Хувцас, бөс бараа, гутал",46.5
2011-07,"Согтууруулах ундаа, тамхи",42.4
2011-07,"Гэр ахуйн тавилга, гэр ахуйн бараа",54.2
2011-07,"Амралт, чөлөөт цаг, соёлын бараа, үйлчилгээ",68.0
2011-07,Боловсролын үйлчилгээ,34.1
2011-07,"Холбооны хэрэгсэл, шуудангийн үйлчилгээ",103.8
2011-07,"Хүнсний бараа, ундаа, ус",51.6
2011-07,"Бусад бараа, үйлчилгээ",53.9
2011-07,Тээвэр,70.5
