бүс_нутаг,сар,амьд_төрөлт
Хангайн бүс,2023-09,808
Улаанбаатар,2023-09,2666
Баруун бүс,2023-09,715
Төвийн бүс,2023-10,588
Зүүн бүс,2023-10,328
Хангайн бүс,2023-10,779
Улаанбаатар,2023-10,2676
Баруун бүс,2023-10,652
Төвийн бүс,2023-11,606
Зүүн бүс,2023-11,294
Хангайн бүс,2023-11,821
Улаанбаатар,2023-11,2902
Баруун бүс,2023-11,705
Төвийн бүс,2023-12,591
Зүүн бүс,2023-12,317
Хангайн бүс,2023-12,677
Улаанбаатар,2023-12,2734
Баруун бүс,2023-12,603
Төвийн бүс,2024-01,557
Зүүн бүс,2024-01,293
Хангайн бүс,2024-01,708
Улаанбаатар,2024-01,2530
Баруун бүс,2024-01,566
Төвийн бүс,2024-02,589
Зүүн бүс,2024-02,287
Хангайн бүс,2024-02,692
Улаанбаатар,2024-02,2521
Баруун бүс,2024-02,599
Төвийн бүс,2024-03,546
Зүүн бүс,2024-03,292
Хангайн бүс,2024-03,787
Улаанбаатар,2024-03,2649
Баруун бүс,2024-03,628
Төвийн бүс,2024-04,564
Зүүн бүс,2024-04,300
Хангайн бүс,2024-04,728
Улаанбаатар,2024-04,2647
Баруун бүс,2024-04,647
Төвийн бүс,2024-05,567
Зүүн бүс,2024-05,287
Хангайн бүс,2024-05,712
Улаанбаатар,2024-05,2763
Баруун бүс,2024-05,699
Төвийн бүс,2024-06,543
Зүүн бүс,2024-06,292
Хангайн бүс,2024-06,694
Улаанбаатар,2024-06,2523
Баруун бүс,2024-06,636
Төвийн бүс,2024-07,596
Зүүн бүс,2024-07,269
Хангайн бүс,2024-07,716
Улаанбаатар,2024-07,2705
Баруун бүс,2024-07,665
Төвийн бүс,2024-08,625
Зүүн бүс,2024-08,282
Хангайн бүс,2024-08,715
Улаанбаатар,2024-08,2607
Баруун бүс,2024-08,631
Төвийн бүс,2024-09,571
Зүүн бүс,2024-09,257
Хангайн бүс,2024-09,724
Улаанбаатар,2024-09,2594
Баруун бүс,2024-09,625
Төвийн бүс,2024-10,539
Зүүн бүс,2024-10,272
Хангайн бүс,2024-10,711
Улаанбаатар,2024-10,2634
Баруун бүс,2024-10,704
Төвийн бүс,2024-11,491
Зүүн бүс,2024-11,287
Хангайн бүс,2024-11,718
Улаанбаатар,2024-11,2647
Баруун бүс,2024-11,630
Төвийн бүс,2024-12,559
Зүүн бүс,2024-12,234
Хангайн бүс,2024-12,697
Улаанбаатар,2024-12,2600
Баруун бүс,2024-12,605
Төвийн бүс,2025-01,552
Зүүн бүс,2025-01,296
Хангайн бүс,2025-01,722
Улаанбаатар,2025-01,2472
Баруун бүс,2025-01,633
Төвийн бүс,2025-02,507
Зүүн бүс,2025-02,224
Хангайн бүс,2025-02,656
Улаанбаатар,2025-02,2285
Баруун бүс,2025-02,592
Төвийн бүс,2025-03,543
Зүүн бүс,2025-03,268
Хангайн бүс,2025-03,711
Улаанбаатар,2025-03,2439
Баруун бүс,2025-03,582
Төвийн бүс,2025-04,507
Зүүн бүс,2025-04,265
Хангайн бүс,2025-04,691
Улаанбаатар,2025-04,2461
Баруун бүс,2025-04,608
Төвийн бүс,2025-05,501
Зүүн бүс,2025-05,256
Хангайн бүс,2025-05,647
Улаанбаатар,2025-05,2556
Баруун бүс,2025-05,582
Төвийн бүс,2025-06,507
Зүүн бүс,2025-06,241
Хангайн бүс,2025-06,678
Улаанбаатар,2025-06,2435
Баруун бүс,2025-06,584
Төвийн бүс,2025-07,535
Зүүн бүс,2025-07,257
Хангайн бүс,2025-07,675
Улаанбаатар,2025-07,2571
Баруун бүс,2025-07,626
Төвийн бүс,2025-08,515
Зүүн бүс,2025-08,237
Хангайн бүс,2025-08,635
Улаанбаатар,2025-08,2518
Баруун бүс,2025-08,611
Төвийн бүс,2025-09,524
Зүүн бүс,2025-09,253
Хангайн бүс,2025-09,678
Улаанбаатар,2025-09,2489
Баруун бүс,2025-09,608
Төвийн бүс,2025-10,547
Зүүн бүс,2025-10,260
Хангайн бүс,2025-10,667
Улаанбаатар,2025-10,2500
Баруун бүс,2025-10,591
Төвийн бүс,2025-11,487
Зүүн бүс,2025-11,240
Хангайн бүс,2025-11,647
Улаанбаатар,2025-11,2494
Баруун бүс,2025-11,535
Төвийн бүс,2025-12,508
Зүүн бүс,2025-12,248
Хангайн бүс,2025-12,629
Улаанбаатар,2025-12,2451
Баруун бүс,2025-12,600
Төвийн бүс,2026-01,463
Зүүн бүс,2026-01,245
Хангайн бүс,2026-01,597
Улаанбаатар,2026-01,2343
Баруун бүс,2026-01,614
Төвийн бүс,2026-02,480
Зүүн бүс,2026-02,259
Хангайн бүс,2026-02,570
Улаанбаатар,2026-02,2668
Баруун бүс,2026-02,490
Төвийн бүс,2026-03,473
Зүүн бүс,2026-03,248
Хангайн бүс,2026-03,666
Улаанбаатар,2026-03,2119
Баруун бүс,2026-03,583
