year,month,province,total_count,total_area_kha,extraction_count,extraction_area_kha,exploration_count,exploration_area_kha
2021,9,Orkhon,9,11.1,9,11.1,0,0.0
2021,9,Selenge,173,85.2,138,42.1,35,43.1
2021,9,Sukhbaatar,90,244.4,72,68.2,18,176.2
2021,9,Tuv,390,375.5,309,159.4,81,216.2
2021,9,Ulaanbaatar,155,13.3,150,13.1,5,0.2
2021,9,Umnugovi,158,930.2,105,480.9,53,449.2
2021,9,Uvs,110,277.7,45,20.1,65,257.6
2021,9,Uvurkhangai,48,123.7,27,15.3,21,108.3
2021,9,Zavkhan,51,186.0,12,18.6,39,167.5
2021,10,Arkhangai,31,31.7,21,11.8,10,19.8
2021,10,Bayan-Ulgii,60,155.0,29,16.4,31,138.6
2021,10,Bayankhongor,135,341.9,92,136.5,43,205.3
2021,10,Bulgan,106,90.2,81,41.6,25,48.6
2021,10,Darkhan-Uul,66,12.7,60,7.4,6,5.3
2021,10,Dornod,162,528.9,75,69.3,87,459.6
2021,10,Dornogovi,339,1104.0,207,264.9,132,839.1
2021,10,Dundgovi,197,616.2,115,176.6,82,439.6
2021,10,Govi-Altai,131,564.6,55,92.2,76,472.4
2021,10,Govisumber,16,44.6,13,38.9,3,5.8
2021,10,Khentii,215,295.6,127,56.2,88,239.3
2021,10,Khovd,88,219.4,36,17.1,52,202.3
2021,10,Khuvsgul,22,10.6,21,10.3,1,0.3
2021,10,Orkhon,9,11.1,9,11.1,0,0.0
2021,10,Selenge,174,86.1,138,42.1,36,44.1
2021,10,Sukhbaatar,90,236.4,71,57.6,19,178.8
2021,10,Tuv,389,375.5,308,159.3,81,216.2
2021,10,Ulaanbaatar,155,13.3,150,13.1,5,0.2
2021,10,Umnugovi,158,929.4,106,486.2,52,443.3
2021,10,Uvs,110,277.7,45,20.1,65,257.6
2021,10,Uvurkhangai,48,132.7,27,15.3,21,117.4
2021,10,Zavkhan,50,185.6,12,18.6,38,167.1
2021,11,Arkhangai,31,32.0,21,11.8,10,19.8
2021,11,Bayan-Ulgii,60,155.0,30,16.7,30,138.3
2021,11,Bayankhongor,135,342.0,93,138.0,42,203.6
2021,11,Bulgan,106,90.0,81,41.6,25,48.6
2021,11,Darkhan-Uul,66,13.0,60,7.4,6,5.3
2021,11,Dornod,159,525.0,75,69.3,84,455.3
2021,11,Dornogovi,334,1080.0,207,264.9,127,815.2
2021,11,Dundgovi,195,599.0,115,176.6,80,421.9
2021,11,Govi-Altai,131,565.0,57,94.5,74,470.0
2021,11,Govisumber,16,45.0,13,38.9,3,5.8
2021,11,Khentii,213,291.0,128,56.5,85,235.0
2021,11,Khovd,88,219.0,36,17.1,52,202.3
2021,11,Khuvsgul,22,11.0,21,10.3,1,0.3
2021,11,Orkhon,9,11.0,9,11.1,0,0.0
2021,11,Selenge,173,86.0,137,42.0,36,44.1
2021,11,Sukhbaatar,89,236.0,70,57.5,19,178.8
2021,11,Tuv,388,375.0,307,159.3,81,215.8
2021,11,Ulaanbaatar,156,13.0,151,13.1,5,0.2
2021,11,Umnugovi,160,923.0,106,486.2,54,436.7
2021,11,Uvs,109,276.0,45,20.1,64,256.4
2021,11,Uvurkhangai,50,141.0,28,15.7,22,124.9
2021,11,Zavkhan,48,177.0,12,18.6,36,158.0
2021,12,Arkhangai,31,32.0,21,11.8,10,19.8
2021,12,Bayan-Ulgii,60,155.0,30,16.7,30,138.3
2021,12,Bayankhongor,135,340.0,94,138.3,41,202.0
2021,12,Bulgan,106,90.0,81,41.6,25,48.6
2021,12,Darkhan-Uul,64,13.0,60,7.4,4,5.2
2021,12,Dornod,159,514.0,76,69.6,83,444.9
2021,12,Dornogovi,331,1041.0,208,266.3,123,774.6
2021,12,Dundgovi,190,594.0,116,176.7,74,416.9
2021,12,Govi-Altai,129,552.0,58,94.7,71,457.0
2021,12,Govisumber,16,45.0,13,38.9,3,5.8
2021,12,Khentii,214,293.0,128,56.5,86,236.6
2021,12,Khovd,87,217.0,36,17.1,51,199.7
2021,12,Khuvsgul,22,11.0,21,10.3,1,0.3
2021,12,Orkhon,9,11.0,9,10.7,0,0.0
2021,12,Selenge,170,85.0,135,41.9,35,43.3
2021,12,Sukhbaatar,89,267.0,68,56.7,21,210.5
2021,12,Tuv,388,375.0,307,159.3,81,215.8
2021,12,Ulaanbaatar,156,13.0,151,13.1,5,0.2
2021,12,Umnugovi,160,923.0,106,486.2,54,436.7
2021,12,Uvs,108,276.0,45,20.1,63,255.8
2021,12,Uvurkhangai,50,141.0,28,15.7,22,124.9
2021,12,Zavkhan,46,165.0,13,21.3,33,143.8
2022,1,Arkhangai,31,31.7,21,11.8,10,19.8
2022,1,Bayan-Ulgii,60,155.0,30,16.7,30,138.3
2022,1,Bayankhongor,137,342.2,97,138.8,40,203.4
2022,1,Bulgan,107,90.4,81,41.6,26,48.8
2022,1,Darkhan-Uul,64,12.6,60,7.4,4,5.2
2022,1,Dornod,157,505.0,76,69.6,81,435.4
2022,1,Dornogovi,331,1050.9,208,266.3,123,784.6
2022,1,Dundgovi,192,592.5,118,179.8,74,412.6
2022,1,Govi-Altai,129,547.5,59,102.5,70,445.1
2022,1,Govisumber,16,44.6,13,38.9,3,5.8
2022,1,Khentii,211,282.4,128,56.5,83,225.9
2022,1,Khovd,85,213.6,36,17.1,49,196.5
2022,1,Khuvsgul,22,10.6,21,10.3,1,0.3
2022,1,Orkhon,9,10.7,9,10.7,0,0.0
2022,1,Selenge,175,95.9,136,41.9,39,54.0
2022,1,Sukhbaatar,89,274.5,68,56.7,21,217.8
2022,1,Tuv,391,380.3,307,159.3,84,221.0
2022,1,Ulaanbaatar,154,13.1,149,12.9,5,0.2
2022,1,Umnugovi,159,911.9,106,486.2,53,425.7
2022,1,Uvs,108,273.1,45,20.1,63,253.1
2022,1,Uvurkhangai,50,140.7,28,15.7,22,124.9
2022,1,Zavkhan,45,161.3,13,21.3,32,140.0
2022,2,Arkhangai,31,31.7,21,11.8,10,19.8
2022,2,Bayan-Ulgii,64,186.7,30,16.7,34,170.0
2022,2,Bayankhongor,137,342.2,97,138.8,40,203.4
2022,2,Bulgan,109,100.3,81,41.6,28,58.7
2022,2,Darkhan-Uul,64,12.6,61,8.3,3,4.4
2022,2,Dornod,158,519.5,76,69.6,82,450.0
2022,2,Dornogovi,331,1057.9,208,266.3,123,791.6
2022,2,Dundgovi,193,595.6,118,179.8,75,415.7
2022,2,Govi-Altai,127,542.7,59,102.5,68,440.3
2022,2,Govisumber,16,44.6,13,38.9,3,5.8
2022,2,Khentii,208,265.8,128,56.5,80,209.3
2022,2,Khovd,86,215.1,36,17.1,50,198.0
2022,2,Khuvsgul,22,10.6,21,10.3,1,0.3
2022,2,Orkhon,9,10.7,9,10.7,0,0.0
2022,2,Selenge,175,95.9,136,41.9,39,54.0
2022,2,Sukhbaatar,90,292.7,66,53.8,24,238.9
2022,2,Tuv,386,380.1,302,159.1,84,221.0
2022,2,Ulaanbaatar,72,8.6,67,8.4,5,0.2
2022,2,Umnugovi,160,930.0,106,486.2,54,443.8
2022,2,Uvs,109,277.0,44,19.9,65,257.1
2022,2,Uvurkhangai,49,139.8,28,15.7,21,124.0
2022,2,Zavkhan,45,161.3,13,21.3,32,140.0
