огноо,үзүүлэлт,утга
2007-02-01,Нийт өр төлбөр,2072.808
2007-02-01,Өөрийн хөрөнгө,294.162
2007-03-01,Нийт хөрөнгө,2480.975
2007-03-01,Нийт өр төлбөр,2179.505
2007-03-01,Өөрийн хөрөнгө,301.47
2007-04-01,Нийт хөрөнгө,2629.118
2007-04-01,Нийт өр төлбөр,2321.782
2007-04-01,Өөрийн хөрөнгө,307.336
2007-05-01,Нийт хөрөнгө,2680.439
2007-05-01,Нийт өр төлбөр,2369.319
2007-05-01,Өөрийн хөрөнгө,311.119
2007-06-01,Нийт хөрөнгө,2771.14
2007-06-01,Нийт өр төлбөр,2452.268
2007-06-01,Өөрийн хөрөнгө,318.872
2007-07-01,Нийт хөрөнгө,2834.201
2007-07-01,Нийт өр төлбөр,2507.385
2007-07-01,Өөрийн хөрөнгө,326.816
2007-08-01,Нийт хөрөнгө,2954.615
2007-08-01,Нийт өр төлбөр,2619.541
2007-08-01,Өөрийн хөрөнгө,335.074
2007-09-01,Нийт хөрөнгө,3009.815
2007-09-01,Нийт өр төлбөр,2664.424
2007-09-01,Өөрийн хөрөнгө,345.391
2007-10-01,Нийт хөрөнгө,3134.817
2007-10-01,Нийт өр төлбөр,2780.147
2007-10-01,Өөрийн хөрөнгө,354.67
2007-11-01,Нийт хөрөнгө,3139.876
2007-11-01,Нийт өр төлбөр,2774.141
2007-11-01,Өөрийн хөрөнгө,365.735
2007-12-01,Нийт хөрөнгө,3383.952
2007-12-01,Нийт өр төлбөр,3007.566
2007-12-01,Өөрийн хөрөнгө,376.386
2008-01-01,Нийт хөрөнгө,3295.108
2008-01-01,Нийт өр төлбөр,2911.618
2008-01-01,Өөрийн хөрөнгө,383.491
2008-02-01,Нийт хөрөнгө,3445.096
2008-02-01,Нийт өр төлбөр,3053.529
2008-02-01,Өөрийн хөрөнгө,391.568
2008-03-01,Нийт хөрөнгө,3573.296
2008-03-01,Нийт өр төлбөр,3169.235
2008-03-01,Өөрийн хөрөнгө,404.061
2008-04-01,Нийт хөрөнгө,3683.613
2008-04-01,Нийт өр төлбөр,3271.444
2008-04-01,Өөрийн хөрөнгө,412.169
2008-05-01,Нийт хөрөнгө,3774.841
2008-05-01,Нийт өр төлбөр,3354.871
2008-05-01,Өөрийн хөрөнгө,419.97
2008-06-01,Нийт хөрөнгө,3849.377
2008-06-01,Нийт өр төлбөр,3422.756
2008-06-01,Өөрийн хөрөнгө,426.621
2008-07-01,Нийт хөрөнгө,3929.563
2008-07-01,Нийт өр төлбөр,3484.762
2008-07-01,Өөрийн хөрөнгө,444.801
2008-08-01,Нийт хөрөнгө,3924.941
2008-08-01,Нийт өр төлбөр,3476.135
2008-08-01,Өөрийн хөрөнгө,448.807
2008-09-01,Нийт хөрөнгө,3961.662
2008-09-01,Нийт өр төлбөр,3481.86
2008-09-01,Өөрийн хөрөнгө,479.801
2008-10-01,Нийт хөрөнгө,3856.916
2008-10-01,Нийт өр төлбөр,3371.536
2008-10-01,Өөрийн хөрөнгө,485.38
2008-11-01,Нийт хөрөнгө,3837.667
2008-11-01,Нийт өр төлбөр,3345.028
2008-11-01,Өөрийн хөрөнгө,492.639
2008-12-01,Нийт хөрөнгө,3519.427
2008-12-01,Нийт өр төлбөр,3082.604
2008-12-01,Өөрийн хөрөнгө,436.823
2009-01-01,Нийт хөрөнгө,3568.791
2009-01-01,Нийт өр төлбөр,3123.121
2009-01-01,Өөрийн хөрөнгө,445.67
2009-02-01,Нийт хөрөнгө,3721.86
2009-02-01,Нийт өр төлбөр,3271.077
2009-02-01,Өөрийн хөрөнгө,450.783
2009-03-01,Нийт хөрөнгө,3761.312
2009-03-01,Нийт өр төлбөр,3304.572
2009-03-01,Өөрийн хөрөнгө,456.74
2009-04-01,Нийт хөрөнгө,3370.877
2009-04-01,Нийт өр төлбөр,2948.143
2009-04-01,Өөрийн хөрөнгө,422.733
2009-05-01,Нийт хөрөнгө,3375.101
2009-05-01,Нийт өр төлбөр,2972.685
2009-05-01,Өөрийн хөрөнгө,402.416
2009-06-01,Нийт хөрөнгө,3504.924
2009-06-01,Нийт өр төлбөр,3094.929
2009-06-01,Өөрийн хөрөнгө,409.995
2009-07-01,Нийт хөрөнгө,3559.089
2009-07-01,Нийт өр төлбөр,3183.087
2009-07-01,Өөрийн хөрөнгө,376.002
2009-08-01,Нийт хөрөнгө,3624.029
2009-08-01,Нийт өр төлбөр,3233.768
2009-08-01,Өөрийн хөрөнгө,390.261
2009-09-01,Нийт хөрөнгө,3712.612
2009-09-01,Нийт өр төлбөр,3301.004
2009-09-01,Өөрийн хөрөнгө,411.609
2009-10-01,Нийт хөрөнгө,3784.507
2009-10-01,Нийт өр төлбөр,3374.126
2009-10-01,Өөрийн хөрөнгө,410.381
2009-11-01,Нийт хөрөнгө,4148.475
2009-11-01,Нийт өр төлбөр,3728.224
2009-11-01,Өөрийн хөрөнгө,420.252
2009-12-01,Нийт хөрөнгө,4290.574
2009-12-01,Нийт өр төлбөр,3829.913
2009-12-01,Өөрийн хөрөнгө,460.66
2010-01-01,Нийт хөрөнгө,4225.582
2010-01-01,Нийт өр төлбөр,3753.383
2010-01-01,Өөрийн хөрөнгө,472.201
2010-02-01,Нийт хөрөнгө,4377.334
2010-02-01,Нийт өр төлбөр,3881.786
2010-02-01,Өөрийн хөрөнгө,495.548
2010-03-01,Нийт хөрөнгө,4395.993
2010-03-01,Нийт өр төлбөр,3899.345
2010-03-01,Өөрийн хөрөнгө,496.649
2010-04-01,Нийт хөрөнгө,4518.79
2010-04-01,Нийт өр төлбөр,4021.772
2010-04-01,Өөрийн хөрөнгө,497.018
2010-05-01,Нийт хөрөнгө,4596.529
2010-05-01,Нийт өр төлбөр,4095.716
2010-05-01,Өөрийн хөрөнгө,500.814
2010-06-01,Нийт хөрөнгө,4868.726
2010-06-01,Нийт өр төлбөр,4335.773
2010-06-01,Өөрийн хөрөнгө,532.953
2010-07-01,Нийт хөрөнгө,4873.565
2010-07-01,Нийт өр төлбөр,4343.847
2010-07-01,Өөрийн хөрөнгө,529.718
2010-08-01,Нийт хөрөнгө,4966.261
2010-08-01,Нийт өр төлбөр,4431.035
2010-08-01,Өөрийн хөрөнгө,535.226
2010-09-01,Нийт хөрөнгө,5210.491
2010-09-01,Нийт өр төлбөр,4669.128
2010-09-01,Өөрийн хөрөнгө,541.364
2010-10-01,Нийт хөрөнгө,5492.19
2010-10-01,Нийт өр төлбөр,4930.523
2010-10-01,Өөрийн хөрөнгө,561.668
2010-11-01,Нийт хөрөнгө,5542.216
2010-11-01,Нийт өр төлбөр,4934.318
2010-11-01,Өөрийн хөрөнгө,607.898
2010-12-01,Нийт хөрөнгө,6219.488
2010-12-01,Нийт өр төлбөр,5601.42
2010-12-01,Өөрийн хөрөнгө,618.068
2011-01-01,Нийт хөрөнгө,6384.313
2011-01-01,Нийт өр төлбөр,5754.458
2011-01-01,Өөрийн хөрөнгө,629.855
2011-02-01,Нийт хөрөнгө,6557.719
2011-02-01,Нийт өр төлбөр,5923.312
2011-02-01,Өөрийн хөрөнгө,634.406
2011-03-01,Нийт хөрөнгө,6666.919
2011-03-01,Нийт өр төлбөр,6010.744
2011-03-01,Өөрийн хөрөнгө,656.175
2011-04-01,Нийт хөрөнгө,6910.622
2011-04-01,Нийт өр төлбөр,6250.163
2011-04-01,Өөрийн хөрөнгө,660.459
2011-05-01,Нийт хөрөнгө,7193.967
2011-05-01,Нийт өр төлбөр,6509.014
2011-05-01,Өөрийн хөрөнгө,684.953
2011-06-01,Нийт хөрөнгө,7683.802
2011-06-01,Нийт өр төлбөр,6935.851
2011-06-01,Өөрийн хөрөнгө,747.952
2011-07-01,Нийт хөрөнгө,7862.015
2011-07-01,Нийт өр төлбөр,7110.202
2011-07-01,Өөрийн хөрөнгө,751.823
2011-08-01,Нийт хөрөнгө,7808.674
2011-08-01,Нийт өр төлбөр,7035.199
2011-08-01,Өөрийн хөрөнгө,773.56
2011-09-01,Нийт хөрөнгө,8186.386
2011-09-01,Нийт өр төлбөр,7380.618
2011-09-01,Өөрийн хөрөнгө,805.768
2011-10-01,Нийт хөрөнгө,8313.464
2011-10-01,Нийт өр төлбөр,7491.252
2011-10-01,Өөрийн хөрөнгө,822.211
2011-11-01,Нийт хөрөнгө,8444.747
2011-11-01,Нийт өр төлбөр,7577.242
2011-11-01,Өөрийн хөрөнгө,867.505
2011-12-01,Нийт хөрөнгө,9362.245
2011-12-01,Нийт өр төлбөр,8448.758
2011-12-01,Өөрийн хөрөнгө,913.489
2012-01-01,Нийт хөрөнгө,8797.633
2012-01-01,Нийт өр төлбөр,7863.847
2012-01-01,Өөрийн хөрөнгө,933.785
2012-02-01,Нийт хөрөнгө,8920.539
2012-02-01,Нийт өр төлбөр,7975.449
2012-02-01,Өөрийн хөрөнгө,945.089
2012-03-01,Нийт хөрөнгө,9349.089
2012-03-01,Нийт өр төлбөр,8372.404
2012-03-01,Өөрийн хөрөнгө,976.685
2012-04-01,Нийт хөрөнгө,9397.984
2012-04-01,Нийт өр төлбөр,8394.549
2012-04-01,Өөрийн хөрөнгө,1003.434
2012-05-01,Нийт хөрөнгө,9720.128
2012-05-01,Нийт өр төлбөр,8701.926
2012-05-01,Өөрийн хөрөнгө,1018.203
2012-06-01,Нийт хөрөнгө,10336.851
2012-06-01,Нийт өр төлбөр,9252.816
2012-06-01,Өөрийн хөрөнгө,1084.034
2012-07-01,Нийт хөрөнгө,10140.701
2012-07-01,Нийт өр төлбөр,9041.127
2012-07-01,Өөрийн хөрөнгө,1099.574
2012-08-01,Нийт хөрөнгө,10296.373
2012-08-01,Нийт өр төлбөр,9179.042
2012-08-01,Өөрийн хөрөнгө,1117.331
2012-09-01,Нийт хөрөнгө,10956.011
2012-09-01,Нийт өр төлбөр,9812.514
2012-09-01,Өөрийн хөрөнгө,1143.496
2012-10-01,Нийт хөрөнгө,10913.905
2012-10-01,Нийт өр төлбөр,9754.331
2012-10-01,Өөрийн хөрөнгө,1159.574
2012-11-01,Нийт хөрөнгө,10909.363
2012-11-01,Нийт өр төлбөр,9711.968
2012-11-01,Өөрийн хөрөнгө,1197.395
2012-12-01,Нийт хөрөнгө,11978.467
2012-12-01,Нийт өр төлбөр,10754.678
2012-12-01,Өөрийн хөрөнгө,1223.789
2013-01-01,Нийт хөрөнгө,12203.222
2013-01-01,Нийт өр төлбөр,10913.602
2013-01-01,Өөрийн хөрөнгө,1289.62
2013-02-01,Нийт хөрөнгө,12548.311
2013-02-01,Нийт өр төлбөр,11290.383
2013-02-01,Өөрийн хөрөнгө,1257.928
2013-03-01,Нийт хөрөнгө,13273.291
2013-03-01,Нийт өр төлбөр,12006.669
2013-03-01,Өөрийн хөрөнгө,1266.623
2013-04-01,Нийт хөрөнгө,13318.672
2013-04-01,Нийт өр төлбөр,12024.635
2013-04-01,Өөрийн хөрөнгө,1294.035
2013-05-01,Нийт хөрөнгө,14647.026
2013-05-01,Нийт өр төлбөр,13329.104
2013-05-01,Өөрийн хөрөнгө,1317.922
2013-06-01,Нийт хөрөнгө,15926.172
2013-06-01,Нийт өр төлбөр,14542.285
2013-06-01,Өөрийн хөрөнгө,1383.886
2013-07-01,Нийт хөрөнгө,16047.137
2013-07-01,Нийт өр төлбөр,14682.423
2013-07-01,Өөрийн хөрөнгө,1364.714
2013-08-01,Нийт хөрөнгө,16894.332
2013-08-01,Нийт өр төлбөр,15469.176
2013-08-01,Өөрийн хөрөнгө,1425.157
2013-09-01,Нийт хөрөнгө,18114.625
2013-09-01,Нийт өр төлбөр,16569.873
2013-09-01,Өөрийн хөрөнгө,1544.752
2013-10-01,Нийт хөрөнгө,18596.397
2013-10-01,Нийт өр төлбөр,17019.747
2013-10-01,Өөрийн хөрөнгө,1576.65
2013-11-01,Нийт хөрөнгө,19442.091
2013-11-01,Нийт өр төлбөр,17853.274
2013-11-01,Өөрийн хөрөнгө,1588.817
2013-12-01,Нийт хөрөнгө,20850.384
2013-12-01,Нийт өр төлбөр,19131.689
2013-12-01,Өөрийн хөрөнгө,1718.711
2014-01-01,Нийт хөрөнгө,19990.244
2014-01-01,Нийт өр төлбөр,18236.616
2014-01-01,Өөрийн хөрөнгө,1753.628
2014-02-01,Нийт хөрөнгө,20553.516
2014-02-01,Нийт өр төлбөр,18778.22
2014-02-01,Өөрийн хөрөнгө,1775.296
2014-03-01,Нийт хөрөнгө,20678.301
2014-03-01,Нийт өр төлбөр,18801.934
2014-03-01,Өөрийн хөрөнгө,1876.367
2014-04-01,Нийт хөрөнгө,21184.814
2014-04-01,Нийт өр төлбөр,19242.986
2014-04-01,Өөрийн хөрөнгө,1941.828
2014-05-01,Нийт хөрөнгө,21127.514
2014-05-01,Нийт өр төлбөр,19167.666
2014-05-01,Өөрийн хөрөнгө,1959.847
2014-06-01,Нийт хөрөнгө,21389.922
2014-06-01,Нийт өр төлбөр,19391.567
2014-06-01,Өөрийн хөрөнгө,1998.354
2014-07-01,Нийт хөрөнгө,20948.194
2014-07-01,Нийт өр төлбөр,18885.32
2014-07-01,Өөрийн хөрөнгө,2062.973
2014-08-01,Нийт хөрөнгө,20730.908
2014-08-01,Нийт өр төлбөр,18670.404
2014-08-01,Өөрийн хөрөнгө,2060.504
2014-09-01,Нийт хөрөнгө,20916.562
2014-09-01,Нийт өр төлбөр,18809.534
2014-09-01,Өөрийн хөрөнгө,2107.028
2014-10-01,Нийт хөрөнгө,20955.894
2014-10-01,Нийт өр төлбөр,18840.352
2014-10-01,Өөрийн хөрөнгө,2115.541
2014-11-01,Нийт хөрөнгө,20583.187
2014-11-01,Нийт өр төлбөр,18452.267
2014-11-01,Өөрийн хөрөнгө,2130.92
2014-12-01,Нийт хөрөнгө,22562.602
2014-12-01,Нийт өр төлбөр,20226.652
2014-12-01,Өөрийн хөрөнгө,2335.949
2015-01-01,Нийт хөрөнгө,20603.001
2015-01-01,Нийт өр төлбөр,18249.73
2015-01-01,Өөрийн хөрөнгө,2353.272
2015-02-01,Нийт хөрөнгө,20720.951
2015-02-01,Нийт өр төлбөр,18326.243
2015-02-01,Өөрийн хөрөнгө,2394.708
2015-03-01,Нийт хөрөнгө,20759.734
2015-03-01,Нийт өр төлбөр,18374.243
2015-03-01,Өөрийн хөрөнгө,2385.49
2015-04-01,Нийт хөрөнгө,20480.179
2015-04-01,Нийт өр төлбөр,18051.532
2015-04-01,Өөрийн хөрөнгө,2428.647
2015-05-01,Нийт хөрөнгө,21446.055
