date,category,cpi_index
2012-03,"Housing, water, electricity and fuels",53.5
2012-03,"Clothing, footwear and cloth",52.1
2012-03,Recreation and culture,68.5
2012-03,Communication,106.1
2012-03,Food and non-alcoholic beverages,58.8
2012-04,Miscellaneous goods and services,56.5
2012-04,Recreation and culture,70.2
2012-04,Education,37.4
2012-04,Communication,103.0
2012-04,"Alcoholic beverages, tobacco",44.2
2012-04,Health,57.1
2012-04,Food and non-alcoholic beverages,62.8
2012-04,"Clothing, footwear and cloth",52.5
2012-04,Transport,76.8
2012-04,Restaurants and hotels,55.4
2012-04,"Housing, water, electricity and fuels",53.1
2012-04,"Furnishings, household equipment",57.8
2012-05,"Furnishings, household equipment",58.2
2012-05,Communication,103.0
2012-05,Transport,75.4
2012-05,Restaurants and hotels,56.5
2012-05,"Alcoholic beverages, tobacco",44.4
2012-05,"Housing, water, electricity and fuels",53.4
2012-05,Miscellaneous goods and services,56.7
2012-05,Education,37.4
2012-05,Recreation and culture,70.6
2012-05,Food and non-alcoholic beverages,63.2
2012-05,"Clothing, footwear and cloth",53.5
2012-05,Health,57.3
2012-06,"Furnishings, household equipment",58.3
2012-06,Communication,102.6
2012-06,Food and non-alcoholic beverages,64.0
2012-06,Transport,75.6
2012-06,"Clothing, footwear and cloth",54.0
2012-06,Restaurants and hotels,58.0
2012-06,Health,57.4
2012-06,"Housing, water, electricity and fuels",54.7
2012-06,Education,37.4
2012-06,"Alcoholic beverages, tobacco",44.6
2012-06,Recreation and culture,70.4
2012-06,Miscellaneous goods and services,57.1
2012-07,"Clothing, footwear and cloth",54.3
2012-07,Health,57.5
2012-07,"Alcoholic beverages, tobacco",44.7
2012-07,"Furnishings, household equipment",58.7
2012-07,Transport,75.6
2012-07,"Housing, water, electricity and fuels",55.4
2012-07,Communication,102.5
2012-07,Restaurants and hotels,58.4
2012-07,Food and non-alcoholic beverages,64.4
2012-07,Recreation and culture,70.0
2012-07,Education,37.4
2012-07,Miscellaneous goods and services,57.3
2012-08,Restaurants and hotels,58.9
2012-08,"Housing, water, electricity and fuels",55.1
2012-08,Transport,75.7
2012-08,Food and non-alcoholic beverages,65.2
2012-08,Communication,102.4
2012-08,Education,37.4
2012-08,Miscellaneous goods and services,57.5
2012-08,"Furnishings, household equipment",59.2
2012-08,"Clothing, footwear and cloth",54.6
2012-08,"Alcoholic beverages, tobacco",45.0
2012-08,Recreation and culture,69.9
2012-08,Health,57.8
2012-09,"Housing, water, electricity and fuels",56.6
2012-09,"Alcoholic beverages, tobacco",45.1
2012-09,Education,43.1
2012-09,Restaurants and hotels,59.7
2012-09,Food and non-alcoholic beverages,63.9
2012-09,Recreation and culture,70.7
2012-09,Transport,76.0
2012-09,Communication,102.3
2012-09,"Furnishings, household equipment",59.6
2012-09,"Clothing, footwear and cloth",55.1
