бүс_нутаг,сар,амьд_төрөлт
Дархан-Уул,2017-08,201
Дорноговь,2017-08,103
Дорнод,2017-08,162
Дундговь,2017-08,86
Завхан,2017-08,106
Орхон,2017-08,217
Сэлэнгэ,2017-08,166
Сүхбаатар,2017-08,109
Төв,2017-08,100
Увс,2017-08,192
Улаанбаатар,2017-08,3276
Ховд,2017-08,178
Хэнтий,2017-08,106
Хөвсгөл,2017-08,246
Өвөрхангай,2017-08,230
Өмнөговь,2017-08,118
Архангай,2017-09,169
Баян-Өлгий,2017-09,226
Баянхонгор,2017-09,170
Булган,2017-09,56
Говь-Алтай,2017-09,103
Говьсүмбэр,2017-09,43
Дархан-Уул,2017-09,187
Дорноговь,2017-09,124
Дорнод,2017-09,161
Дундговь,2017-09,81
Завхан,2017-09,108
Орхон,2017-09,235
Сэлэнгэ,2017-09,164
Сүхбаатар,2017-09,96
Төв,2017-09,78
Увс,2017-09,136
Улаанбаатар,2017-09,3187
Ховд,2017-09,178
Хэнтий,2017-09,117
Хөвсгөл,2017-09,247
Өвөрхангай,2017-09,197
Өмнөговь,2017-09,113
Архангай,2017-10,121
Баян-Өлгий,2017-10,246
Баянхонгор,2017-10,180
Булган,2017-10,73
Говь-Алтай,2017-10,128
Говьсүмбэр,2017-10,34
Дархан-Уул,2017-10,186
Дорноговь,2017-10,124
Дорнод,2017-10,174
Дундговь,2017-10,67
Завхан,2017-10,106
Орхон,2017-10,215
Сэлэнгэ,2017-10,127
Сүхбаатар,2017-10,120
Төв,2017-10,111
Увс,2017-10,165
Улаанбаатар,2017-10,3393
Ховд,2017-10,200
Хэнтий,2017-10,124
Хөвсгөл,2017-10,222
Өвөрхангай,2017-10,207
Өмнөговь,2017-10,124
Архангай,2017-11,193
Баян-Өлгий,2017-11,236
Баянхонгор,2017-11,198
Булган,2017-11,75
Говь-Алтай,2017-11,98
Говьсүмбэр,2017-11,40
Дархан-Уул,2017-11,226
Дорноговь,2017-11,126
Дорнод,2017-11,170
Дундговь,2017-11,69
Завхан,2017-11,120
Орхон,2017-11,247
Сэлэнгэ,2017-11,152
Сүхбаатар,2017-11,142
Төв,2017-11,95
Увс,2017-11,169
Улаанбаатар,2017-11,3346
Ховд,2017-11,197
Хэнтий,2017-11,128
Хөвсгөл,2017-11,218
Өвөрхангай,2017-11,225
Өмнөговь,2017-11,138
Архангай,2017-12,128
Баян-Өлгий,2017-12,230
Баянхонгор,2017-12,190
Булган,2017-12,78
Говь-Алтай,2017-12,119
Говьсүмбэр,2017-12,32
Дархан-Уул,2017-12,200
Дорноговь,2017-12,121
Дорнод,2017-12,160
Дундговь,2017-12,83
Завхан,2017-12,99
Орхон,2017-12,213
Сэлэнгэ,2017-12,144
Сүхбаатар,2017-12,115
Төв,2017-12,97
Увс,2017-12,156
Улаанбаатар,2017-12,3492
Ховд,2017-12,170
Хэнтий,2017-12,127
Хөвсгөл,2017-12,226
Өвөрхангай,2017-12,223
Өмнөговь,2017-12,130
Архангай,2018-01,175
Баян-Өлгий,2018-01,247
Баянхонгор,2018-01,186
Булган,2018-01,64
Говь-Алтай,2018-01,84
Говьсүмбэр,2018-01,44
Дархан-Уул,2018-01,208
Дорноговь,2018-01,126
Дорнод,2018-01,168
Дундговь,2018-01,85
Завхан,2018-01,136
Орхон,2018-01,212
Сэлэнгэ,2018-01,143
Сүхбаатар,2018-01,95
Төв,2018-01,112
Увс,2018-01,153
Улаанбаатар,2018-01,3161
Ховд,2018-01,193
Хэнтий,2018-01,128
Хөвсгөл,2018-01,234
Өвөрхангай,2018-01,194
Өмнөговь,2018-01,123
Архангай,2018-02,126
Баян-Өлгий,2018-02,199
Баянхонгор,2018-02,137
Булган,2018-02,84
Говь-Алтай,2018-02,95
Говьсүмбэр,2018-02,38
Дархан-Уул,2018-02,192
Дорноговь,2018-02,102
Дорнод,2018-02,140
Дундговь,2018-02,70
Завхан,2018-02,96
Орхон,2018-02,239
Сэлэнгэ,2018-02,142
Сүхбаатар,2018-02,87
Төв,2018-02,90
Увс,2018-02,141
Улаанбаатар,2018-02,2966
Ховд,2018-02,186
Хэнтий,2018-02,105
Хөвсгөл,2018-02,231
Өвөрхангай,2018-02,162
Өмнөговь,2018-02,118
Архангай,2018-03,157
Баян-Өлгий,2018-03,254
Баянхонгор,2018-03,164
Булган,2018-03,53
Говь-Алтай,2018-03,105
Говьсүмбэр,2018-03,49
Дархан-Уул,2018-03,204
Дорноговь,2018-03,124
Дорнод,2018-03,172
Дундговь,2018-03,64
Завхан,2018-03,124
Орхон,2018-03,243
Сэлэнгэ,2018-03,142
Сүхбаатар,2018-03,130
Төв,2018-03,97
Увс,2018-03,162
Улаанбаатар,2018-03,3492
Ховд,2018-03,208
Хэнтий,2018-03,113
Хөвсгөл,2018-03,259
Өвөрхангай,2018-03,214
Өмнөговь,2018-03,124
Архангай,2018-04,144
Баян-Өлгий,2018-04,273
Баянхонгор,2018-04,191
Булган,2018-04,67
Говь-Алтай,2018-04,120
Говьсүмбэр,2018-04,46
Дархан-Уул,2018-04,197
Дорноговь,2018-04,112
Дорнод,2018-04,162
Дундговь,2018-04,87
Завхан,2018-04,131
Орхон,2018-04,230
Сэлэнгэ,2018-04,126
Сүхбаатар,2018-04,136
Төв,2018-04,109
Увс,2018-04,158
Улаанбаатар,2018-04,3531
Ховд,2018-04,180
Хэнтий,2018-04,122
Хөвсгөл,2018-04,221
Өвөрхангай,2018-04,180
Өмнөговь,2018-04,116
Архангай,2018-05,127
Баян-Өлгий,2018-05,247
Баянхонгор,2018-05,171
Булган,2018-05,64
Говь-Алтай,2018-05,111
Говьсүмбэр,2018-05,30
Дархан-Уул,2018-05,214
Дорноговь,2018-05,101
Дорнод,2018-05,176
Дундговь,2018-05,86
Завхан,2018-05,114
Орхон,2018-05,198
Сэлэнгэ,2018-05,154
Сүхбаатар,2018-05,108
Төв,2018-05,78
Увс,2018-05,151
Улаанбаатар,2018-05,3454
Ховд,2018-05,193
Хэнтий,2018-05,129
Хөвсгөл,2018-05,234
Өвөрхангай,2018-05,197
Өмнөговь,2018-05,139
Архангай,2018-06,154
Баян-Өлгий,2018-06,259
Баянхонгор,2018-06,168
Булган,2018-06,61
Говь-Алтай,2018-06,112
Говьсүмбэр,2018-06,37
Дархан-Уул,2018-06,212
Дорноговь,2018-06,101
Дорнод,2018-06,148
Дундговь,2018-06,88
Завхан,2018-06,124
Орхон,2018-06,209
Сэлэнгэ,2018-06,155
Сүхбаатар,2018-06,123
Төв,2018-06,88
Увс,2018-06,156
Улаанбаатар,2018-06,3438
Ховд,2018-06,199
Хэнтий,2018-06,122
Хөвсгөл,2018-06,262
Өвөрхангай,2018-06,191
Өмнөговь,2018-06,118
Архангай,2018-07,163
Баян-Өлгий,2018-07,251
Баянхонгор,2018-07,178
Булган,2018-07,71
Говь-Алтай,2018-07,130
Говьсүмбэр,2018-07,43
Дархан-Уул,2018-07,188
Дорноговь,2018-07,126
Дорнод,2018-07,175
Дундговь,2018-07,92
Завхан,2018-07,143
Орхон,2018-07,248
Сэлэнгэ,2018-07,140
Сүхбаатар,2018-07,114
Төв,2018-07,94
Увс,2018-07,183
Улаанбаатар,2018-07,3371
Ховд,2018-07,205
Хэнтий,2018-07,118
Хөвсгөл,2018-07,257
Өвөрхангай,2018-07,213
Өмнөговь,2018-07,135
Архангай,2018-08,121
Баян-Өлгий,2018-08,258
Баянхонгор,2018-08,186
Булган,2018-08,85
Говь-Алтай,2018-08,100
Говьсүмбэр,2018-08,31
Дархан-Уул,2018-08,213
Дорноговь,2018-08,110
Дорнод,2018-08,155
Дундговь,2018-08,60
Завхан,2018-08,119
Орхон,2018-08,251
Сэлэнгэ,2018-08,141
Сүхбаатар,2018-08,100
Төв,2018-08,107
Увс,2018-08,157
Улаанбаатар,2018-08,3564
Ховд,2018-08,216
Хэнтий,2018-08,132
Хөвсгөл,2018-08,251
Өвөрхангай,2018-08,242
Өмнөговь,2018-08,130
Архангай,2018-09,137
Баян-Өлгий,2018-09,199
Баянхонгор,2018-09,156
Булган,2018-09,74
Говь-Алтай,2018-09,128
Говьсүмбэр,2018-09,38
Дархан-Уул,2018-09,191
Дорноговь,2018-09,135
Дорнод,2018-09,150
Дундговь,2018-09,75
Завхан,2018-09,107
Орхон,2018-09,207
Сэлэнгэ,2018-09,158
Сүхбаатар,2018-09,91
Төв,2018-09,97
Увс,2018-09,121
Улаанбаатар,2018-09,3336
Ховд,2018-09,196
Хэнтий,2018-09,130
Хөвсгөл,2018-09,228
Өвөрхангай,2018-09,189
Өмнөговь,2018-09,141
Архангай,2018-10,157
Баян-Өлгий,2018-10,242
Баянхонгор,2018-10,153
Булган,2018-10,65
Говь-Алтай,2018-10,105
Говьсүмбэр,2018-10,39
Дархан-Уул,2018-10,203
Дорноговь,2018-10,102
Дорнод,2018-10,175
Дундговь,2018-10,66
Завхан,2018-10,97
Орхон,2018-10,261
Сэлэнгэ,2018-10,135
Сүхбаатар,2018-10,102
Төв,2018-10,80
Увс,2018-10,190
Улаанбаатар,2018-10,3511
Ховд,2018-10,181
Хэнтий,2018-10,112
Хөвсгөл,2018-10,241
Өвөрхангай,2018-10,201
Өмнөговь,2018-10,136
Архангай,2018-11,132
Баян-Өлгий,2018-11,244
Баянхонгор,2018-11,198
Булган,2018-11,49
Говь-Алтай,2018-11,98
Говьсүмбэр,2018-11,38
Дархан-Уул,2018-11,181
Дорноговь,2018-11,120
Дорнод,2018-11,155
Дундговь,2018-11,68
Завхан,2018-11,123
Орхон,2018-11,214
Сэлэнгэ,2018-11,122
Сүхбаатар,2018-11,102
Төв,2018-11,97
Увс,2018-11,176
Улаанбаатар,2018-11,3407
Ховд,2018-11,199
Хэнтий,2018-11,128
Хөвсгөл,2018-11,220
Өвөрхангай,2018-11,231
Өмнөговь,2018-11,142
Архангай,2018-12,145
Баян-Өлгий,2018-12,246
Баянхонгор,2018-12,186
Булган,2018-12,48
Говь-Алтай,2018-12,98
Говьсүмбэр,2018-12,37
Дархан-Уул,2018-12,205
Дорноговь,2018-12,112
Дорнод,2018-12,181
Дундговь,2018-12,71
Завхан,2018-12,117
Орхон,2018-12,239
Сэлэнгэ,2018-12,148
Сүхбаатар,2018-12,119
Төв,2018-12,98
Увс,2018-12,164
Улаанбаатар,2018-12,3472
Ховд,2018-12,199
Хэнтий,2018-12,121
Хөвсгөл,2018-12,243
Өвөрхангай,2018-12,189
Өмнөговь,2018-12,130
Архангай,2019-01,133
Баян-Өлгий,2019-01,231
Баянхонгор,2019-01,153
Булган,2019-01,66
Говь-Алтай,2019-01,119
Говьсүмбэр,2019-01,38
Дархан-Уул,2019-01,195
Дорноговь,2019-01,110
Дорнод,2019-01,148
Дундговь,2019-01,72
Завхан,2019-01,120
Орхон,2019-01,205
Сэлэнгэ,2019-01,147
Сүхбаатар,2019-01,87
Төв,2019-01,99
Увс,2019-01,134
Улаанбаатар,2019-01,3109
Ховд,2019-01,171
Хэнтий,2019-01,128
Хөвсгөл,2019-01,241
Өвөрхангай,2019-01,183
Өмнөговь,2019-01,112
Архангай,2019-02,124
Баян-Өлгий,2019-02,222
Баянхонгор,2019-02,148
Булган,2019-02,58
Говь-Алтай,2019-02,106
Говьсүмбэр,2019-02,29
Дархан-Уул,2019-02,176
Дорноговь,2019-02,107
Дорнод,2019-02,151
Дундговь,2019-02,83
Завхан,2019-02,97
Орхон,2019-02,193
Сэлэнгэ,2019-02,136
Сүхбаатар,2019-02,104
Төв,2019-02,81
Увс,2019-02,134
Улаанбаатар,2019-02,3066
Ховд,2019-02,162
Хэнтий,2019-02,137
Хөвсгөл,2019-02,214
Өвөрхангай,2019-02,180
Өмнөговь,2019-02,116
Архангай,2019-03,139
Баян-Өлгий,2019-03,265
Баянхонгор,2019-03,177
Булган,2019-03,61
Говь-Алтай,2019-03,105
Говьсүмбэр,2019-03,42
Дархан-Уул,2019-03,206
Дорноговь,2019-03,97
Дорнод,2019-03,179
Дундговь,2019-03,65
Завхан,2019-03,119
Орхон,2019-03,234
Сэлэнгэ,2019-03,160
Сүхбаатар,2019-03,89
Төв,2019-03,70
Увс,2019-03,157
Улаанбаатар,2019-03,3452
Ховд,2019-03,193
Хэнтий,2019-03,127
Хөвсгөл,2019-03,267
Өвөрхангай,2019-03,192
Өмнөговь,2019-03,131
Архангай,2019-04,151
Баян-Өлгий,2019-04,246
Баянхонгор,2019-04,166
Булган,2019-04,70
Говь-Алтай,2019-04,125
Говьсүмбэр,2019-04,19
Дархан-Уул,2019-04,207
Дорноговь,2019-04,109
Дорнод,2019-04,154
Дундговь,2019-04,73
Завхан,2019-04,118
Орхон,2019-04,238
Сэлэнгэ,2019-04,172
Сүхбаатар,2019-04,131
Төв,2019-04,94
Увс,2019-04,190
Улаанбаатар,2019-04,3500
Ховд,2019-04,200
Хэнтий,2019-04,144
Хөвсгөл,2019-04,251
Өвөрхангай,2019-04,216
Өмнөговь,2019-04,149
Архангай,2019-05,144
Баян-Өлгий,2019-05,263
Баянхонгор,2019-05,205
Булган,2019-05,57
Говь-Алтай,2019-05,117
Говьсүмбэр,2019-05,40
Дархан-Уул,2019-05,200
Дорноговь,2019-05,99
Дорнод,2019-05,168
Дундговь,2019-05,84
Завхан,2019-05,129
Орхон,2019-05,232
Сэлэнгэ,2019-05,147
Сүхбаатар,2019-05,118
Төв,2019-05,106
Увс,2019-05,160
Улаанбаатар,2019-05,3737
Ховд,2019-05,200
Хэнтий,2019-05,139
Хөвсгөл,2019-05,223
Өвөрхангай,2019-05,197
Өмнөговь,2019-05,134
Архангай,2019-06,119
Баян-Өлгий,2019-06,245
Баянхонгор,2019-06,202
Булган,2019-06,54
Говь-Алтай,2019-06,102
Говьсүмбэр,2019-06,42
Дархан-Уул,2019-06,200
Дорноговь,2019-06,103
Дорнод,2019-06,153
Дундговь,2019-06,69
Завхан,2019-06,102
Орхон,2019-06,181
Сэлэнгэ,2019-06,134
Сүхбаатар,2019-06,119
Төв,2019-06,78
Увс,2019-06,162
Улаанбаатар,2019-06,3375
Ховд,2019-06,172
Хэнтий,2019-06,133
Хөвсгөл,2019-06,279
Өвөрхангай,2019-06,224
Өмнөговь,2019-06,139
Архангай,2019-07,150
Баян-Өлгий,2019-07,292
Баянхонгор,2019-07,189
Булган,2019-07,85
Говь-Алтай,2019-07,129
Говьсүмбэр,2019-07,45
Дархан-Уул,2019-07,212
Дорноговь,2019-07,125
Дорнод,2019-07,180
Дундговь,2019-07,83
Завхан,2019-07,136
Орхон,2019-07,226
Сэлэнгэ,2019-07,137
Сүхбаатар,2019-07,136
Төв,2019-07,107
Увс,2019-07,160
Улаанбаатар,2019-07,3586
Ховд,2019-07,200
Хэнтий,2019-07,133
Хөвсгөл,2019-07,257
Өвөрхангай,2019-07,246
Өмнөговь,2019-07,133
Архангай,2019-08,163
Баян-Өлгий,2019-08,275
Баянхонгор,2019-08,169
Булган,2019-08,66
Говь-Алтай,2019-08,127
Говьсүмбэр,2019-08,43
Дархан-Уул,2019-08,215
Дорноговь,2019-08,100
Дорнод,2019-08,158
Дундговь,2019-08,79
Завхан,2019-08,124
Орхон,2019-08,223
Сэлэнгэ,2019-08,148
Сүхбаатар,2019-08,106
Төв,2019-08,101
Увс,2019-08,161
Улаанбаатар,2019-08,3441
Ховд,2019-08,183
Хэнтий,2019-08,109
Хөвсгөл,2019-08,226
Өвөрхангай,2019-08,266
Өмнөговь,2019-08,137
Архангай,2019-09,135
Баян-Өлгий,2019-09,211
Баянхонгор,2019-09,153
Булган,2019-09,64
Говь-Алтай,2019-09,119
Говьсүмбэр,2019-09,41
Дархан-Уул,2019-09,202
Дорноговь,2019-09,125
Дорнод,2019-09,166
Дундговь,2019-09,92
Завхан,2019-09,99
Орхон,2019-09,234
