бүс,сар,нас_баралт
Улаанбаатар,2020-07,608
Хангайн бүс,2020-07,282
Баруун бүс,2020-08,168
Зүүн бүс,2020-08,101
Төвийн бүс,2020-08,185
Улаанбаатар,2020-08,624
Хангайн бүс,2020-08,253
Баруун бүс,2020-09,147
Зүүн бүс,2020-09,77
Төвийн бүс,2020-09,187
Улаанбаатар,2020-09,729
Хангайн бүс,2020-09,265
Баруун бүс,2020-10,152
Зүүн бүс,2020-10,94
Төвийн бүс,2020-10,202
Улаанбаатар,2020-10,726
Хангайн бүс,2020-10,253
Баруун бүс,2020-11,140
Зүүн бүс,2020-11,86
Төвийн бүс,2020-11,163
Улаанбаатар,2020-11,671
Хангайн бүс,2020-11,218
Баруун бүс,2020-12,150
Зүүн бүс,2020-12,83
Төвийн бүс,2020-12,158
Улаанбаатар,2020-12,596
Хангайн бүс,2020-12,232
Баруун бүс,2021-01,137
Зүүн бүс,2021-01,98
Төвийн бүс,2021-01,172
Улаанбаатар,2021-01,540
Хангайн бүс,2021-01,204
Баруун бүс,2021-02,150
Зүүн бүс,2021-02,88
Төвийн бүс,2021-02,177
Улаанбаатар,2021-02,588
Хангайн бүс,2021-02,234
Баруун бүс,2021-03,145
Зүүн бүс,2021-03,103
Төвийн бүс,2021-03,198
Улаанбаатар,2021-03,700
Хангайн бүс,2021-03,235
Баруун бүс,2021-04,146
Зүүн бүс,2021-04,74
Төвийн бүс,2021-04,205
Улаанбаатар,2021-04,826
Хангайн бүс,2021-04,233
Баруун бүс,2021-05,177
Зүүн бүс,2021-05,84
Төвийн бүс,2021-05,186
Улаанбаатар,2021-05,735
Хангайн бүс,2021-05,221
Баруун бүс,2021-06,152
Зүүн бүс,2021-06,90
Төвийн бүс,2021-06,190
Улаанбаатар,2021-06,1008
Хангайн бүс,2021-06,275
Баруун бүс,2021-07,192
Зүүн бүс,2021-07,106
Төвийн бүс,2021-07,252
Улаанбаатар,2021-07,989
Хангайн бүс,2021-07,280
Баруун бүс,2021-08,197
Зүүн бүс,2021-08,90
Төвийн бүс,2021-08,224
Улаанбаатар,2021-08,811
Хангайн бүс,2021-08,356
Баруун бүс,2021-09,242
Зүүн бүс,2021-09,165
Төвийн бүс,2021-09,251
Улаанбаатар,2021-09,973
Хангайн бүс,2021-09,395
Баруун бүс,2021-10,215
Зүүн бүс,2021-10,164
Төвийн бүс,2021-10,335
Улаанбаатар,2021-10,1194
Хангайн бүс,2021-10,394
Баруун бүс,2021-11,188
Зүүн бүс,2021-11,114
Төвийн бүс,2021-11,328
Улаанбаатар,2021-11,1007
Хангайн бүс,2021-11,313
Баруун бүс,2021-12,197
Зүүн бүс,2021-12,99
Төвийн бүс,2021-12,257
Улаанбаатар,2021-12,962
Хангайн бүс,2021-12,270
Баруун бүс,2022-01,159
Зүүн бүс,2022-01,91
Төвийн бүс,2022-01,227
Улаанбаатар,2022-01,634
Хангайн бүс,2022-01,234
Баруун бүс,2022-02,147
Зүүн бүс,2022-02,101
Төвийн бүс,2022-02,240
Улаанбаатар,2022-02,733
Хангайн бүс,2022-02,266
Баруун бүс,2022-03,160
Зүүн бүс,2022-03,74
Төвийн бүс,2022-03,212
Улаанбаатар,2022-03,763
Хангайн бүс,2022-03,287
Баруун бүс,2022-04,172
Зүүн бүс,2022-04,82
Төвийн бүс,2022-04,202
Улаанбаатар,2022-04,821
Хангайн бүс,2022-04,281
Баруун бүс,2022-05,178
Зүүн бүс,2022-05,76
Төвийн бүс,2022-05,209
Улаанбаатар,2022-05,768
Хангайн бүс,2022-05,275
Баруун бүс,2022-06,150
Зүүн бүс,2022-06,81
Төвийн бүс,2022-06,227
Улаанбаатар,2022-06,708
Хангайн бүс,2022-06,258
Баруун бүс,2022-07,166
Зүүн бүс,2022-07,92
Төвийн бүс,2022-07,222
Улаанбаатар,2022-07,661
Хангайн бүс,2022-07,297
Баруун бүс,2022-08,183
Зүүн бүс,2022-08,105
Төвийн бүс,2022-08,212
Улаанбаатар,2022-08,834
Хангайн бүс,2022-08,275
Баруун бүс,2022-09,149
Зүүн бүс,2022-09,78
Төвийн бүс,2022-09,219
Улаанбаатар,2022-09,799
Хангайн бүс,2022-09,245
Баруун бүс,2022-10,164
Зүүн бүс,2022-10,84
Төвийн бүс,2022-10,204
Улаанбаатар,2022-10,772
Хангайн бүс,2022-10,261
Баруун бүс,2022-11,160
Зүүн бүс,2022-11,83
Төвийн бүс,2022-11,204
Улаанбаатар,2022-11,788
Хангайн бүс,2022-11,237
Баруун бүс,2022-12,160
Зүүн бүс,2022-12,97
Төвийн бүс,2022-12,218
Улаанбаатар,2022-12,949
Хангайн бүс,2022-12,247
Баруун бүс,2023-01,151
Зүүн бүс,2023-01,92
Төвийн бүс,2023-01,186
Улаанбаатар,2023-01,736
Хангайн бүс,2023-01,265
Баруун бүс,2023-02,174
Зүүн бүс,2023-02,83
Төвийн бүс,2023-02,213
Улаанбаатар,2023-02,628
Хангайн бүс,2023-02,238
Баруун бүс,2023-03,189
Зүүн бүс,2023-03,87
Төвийн бүс,2023-03,199
Улаанбаатар,2023-03,799
Хангайн бүс,2023-03,313
Баруун бүс,2023-04,150
Зүүн бүс,2023-04,75
