region,date,price
Arkhangai,2024-03-25,2657.0
Bayankhongor,2024-03-25,2700.0
Bulgan,2024-03-25,2800.0
Darkhan-Uul,2024-03-25,2516.0
Dornod,2024-03-25,2579.0
Dornogovi,2024-03-25,2767.0
Dundgovi,2024-03-25,2932.0
Govi-Altai,2024-03-25,2800.0
Govisumber,2024-03-25,2750.0
Khentii,2024-03-25,2483.0
Khovd,2024-03-25,2800.0
Khuvsgul,2024-03-25,2640.0
Orkhon,2024-03-25,2567.0
Selenge,2024-03-25,2367.0
Sukhbaatar,2024-03-25,2583.0
Tuv,2024-03-25,2600.0
Umnugovi,2024-03-25,2827.0
Uvs,2024-03-25,2900.0
Uvurkhangai,2024-03-25,2583.0
Zavkhan,2024-03-25,2500.0
Arkhangai,2024-04-01,2657.0
Bayankhongor,2024-04-01,2700.0
Bulgan,2024-04-01,2800.0
Darkhan-Uul,2024-04-01,2516.0
Dornod,2024-04-01,2579.0
Dornogovi,2024-04-01,2767.0
Dundgovi,2024-04-01,2932.0
Govi-Altai,2024-04-01,2800.0
Govisumber,2024-04-01,2800.0
Khentii,2024-04-01,2483.0
Khovd,2024-04-01,2800.0
Khuvsgul,2024-04-01,2640.0
Orkhon,2024-04-01,2567.0
Selenge,2024-04-01,2383.0
Sukhbaatar,2024-04-01,2617.0
Tuv,2024-04-01,2600.0
Umnugovi,2024-04-01,3010.0
Uvs,2024-04-01,2900.0
Uvurkhangai,2024-04-01,2633.0
Zavkhan,2024-04-01,2500.0
Arkhangai,2024-04-08,2657.0
Bayankhongor,2024-04-08,2700.0
Bulgan,2024-04-08,2800.0
Darkhan-Uul,2024-04-08,2516.0
Dornod,2024-04-08,2579.0
Dornogovi,2024-04-08,2767.0
Dundgovi,2024-04-08,2932.0
Govi-Altai,2024-04-08,2800.0
Govisumber,2024-04-08,2800.0
Khentii,2024-04-08,2483.0
Khovd,2024-04-08,2800.0
Khuvsgul,2024-04-08,2640.0
Orkhon,2024-04-08,2567.0
Selenge,2024-04-08,2383.0
Sukhbaatar,2024-04-08,2617.0
Tuv,2024-04-08,2600.0
Umnugovi,2024-04-08,3010.0
Uvs,2024-04-08,2900.0
Uvurkhangai,2024-04-08,2633.0
Zavkhan,2024-04-08,2600.0
Arkhangai,2024-04-15,2657.0
Bayankhongor,2024-04-15,2700.0
