он,бүтээгдэхүүн,тж
2023,Бусад шингэн түлш,1.197431
2023,"Тос, тосолгооны материал",1136.596997
2023,Бусад нефтийн болон тосон бүтээгдэхүүн,3097.16814
2023,"Нефтийн вазелин, парафины лав, байгалийн битум болон асфальт",3334.983438
2023,"Мод, модны хаягдал болон бусад биомасс, модны нүүрс",38795.828021
2023,Цахилгаан эрчим хүч,40253.32076
2023,Дулаан,66201.523442
2024,Чулуун нүүрс,2074781.204922
2024,Хүрэн нүүрс,263843.4551
2024,Kокс болон хагас кокс,47.864396
2024,Газрын тос,24794.736
2024,"Нүүрснээс гаргаж авсан брикет, шахмал нүүрс болон эдгээртэй төстэй хатуу түлш",14421.48
2024,Автобензин (био түлшийг оруулахгүй),39759.57463
2024,Дизель түлш,70748.69797
2024,Онгоцны түлш,4314.997355
2024,Керосин,646.375127
2024,Мазут,116.579694
2024,Пропан,1774.927333
2024,Бусад шингэн түлш,61.387498
2024,"Тос, тосолгооны материал",1359.041102
2024,Бусад нефтийн болон тосон бүтээгдэхүүн,1236.479369
2024,"Нефтийн вазелин, парафины лав, байгалийн битум болон асфальт",2799.859345
2024,"Мод, модны хаягдал болон бусад биомасс, модны нүүрс",35891.593139
2024,Цахилгаан эрчим хүч,42319.905971
2024,Дулаан,70406.159558
