year,type,beds
2025,Nephrology,131
2025,Ophtalmology,159
2025,Oncology,269
2025,Otorhinolaryngology,289
2025,Dermatology,363
2025,Palliative care,493
2025,Tuberculosis,509
2025,Anaesthesiology,518
2025,Psychiatry & narcology,1014
2025,Other,1091
2025,Infections,1112
2025,Traumatology,1222
2025,Gyneacology,1353
2025,Obstetrics,1947
2025,Neurology,2180
2025,Surgery,2265
2025,Traditional medicine,2638
2025,Pediatrics,4094
2025,Internal medicine,7635
