сар,үзүүлэлт,утга
2021-05,Сонгон шалгаруулалт | Жилийн төлөвлөгөө,16000.0
2021-05,Сонгон шалгаруулалт | Өссөн дүнгийн гүйцэтгэл,9811.2
2021-05,Улсын төсвийн хөрөнгөөр хайгуул хийсэн ордын нөхөн төлбөр | Биелэлт (%),12.2
2021-05,Улсын төсвийн хөрөнгөөр хайгуул хийсэн ордын нөхөн төлбөр | Жилийн төлөвлөгөө,2500.0
2021-05,Улсын төсвийн хөрөнгөөр хайгуул хийсэн ордын нөхөн төлбөр | Өссөн дүнгийн гүйцэтгэл,306.2
2021-06,Ашигт малтмалын тусгай зөвшөөрлийн төлбөр | Биелэлт (%),46.8
2021-06,Ашигт малтмалын тусгай зөвшөөрлийн төлбөр | Жилийн төлөвлөгөө,31200.0
2021-06,Ашигт малтмалын тусгай зөвшөөрлийн төлбөр | Өссөн дүнгийн гүйцэтгэл,14591.6
2021-06,Ашигт малтмалын үйлчилгээний орлого | Биелэлт (%),58.4
2021-06,Ашигт малтмалын үйлчилгээний орлого | Жилийн төлөвлөгөө,1626.1
2021-06,Ашигт малтмалын үйлчилгээний орлого | Өссөн дүнгийн гүйцэтгэл,949.8
2021-06,БҮГД | Биелэлт (%),58.6
2021-06,БҮГД | Жилийн төлөвлөгөө,235400.0
2021-06,БҮГД | Өссөн дүнгийн гүйцэтгэл,137933.8
2021-06,Газрын тосны экспорт | Биелэлт (%),57.3
2021-06,Газрын тосны экспорт | Жилийн төлөвлөгөө,183200.0
2021-06,Газрын тосны экспорт | Өссөн дүнгийн гүйцэтгэл,104956.6
2021-06,Газрын тосны үйлчилгээний орлого | Биелэлт (%),94.0
2021-06,Газрын тосны үйлчилгээний орлого | Жилийн төлөвлөгөө,873.9
2021-06,Газрын тосны үйлчилгээний орлого | Өссөн дүнгийн гүйцэтгэл,821.7
2021-06,Сонгон шалгаруулалт | Биелэлт (%),101.2
2021-06,Сонгон шалгаруулалт | Жилийн төлөвлөгөө,16000.0
2021-06,Сонгон шалгаруулалт | Өссөн дүнгийн гүйцэтгэл,16198.8
2021-06,Улсын төсвийн хөрөнгөөр хайгуул хийсэн ордын нөхөн төлбөр | Биелэлт (%),16.6
2021-06,Улсын төсвийн хөрөнгөөр хайгуул хийсэн ордын нөхөн төлбөр | Жилийн төлөвлөгөө,2500.0
2021-06,Улсын төсвийн хөрөнгөөр хайгуул хийсэн ордын нөхөн төлбөр | Өссөн дүнгийн гүйцэтгэл,415.2
2021-07,Ашигт малтмалын тусгай зөвшөөрлийн төлбөр | Биелэлт (%),53.2
2021-07,Ашигт малтмалын тусгай зөвшөөрлийн төлбөр | Жилийн төлөвлөгөө,31200.0
2021-07,Ашигт малтмалын тусгай зөвшөөрлийн төлбөр | Өссөн дүнгийн гүйцэтгэл,16609.2
2021-07,Ашигт малтмалын үйлчилгээний орлого | Биелэлт (%),69.9
2021-07,Ашигт малтмалын үйлчилгээний орлого | Жилийн төлөвлөгөө,1626.1
2021-07,Ашигт малтмалын үйлчилгээний орлого | Өссөн дүнгийн гүйцэтгэл,1135.9
2021-07,БҮГД | Биелэлт (%),70.0
2021-07,БҮГД | Жилийн төлөвлөгөө,235400.0
2021-07,БҮГД | Өссөн дүнгийн гүйцэтгэл,164859.1
2021-07,Газрын тосны экспорт | Биелэлт (%),68.1
2021-07,Газрын тосны экспорт | Жилийн төлөвлөгөө,183200.0
2021-07,Газрын тосны экспорт | Өссөн дүнгийн гүйцэтгэл,124837.3
2021-07,Газрын тосны үйлчилгээний орлого | Биелэлт (%),118.5
2021-07,Газрын тосны үйлчилгээний орлого | Жилийн төлөвлөгөө,873.9
2021-07,Газрын тосны үйлчилгээний орлого | Өссөн дүнгийн гүйцэтгэл,1035.4
2021-07,Сонгон шалгаруулалт | Биелэлт (%),129.2
2021-07,Сонгон шалгаруулалт | Жилийн төлөвлөгөө,16000.0
2021-07,Сонгон шалгаруулалт | Өссөн дүнгийн гүйцэтгэл,20668.9
2021-07,Улсын төсвийн хөрөнгөөр хайгуул хийсэн ордын нөхөн төлбөр | Биелэлт (%),22.9
2021-07,Улсын төсвийн хөрөнгөөр хайгуул хийсэн ордын нөхөн төлбөр | Жилийн төлөвлөгөө,2500.0
2021-07,Улсын төсвийн хөрөнгөөр хайгуул хийсэн ордын нөхөн төлбөр | Өссөн дүнгийн гүйцэтгэл,572.4
2021-08,Ашигт малтмалын тусгай зөвшөөрлийн төлбөр | Биелэлт (%),70.1
2021-08,Ашигт малтмалын тусгай зөвшөөрлийн төлбөр | Жилийн төлөвлөгөө,31200.0
2021-08,Ашигт малтмалын тусгай зөвшөөрлийн төлбөр | Өссөн дүнгийн гүйцэтгэл,21870.8
2021-08,Ашигт малтмалын үйлчилгээний орлого | Биелэлт (%),79.4
2021-08,Ашигт малтмалын үйлчилгээний орлого | Жилийн төлөвлөгөө,1626.1
2021-08,Ашигт малтмалын үйлчилгээний орлого | Өссөн дүнгийн гүйцэтгэл,1290.7
2021-08,БҮГД | Биелэлт (%),81.2
2021-08,БҮГД | Жилийн төлөвлөгөө,235400.0
2021-08,БҮГД | Өссөн дүнгийн гүйцэтгэл,191255.3
2021-08,Газрын тосны экспорт | Биелэлт (%),78.5
2021-08,Газрын тосны экспорт | Жилийн төлөвлөгөө,183200.0
2021-08,Газрын тосны экспорт | Өссөн дүнгийн гүйцэтгэл,143767.8
2021-08,Газрын тосны үйлчилгээний орлого | Биелэлт (%),142.5
2021-08,Газрын тосны үйлчилгээний орлого | Жилийн төлөвлөгөө,873.9
2021-08,Газрын тосны үйлчилгээний орлого | Өссөн дүнгийн гүйцэтгэл,1245.2
2021-08,Сонгон шалгаруулалт | Биелэлт (%),139.1
2021-08,Сонгон шалгаруулалт | Жилийн төлөвлөгөө,16000.0
2021-08,Сонгон шалгаруулалт | Өссөн дүнгийн гүйцэтгэл,22256.1
2021-08,Улсын төсвийн хөрөнгөөр хайгуул хийсэн ордын нөхөн төлбөр | Биелэлт (%),33.0
2021-08,Улсын төсвийн хөрөнгөөр хайгуул хийсэн ордын нөхөн төлбөр | Жилийн төлөвлөгөө,2500.0
2021-08,Улсын төсвийн хөрөнгөөр хайгуул хийсэн ордын нөхөн төлбөр | Өссөн дүнгийн гүйцэтгэл,824.8
2021-09,Ашигт малтмалын тусгай зөвшөөрлийн төлбөр | Биелэлт (%),78.6
2021-09,Ашигт малтмалын тусгай зөвшөөрлийн төлбөр | Жилийн төлөвлөгөө,31200.0
2021-09,Ашигт малтмалын тусгай зөвшөөрлийн төлбөр | Өссөн дүнгийн гүйцэтгэл,24526.9
2021-09,Ашигт малтмалын үйлчилгээний орлого | Биелэлт (%),88.7
2021-09,Ашигт малтмалын үйлчилгээний орлого | Жилийн төлөвлөгөө,1626.1
2021-09,Ашигт малтмалын үйлчилгээний орлого | Өссөн дүнгийн гүйцэтгэл,1442.0
2021-09,БҮГД | Биелэлт (%),83.3
2021-09,БҮГД | Жилийн төлөвлөгөө,265400.0
2021-09,БҮГД | Өссөн дүнгийн гүйцэтгэл,221006.8
2021-09,Газрын тосны экспорт | Биелэлт (%),75.8
2021-09,Газрын тосны экспорт | Жилийн төлөвлөгөө,213200.0
2021-09,Газрын тосны экспорт | Өссөн дүнгийн гүйцэтгэл,161552.2
2021-09,Газрын тосны үйлчилгээний орлого | Биелэлт (%),150.7
2021-09,Газрын тосны үйлчилгээний орлого | Жилийн төлөвлөгөө,873.9
2021-09,Газрын тосны үйлчилгээний орлого | Өссөн дүнгийн гүйцэтгэл,1317.0
2021-09,Сонгон шалгаруулалт | Биелэлт (%),181.3
2021-09,Сонгон шалгаруулалт | Жилийн төлөвлөгөө,16000.0
2021-09,Сонгон шалгаруулалт | Өссөн дүнгийн гүйцэтгэл,29014.9
2021-09,Улсын төсвийн хөрөнгөөр хайгуул хийсэн ордын нөхөн төлбөр | Биелэлт (%),126.2
2021-09,Улсын төсвийн хөрөнгөөр хайгуул хийсэн ордын нөхөн төлбөр | Жилийн төлөвлөгөө,2500.0
2021-09,Улсын төсвийн хөрөнгөөр хайгуул хийсэн ордын нөхөн төлбөр | Өссөн дүнгийн гүйцэтгэл,3153.8
2021-10,Ашигт малтмалын тусгай зөвшөөрлийн төлбөр | Биелэлт (%),89.5
2021-10,Ашигт малтмалын тусгай зөвшөөрлийн төлбөр | Жилийн төлөвлөгөө,31200.0
2021-10,Ашигт малтмалын тусгай зөвшөөрлийн төлбөр | Өссөн дүнгийн гүйцэтгэл,27925.5
2021-10,Ашигт малтмалын үйлчилгээний орлого | Биелэлт (%),96.5
2021-10,Ашигт малтмалын үйлчилгээний орлого | Жилийн төлөвлөгөө,1626.1
2021-10,Ашигт малтмалын үйлчилгээний орлого | Өссөн дүнгийн гүйцэтгэл,1569.4
2021-10,БҮГД | Биелэлт (%),86.3
2021-10,БҮГД | Жилийн төлөвлөгөө,265400.0
2021-10,БҮГД | Өссөн дүнгийн гүйцэтгэл,228926.6
2021-10,Газрын тосны экспорт | Биелэлт (%),77.2
2021-10,Газрын тосны экспорт | Жилийн төлөвлөгөө,213200.0
2021-10,Газрын тосны экспорт | Өссөн дүнгийн гүйцэтгэл,164612.1
2021-10,Газрын тосны үйлчилгээний орлого | Биелэлт (%),228.6
2021-10,Газрын тосны үйлчилгээний орлого | Жилийн төлөвлөгөө,873.9
2021-10,Газрын тосны үйлчилгээний орлого | Өссөн дүнгийн гүйцэтгэл,1997.9
2021-10,Сонгон шалгаруулалт | Биелэлт (%),184.2
2021-10,Сонгон шалгаруулалт | Жилийн төлөвлөгөө,16000.0
