сар,үзүүлэлт,температур
2019-03,Хамгийн бага,-14.7
2019-03,Хамгийн их,11.2
2019-04,Дундаж,4.0
2019-04,Хамгийн бага,-10.7
2019-04,Хамгийн их,19.6
2019-05,Дундаж,9.3
2019-05,Хамгийн бага,-6.0
2019-05,Хамгийн их,30.5
2019-06,Дундаж,17.4
2019-06,Хамгийн бага,3.0
2019-06,Хамгийн их,31.4
2019-07,Дундаж,19.3
2019-07,Хамгийн бага,8.7
2019-07,Хамгийн их,31.0
2019-08,Дундаж,15.7
2019-08,Хамгийн бага,5.8
2019-08,Хамгийн их,31.2
2019-09,Дундаж,13.7
2019-09,Хамгийн бага,0.7
2019-09,Хамгийн их,29.9
2019-10,Дундаж,0.9
2019-10,Хамгийн бага,-11.8
2019-10,Хамгийн их,16.6
2019-11,Дундаж,-10.0
2019-11,Хамгийн бага,-27.8
2019-11,Хамгийн их,12.6
2019-12,Дундаж,-17.6
2019-12,Хамгийн бага,-32.2
2019-12,Хамгийн их,-5.5
2020-01,Дундаж,-17.4
2020-01,Хамгийн бага,-32.2
2020-01,Хамгийн их,-4.0
2020-02,Дундаж,-13.4
2020-02,Хамгийн бага,-27.5
2020-02,Хамгийн их,3.6
2020-03,Дундаж,-5.8
2020-03,Хамгийн бага,-22.0
2020-03,Хамгийн их,15.7
2020-04,Дундаж,6.3
2020-04,Хамгийн бага,-11.2
2020-04,Хамгийн их,28.7
2020-05,Дундаж,10.5
2020-05,Хамгийн бага,-2.3
2020-05,Хамгийн их,26.9
2020-06,Дундаж,17.0
2020-06,Хамгийн бага,2.3
2020-06,Хамгийн их,32.4
2020-07,Дундаж,18.6
2020-07,Хамгийн бага,6.4
2020-07,Хамгийн их,33.4
2020-08,Дундаж,16.0
2020-08,Хамгийн бага,7.8
2020-08,Хамгийн их,28.3
2020-09,Дундаж,11.0
2020-09,Хамгийн бага,-1.1
2020-09,Хамгийн их,24.8
2020-10,Дундаж,-0.6
2020-10,Хамгийн бага,-11.9
2020-10,Хамгийн их,13.6
2020-11,Дундаж,-16.1
2020-11,Хамгийн бага,-24.0
2020-11,Хамгийн их,8.7
2020-12,Дундаж,-22.2
2020-12,Хамгийн бага,-32.9
2020-12,Хамгийн их,-11.0
2021-01,Дундаж,-20.9
2021-01,Хамгийн бага,-34.6
2021-01,Хамгийн их,-5.5
2021-02,Дундаж,-12.4
2021-02,Хамгийн бага,-29.2
2021-02,Хамгийн их,6.4
2021-03,Дундаж,-2.6
2021-03,Хамгийн бага,-19.8
2021-03,Хамгийн их,14.7
2021-04,Дундаж,3.1
2021-04,Хамгийн бага,-11.0
2021-04,Хамгийн их,21.3
2021-05,Дундаж,7.6
2021-05,Хамгийн бага,-4.3
2021-05,Хамгийн их,27.6
2021-06,Дундаж,14.8
2021-06,Хамгийн бага,-1.1
2021-06,Хамгийн их,32.2
2021-07,Дундаж,19.2
2021-07,Хамгийн бага,9.8
2021-07,Хамгийн их,31.6
2021-08,Дундаж,15.9
2021-08,Хамгийн бага,5.9
2021-08,Хамгийн их,28.4
2021-09,Дундаж,10.4
2021-09,Хамгийн бага,-5.6
2021-09,Хамгийн их,24.8
2021-10,Дундаж,1.6
2021-10,Хамгийн бага,-12.8
2021-10,Хамгийн их,14.5
2021-11,Дундаж,-8.0
2021-11,Хамгийн бага,-22.3
2021-11,Хамгийн их,7.8
2021-12,Дундаж,-15.6
2021-12,Хамгийн бага,-30.5
2021-12,Хамгийн их,-2.0
2022-01,Дундаж,-17.4
2022-01,Хамгийн бага,-26.8
2022-01,Хамгийн их,-5.3
2022-02,Дундаж,-17.0
2022-02,Хамгийн бага,-27.7
2022-02,Хамгийн их,-2.7
2022-03,Дундаж,-5.5
2022-03,Хамгийн бага,-20.1
2022-03,Хамгийн их,10.3
2022-04,Дундаж,3.4
2022-04,Хамгийн бага,-9.7
2022-04,Хамгийн их,21.0
2022-05,Дундаж,11.2
2022-05,Хамгийн бага,-5.8
2022-05,Хамгийн их,28.4
2022-06,Дундаж,17.1
2022-06,Хамгийн бага,4.4
2022-06,Хамгийн их,30.9
2022-07,Дундаж,17.6
2022-07,Хамгийн бага,7.4
2022-07,Хамгийн их,30.0
2022-08,Дундаж,14.7
2022-08,Хамгийн бага,1.1
2022-08,Хамгийн их,32.3
2022-09,Дундаж,11.8
2022-09,Хамгийн бага,-0.8
2022-09,Хамгийн их,30.6
2022-10,Дундаж,0.4
2022-10,Хамгийн бага,-10.1
2022-10,Хамгийн их,14.0
2022-11,Дундаж,-10.6
2022-11,Хамгийн бага,-30.6
2022-11,Хамгийн их,5.8
2022-12,Дундаж,-20.6
2023-01,Дундаж,-21.0
2023-01,Хамгийн бага,-35.5
2023-01,Хамгийн их,-1.9
2023-02,Дундаж,-13.3
2023-02,Хамгийн бага,-23.8
2023-02,Хамгийн их,4.9
2023-03,Дундаж,-3.9
2023-03,Хамгийн бага,-21.5
2023-03,Хамгийн их,16.9
2023-04,Дундаж,0.0
2023-04,Хамгийн бага,-16.6
2023-04,Хамгийн их,21.4
2023-05,Дундаж,8.8
2023-05,Хамгийн бага,-2.2
2023-05,Хамгийн их,22.6
2023-06,Дундаж,17.3
2023-06,Хамгийн бага,5.3
2023-06,Хамгийн их,0.7
2023-07,Дундаж,17.9
2023-07,Хамгийн бага,-1.1
2023-07,Хамгийн их,34.5
2023-08,Дундаж,17.0
2023-08,Хамгийн бага,5.4
2023-08,Хамгийн их,32.1
2023-09,Дундаж,11.5
2023-09,Хамгийн бага,-0.6
2023-09,Хамгийн их,30.3
2023-10,Дундаж,4.3
2023-10,Хамгийн бага,-5.5
2023-10,Хамгийн их,16.6
2023-11,Дундаж,-11.5
2023-11,Хамгийн бага,-25.1
2023-11,Хамгийн их,6.0
2023-12,Дундаж,-19.1
2023-12,Хамгийн бага,-32.0
2023-12,Хамгийн их,-0.3
2024-01,Дундаж,-19.1
2024-01,Хамгийн бага,-30.6
2024-01,Хамгийн их,-5.8
2024-02,Дундаж,-18.8
2024-02,Хамгийн бага,-32.7
2024-02,Хамгийн их,-1.0
2024-03,Дундаж,-6.4
2024-03,Хамгийн бага,-22.9
2024-03,Хамгийн их,9.9
2024-04,Дундаж,4.9
2024-04,Хамгийн бага,-6.3
2024-04,Хамгийн их,21.6
2024-05,Дундаж,13.2
2024-05,Хамгийн бага,-0.5
2024-05,Хамгийн их,29.3
2024-06,Дундаж,16.1
2024-06,Хамгийн бага,0.3
2024-06,Хамгийн их,31.2
2024-07,Дундаж,20.1
2024-07,Хамгийн бага,11.4
2024-07,Хамгийн их,30.8
2024-08,Дундаж,18.4
2024-08,Хамгийн бага,8.9
2024-08,Хамгийн их,29.1
2024-09,Дундаж,10.6
2024-09,Хамгийн бага,-4.8
2024-09,Хамгийн их,28.0
2024-10,Дундаж,2.0
2024-10,Хамгийн бага,-9.7
2024-10,Хамгийн их,18.7
2024-11,Дундаж,-5.4
2024-11,Хамгийн бага,-21.6
2024-11,Хамгийн их,9.7
2024-12,Дундаж,-16.7
2024-12,Хамгийн бага,-24.2
2024-12,Хамгийн их,-4.3
2025-01,Дундаж,-17.4
2025-01,Хамгийн бага,-28.0
2025-01,Хамгийн их,-3.3
2025-02,Дундаж,-16.4
2025-02,Хамгийн бага,-30.8
2025-02,Хамгийн их,3.7
2025-03,Дундаж,-4.1
2025-03,Хамгийн бага,-17.1
2025-03,Хамгийн их,16.9
2025-04,Дундаж,4.7
2025-04,Хамгийн бага,-10.4
2025-04,Хамгийн их,24.5
2025-05,Дундаж,10.9
2025-05,Хамгийн бага,-3.0
2025-05,Хамгийн их,29.2
2025-06,Дундаж,17.7
2025-06,Хамгийн бага,2.3
2025-06,Хамгийн их,34.4
2025-07,Дундаж,20.2
2025-07,Хамгийн бага,8.0
2025-07,Хамгийн их,34.5
2025-08,Дундаж,16.6
2025-08,Хамгийн бага,5.3
2025-08,Хамгийн их,28.8
2025-09,Дундаж,10.7
2025-09,Хамгийн бага,-1.8
2025-09,Хамгийн их,25.9
2025-10,Дундаж,-1.8
2025-10,Хамгийн бага,-16.3
2025-10,Хамгийн их,24.4
2025-11,Дундаж,-8.8
2025-11,Хамгийн бага,-30.0
2025-11,Хамгийн их,10.0
