year,region,unemployment_rate
2013,Bayan-Ulgii,23.5
2013,Bayankhongor,7.3
2013,Bulgan,4.7
2013,Darkhan-Uul,8.1
2013,Dornod,7.9
2013,Dornogovi,7.8
2013,Dundgovi,6.3
2013,Govi-Altai,10.8
2013,Govisumber,6.2
2013,Khentii,17.5
2013,Khovd,6.3
2013,Khuvsgul,15.1
2013,Orkhon,21.1
2013,Selenge,9.0
2013,Sukhbaatar,7.0
2013,Tuv,8.4
2013,Ulaanbaatar,4.6
2013,Umnugovi,4.9
2013,Uvs,10.1
2013,Uvurkhangai,5.0
2013,Zavkhan,5.6
2014,Arkhangai,3.9
2014,Bayan-Ulgii,22.5
2014,Bayankhongor,5.6
2014,Bulgan,9.7
2014,Darkhan-Uul,9.4
2014,Dornod,10.8
2014,Dornogovi,13.6
2014,Dundgovi,5.2
2014,Govi-Altai,10.2
2014,Govisumber,5.5
2014,Khentii,17.7
2014,Khovd,11.7
2014,Khuvsgul,7.9
2014,Orkhon,12.3
2014,Selenge,10.2
2014,Sukhbaatar,10.1
2014,Tuv,6.2
2014,Ulaanbaatar,5.1
2014,Umnugovi,11.3
2014,Uvs,14.8
2014,Uvurkhangai,3.5
2014,Zavkhan,4.0
2015,Arkhangai,5.0
2015,Bayan-Ulgii,11.9
2015,Bayankhongor,6.4
2015,Bulgan,4.6
2015,Darkhan-Uul,13.2
2015,Dornod,7.9
2015,Dornogovi,14.0
2015,Dundgovi,5.5
2015,Govi-Altai,8.8
2015,Govisumber,16.5
2015,Khentii,14.0
2015,Khovd,8.6
2015,Khuvsgul,6.7
2015,Orkhon,2.2
2015,Selenge,4.9
2015,Sukhbaatar,9.7
2015,Tuv,4.4
2015,Ulaanbaatar,6.9
2015,Umnugovi,11.8
2015,Uvs,8.5
2015,Uvurkhangai,3.6
2015,Zavkhan,6.9
2016,Arkhangai,5.0
2016,Bayan-Ulgii,9.3
2016,Bayankhongor,11.2
2016,Bulgan,8.2
2016,Darkhan-Uul,15.4
2016,Dornod,11.3
2016,Dornogovi,9.9
2016,Dundgovi,5.1
2016,Govi-Altai,10.1
2016,Govisumber,18.1
2016,Khentii,12.9
2016,Khovd,15.1
2016,Khuvsgul,8.5
2016,Orkhon,22.4
2016,Selenge,8.1
2016,Sukhbaatar,9.9
2016,Tuv,2.7
2016,Ulaanbaatar,9.1
2016,Umnugovi,14.3
2016,Uvs,14.2
2016,Uvurkhangai,8.9
2016,Zavkhan,11.4
2017,Arkhangai,5.4
2017,Bayan-Ulgii,12.4
2017,Bayankhongor,5.6
2017,Bulgan,10.7
2017,Darkhan-Uul,14.2
2017,Dornod,10.2
2017,Dornogovi,6.1
2017,Dundgovi,4.4
2017,Govi-Altai,8.6
2017,Govisumber,7.8
2017,Khentii,10.3
2017,Khovd,13.5
2017,Khuvsgul,8.6
2017,Orkhon,23.5
2017,Selenge,6.6
2017,Sukhbaatar,10.9
2017,Tuv,3.2
2017,Ulaanbaatar,7.5
2017,Umnugovi,16.4
2017,Uvs,13.0
2017,Uvurkhangai,7.6
2017,Zavkhan,4.4
2018,Arkhangai,5.2
2018,Bayan-Ulgii,12.6
2018,Bayankhongor,7.3
2018,Bulgan,7.4
2018,Darkhan-Uul,19.6
2018,Dornod,6.3
2018,Dornogovi,5.3
2018,Dundgovi,5.0
2018,Govi-Altai,6.1
2018,Govisumber,11.7
2018,Khentii,11.3
2018,Khovd,8.4
2018,Khuvsgul,6.4
2018,Orkhon,12.8
2018,Selenge,5.6
2018,Sukhbaatar,8.5
2018,Tuv,2.6
2018,Ulaanbaatar,7.6
2018,Umnugovi,7.3
2018,Uvs,10.2
2018,Uvurkhangai,5.3
2018,Zavkhan,4.3
2019,Arkhangai,4.1
2019,Bayan-Ulgii,28.6
2019,Bayankhongor,5.4
2019,Bulgan,5.6
2019,Darkhan-Uul,19.4
2019,Dornod,16.8
2019,Dornogovi,2.1
2019,Dundgovi,4.3
2019,Govi-Altai,11.2
2019,Govisumber,10.0
2019,Khentii,8.1
2019,Khovd,9.2
2019,Khuvsgul,12.8
2019,Orkhon,12.1
2019,Selenge,4.7
2019,Sukhbaatar,7.9
2019,Tuv,4.7
2019,Ulaanbaatar,11.2
2019,Umnugovi,6.2
2019,Uvs,7.0
2019,Uvurkhangai,6.5
2019,Zavkhan,4.7
2020,Arkhangai,3.5
2020,Bayan-Ulgii,21.4
2020,Bayankhongor,5.7
2020,Bulgan,7.2
2020,Darkhan-Uul,12.2
2020,Dornod,13.5
2020,Dornogovi,4.2
2020,Dundgovi,3.4
2020,Govi-Altai,7.4
2020,Govisumber,9.8
2020,Khentii,4.2
2020,Khovd,6.6
2020,Khuvsgul,6.3
2020,Orkhon,7.4
2020,Selenge,10.9
2020,Sukhbaatar,5.2
2020,Tuv,2.7
2020,Ulaanbaatar,6.3
2020,Umnugovi,5.7
