region,month,births
Eastern region,2025-04,265
Khangai region,2025-04,691
Ulaanbaatar,2025-04,2461
Western region,2025-04,608
Central region,2025-05,501
Eastern region,2025-05,256
Khangai region,2025-05,647
Ulaanbaatar,2025-05,2556
Western region,2025-05,582
Central region,2025-06,507
Eastern region,2025-06,241
Khangai region,2025-06,678
Ulaanbaatar,2025-06,2435
Western region,2025-06,584
Central region,2025-07,535
Eastern region,2025-07,257
Khangai region,2025-07,675
Ulaanbaatar,2025-07,2571
Western region,2025-07,626
Central region,2025-08,515
Eastern region,2025-08,237
Khangai region,2025-08,635
Ulaanbaatar,2025-08,2518
Western region,2025-08,611
Central region,2025-09,524
Eastern region,2025-09,253
Khangai region,2025-09,678
Ulaanbaatar,2025-09,2489
Western region,2025-09,608
Central region,2025-10,547
Eastern region,2025-10,260
Khangai region,2025-10,667
Ulaanbaatar,2025-10,2500
Western region,2025-10,591
Central region,2025-11,487
Eastern region,2025-11,240
Khangai region,2025-11,647
Ulaanbaatar,2025-11,2494
Western region,2025-11,535
Central region,2025-12,508
Eastern region,2025-12,248
Khangai region,2025-12,629
Ulaanbaatar,2025-12,2451
Western region,2025-12,600
Central region,2026-01,463
Eastern region,2026-01,245
Khangai region,2026-01,597
Ulaanbaatar,2026-01,2343
Western region,2026-01,614
Central region,2026-02,480
Eastern region,2026-02,259
Khangai region,2026-02,570
Ulaanbaatar,2026-02,2668
Western region,2026-02,490
Central region,2026-03,473
Eastern region,2026-03,248
Khangai region,2026-03,666
Ulaanbaatar,2026-03,2119
Western region,2026-03,583
