month,commodity,price
2022-07,Gold (USD/troy oz),1789.2
2022-07,"Iron concentrate, 60% (USD/tonne)",114.2
2022-07,"Iron ore, 56% (USD/tonne)",85.5
2022-07,Lead (USD/tonne),2066.7
2022-07,"Manganese, 36% (USD/tonne)",211.1
2022-07,Molybdenum (USD/tonne),38286.5
2022-07,Silver (USD/troy oz),21.5
2022-07,Tin (USD/tonne),31749.9
2022-07,"Tungsten, 65% (USD/tonne)",16036.9
2022-07,"Tungsten, 99% (USD/tonne)",42880.0
2022-07,Uranium (USD/kg),109.7
2022-07,Zinc (USD/tonne),3643.3
2022-08,Copper (USD/tonne),7529.8
2022-08,Fluorspar concentrate FF-97 (USD/tonne),355.0
2022-08,Fluorspar ore FK-85 (USD/tonne),355.0
2022-08,Gold (USD/troy oz),1737.6
2022-08,"Iron concentrate, 60% (USD/tonne)",95.8
2022-08,"Iron ore, 56% (USD/tonne)",76.5
2022-08,Lead (USD/tonne),1976.3
2022-08,"Manganese, 36% (USD/tonne)",210.5
2022-08,Molybdenum (USD/tonne),31239.5
2022-08,Silver (USD/troy oz),19.1
2022-08,Tin (USD/tonne),25173.1
2022-08,"Tungsten, 65% (USD/tonne)",16298.7
2022-08,"Tungsten, 99% (USD/tonne)",42450.0
2022-08,Zinc (USD/tonne),3097.2
2022-09,Copper (USD/tonne),7960.3
2022-09,Fluorspar concentrate FF-97 (USD/tonne),362.4
2022-09,Fluorspar ore FK-85 (USD/tonne),355.0
2022-09,Gold (USD/troy oz),1765.7
2022-09,"Iron concentrate, 60% (USD/tonne)",96.0
2022-09,"Iron ore, 56% (USD/tonne)",74.7
2022-09,Lead (USD/tonne),2077.9
2022-09,"Manganese, 36% (USD/tonne)",192.7
2022-09,Molybdenum (USD/tonne),32529.2
2022-09,Silver (USD/troy oz),19.8
2022-09,Tin (USD/tonne),24494.6
2022-09,"Tungsten, 65% (USD/tonne)",17154.7
2022-09,"Tungsten, 99% (USD/tonne)",41960.0
2022-09,Zinc (USD/tonne),3572.9
2022-10,Copper (USD/tonne),7734.7
2022-10,Fluorspar concentrate FF-97 (USD/tonne),362.4
2022-10,Fluorspar ore FK-85 (USD/tonne),355.0
2022-10,Gold (USD/troy oz),1648.2
2022-10,"Iron concentrate, 60% (USD/tonne)",88.8
2022-10,"Iron ore, 56% (USD/tonne)",69.5
2022-10,Lead (USD/tonne),1874.5
2022-10,"Manganese, 36% (USD/tonne)",172.1
2022-10,Molybdenum (USD/tonne),37699.1
2022-10,Silver (USD/troy oz),18.9
2022-10,Tin (USD/tonne),21258.0
2022-10,"Tungsten, 65% (USD/tonne)",16542.0
2022-10,"Tungsten, 99% (USD/tonne)",41880.0
2022-10,Zinc (USD/tonne),3136.4
2022-11,Copper (USD/tonne),7621.2
2022-11,Fluorspar concentrate FF-97 (USD/tonne),362.4
2022-11,Fluorspar ore FK-85 (USD/tonne),355.0
2022-11,Gold (USD/troy oz),1746.1
2022-11,"Iron concentrate, 60% (USD/tonne)",83.7
2022-11,"Iron ore, 56% (USD/tonne)",69.4
2022-11,Lead (USD/tonne),1989.2
2022-11,"Manganese, 36% (USD/tonne)",172.3
2022-11,Molybdenum (USD/tonne),41667.4
2022-11,Silver (USD/troy oz),18.3
2022-11,Tin (USD/tonne),19406.2
2022-11,"Tungsten, 65% (USD/tonne)",15155.3
2022-11,"Tungsten, 99% (USD/tonne)",39470.0
2022-11,Zinc (USD/tonne),2959.8
2022-12,Copper (USD/tonne),8057.2
2022-12,Fluorspar concentrate FF-97 (USD/tonne),362.4
2022-12,Fluorspar ore FK-85 (USD/tonne),355.0
2022-12,Gold (USD/troy oz),1803.7
2022-12,"Iron concentrate, 60% (USD/tonne)",83.1
2022-12,"Iron ore, 56% (USD/tonne)",69.1
2022-12,Lead (USD/tonne),2099.8
2022-12,"Manganese, 36% (USD/tonne)",170.8
2022-12,Molybdenum (USD/tonne),42527.2
2022-12,Silver (USD/troy oz),19.9
2022-12,Tin (USD/tonne),21136.4
2022-12,"Tungsten, 65% (USD/tonne)",15084.8
2022-12,"Tungsten, 99% (USD/tonne)",39000.0
2022-12,Zinc (USD/tonne),2923.5
2023-01,Copper (USD/tonne),8367.2
2023-01,Fluorspar concentrate FF-97 (USD/tonne),364.0
2023-01,Fluorspar ore FK-85 (USD/tonne),355.5
2023-01,Gold (USD/troy oz),1705.7
2023-01,"Iron concentrate, 60% (USD/tonne)",100.6
2023-01,"Iron ore, 56% (USD/tonne)",79.7
2023-01,Lead (USD/tonne),2212.5
2023-01,"Manganese, 36% (USD/tonne)",177.8
2023-01,Molybdenum (USD/tonne),54784.9
2023-01,Silver (USD/troy oz),20.9
2023-01,Tin (USD/tonne),24099.0
2023-01,"Tungsten, 65% (USD/tonne)",16137.0
2023-01,"Tungsten, 99% (USD/tonne)",39360.0
2023-01,Zinc (USD/tonne),3128.2
2023-02,Copper (USD/tonne),8999.3
2023-02,Fluorspar concentrate FF-97 (USD/tonne),415.0
2023-02,Fluorspar ore FK-85 (USD/tonne),355.0
2023-02,Gold (USD/troy oz),1898.2
2023-02,"Iron concentrate, 60% (USD/tonne)",114.7
2023-02,"Iron ore, 56% (USD/tonne)",90.8
2023-02,Lead (USD/tonne),2208.2
2023-02,"Manganese, 36% (USD/tonne)",186.4
2023-02,Molybdenum (USD/tonne),69578.0
2023-02,Silver (USD/troy oz),23.8
2023-02,Tin (USD/tonne),28080.7
2023-02,"Tungsten, 65% (USD/tonne)",17183.9
2023-02,"Tungsten, 99% (USD/tonne)",40000.0
2023-02,Uranium (USD/kg),111.6
2023-02,Zinc (USD/tonne),3289.4
2023-03,Copper (USD/tonne),8834.7
2023-03,Fluorspar concentrate FF-97 (USD/tonne),415.0
2023-03,Fluorspar ore FK-85 (USD/tonne),355.0
2023-03,Gold (USD/troy oz),1912.7
2023-03,"Iron concentrate, 60% (USD/tonne)",114.6
2023-03,"Iron ore, 56% (USD/tonne)",96.4
2023-03,Lead (USD/tonne),2114.1
2023-03,"Manganese, 36% (USD/tonne)",189.8
2023-03,Molybdenum (USD/tonne),68574.2
2023-03,Silver (USD/troy oz),21.9
2023-03,Tin (USD/tonne),23997.4
2023-03,"Tungsten, 65% (USD/tonne)",17002.3
2023-03,"Tungsten, 99% (USD/tonne)",41640.0
2023-03,Uranium (USD/kg),111.3
2023-03,Zinc (USD/tonne),2955.6
2023-04,Copper (USD/tonne),8813.4
2023-04,Fluorspar concentrate FF-97 (USD/tonne),415.0
2023-04,Fluorspar ore FK-85 (USD/tonne),355.0
2023-04,Gold (USD/troy oz),2000.4
2023-04,"Iron concentrate, 60% (USD/tonne)",104.7
2023-04,"Iron ore, 56% (USD/tonne)",87.8
