year,region,beds
2025,Dornogovi,549
2025,Dundgovi,350
2025,Govi-Altai,487
2025,Govisumber,173
2025,Khentii,602
2025,Khovd,776
2025,Khuvsgul,890
2025,Orkhon,942
2025,Selenge,893
2025,Sukhbaatar,530
2025,Tuv,611
2025,Ulaanbaatar,15968
2025,Umnugovi,692
2025,Uvs,552
2025,Uvurkhangai,950
2025,Zavkhan,556
