сар,үзүүлэлт,утга
2021-04,Сэлэнгэ | Дизель Евро-5,2190.0
2021-04,Сүхбаатар | АИ-92,1570.0
2021-04,Сүхбаатар | Дизель,2250.0
2021-04,Сүхбаатар | Дизель Евро-5,2320.0
2021-04,Төв | АИ-92,1430.0
2021-04,Төв | Дизель,2120.0
2021-04,Төв | Дизель Евро-5,2090.0
2021-04,Увс | АИ-92,1520.0
2021-04,Увс | Дизель Евро-5,2050.0
2021-04,Улаанбаатар | Дизель Евро-5,2200.0
2021-04,Ховд | АИ-92,1550.0
2021-04,Ховд | Дизель Евро-5,1900.0
2021-04,Хэнтий | АИ-92,1520.0
2021-04,Хэнтий | Дизель,2150.0
2021-04,Хэнтий | Дизель Евро-5,2100.0
2021-04,Хөвсгөл | АИ-92,1530.0
2021-04,Хөвсгөл | Дизель,2200.0
2021-04,Хөвсгөл | Дизель Евро-5,2100.0
2021-04,Өвөрхангай | АИ-92,1470.0
2021-04,Өвөрхангай | Дизель,2240.0
2021-04,Өвөрхангай | Дизель Евро-5,2100.0
2021-04,Өмнөговь | АИ-92,1550.0
2021-04,Өмнөговь | Дизель,2200.0
2021-04,Өмнөговь | Дизель Евро-5,2200.0
2021-05,Архангай | АИ-92,1500.0
2021-05,Архангай | АИ-92 Евро-5,1530.0
2021-05,Баян-Өлгий | АИ-92,1600.0
2021-05,Баян-Өлгий | АИ-92 Евро-5,1600.0
2021-05,Баянхонгор | АИ-92,1530.0
2021-05,Баянхонгор | АИ-92 Евро-5,1560.0
2021-05,Булган | АИ-92,1460.0
2021-05,Булган | АИ-92 Евро-5,1490.0
2021-05,Говь-Алтай | АИ-92,1600.0
2021-05,Говь-Алтай | АИ-92 Евро-5,1630.0
2021-05,Говьсүмбэр | АИ-92,1480.0
2021-05,Говьсүмбэр | АИ-92 Евро-5,1510.0
2021-05,Дорноговь | АИ-92,1530.0
2021-05,Дорноговь | АИ-92 Евро-5,1550.0
2021-05,Дорнод | АИ-92,1550.0
2021-05,Дорнод | АИ-92 Евро-5,1580.0
2021-05,Дундговь | АИ-92,1530.0
2021-05,Дундговь | АИ-92 Евро-5,1560.0
2021-05,Завхан | АИ-92,1690.0
2021-05,Завхан | АИ-92 Евро-5,1720.0
2021-05,Орхон | АИ-92,1460.0
2021-05,Орхон | АИ-92 Евро-5,1490.0
2021-05,Сэлэнгэ | АИ-92,1440.0
2021-05,Сэлэнгэ | АИ-92 Евро-5,1470.0
2021-05,Сүхбаатар | АИ-92,1570.0
2021-05,Сүхбаатар | АИ-92 Евро-5,1600.0
2021-05,Төв | АИ-92,1430.0
2021-05,Төв | АИ-92 Евро-5,1470.0
