бүс,он,цэцэрлэг
Хөвсгөл,2023,47
Хөвсгөл,2024,46
Хөвсгөл,2025,46
Өвөрхангай,2000,26
Өвөрхангай,2001,27
Өвөрхангай,2002,28
Өвөрхангай,2003,28
Өвөрхангай,2004,28
Өвөрхангай,2005,28
Өвөрхангай,2006,29
Өвөрхангай,2007,30
Өвөрхангай,2008,30
Өвөрхангай,2009,31
Өвөрхангай,2010,31
Өвөрхангай,2011,31
Өвөрхангай,2012,33
Өвөрхангай,2013,33
Өвөрхангай,2014,36
Өвөрхангай,2015,40
Өвөрхангай,2016,40
Өвөрхангай,2017,41
Өвөрхангай,2018,42
Өвөрхангай,2019,42
Өвөрхангай,2020,47
Өвөрхангай,2021,49
Өвөрхангай,2022,49
Өвөрхангай,2023,49
Өвөрхангай,2024,49
Өвөрхангай,2025,50
