year,product,tj
2021,"Wood, wood waste & other solid biomass, charcoal",40165.261217
2021,Electrical energy - produced from wind and hydro only,35706.599456
2021,Heat,60260.898262
2022,Hard coal,727508.702799
2022,Brown coal,151875.807426
2022,Coke and semi-coke of coal,40.613499
2022,Crude oil,15187.186352
2022,"Briquettes, ovoids and similar solid fuels manufactured from coal",16949.6523
2022,Gasoline (excluding biofuels),30139.531226
2022,Diesel,42323.861665
2022,Jet fuel for aircrafts,3249.033278
2022,Kerosene,438.636986
2022,Fuel Oils,100.785621
2022,LPG,875.194034
2022,Other spirits,13.411872
2022,Oil and lubricants,1041.484816
2022,Other petroleum and oil products,1757.077103
2022,"Petroleum Jelly, paraffin waxes and Bitumen and asphalt, natural products",2123.895412
2022,"Wood, wood waste & other solid biomass, charcoal",39571.946132
2022,Electrical energy - produced from wind and hydro only,37417.852933
2022,Heat,63036.280244
2023,Hard coal,1668387.800207
2023,Brown coal,197220.384155
2023,Coke and semi-coke of coal,28.111621
2023,Crude oil,28942.288
2023,"Briquettes, ovoids and similar solid fuels manufactured from coal",15388.74
2023,Gasoline (excluding biofuels),32332.711526
2023,Diesel,58062.553676
2023,Jet fuel for aircrafts,4862.028175
2023,Kerosene,270.809881
2023,Fuel Oils,148.801078
2023,LPG,1862.18141
2023,Other spirits,1.197431
2023,Oil and lubricants,1136.596997
2023,Other petroleum and oil products,3097.16814
2023,"Petroleum Jelly, paraffin waxes and Bitumen and asphalt, natural products",3334.983438
2023,"Wood, wood waste & other solid biomass, charcoal",38795.828021
2023,Electrical energy - produced from wind and hydro only,40253.32076
2023,Heat,66201.523442
2024,Hard coal,2074781.204922
2024,Brown coal,263843.4551
2024,Coke and semi-coke of coal,47.864396
2024,Crude oil,24794.736
2024,"Briquettes, ovoids and similar solid fuels manufactured from coal",14421.48
2024,Gasoline (excluding biofuels),39759.57463
2024,Diesel,70748.69797
2024,Jet fuel for aircrafts,4314.997355
2024,Kerosene,646.375127
2024,Fuel Oils,116.579694
2024,LPG,1774.927333
2024,Other spirits,61.387498
2024,Oil and lubricants,1359.041102
2024,Other petroleum and oil products,1236.479369
2024,"Petroleum Jelly, paraffin waxes and Bitumen and asphalt, natural products",2799.859345
2024,"Wood, wood waste & other solid biomass, charcoal",35891.593139
2024,Electrical energy - produced from wind and hydro only,42319.905971
2024,Heat,70406.159558
