Region,Month,value
 Govi-Altai,2021-06,8.0
 Govi-Altai,2021-07,30.0
 Govi-Altai,2021-08,8.0
 Govi-Altai,2021-09,57.0
 Govi-Altai,2021-10,19.0
 Govi-Altai,2021-11,0.0
 Govi-Altai,2021-12,0.0
 Govi-Altai,2022-01,0.0
 Govi-Altai,2022-02,17.0
 Govi-Altai,2022-03,0.0
 Govi-Altai,2022-04,23.0
 Govi-Altai,2022-05,10.0
 Govi-Altai,2022-06,0.0
 Govi-Altai,2022-07,42.0
 Govi-Altai,2022-08,8.0
 Govi-Altai,2022-09,29.0
 Govi-Altai,2022-10,32.0
 Govi-Altai,2022-11,20.0
 Govi-Altai,2022-12,20.0
 Govi-Altai,2023-01,10.0
 Govi-Altai,2023-02,8.0
 Govi-Altai,2023-03,20.0
 Govi-Altai,2023-04,23.0
 Govi-Altai,2023-05,0.0
 Govi-Altai,2023-06,9.0
 Govi-Altai,2023-07,24.0
 Govi-Altai,2023-08,10.0
 Govi-Altai,2023-09,9.0
 Govi-Altai,2023-10,48.0
 Govi-Altai,2023-11,8.0
 Govi-Altai,2023-12,10.0
 Govi-Altai,2024-01,8.0
 Govi-Altai,2024-02,19.0
 Govi-Altai,2024-03,30.0
 Govi-Altai,2024-04,31.0
 Govi-Altai,2024-05,19.0
 Govi-Altai,2024-06,9.0
 Govi-Altai,2024-07,11.0
 Govi-Altai,2024-08,0.0
 Govi-Altai,2024-09,19.0
 Govi-Altai,2024-10,20.0
 Govi-Altai,2024-11,13.0
 Govi-Altai,2024-12,0.0
 Govi-Altai,2025-01,11.0
 Govi-Altai,2025-02,51.0
 Govi-Altai,2025-03,8.0
 Govi-Altai,2025-04,38.0
 Govi-Altai,2025-05,9.0
 Govi-Altai,2025-06,18.0
 Govi-Altai,2025-07,11.0
 Zavkhan,2026-07,12.0
 Zavkhan,2026-06,0.0
 Zavkhan,2026-05,0.0
 Zavkhan,2026-04,15.0
 Zavkhan,2026-03,0.0
 Zavkhan,2026-02,17.0
 Zavkhan,2026-01,0.0
 Zavkhan,2025-12,12.0
 Zavkhan,2025-11,0.0
 Zavkhan,2025-10,0.0
 Zavkhan,2025-09,14.0
 Zavkhan,2025-08,14.0
 Zavkhan,2016-01,13.0
 Zavkhan,2016-02,0.0
 Zavkhan,2016-03,0.0
 Zavkhan,2016-04,30.0
 Zavkhan,2016-05,13.0
 Zavkhan,2016-06,17.0
 Zavkhan,2016-07,14.0
 Zavkhan,2016-08,0.0
 Zavkhan,2016-09,18.0
 Zavkhan,2016-10,27.0
 Zavkhan,2016-11,15.0
 Zavkhan,2016-12,13.0
 Zavkhan,2017-01,10.0
 Zavkhan,2017-02,11.0
 Zavkhan,2017-03,37.0
 Zavkhan,2017-04,28.0
 Zavkhan,2017-05,24.0
 Zavkhan,2017-06,12.0
 Zavkhan,2017-07,13.0
 Zavkhan,2017-08,9.0
 Zavkhan,2017-09,9.0
 Zavkhan,2017-10,22.0
 Zavkhan,2017-11,0.0
 Zavkhan,2017-12,21.0
 Zavkhan,2018-01,51.0
 Zavkhan,2018-02,0.0
 Zavkhan,2018-03,0.0
 Zavkhan,2018-04,10.0
 Zavkhan,2018-05,32.0
 Zavkhan,2018-06,10.0
 Zavkhan,2018-07,11.0
 Zavkhan,2018-08,20.0
 Zavkhan,2018-09,12.0
 Zavkhan,2018-10,0.0
 Zavkhan,2018-11,23.0
 Zavkhan,2018-12,0.0
 Zavkhan,2019-01,0.0
 Zavkhan,2019-02,0.0
 Zavkhan,2019-03,10.0
 Zavkhan,2019-04,18.0
 Zavkhan,2019-05,0.0
 Zavkhan,2019-06,12.0
 Zavkhan,2019-07,56.0
 Zavkhan,2019-08,26.0
 Zavkhan,2019-09,16.0
 Zavkhan,2019-10,34.0
 Zavkhan,2019-11,11.0
 Zavkhan,2019-12,0.0
 Zavkhan,2020-01,0.0
 Zavkhan,2020-02,10.0
 Zavkhan,2020-03,29.0
 Zavkhan,2020-04,16.0
 Zavkhan,2020-05,23.0
 Zavkhan,2020-06,26.0
 Zavkhan,2020-07,29.0
