гэмт_хэргийн_төрөл,он,гэмт_этгээд
Хүний эрүүл мэндийн халдашгүй байдлын эсрэг гэмт хэрэг,2020,6806
Хүрээлэн байгаа орчны эсрэг гэмт хэрэг,2020,588
Хүүхдийн эсрэг гэмт хэрэг,2020,7
"Хөдөлгөөний аюулгүй байдал, тээврийн хэрэгслийн ашиглалтын журмын эсрэг гэмт хэрэг",2020,854
Цахим мэдээллийн аюулгүй байдлын эсрэг гэмт хэрэг,2020,73
Цэргийн албаны эсрэг гэмт хэрэг,2020,8
Эдийн засгийн гэмт хэрэг гэмт хэрэг,2020,51
Эрүүл мэндийн эсрэг гэмт хэрэг,2020,10
Үндэсний аюулгүй байдлын эсрэг гэмт хэрэг,2020,14
Өмчлөх эрхийн эсрэг гэмт хэрэг,2020,7036
Авлигын гэмт хэрэг,2021,1
Нийтийн албаны ашиг сонирхлын эсрэг гэмт хэрэг,2021,186
"Олон нийтийн аюулгүй байдал, ашиг сонирхлын эсрэг гэмт хэрэг",2021,448
Улсын дүн,2021,18078
Хэрэг шалган шийдвэрлэх ажиллагааны эсрэг гэмт хэрэг,2021,22
"Хүн төрөлхтний аюулгүй байдал, энх тайвны эсрэг гэмт хэрэг",2021,0
Хүний амьд явах эрхийн эсрэг гэмт хэрэг,2021,274
"Хүний бэлгийн эрх чөлөө, халдашгүй байдлын эсрэг гэмт хэрэг",2021,417
Хүний халдашгүй чөлөөтэй байх эрхийн эсрэг гэмт хэрэг,2021,82
"Хүний хувийн, улс төрийн эрх, эрх чөлөөний эсрэг гэмт хэрэг",2021,0
Хүний эрүүл мэндийн халдашгүй байдлын эсрэг гэмт хэрэг,2021,6999
Хүрээлэн байгаа орчны эсрэг гэмт хэрэг,2021,570
Хүүхдийн эсрэг гэмт хэрэг,2021,25
"Хөдөлгөөний аюулгүй байдал, тээврийн хэрэгслийн ашиглалтын журмын эсрэг гэмт хэрэг",2021,800
Цахим мэдээллийн аюулгүй байдлын эсрэг гэмт хэрэг,2021,76
Цэргийн албаны эсрэг гэмт хэрэг,2021,14
Эдийн засгийн гэмт хэрэг гэмт хэрэг,2021,105
Эрүүл мэндийн эсрэг гэмт хэрэг,2021,14
Үндэсний аюулгүй байдлын эсрэг гэмт хэрэг,2021,3
Өмчлөх эрхийн эсрэг гэмт хэрэг,2021,8039
Авлигын гэмт хэрэг,2022,0
Нийтийн албаны ашиг сонирхлын эсрэг гэмт хэрэг,2022,182
"Олон нийтийн аюулгүй байдал, ашиг сонирхлын эсрэг гэмт хэрэг",2022,292
Улсын дүн,2022,23665
Хэрэг шалган шийдвэрлэх ажиллагааны эсрэг гэмт хэрэг,2022,31
"Хүн төрөлхтний аюулгүй байдал, энх тайвны эсрэг гэмт хэрэг",2022,0
Хүний амьд явах эрхийн эсрэг гэмт хэрэг,2022,274
"Хүний бэлгийн эрх чөлөө, халдашгүй байдлын эсрэг гэмт хэрэг",2022,453
Хүний халдашгүй чөлөөтэй байх эрхийн эсрэг гэмт хэрэг,2022,76
"Хүний хувийн, улс төрийн эрх, эрх чөлөөний эсрэг гэмт хэрэг",2022,0
Хүний эрүүл мэндийн халдашгүй байдлын эсрэг гэмт хэрэг,2022,7968
Хүрээлэн байгаа орчны эсрэг гэмт хэрэг,2022,448
Хүүхдийн эсрэг гэмт хэрэг,2022,41
"Хөдөлгөөний аюулгүй байдал, тээврийн хэрэгслийн ашиглалтын журмын эсрэг гэмт хэрэг",2022,1054
Цахим мэдээллийн аюулгүй байдлын эсрэг гэмт хэрэг,2022,133
Цэргийн албаны эсрэг гэмт хэрэг,2022,9
Эдийн засгийн гэмт хэрэг гэмт хэрэг,2022,55
Эрүүл мэндийн эсрэг гэмт хэрэг,2022,4
Үндэсний аюулгүй байдлын эсрэг гэмт хэрэг,2022,0
Өмчлөх эрхийн эсрэг гэмт хэрэг,2022,12639
Авлигын гэмт хэрэг,2023,0
Нийтийн албаны ашиг сонирхлын эсрэг гэмт хэрэг,2023,301
"Олон нийтийн аюулгүй байдал, ашиг сонирхлын эсрэг гэмт хэрэг",2023,328
Улсын дүн,2023,24134
Хэрэг шалган шийдвэрлэх ажиллагааны эсрэг гэмт хэрэг,2023,23
"Хүн төрөлхтний аюулгүй байдал, энх тайвны эсрэг гэмт хэрэг",2023,0
Хүний амьд явах эрхийн эсрэг гэмт хэрэг,2023,264
"Хүний бэлгийн эрх чөлөө, халдашгүй байдлын эсрэг гэмт хэрэг",2023,464
Хүний халдашгүй чөлөөтэй байх эрхийн эсрэг гэмт хэрэг,2023,118
"Хүний хувийн, улс төрийн эрх, эрх чөлөөний эсрэг гэмт хэрэг",2023,1
