Region,Month,value
 Bayan-Ulgii,2018-12,48
 Bayan-Ulgii,2018-11,40
 Bayan-Ulgii,2018-10,41
 Bayan-Ulgii,2018-09,34
 Bayan-Ulgii,2018-08,41
 Bayan-Ulgii,2018-07,36
 Bayan-Ulgii,2018-06,38
 Bayan-Ulgii,2018-05,39
 Bayan-Ulgii,2018-04,37
 Bayan-Ulgii,2018-03,63
 Bayan-Ulgii,2018-02,44
 Bayan-Ulgii,2018-01,41
 Bayan-Ulgii,2017-12,42
 Bayan-Ulgii,2017-11,39
 Bayan-Ulgii,2017-10,35
 Bayan-Ulgii,2017-09,35
 Bayan-Ulgii,2017-08,42
 Bayan-Ulgii,2017-07,32
 Bayan-Ulgii,2017-06,29
 Bayan-Ulgii,2017-05,35
 Bayan-Ulgii,2017-04,20
 Bayan-Ulgii,2017-03,45
 Bayan-Ulgii,2017-02,45
 Bayan-Ulgii,2017-01,49
 Bayan-Ulgii,2016-12,42
 Bayan-Ulgii,2016-11,41
 Bayan-Ulgii,2016-10,36
 Bayan-Ulgii,2016-09,31
 Bayan-Ulgii,2016-08,47
 Bayan-Ulgii,2016-07,44
 Bayan-Ulgii,2016-06,41
 Bayan-Ulgii,2016-05,51
 Bayan-Ulgii,2016-04,55
 Bayan-Ulgii,2016-03,50
 Bayan-Ulgii,2016-02,40
 Bayan-Ulgii,2016-01,37
 Govi-Altai,2026-03,21
 Govi-Altai,2026-02,22
 Govi-Altai,2026-01,22
 Govi-Altai,2025-12,25
 Govi-Altai,2025-11,22
 Govi-Altai,2025-10,17
 Govi-Altai,2025-09,16
 Govi-Altai,2025-8,18
 Govi-Altai,2025-07,23
 Govi-Altai,2025-06,25
 Govi-Altai,2025-05,25
 Govi-Altai,2025-04,17
 Govi-Altai,2025-03,21
 Govi-Altai,2025-02,23
 Govi-Altai,2025-01,18
 Govi-Altai,2024-12,19
 Govi-Altai,2024-11,15
 Govi-Altai,2024-10,23
 Govi-Altai,2024-09,26
 Govi-Altai,2024-08,30
 Govi-Altai,2024-07,33
 Govi-Altai,2024-06,23
 Govi-Altai,2024-05,28
 Govi-Altai,2024-04,19
 Govi-Altai,2024-03,16
 Govi-Altai,2024-02,31
 Govi-Altai,2024-01,32
 Govi-Altai,2023-12,32
 Govi-Altai,2023-11,13
 Govi-Altai,2023-10,18
 Govi-Altai,2023-09,18
 Govi-Altai,2023-08,24
 Govi-Altai,2023-07,33
 Govi-Altai,2023-06,19
 Govi-Altai,2023-05,19
 Govi-Altai,2023-04,18
 Govi-Altai,2023-03,30
 Govi-Altai,2023-02,19
 Govi-Altai,2023-01,24
 Govi-Altai,2022-12,21
 Govi-Altai,2022-11,17
 Govi-Altai,2022-10,31
 Govi-Altai,2022-09,14
 Govi-Altai,2022-08,28
 Govi-Altai,2022-07,19
 Govi-Altai,2022-06,26
 Govi-Altai,2022-05,31
 Govi-Altai,2022-04,31
 Govi-Altai,2022-03,27
 Govi-Altai,2022-02,20
 Govi-Altai,2022-01,30
 Govi-Altai,2021-12,30
 Govi-Altai,2021-11,23
 Govi-Altai,2021-10,30
 Govi-Altai,2021-09,37
 Govi-Altai,2021-08,19
 Govi-Altai,2021-07,39
 Govi-Altai,2021-06,18
 Govi-Altai,2021-05,31
 Govi-Altai,2021-04,21
 Govi-Altai,2021-03,22
 Govi-Altai,2021-02,28
 Govi-Altai,2021-01,21
 Govi-Altai,2020-12,25
 Govi-Altai,2020-11,23
 Govi-Altai,2020-10,14
 Govi-Altai,2020-09,22
 Govi-Altai,2020-08,26
 Govi-Altai,2020-07,33
 Govi-Altai,2020-06,29
 Govi-Altai,2020-05,18
 Govi-Altai,2020-04,18
 Govi-Altai,2020-03,26
 Govi-Altai,2020-02,29
 Govi-Altai,2020-01,19
 Govi-Altai,2019-12,30
 Govi-Altai,2019-11,20
 Govi-Altai,2019-10,21
 Govi-Altai,2019-09,26
 Govi-Altai,2019-08,22
 Govi-Altai,2019-07,24
 Govi-Altai,2019-06,19
 Govi-Altai,2019-05,32
 Govi-Altai,2019-04,28
 Govi-Altai,2019-03,27
 Govi-Altai,2019-02,25
 Govi-Altai,2019-01,29
 Govi-Altai,2018-12,34
 Govi-Altai,2018-11,35
 Govi-Altai,2018-10,21
 Govi-Altai,2018-09,21
 Govi-Altai,2018-08,25
 Govi-Altai,2018-07,24
 Govi-Altai,2018-06,21
 Govi-Altai,2018-05,20
 Govi-Altai,2018-04,26
 Govi-Altai,2018-03,34
 Govi-Altai,2018-02,25
 Govi-Altai,2018-01,25
 Govi-Altai,2017-12,32
 Govi-Altai,2017-11,30
 Govi-Altai,2017-10,31
 Govi-Altai,2017-09,20
 Govi-Altai,2017-08,27
 Govi-Altai,2017-07,25
 Govi-Altai,2017-06,22
 Govi-Altai,2017-05,23
 Govi-Altai,2017-04,23
 Govi-Altai,2017-03,20
 Govi-Altai,2017-02,17
 Govi-Altai,2017-01,22
 Govi-Altai,2016-12,21
 Govi-Altai,2016-11,25
 Govi-Altai,2016-10,17
 Govi-Altai,2016-09,19
 Govi-Altai,2016-08,33
 Govi-Altai,2016-07,29
 Govi-Altai,2016-06,22
 Govi-Altai,2016-05,34
 Govi-Altai,2016-04,28
 Govi-Altai,2016-03,32
 Govi-Altai,2016-02,24
 Govi-Altai,2016-01,25
 Zavkhan,2026-03,40
 Zavkhan,2026-02,27
 Zavkhan,2026-01,34
 Zavkhan,2025-12,36
 Zavkhan,2025-11,17
 Zavkhan,2025-10,21
 Zavkhan,2025-09,36
 Zavkhan,2025-8,26
 Zavkhan,2025-07,22
 Zavkhan,2025-06,21
 Zavkhan,2025-05,22
 Zavkhan,2025-04,25
 Zavkhan,2025-03,37
 Zavkhan,2025-02,32
 Zavkhan,2025-01,25
 Zavkhan,2024-12,27
 Zavkhan,2024-11,27
 Zavkhan,2024-10,32
 Zavkhan,2024-09,26
 Zavkhan,2024-08,29
 Zavkhan,2024-07,41
 Zavkhan,2024-06,30
 Zavkhan,2024-05,26
 Zavkhan,2024-04,33
 Zavkhan,2024-03,23
 Zavkhan,2024-02,29
 Zavkhan,2024-01,29
 Zavkhan,2023-12,18
 Zavkhan,2023-11,23
 Zavkhan,2023-10,37
 Zavkhan,2023-09,21
 Zavkhan,2023-08,34
 Zavkhan,2023-07,32
 Zavkhan,2023-06,31
 Zavkhan,2023-05,31
 Zavkhan,2023-04,33
 Zavkhan,2023-03,38
 Zavkhan,2023-02,33
 Zavkhan,2023-01,29
 Zavkhan,2022-12,27
 Zavkhan,2022-11,33
 Zavkhan,2022-10,22
 Zavkhan,2022-09,30
 Zavkhan,2022-08,37
 Zavkhan,2022-07,28
 Zavkhan,2022-06,28
 Zavkhan,2022-05,29
 Zavkhan,2022-04,30
 Zavkhan,2022-03,22
 Zavkhan,2022-02,31
 Zavkhan,2022-01,34
 Zavkhan,2021-12,27
 Zavkhan,2021-11,39
 Zavkhan,2021-10,44
 Zavkhan,2021-09,37
 Zavkhan,2021-08,45
 Zavkhan,2021-07,35
 Zavkhan,2021-06,35
 Zavkhan,2021-05,32
 Zavkhan,2021-04,38
 Zavkhan,2021-03,28
 Zavkhan,2021-02,24
 Zavkhan,2021-01,38
 Zavkhan,2020-12,24
 Zavkhan,2020-11,26
 Zavkhan,2020-10,33
 Zavkhan,2020-09,28
 Zavkhan,2020-08,32
 Zavkhan,2020-07,44
 Zavkhan,2020-06,23
 Zavkhan,2020-05,30
 Zavkhan,2020-04,27
 Zavkhan,2020-03,27
 Zavkhan,2020-02,27
 Zavkhan,2020-01,28
 Zavkhan,2019-12,31
 Zavkhan,2019-11,26
 Zavkhan,2019-10,30
 Zavkhan,2019-09,25
 Zavkhan,2019-08,38
 Zavkhan,2019-07,33
 Zavkhan,2019-06,28
 Zavkhan,2019-05,42
 Zavkhan,2019-04,37
 Zavkhan,2019-03,34
 Zavkhan,2019-02,23
 Zavkhan,2019-01,32
 Zavkhan,2018-12,32
 Zavkhan,2018-11,37
 Zavkhan,2018-10,28
 Zavkhan,2018-09,39
 Zavkhan,2018-08,27
 Zavkhan,2018-07,30
 Zavkhan,2018-06,26
 Zavkhan,2018-05,27
 Zavkhan,2018-04,28
 Zavkhan,2018-03,30
 Zavkhan,2018-02,33
 Zavkhan,2018-01,32
 Zavkhan,2017-12,32
 Zavkhan,2017-11,20
 Zavkhan,2017-10,28
 Zavkhan,2017-09,30
 Zavkhan,2017-08,28
 Zavkhan,2017-07,29
 Zavkhan,2017-06,33
 Zavkhan,2017-05,35
 Zavkhan,2017-04,34
 Zavkhan,2017-03,45
 Zavkhan,2017-02,38
 Zavkhan,2017-01,17
 Zavkhan,2016-12,28
 Zavkhan,2016-11,39
 Zavkhan,2016-10,36
 Zavkhan,2016-09,24
 Zavkhan,2016-08,27
 Zavkhan,2016-07,27
 Zavkhan,2016-06,38
 Zavkhan,2016-05,36
 Zavkhan,2016-04,32
 Zavkhan,2016-03,38
 Zavkhan,2016-02,31
 Zavkhan,2016-01,30
 Uvs,2026-03,30
 Uvs,2026-02,29
 Uvs,2026-01,33
 Uvs,2025-12,33
 Uvs,2025-11,29
 Uvs,2025-10,34
 Uvs,2025-09,37
 Uvs,2025-8,32
 Uvs,2025-07,43
 Uvs,2025-06,40
 Uvs,2025-05,32
 Uvs,2025-04,43
 Uvs,2025-03,47
 Uvs,2025-02,36
 Uvs,2025-01,34
 Uvs,2024-12,32
 Uvs,2024-11,18
 Uvs,2024-10,40
 Uvs,2024-09,32
 Uvs,2024-08,25
 Uvs,2024-07,52
 Uvs,2024-06,51
 Uvs,2024-05,34
 Uvs,2024-04,37
 Uvs,2024-03,39
 Uvs,2024-02,28
 Uvs,2024-01,27
 Uvs,2023-12,32
 Uvs,2023-11,27
 Uvs,2023-10,35
 Uvs,2023-09,33
 Uvs,2023-08,40
 Uvs,2023-07,41
 Uvs,2023-06,32
 Uvs,2023-05,37
 Uvs,2023-04,34
 Uvs,2023-03,37
 Uvs,2023-02,34
 Uvs,2023-01,31
 Uvs,2022-12,31
 Uvs,2022-11,43
 Uvs,2022-10,39
 Uvs,2022-09,31
 Uvs,2022-08,24
 Uvs,2022-07,39
 Uvs,2022-06,34
 Uvs,2022-05,34
 Uvs,2022-04,29
 Uvs,2022-03,39
 Uvs,2022-02,32
 Uvs,2022-01,27
 Uvs,2021-12,60
 Uvs,2021-11,39
 Uvs,2021-10,55
 Uvs,2021-09,52
 Uvs,2021-08,41
 Uvs,2021-07,39
 Uvs,2021-06,36
 Uvs,2021-05,46
 Uvs,2021-04,27
 Uvs,2021-03,27
 Uvs,2021-02,40
 Uvs,2021-01,18
 Uvs,2020-12,28
 Uvs,2020-11,22
 Uvs,2020-10,37
 Uvs,2020-09,44
 Uvs,2020-08,30
 Uvs,2020-07,35
 Uvs,2020-06,44
 Uvs,2020-05,35
 Uvs,2020-04,37
 Uvs,2020-03,27
 Uvs,2020-02,40
 Uvs,2020-01,33
 Uvs,2019-12,40
 Uvs,2019-11,22
 Uvs,2019-10,33
 Uvs,2019-09,33
 Uvs,2019-08,31
 Uvs,2019-07,35
 Uvs,2019-06,33
 Uvs,2019-05,38
 Uvs,2019-04,40
 Uvs,2019-03,39
 Uvs,2019-02,47
 Uvs,2019-01,41
 Uvs,2018-12,42
 Uvs,2018-11,22
 Uvs,2018-10,42
 Uvs,2018-09,36
 Uvs,2018-08,39
 Uvs,2018-07,45
 Uvs,2018-06,44
 Uvs,2018-05,49
 Uvs,2018-04,39
 Uvs,2018-03,39
 Uvs,2018-02,25
 Uvs,2018-01,35
 Uvs,2017-12,37
 Uvs,2017-11,35
 Uvs,2017-10,42
 Uvs,2017-09,30
 Uvs,2017-08,30
 Uvs,2017-07,47
 Uvs,2017-06,36
 Uvs,2017-05,46
 Uvs,2017-04,33
 Uvs,2017-03,32
 Uvs,2017-02,36
 Uvs,2017-01,26
 Uvs,2016-12,36
 Uvs,2016-11,33
 Uvs,2016-10,27
 Uvs,2016-09,41
 Uvs,2016-08,30
 Uvs,2016-07,38
 Uvs,2016-06,43
 Uvs,2016-05,44
 Uvs,2016-04,39
 Uvs,2016-03,38
 Uvs,2016-02,42
 Uvs,2016-01,41
 Khovd,2026-03,34
 Khovd,2026-02,29
 Khovd,2026-01,37
 Khovd,2025-12,29
 Khovd,2025-11,31
 Khovd,2025-10,35
 Khovd,2025-09,31
 Khovd,2025-8,27
 Khovd,2025-07,27
 Khovd,2025-06,21
 Khovd,2025-05,22
 Khovd,2025-04,19
 Khovd,2025-03,28
 Khovd,2025-02,24
 Khovd,2025-01,19
 Khovd,2024-12,35
 Khovd,2024-11,26
 Khovd,2024-10,27
 Khovd,2024-09,28
 Khovd,2024-08,30
 Khovd,2024-07,35
 Khovd,2024-06,36
 Khovd,2024-05,30
 Khovd,2024-04,24
 Khovd,2024-03,21
 Khovd,2024-02,37
 Khovd,2024-01,25
 Khovd,2023-12,44
 Khovd,2023-11,29
 Khovd,2023-10,30
 Khovd,2023-09,31
 Khovd,2023-08,39
 Khovd,2023-07,35
 Khovd,2023-06,24
 Khovd,2023-05,38
 Khovd,2023-04,26
 Khovd,2023-03,33
 Khovd,2023-02,36
 Khovd,2023-01,30
 Khovd,2022-12,27
 Khovd,2022-11,32
 Khovd,2022-10,34
 Khovd,2022-09,36
 Khovd,2022-08,50
 Khovd,2022-07,38
 Khovd,2022-06,26
 Khovd,2022-05,34
 Khovd,2022-04,38
 Khovd,2022-03,34
 Khovd,2022-02,23
 Khovd,2022-01,27
 Khovd,2021-12,29
 Khovd,2021-11,33
 Khovd,2021-10,44
 Khovd,2021-09,55
 Khovd,2021-08,41
 Khovd,2021-07,41
 Khovd,2021-06,19
 Khovd,2021-05,29
 Khovd,2021-04,32
 Khovd,2021-03,34
 Khovd,2021-02,30
 Khovd,2021-01,29
 Khovd,2020-12,34
 Khovd,2020-11,31
 Khovd,2020-10,42
 Khovd,2020-09,30
 Khovd,2020-08,34
 Khovd,2020-07,25
 Khovd,2020-06,29
 Khovd,2020-05,25
 Khovd,2020-04,36
 Khovd,2020-03,26
 Khovd,2020-02,28
 Khovd,2020-01,33
 Khovd,2019-12,41
 Khovd,2019-11,33
 Khovd,2019-10,27
 Khovd,2019-09,37
 Khovd,2019-08,40
 Khovd,2019-07,26
 Khovd,2019-06,16
 Khovd,2019-05,27
 Khovd,2019-04,30
 Khovd,2019-03,28
 Khovd,2019-02,34
 Khovd,2019-01,28
 Khovd,2018-12,38
 Khovd,2018-11,20
 Khovd,2018-10,41
 Khovd,2018-09,32
 Khovd,2018-08,34
 Khovd,2018-07,25
 Khovd,2018-06,33
 Khovd,2018-05,28
 Khovd,2018-04,36
 Khovd,2018-03,41
 Khovd,2018-02,45
 Khovd,2018-01,42
 Khovd,2017-12,32
 Khovd,2017-11,39
 Khovd,2017-10,39
 Khovd,2017-09,35
 Khovd,2017-08,41
 Khovd,2017-07,25
 Khovd,2017-06,35
 Khovd,2017-05,37
 Khovd,2017-04,34
 Khovd,2017-03,41
 Khovd,2017-02,33
 Khovd,2017-01,34
 Khovd,2016-12,41
 Khovd,2016-11,31
 Khovd,2016-10,26
 Khovd,2016-09,29
 Khovd,2016-08,27
 Khovd,2016-07,35
 Khovd,2016-06,40
 Khovd,2016-05,35
 Khovd,2016-04,29
 Khovd,2016-03,39
 Khovd,2016-02,22
 Khovd,2016-01,34
 Khangai region,2026-03,263
 Khangai region,2026-02,241
 Khangai region,2026-01,239
 Khangai region,2025-12,254
 Khangai region,2025-11,256
 Khangai region,2025-10,272
 Khangai region,2025-09,290
 Khangai region,2025-8,248
 Khangai region,2025-07,282
 Khangai region,2025-06,251
 Khangai region,2025-05,290
 Khangai region,2025-04,243
 Khangai region,2025-03,284
 Khangai region,2025-02,214
 Khangai region,2025-01,237
 Khangai region,2024-12,336
 Khangai region,2024-11,237
 Khangai region,2024-10,302
 Khangai region,2024-09,271
 Khangai region,2024-08,256
 Khangai region,2024-07,268
 Khangai region,2024-06,231
 Khangai region,2024-05,275
 Khangai region,2024-04,275
 Khangai region,2024-03,239
 Khangai region,2024-02,264
 Khangai region,2024-01,254
 Khangai region,2023-12,275
 Khangai region,2023-11,252
 Khangai region,2023-10,255
 Khangai region,2023-09,246
 Khangai region,2023-08,259
 Khangai region,2023-07,306
 Khangai region,2023-06,245
 Khangai region,2023-05,284
 Khangai region,2023-04,210
 Khangai region,2023-03,313
 Khangai region,2023-02,238
 Khangai region,2023-01,265
 Khangai region,2022-12,247
 Khangai region,2022-11,237
 Khangai region,2022-10,261
 Khangai region,2022-09,245
 Khangai region,2022-08,275
 Khangai region,2022-07,297
 Khangai region,2022-06,258
 Khangai region,2022-05,275
 Khangai region,2022-04,281
 Khangai region,2022-03,287
 Khangai region,2022-02,266
 Khangai region,2022-01,234
 Khangai region,2021-12,270
 Khangai region,2021-11,313
 Khangai region,2021-10,394
 Khangai region,2021-09,395
 Khangai region,2021-08,356
 Khangai region,2021-07,280
 Khangai region,2021-06,275
 Khangai region,2021-05,221
 Khangai region,2021-04,233
 Khangai region,2021-03,235
 Khangai region,2021-02,234
 Khangai region,2021-01,204
 Khangai region,2020-12,232
 Khangai region,2020-11,218
 Khangai region,2020-10,253
 Khangai region,2020-09,265
 Khangai region,2020-08,253
 Khangai region,2020-07,282
 Khangai region,2020-06,249
 Khangai region,2020-05,229
 Khangai region,2020-04,226
 Khangai region,2020-03,217
 Khangai region,2020-02,240
 Khangai region,2020-01,254
 Khangai region,2019-12,287
 Khangai region,2019-11,205
 Khangai region,2019-10,288
 Khangai region,2019-09,241
 Khangai region,2019-08,309
 Khangai region,2019-07,291
 Khangai region,2019-06,258
 Khangai region,2019-05,294
 Khangai region,2019-04,239
 Khangai region,2019-03,244
 Khangai region,2019-02,295
 Khangai region,2019-01,286
 Khangai region,2018-12,276
 Khangai region,2018-11,268
 Khangai region,2018-10,276
 Khangai region,2018-09,250
 Khangai region,2018-08,287
 Khangai region,2018-07,290
 Khangai region,2018-06,267
 Khangai region,2018-05,280
 Khangai region,2018-04,275
 Khangai region,2018-03,298
 Khangai region,2018-02,284
 Khangai region,2018-01,269
 Khangai region,2017-12,271
 Khangai region,2017-11,234
 Khangai region,2017-10,293
 Khangai region,2017-09,299
 Khangai region,2017-08,271
 Khangai region,2017-07,275
 Khangai region,2017-06,253
 Khangai region,2017-05,250
 Khangai region,2017-04,244
 Khangai region,2017-03,285
 Khangai region,2017-02,199
 Khangai region,2017-01,242
 Khangai region,2016-12,247
 Khangai region,2016-11,252
 Khangai region,2016-10,234
 Khangai region,2016-09,268
 Khangai region,2016-08,283
 Khangai region,2016-07,275
 Khangai region,2016-06,250
 Khangai region,2016-05,295
 Khangai region,2016-04,293
 Khangai region,2016-03,304
 Khangai region,2016-02,297
 Khangai region,2016-01,260
 Arkhangai,2026-03,64
 Arkhangai,2026-02,45
 Arkhangai,2026-01,46
 Arkhangai,2025-12,42
 Arkhangai,2025-11,47
