огноо,валютын_код,валютын_нэр,ханш_төгрөг
2020-03-22,USD,Америк доллар,2770.76
2020-03-23,CNY,Хятад юань,389.74
2020-03-23,EUR,Евро,2963.75
2020-03-23,JPY,Японы иен,25.14
2020-03-23,KRW,Солонгосын вон,2.19
2020-03-23,RUB,Оросын рубль,34.21
2020-03-23,USD,Америк доллар,2771.41
2020-03-24,CNY,Хятад юань,391.57
2020-03-24,EUR,Евро,3001.16
2020-03-24,JPY,Японы иен,25.06
2020-03-24,KRW,Солонгосын вон,2.22
2020-03-24,RUB,Оросын рубль,35.09
2020-03-24,USD,Америк доллар,2772.18
2020-03-25,CNY,Хятад юань,390.84
2020-03-25,EUR,Евро,2997.61
2020-03-25,JPY,Японы иен,24.87
2020-03-25,KRW,Солонгосын вон,2.25
2020-03-25,RUB,Оросын рубль,35.72
2020-03-25,USD,Америк доллар,2773.0
2020-03-26,CNY,Хятад юань,390.97
2020-03-26,EUR,Евро,3030.08
2020-03-26,JPY,Японы иен,25.12
2020-03-26,KRW,Солонгосын вон,2.25
2020-03-26,RUB,Оросын рубль,35.23
2020-03-26,USD,Америк доллар,2774.29
2020-03-27,CNY,Хятад юань,391.56
2020-03-27,EUR,Евро,3061.02
2020-03-27,JPY,Японы иен,25.51
2020-03-27,KRW,Солонгосын вон,2.28
2020-03-27,RUB,Оросын рубль,35.69
2020-03-27,USD,Америк доллар,2775.43
2020-03-28,CNY,Хятад юань,391.56
2020-03-28,EUR,Евро,3061.02
2020-03-28,JPY,Японы иен,25.51
2020-03-28,KRW,Солонгосын вон,2.28
2020-03-28,RUB,Оросын рубль,35.69
2020-03-28,USD,Америк доллар,2775.43
2020-03-29,CNY,Хятад юань,391.56
2020-03-29,EUR,Евро,3061.02
2020-03-29,JPY,Японы иен,25.51
2020-03-29,KRW,Солонгосын вон,2.28
2020-03-29,RUB,Оросын рубль,35.69
2020-03-29,USD,Америк доллар,2775.43
2020-03-30,CNY,Хятад юань,391.43
2020-03-30,EUR,Евро,3076.52
2020-03-30,JPY,Японы иен,25.7
2020-03-30,KRW,Солонгосын вон,2.27
2020-03-30,RUB,Оросын рубль,34.78
2020-03-30,USD,Америк доллар,2775.89
2020-03-31,CNY,Хятад юань,391.62
2020-03-31,EUR,Евро,3054.54
2020-03-31,JPY,Японы иен,25.62
2020-03-31,KRW,Солонгосын вон,2.28
2020-03-31,RUB,Оросын рубль,35.37
2020-03-31,USD,Америк доллар,2777.74
2020-04-01,CNY,Хятад юань,390.89
2020-04-01,EUR,Евро,3043.29
2020-04-01,JPY,Японы иен,25.8
2020-04-01,KRW,Солонгосын вон,2.25
2020-04-01,RUB,Оросын рубль,35.08
2020-04-01,USD,Америк доллар,2776.98
2020-04-02,CNY,Хятад юань,391.68
2020-04-02,EUR,Евро,3038.15
2020-04-02,JPY,Японы иен,25.9
2020-04-02,KRW,Солонгосын вон,2.27
2020-04-02,RUB,Оросын рубль,35.55
2020-04-02,USD,Америк доллар,2779.01
2020-04-03,CNY,Хятад юань,391.86
2020-04-03,EUR,Евро,3001.19
2020-04-03,JPY,Японы иен,25.69
2020-04-03,KRW,Солонгосын вон,2.26
2020-04-03,RUB,Оросын рубль,36.02
2020-04-03,USD,Америк доллар,2779.78
2020-04-04,CNY,Хятад юань,391.86
2020-04-04,EUR,Евро,3001.19
