Indicator,Station location,Month,value
Average air temperature, Zamiin-Uud,2016-06,20.6
Average air temperature, Zamiin-Uud,2016-05,14.6
Average air temperature, Zamiin-Uud,2016-04,8.8
Average air temperature, Zamiin-Uud,2016-03,-0.7
Average air temperature, Zamiin-Uud,2016-02,-11.9
Average air temperature, Zamiin-Uud,2016-01,-19.8
Average air temperature, Zamiin-Uud,2015-12,-14.0
Average air temperature, Zamiin-Uud,2015-11,-6.9
Average air temperature, Zamiin-Uud,2015-10,6.9
Average air temperature, Zamiin-Uud,2015-09,15.6
Average air temperature, Zamiin-Uud,2015-08,22.7
Average air temperature, Zamiin-Uud,2015-07,24.3
Average air temperature, Zamiin-Uud,2015-06,19.6
Average air temperature, Zamiin-Uud,2015-05,14.5
Average air temperature, Zamiin-Uud,2015-04,8.2
Average air temperature, Zamiin-Uud,2015-03,-1.0
Average air temperature, Zamiin-Uud,2015-02,-9.3
Average air temperature, Zamiin-Uud,2015-01,-12.3
Average air temperature, Zamiin-Uud,2014-12,-13.2
Average air temperature, Zamiin-Uud,2014-11,-3.2
Average air temperature, Zamiin-Uud,2014-10,7.9
Average air temperature, Zamiin-Uud,2014-09,15.3
Average air temperature, Zamiin-Uud,2014-08,22.3
Average air temperature, Zamiin-Uud,2014-07,25.5
Average air temperature, Zamiin-Uud,2014-06,20.8
Average air temperature, Zamiin-Uud,2014-05,14.6
Average air temperature, Zamiin-Uud,2014-04,12.5
Average air temperature, Zamiin-Uud,2014-03,0.5
Average air temperature, Zamiin-Uud,2014-02,-10.8
Average air temperature, Zamiin-Uud,2014-01,-11.2
Average air temperature, Zamiin-Uud,2013-12,-12.1
Average air temperature, Zamiin-Uud,2013-11,-3.6
Average air temperature, Zamiin-Uud,2013-10,6.1
Average air temperature, Zamiin-Uud,2013-09,15.2
Average air temperature, Zamiin-Uud,2013-08,23.3
Average air temperature, Zamiin-Uud,2013-07,25.2
Average air temperature, Zamiin-Uud,2013-06,21.8
Average air temperature, Zamiin-Uud,2013-05,17.7
Average air temperature, Zamiin-Uud,2013-04,4.7
Average air temperature, Zamiin-Uud,2013-03,-1.2
Average air temperature, Zamiin-Uud,2013-02,-13.7
Average air temperature, Zamiin-Uud,2013-01,-19.4
Average air temperature, Zamiin-Uud,2012-12,-19.4
Average air temperature, Zamiin-Uud,2012-11,-9.0
Average air temperature, Zamiin-Uud,2012-10,5.6
Average air temperature, Zamiin-Uud,2012-09,14.6
Average air temperature, Zamiin-Uud,2012-08,22.9
Average air temperature, Zamiin-Uud,2012-07,23.1
Average air temperature, Zamiin-Uud,2012-06,20.2
Average air temperature, Zamiin-Uud,2012-05,16.6
Average air temperature, Zamiin-Uud,2012-04,8.3
Average air temperature, Zamiin-Uud,2012-03,-5.4
Average air temperature, Zamiin-Uud,2012-02,-15.8
Average air temperature, Zamiin-Uud,2012-01,-21.8
Average air temperature, Zamiin-Uud,2011-12,-19.1
Average air temperature, Zamiin-Uud,2011-11,-6.5
Average air temperature, Zamiin-Uud,2011-10,7.2
Average air temperature, Zamiin-Uud,2011-09,13.3
Average air temperature, Zamiin-Uud,2011-08,24.6
Average air temperature, Zamiin-Uud,2011-07,23.4
Average air temperature, Zamiin-Uud,2011-06,22.4
Average air temperature, Zamiin-Uud,2011-05,13.6
Average air temperature, Zamiin-Uud,2011-04,7.1
Average air temperature, Zamiin-Uud,2011-03,-3.3
Average air temperature, Zamiin-Uud,2011-02,-9.7
Average air temperature, Zamiin-Uud,2011-01,-21.9
Average air temperature, Zamiin-Uud,2010-12,-13.0
Average air temperature, Zamiin-Uud,2010-11,-4.3
Average air temperature, Zamiin-Uud,2010-10,6.1
Average air temperature, Zamiin-Uud,2010-09,16.6
Average air temperature, Zamiin-Uud,2010-08,22.0
Average air temperature, Zamiin-Uud,2010-07,27.2
Average air temperature, Zamiin-Uud,2010-06,23.4
Average air temperature, Zamiin-Uud,2010-05,15.2
Average air temperature, Zamiin-Uud,2010-04,2.9
Average air temperature, Zamiin-Uud,2010-03,-5.3
Average air temperature, Zamiin-Uud,2010-02,-14.7
Average air temperature, Zamiin-Uud,2010-01,-21.7
Average air temperature, Zamiin-Uud,2009-12,-15.5
Average air temperature, Zamiin-Uud,2009-11,-9.7
Average air temperature, Zamiin-Uud,2009-10,5.6
Average air temperature, Zamiin-Uud,2009-09,15.1
Average air temperature, Zamiin-Uud,2009-08,22.5
Average air temperature, Zamiin-Uud,2009-07,24.4
Average air temperature, Zamiin-Uud,2009-06,20.3
Average air temperature, Zamiin-Uud,2009-05,17.0
Average air temperature, Zamiin-Uud,2009-04,9.8
Average air temperature, Zamiin-Uud,2009-03,-2.3
Average air temperature, Zamiin-Uud,2009-02,-9.9
Average air temperature, Zamiin-Uud,2009-01,-17.1
Average air temperature, Zamiin-Uud,2008-12,-13.2
Average air temperature, Zamiin-Uud,2008-11,-3.1
Average air temperature, Zamiin-Uud,2008-10,6.4
Average air temperature, Zamiin-Uud,2008-09,15.5
Average air temperature, Zamiin-Uud,2008-08,21.8
Average air temperature, Zamiin-Uud,2008-07,24.8
Average air temperature, Zamiin-Uud,2008-06,20.3
Average air temperature, Zamiin-Uud,2008-05,13.2
Average air temperature, Zamiin-Uud,2008-04,9.6
Average air temperature, Zamiin-Uud,2008-03,0.3
Average air temperature, Zamiin-Uud,2008-02,-13.1
Average air temperature, Zamiin-Uud,2008-01,-18.7
Average air temperature, Zamiin-Uud,2007-12,
Average air temperature, Zamiin-Uud,2007-11,
Average air temperature, Zamiin-Uud,2007-10,
Average air temperature, Zamiin-Uud,2007-09,
Average air temperature, Zamiin-Uud,2007-08,
Average air temperature, Zamiin-Uud,2007-07,
Average air temperature, Zamiin-Uud,2007-06,
Average air temperature, Zamiin-Uud,2007-05,
Average air temperature, Zamiin-Uud,2007-04,
Average air temperature, Zamiin-Uud,2007-03,
Average air temperature, Zamiin-Uud,2007-02,
Average air temperature, Zamiin-Uud,2007-01,
Average air temperature, Zamiin-Uud,2006-12,
Average air temperature, Zamiin-Uud,2006-11,
Average air temperature, Zamiin-Uud,2006-10,
Average air temperature, Zamiin-Uud,2006-09,
Average air temperature, Zamiin-Uud,2006-08,
Average air temperature, Zamiin-Uud,2006-07,
Average air temperature, Zamiin-Uud,2006-06,
Average air temperature, Zamiin-Uud,2006-05,
Average air temperature, Zamiin-Uud,2006-04,
Average air temperature, Zamiin-Uud,2006-03,
Average air temperature, Zamiin-Uud,2006-02,
Average air temperature, Zamiin-Uud,2006-01,
Average air temperature, Zamiin-Uud,2005-12,
Average air temperature, Zamiin-Uud,2005-11,
Average air temperature, Zamiin-Uud,2005-10,
Average air temperature, Zamiin-Uud,2005-09,
Average air temperature, Zamiin-Uud,2005-08,
Average air temperature, Zamiin-Uud,2005-07,
Average air temperature, Zamiin-Uud,2005-06,
Average air temperature, Zamiin-Uud,2005-05,
Average air temperature, Zamiin-Uud,2005-04,
Average air temperature, Zamiin-Uud,2005-03,
Average air temperature, Zamiin-Uud,2005-02,
Average air temperature, Zamiin-Uud,2005-01,
Average air temperature, Zuunmod,2025-11,-8.9
Average air temperature, Zuunmod,2025-10,-3.1
Average air temperature, Zuunmod,2025-09,9.7
Average air temperature, Zuunmod,2025-08,15.3
Average air temperature, Zuunmod,2025-07,18.8
Average air temperature, Zuunmod,2025-06,16.7
Average air temperature, Zuunmod,2025-5,9.5
Average air temperature, Zuunmod,2025-4,3.9
Average air temperature, Zuunmod,2025-3,-5.1
Average air temperature, Zuunmod,2025-2,-16.8
Average air temperature, Zuunmod,2025-1,-16.7
Average air temperature, Zuunmod,2024-12,-16.5
Average air temperature, Zuunmod,2024-11,-6.0
Average air temperature, Zuunmod,2024-10,1.3
Average air temperature, Zuunmod,2024-09,9.4
Average air temperature, Zuunmod,2024-08,16.7
Average air temperature, Zuunmod,2024-07,18.9
Average air temperature, Zuunmod,2024-06,14.7
Average air temperature, Zuunmod,2024-05,11.8
Average air temperature, Zuunmod,2024-04,3.6
Average air temperature, Zuunmod,2024-03,-7.6
Average air temperature, Zuunmod,2024-02,-18.2
Average air temperature, Zuunmod,2024-01,-17.8
Average air temperature, Zuunmod,2023-12,-18.2
Average air temperature, Zuunmod,2023-11,-12.2
Average air temperature, Zuunmod,2023-10,4.0
Average air temperature, Zuunmod,2023-09,10.3
Average air temperature, Zuunmod,2023-08,15.6
Average air temperature, Zuunmod,2023-07,16.6
Average air temperature, Zuunmod,2023-06,16.2
Average air temperature, Zuunmod,2023-05,7.6
Average air temperature, Zuunmod,2023-04,-1.4
Average air temperature, Zuunmod,2023-03,-4.6
Average air temperature, Zuunmod,2023-02,-13.4
Average air temperature, Zuunmod,2023-01,-19.9
Average air temperature, Zuunmod,2022-12,-20.7
Average air temperature, Zuunmod,2022-11,-10.5
Average air temperature, Zuunmod,2022-10,-0.6
Average air temperature, Zuunmod,2022-09,11.0
Average air temperature, Zuunmod,2022-08,13.4
Average air temperature, Zuunmod,2022-07,16.2
Average air temperature, Zuunmod,2022-06,15.7
Average air temperature, Zuunmod,2022-05,10.1
Average air temperature, Zuunmod,2022-04,2.3
Average air temperature, Zuunmod,2022-03,-6.6
Average air temperature, Zuunmod,2022-02,-18.0
Average air temperature, Zuunmod,2022-01,-17.2
Average air temperature, Zuunmod,2021-12,-14.9
Average air temperature, Zuunmod,2021-11,-8.5
Average air temperature, Zuunmod,2021-10,0.9
Average air temperature, Zuunmod,2021-09,9.3
Average air temperature, Zuunmod,2021-08,14.5
Average air temperature, Zuunmod,2021-07,18.2
Average air temperature, Zuunmod,2021-06,13.7
Average air temperature, Zuunmod,2021-05,6.4
Average air temperature, Zuunmod,2021-04,2.0
Average air temperature, Zuunmod,2021-03,-3.5
Average air temperature, Zuunmod,2021-02,-12.5
Average air temperature, Zuunmod,2021-01,-20.5
Average air temperature, Zuunmod,2020-12,-21.4
Average air temperature, Zuunmod,2020-11,-9.3
Average air temperature, Zuunmod,2020-10,-1.4
Average air temperature, Zuunmod,2020-09,9.8
Average air temperature, Zuunmod,2020-08,14.0
Average air temperature, Zuunmod,2020-07,17.0
Average air temperature, Zuunmod,2020-06,15.6
Average air temperature, Zuunmod,2020-05,9.2
Average air temperature, Zuunmod,2020-04,5.1
Average air temperature, Zuunmod,2020-03,-7.0
Average air temperature, Zuunmod,2020-02,-13.4
Average air temperature, Zuunmod,2020-01,-15.6
Average air temperature, Zuunmod,2019-12,-16.5
Average air temperature, Zuunmod,2019-11,-10.1
Average air temperature, Zuunmod,2019-10,0.2
Average air temperature, Zuunmod,2019-09,13.0
Average air temperature, Zuunmod,2019-08,14.4
Average air temperature, Zuunmod,2019-07,17.6
Average air temperature, Zuunmod,2019-06,15.9
Average air temperature, Zuunmod,2019-05,8.5
Average air temperature, Zuunmod,2019-04,2.7
Average air temperature, Zuunmod,2019-03,-4.5
Average air temperature, Zuunmod,2019-02,-17.1
Average air temperature, Zuunmod,2019-01,-17.2
Average air temperature, Zuunmod,2018-12,-20.4
Average air temperature, Zuunmod,2018-11,-9.6
Average air temperature, Zuunmod,2018-10,1.8
Average air temperature, Zuunmod,2018-09,7.1
Average air temperature, Zuunmod,2018-08,15.6
Average air temperature, Zuunmod,2018-07,16.1
Average air temperature, Zuunmod,2018-06,16.5
Average air temperature, Zuunmod,2018-05,12.0
Average air temperature, Zuunmod,2018-04,3.3
Average air temperature, Zuunmod,2018-03,-2.9
Average air temperature, Zuunmod,2018-02,-18.4
Average air temperature, Zuunmod,2018-01,-22.9
Average air temperature, Zuunmod,2017-12,-16.7
Average air temperature, Zuunmod,2017-11,-12.7
Average air temperature, Zuunmod,2017-10,0.1
Average air temperature, Zuunmod,2017-09,8.5
Average air temperature, Zuunmod,2017-08,14.3
Average air temperature, Zuunmod,2017-07,19.6
Average air temperature, Zuunmod,2017-06,18.0
Average air temperature, Zuunmod,2017-05,11.7
Average air temperature, Zuunmod,2017-04,4.0
Average air temperature, Zuunmod,2017-03,-5.5
Average air temperature, Zuunmod,2017-02,-13.6
Average air temperature, Zuunmod,2017-01,-18.7
Average air temperature, Zuunmod,2016-12,-14.2
Average air temperature, Zuunmod,2016-11,-13.4
Average air temperature, Zuunmod,2016-10,-2.8
Average air temperature, Zuunmod,2016-09,9.7
Average air temperature, Zuunmod,2016-08,16.7
Average air temperature, Zuunmod,2016-07,19.9
Average air temperature, Zuunmod,2016-06,14.5
Average air temperature, Zuunmod,2016-05,8.0
Average air temperature, Zuunmod,2016-04,2.2
Average air temperature, Zuunmod,2016-03,-5.6
Average air temperature, Zuunmod,2016-02,-16.3
Average air temperature, Zuunmod,2016-01,-24.3
Average air temperature, Zuunmod,2015-12,-15.3
Average air temperature, Zuunmod,2015-11,-12.1
Average air temperature, Zuunmod,2015-10,1.8
Average air temperature, Zuunmod,2015-09,9.3
Average air temperature, Zuunmod,2015-08,17.3
Average air temperature, Zuunmod,2015-07,18.5
Average air temperature, Zuunmod,2015-06,15.4
Average air temperature, Zuunmod,2015-05,7.4
Average air temperature, Zuunmod,2015-04,2.6
Average air temperature, Zuunmod,2015-03,-7.8
Average air temperature, Zuunmod,2015-02,-13.9
Average air temperature, Zuunmod,2015-01,-15.6
Average air temperature, Zuunmod,2014-12,-17.5
Average air temperature, Zuunmod,2014-11,-9.6
Average air temperature, Zuunmod,2014-10,1.9
Average air temperature, Zuunmod,2014-09,8.8
Average air temperature, Zuunmod,2014-08,14.9
Average air temperature, Zuunmod,2014-07,16.4
Average air temperature, Zuunmod,2014-06,14.0
Average air temperature, Zuunmod,2014-05,7.1
Average air temperature, Zuunmod,2014-04,5.9
Average air temperature, Zuunmod,2014-03,-5.7
Average air temperature, Zuunmod,2014-02,-19.9
Average air temperature, Zuunmod,2014-01,-17.7
Average air temperature, Zuunmod,2013-12,-16.0
Average air temperature, Zuunmod,2013-11,-9.0
Average air temperature, Zuunmod,2013-10,0.1
Average air temperature, Zuunmod,2013-09,8.1
Average air temperature, Zuunmod,2013-08,14.3
Average air temperature, Zuunmod,2013-07,16.3
Average air temperature, Zuunmod,2013-06,14.1
Average air temperature, Zuunmod,2013-05,10.2
Average air temperature, Zuunmod,2013-04,-1.2
Average air temperature, Zuunmod,2013-03,-7.2
Average air temperature, Zuunmod,2013-02,-20.3
Average air temperature, Zuunmod,2013-01,-19.8
Average air temperature, Zuunmod,2012-12,-23.1
Average air temperature, Zuunmod,2012-11,-13.5
Average air temperature, Zuunmod,2012-10,-1.4
Average air temperature, Zuunmod,2012-09,10.0
Average air temperature, Zuunmod,2012-08,14.1
Average air temperature, Zuunmod,2012-07,16.4
Average air temperature, Zuunmod,2012-06,13.4
Average air temperature, Zuunmod,2012-05,10.1
Average air temperature, Zuunmod,2012-04,1.4
Average air temperature, Zuunmod,2012-03,-9.5
Average air temperature, Zuunmod,2012-02,-20.8
Average air temperature, Zuunmod,2012-01,-24.5
Average air temperature, Zuunmod,2011-12,-20.8
Average air temperature, Zuunmod,2011-11,-10.8
Average air temperature, Zuunmod,2011-10,2.3
Average air temperature, Zuunmod,2011-09,7.2
Average air temperature, Zuunmod,2011-08,17.1
Average air temperature, Zuunmod,2011-07,16.3
Average air temperature, Zuunmod,2011-06,15.8
Average air temperature, Zuunmod,2011-05,6.7
Average air temperature, Zuunmod,2011-04,2.7
Average air temperature, Zuunmod,2011-03,-10.3
Average air temperature, Zuunmod,2011-02,-15.1
Average air temperature, Zuunmod,2011-01,-24.4
Average air temperature, Zuunmod,2010-12,-19.0
Average air temperature, Zuunmod,2010-11,-9.1
Average air temperature, Zuunmod,2010-10,0.4
Average air temperature, Zuunmod,2010-09,10.9
Average air temperature, Zuunmod,2010-08,13.7
Average air temperature, Zuunmod,2010-07,19.5
Average air temperature, Zuunmod,2010-06,17.4
Average air temperature, Zuunmod,2010-05,10.0
Average air temperature, Zuunmod,2010-04,-3.8
Average air temperature, Zuunmod,2010-03,-13.0
Average air temperature, Zuunmod,2010-02,-20.9
Average air temperature, Zuunmod,2010-01,-22.8
Average air temperature, Zuunmod,2009-12,-20.2
Average air temperature, Zuunmod,2009-11,-13.9
Average air temperature, Zuunmod,2009-10,-0.3
Average air temperature, Zuunmod,2009-09,8.3
Average air temperature, Zuunmod,2009-08,14.6
Average air temperature, Zuunmod,2009-07,17.1
Average air temperature, Zuunmod,2009-06,14.5
Average air temperature, Zuunmod,2009-05,10.4
Average air temperature, Zuunmod,2009-04,5.3
Average air temperature, Zuunmod,2009-03,-8.9
Average air temperature, Zuunmod,2009-02,-17.2
Average air temperature, Zuunmod,2009-01,-18.7
Average air temperature, Zuunmod,2008-12,-18.4
Average air temperature, Zuunmod,2008-11,-8.0
Average air temperature, Zuunmod,2008-10,0.6
Average air temperature, Zuunmod,2008-09,9.4
Average air temperature, Zuunmod,2008-08,16.5
Average air temperature, Zuunmod,2008-07,18.0
Average air temperature, Zuunmod,2008-06,15.1
Average air temperature, Zuunmod,2008-05,6.2
Average air temperature, Zuunmod,2008-04,3.8
Average air temperature, Zuunmod,2008-03,-3.2
Average air temperature, Zuunmod,2008-02,-17.8
Average air temperature, Zuunmod,2008-01,-22.7
Average air temperature, Zuunmod,2007-12,-16.3
Average air temperature, Zuunmod,2007-11,-9.5
Average air temperature, Zuunmod,2007-10,0.0
Average air temperature, Zuunmod,2007-09,12.7
Average air temperature, Zuunmod,2007-08,16.9
Average air temperature, Zuunmod,2007-07,21.4
Average air temperature, Zuunmod,2007-06,17.5
Average air temperature, Zuunmod,2007-05,10.5
Average air temperature, Zuunmod,2007-04,2.0
Average air temperature, Zuunmod,2007-03,-11.3
Average air temperature, Zuunmod,2007-02,-9.9
Average air temperature, Zuunmod,2007-01,-17.7
Average air temperature, Zuunmod,2006-12,-15.5
Average air temperature, Zuunmod,2006-11,-8.9
Average air temperature, Zuunmod,2006-10,1.2
Average air temperature, Zuunmod,2006-09,11.9
Average air temperature, Zuunmod,2006-08,16.0
Average air temperature, Zuunmod,2006-07,16.7
Average air temperature, Zuunmod,2006-06,13.6
Average air temperature, Zuunmod,2006-05,6.7
Average air temperature, Zuunmod,2006-04,-2.0
Average air temperature, Zuunmod,2006-03,-7.2
Average air temperature, Zuunmod,2006-02,-18.0
Average air temperature, Zuunmod,2006-01,-19.6
Average air temperature, Zuunmod,2005-12,-21.7
Average air temperature, Zuunmod,2005-11,-8.9
Average air temperature, Zuunmod,2005-10,1.9
Average air temperature, Zuunmod,2005-09,8.6
Average air temperature, Zuunmod,2005-08,16.9
Average air temperature, Zuunmod,2005-07,19.0
Average air temperature, Zuunmod,2005-06,14.7
Average air temperature, Zuunmod,2005-05,8.0
Average air temperature, Zuunmod,2005-04,0.9
Average air temperature, Zuunmod,2005-03,-9.3
Average air temperature, Zuunmod,2005-02,-25.7
Average air temperature, Zuunmod,2005-01,-20.8
Average air temperature, Zuunkharaa,2025-11,-8.7
Average air temperature, Zuunkharaa,2025-10,-1.5
Average air temperature, Zuunkharaa,2025-09,18.8
Average air temperature, Zuunkharaa,2025-08,17.9
Average air temperature, Zuunkharaa,2025-07,21.7
Average air temperature, Zuunkharaa,2025-06,19.7
Average air temperature, Zuunkharaa,2025-5,12.3
Average air temperature, Zuunkharaa,2025-4,6.2
Average air temperature, Zuunkharaa,2025-3,-3.8
Average air temperature, Zuunkharaa,2025-2,-19.1
Average air temperature, Zuunkharaa,2025-1,-20.5
Average air temperature, Zuunkharaa,2024-12,-20.1
Average air temperature, Zuunkharaa,2024-11,-6.2
Average air temperature, Zuunkharaa,2024-10,2.4
Average air temperature, Zuunkharaa,2024-09,11.3
Average air temperature, Zuunkharaa,2024-08,19.8
Average air temperature, Zuunkharaa,2024-07,22.1
Average air temperature, Zuunkharaa,2024-06,17.8
Average air temperature, Zuunkharaa,2024-05,14.1
Average air temperature, Zuunkharaa,2024-04,6.2
Average air temperature, Zuunkharaa,2024-03,-5.8
Average air temperature, Zuunkharaa,2024-02,-19.9
Average air temperature, Zuunkharaa,2024-01,-20.5
Average air temperature, Zuunkharaa,2023-12,-21.4
Average air temperature, Zuunkharaa,2023-11,-11.4
Average air temperature, Zuunkharaa,2023-10,4.6
Average air temperature, Zuunkharaa,2023-09,12.4
Average air temperature, Zuunkharaa,2023-08,17.9
Average air temperature, Zuunkharaa,2023-07,19.4
Average air temperature, Zuunkharaa,2023-06,17.8
Average air temperature, Zuunkharaa,2023-05,10.2
Average air temperature, Zuunkharaa,2023-04,1.1
Average air temperature, Zuunkharaa,2023-03,-2.8
Average air temperature, Zuunkharaa,2023-02,-16.2
Average air temperature, Zuunkharaa,2023-01,-22.6
Average air temperature, Zuunkharaa,2022-12,-21.6
Average air temperature, Zuunkharaa,2022-11,-9.0
Average air temperature, Zuunkharaa,2022-10,1.4
Average air temperature, Zuunkharaa,2022-09,12.0
Average air temperature, Zuunkharaa,2022-08,15.6
Average air temperature, Zuunkharaa,2022-07,18.3
Average air temperature, Zuunkharaa,2022-06,17.9
Average air temperature, Zuunkharaa,2022-05,12.6
Average air temperature, Zuunkharaa,2022-04,4.4
Average air temperature, Zuunkharaa,2022-03,-4.7
Average air temperature, Zuunkharaa,2022-02,-18.2
Average air temperature, Zuunkharaa,2022-01,-18.9
Average air temperature, Zuunkharaa,2021-12,-15.9
Average air temperature, Zuunkharaa,2021-11,-7.0
Average air temperature, Zuunkharaa,2021-10,2.5
Average air temperature, Zuunkharaa,2021-09,10.3
Average air temperature, Zuunkharaa,2021-08,16.7
Average air temperature, Zuunkharaa,2021-07,19.2
Average air temperature, Zuunkharaa,2021-06,15.7
Average air temperature, Zuunkharaa,2021-05,9.1
Average air temperature, Zuunkharaa,2021-04,4.1
Average air temperature, Zuunkharaa,2021-03,
Average air temperature, Zuunkharaa,2021-02,-15.5
Average air temperature, Zuunkharaa,2021-01,-23.2
Average air temperature, Zuunkharaa,2020-12,
Average air temperature, Zuunkharaa,2020-11,-6.0
Average air temperature, Zuunkharaa,2020-10,0.4
Average air temperature, Zuunkharaa,2020-09,12.8
Average air temperature, Zuunkharaa,2020-08,17.0
Average air temperature, Zuunkharaa,2020-07,
Average air temperature, Zuunkharaa,2020-06,18.3
Average air temperature, Zuunkharaa,2020-05,11.7
Average air temperature, Zuunkharaa,2020-04,6.3
Average air temperature, Zuunkharaa,2020-03,-4.0
Average air temperature, Zuunkharaa,2020-02,
Average air temperature, Zuunkharaa,2020-01,-20.2
Average air temperature, Zuunkharaa,2019-12,-18.3
Average air temperature, Zuunkharaa,2019-11,-11.1
Average air temperature, Zuunkharaa,2019-10,1.0
Average air temperature, Zuunkharaa,2019-09,13.8
Average air temperature, Zuunkharaa,2019-08,17.7
Average air temperature, Zuunkharaa,2019-07,19.0
Average air temperature, Zuunkharaa,2019-06,19.1
Average air temperature, Zuunkharaa,2019-05,12.1
Average air temperature, Zuunkharaa,2019-04,5.4
Average air temperature, Zuunkharaa,2019-03,-2.6
Average air temperature, Zuunkharaa,2019-02,-18.1
Average air temperature, Zuunkharaa,2019-01,-19.4
Average air temperature, Zuunkharaa,2018-12,-21.3
Average air temperature, Zuunkharaa,2018-11,-9.4
Average air temperature, Zuunkharaa,2018-10,3.0
Average air temperature, Zuunkharaa,2018-09,9.0
Average air temperature, Zuunkharaa,2018-08,18.0
Average air temperature, Zuunkharaa,2018-07,18.4
Average air temperature, Zuunkharaa,2018-06,19.6
Average air temperature, Zuunkharaa,2018-05,13.7
Average air temperature, Zuunkharaa,2018-04,5.3
Average air temperature, Zuunkharaa,2018-03,-2.7
Average air temperature, Zuunkharaa,2018-02,-19.7
Average air temperature, Zuunkharaa,2018-01,-26.0
Average air temperature, Zuunkharaa,2017-12,-18.2
Average air temperature, Zuunkharaa,2017-11,-10.1
Average air temperature, Zuunkharaa,2017-10,1.1
Average air temperature, Zuunkharaa,2017-09,10.8
Average air temperature, Zuunkharaa,2017-08,17.7
Average air temperature, Zuunkharaa,2017-07,22.6
Average air temperature, Zuunkharaa,2017-06,20.6
Average air temperature, Zuunkharaa,2017-05,13.5
Average air temperature, Zuunkharaa,2017-04,6.0
Average air temperature, Zuunkharaa,2017-03,-5.7
Average air temperature, Zuunkharaa,2017-02,-17.6
Average air temperature, Zuunkharaa,2017-01,-23.8
Average air temperature, Zuunkharaa,2016-12,-18.4
Average air temperature, Zuunkharaa,2016-11,-15.1
Average air temperature, Zuunkharaa,2016-10,-1.9
Average air temperature, Zuunkharaa,2016-09,12.2
Average air temperature, Zuunkharaa,2016-08,18.7
Average air temperature, Zuunkharaa,2016-07,21.7
Average air temperature, Zuunkharaa,2016-06,17.1
Average air temperature, Zuunkharaa,2016-05,10.9
Average air temperature, Zuunkharaa,2016-04,4.3
Average air temperature, Zuunkharaa,2016-03,-4.9
Average air temperature, Zuunkharaa,2016-02,-18.0
Average air temperature, Zuunkharaa,2016-01,-26.9
Average air temperature, Zuunkharaa,2015-12,-19.7
Average air temperature, Zuunkharaa,2015-11,-11.9
Average air temperature, Zuunkharaa,2015-10,2.8
Average air temperature, Zuunkharaa,2015-09,10.8
Average air temperature, Zuunkharaa,2015-08,19.5
Average air temperature, Zuunkharaa,2015-07,22.4
Average air temperature, Zuunkharaa,2015-06,18.2
Average air temperature, Zuunkharaa,2015-05,10.8
Average air temperature, Zuunkharaa,2015-04,5.5
Average air temperature, Zuunkharaa,2015-03,-7.3
Average air temperature, Zuunkharaa,2015-02,-17.7
Average air temperature, Zuunkharaa,2015-01,-19.1
Average air temperature, Zuunkharaa,2014-12,-19.5
Average air temperature, Zuunkharaa,2014-11,-8.5
Average air temperature, Zuunkharaa,2014-10,2.7
Average air temperature, Zuunkharaa,2014-09,9.8
Average air temperature, Zuunkharaa,2014-08,17.1
Average air temperature, Zuunkharaa,2014-07,19.2
Average air temperature, Zuunkharaa,2014-06,16.4
Average air temperature, Zuunkharaa,2014-05,9.2
Average air temperature, Zuunkharaa,2014-04,7.6
Average air temperature, Zuunkharaa,2014-03,-4.2
Average air temperature, Zuunkharaa,2014-02,-18.6
Average air temperature, Zuunkharaa,2014-01,-18.9
Average air temperature, Zuunkharaa,2013-12,-17.7
Average air temperature, Zuunkharaa,2013-11,-7.2
Average air temperature, Zuunkharaa,2013-10,1.7
Average air temperature, Zuunkharaa,2013-09,9.6
Average air temperature, Zuunkharaa,2013-08,16.3
Average air temperature, Zuunkharaa,2013-07,18.1
Average air temperature, Zuunkharaa,2013-06,16.4
Average air temperature, Zuunkharaa,2013-05,12.3
Average air temperature, Zuunkharaa,2013-04,2.4
Average air temperature, Zuunkharaa,2013-03,-6.1
Average air temperature, Zuunkharaa,2013-02,-21.2
Average air temperature, Zuunkharaa,2013-01,-23.6
Average air temperature, Zuunkharaa,2012-12,-26.0
Average air temperature, Zuunkharaa,2012-11,-11.5
Average air temperature, Zuunkharaa,2012-10,0.7
Average air temperature, Zuunkharaa,2012-09,11.9
Average air temperature, Zuunkharaa,2012-08,17.2
Average air temperature, Zuunkharaa,2012-07,18.8
Average air temperature, Zuunkharaa,2012-06,16.8
Average air temperature, Zuunkharaa,2012-05,12.7
Average air temperature, Zuunkharaa,2012-04,3.8
Average air temperature, Zuunkharaa,2012-03,-7.7
Average air temperature, Zuunkharaa,2012-02,-21.7
Average air temperature, Zuunkharaa,2012-01,-27.1
Average air temperature, Zuunkharaa,2011-12,-22.2
Average air temperature, Zuunkharaa,2011-11,-10.0
Average air temperature, Zuunkharaa,2011-10,4.6
Average air temperature, Zuunkharaa,2011-09,8.8
Average air temperature, Zuunkharaa,2011-08,18.9
Average air temperature, Zuunkharaa,2011-07,18.4
Average air temperature, Zuunkharaa,2011-06,18.4
Average air temperature, Zuunkharaa,2011-05,10.9
Average air temperature, Zuunkharaa,2011-04,5.6
Average air temperature, Zuunkharaa,2011-03,-9.0
Average air temperature, Zuunkharaa,2011-02,-15.8
Average air temperature, Zuunkharaa,2011-01,-27.7
Average air temperature, Zuunkharaa,2010-12,-20.0
