Classification,Year,value
        State:,2023,80.1
        State:,2022,79.7
        State:,2021,79.1
        State:,2020,76.8
        State:,2019,82.9
        State:,2018,88.0
        State:,2017,89.5
        State:,2016,91.8
        State:,2015,95.0
        State:,2014,103.7
        State:,2013,101.9
        State:,2012,105.7
        State:,2011,104.1
        State:,2010,104.4
            Institutes and colleges,2025,1.5
            Institutes and colleges,2024,1.7
            Institutes and colleges,2023,2.1
            Institutes and colleges,2022,2.8
            Institutes and colleges,2021,2.4
            Institutes and colleges,2020,2.3
            Institutes and colleges,2019,2.8
            Institutes and colleges,2018,1.6
            Institutes and colleges,2017,1.6
            Institutes and colleges,2016,9.4
            Institutes and colleges,2015,10.1
            Institutes and colleges,2014,12.6
            Institutes and colleges,2013,13.7
            Institutes and colleges,2012,15.1
            Institutes and colleges,2011,15.3
            Institutes and colleges,2010,6.0
            Universities,2025,89.0
            Universities,2024,79.9
            Universities,2023,78.0
            Universities,2022,76.9
            Universities,2021,76.7
            Universities,2020,74.5
            Universities,2019,80.1
            Universities,2018,86.4
            Universities,2017,87.9
            Universities,2016,82.4
            Universities,2015,84.9
            Universities,2014,91.1
            Universities,2013,88.2
            Universities,2012,90.6
            Universities,2011,88.8
            Universities,2010,98.4
        Private:,2025,62.0
        Private:,2024,60.1
        Private:,2023,57.3
        Private:,2022,58.8
        Private:,2021,62.5
        Private:,2020,63.6
        Private:,2019,65.5
        Private:,2018,69.6
        Private:,2017,65.7
        Private:,2016,65.3
        Private:,2015,67.6
        Private:,2014,74.6
        Private:,2013,72.2
        Private:,2012,69.8
        Private:,2011,68.7
        Private:,2010,65.7
            Institutes and colleges,2025,6.4
            Institutes and colleges,2024,0.9
            Institutes and colleges,2023,0.7
            Institutes and colleges,2022,0.5
            Institutes and colleges,2021,12.7
            Institutes and colleges,2020,12.8
            Institutes and colleges,2019,18.1
            Institutes and colleges,2018,18.6
            Institutes and colleges,2017,16.9
            Institutes and colleges,2016,43.2
            Institutes and colleges,2015,37.6
            Institutes and colleges,2014,46.3
            Institutes and colleges,2013,45.0
            Institutes and colleges,2012,43.6
            Institutes and colleges,2011,51.6
            Institutes and colleges,2010,49.6
            Universities,2025,55.6
            Universities,2024,59.2
            Universities,2023,56.6
            Universities,2022,58.3
            Universities,2021,49.8
            Universities,2020,50.8
            Universities,2019,47.4
            Universities,2018,51.0
            Universities,2017,48.8
            Universities,2016,22.1
            Universities,2015,30.0
            Universities,2014,28.3
            Universities,2013,27.2
            Universities,2012,26.2
            Universities,2011,17.1
            Universities,2010,16.1
        Public/ religious:,2025,9.4
        Public/ religious:,2024,8.6
        Public/ religious:,2023,8.0
        Public/ religious:,2022,6.7
        Public/ religious:,2021,7.4
        Public/ religious:,2020,6.9
        Public/ religious:,2019,
        Public/ religious:,2018,
        Public/ religious:,2017,
        Public/ religious:,2016,
        Public/ religious:,2015,0.0
        Public/ religious:,2014,0.0
        Public/ religious:,2013,
        Public/ religious:,2012,
        Public/ religious:,2011,
        Public/ religious:,2010,
            Institutes and colleges,2025,0.0
            Institutes and colleges,2024,0.0
            Institutes and colleges,2023,0.0
            Institutes and colleges,2022,0.0
            Institutes and colleges,2021,0.4
            Institutes and colleges,2020,0.4
            Institutes and colleges,2019,
            Institutes and colleges,2018,
            Institutes and colleges,2017,
            Institutes and colleges,2016,
            Institutes and colleges,2015,0.0
            Institutes and colleges,2014,0.0
            Institutes and colleges,2013,
            Institutes and colleges,2012,
            Institutes and colleges,2011,
            Institutes and colleges,2010,
            Universities,2025,9.4
            Universities,2024,8.6
            Universities,2023,8.0
            Universities,2022,6.7
            Universities,2021,7.0
            Universities,2020,6.5
            Universities,2019,
            Universities,2018,
            Universities,2017,
            Universities,2016,
            Universities,2015,0.0
            Universities,2014,0.0
            Universities,2013,
            Universities,2012,
            Universities,2011,
            Universities,2010,
    Students studying abroad¹,2025,2.0
    Students studying abroad¹,2024,2.5
    Students studying abroad¹,2023,1.3
    Students studying abroad¹,2022,0.5
    Students studying abroad¹,2021,1.1
    Students studying abroad¹,2020,1.4
    Students studying abroad¹,2019,1.5
    Students studying abroad¹,2018,1.4
    Students studying abroad¹,2017,1.4
    Students studying abroad¹,2016,1.4
    Students studying abroad¹,2015,1.1
    Students studying abroad¹,2014,1.0
    Students studying abroad¹,2013,0.8
    Students studying abroad¹,2012,0.8
    Students studying abroad¹,2011,0.9
    Students studying abroad¹,2010,0.7
