Ангилал,Он,value
 Хувийн:,2014,74.6
 Хувийн:,2013,72.2
 Хувийн:,2012,69.8
 Хувийн:,2011,68.7
 Хувийн:,2010,65.7
"     Дээд сургууль, коллеж",2025,6.4
"     Дээд сургууль, коллеж",2024,0.9
"     Дээд сургууль, коллеж",2023,0.7
"     Дээд сургууль, коллеж",2022,0.5
"     Дээд сургууль, коллеж",2021,12.7
"     Дээд сургууль, коллеж",2020,12.8
"     Дээд сургууль, коллеж",2019,18.1
"     Дээд сургууль, коллеж",2018,18.6
"     Дээд сургууль, коллеж",2017,16.9
"     Дээд сургууль, коллеж",2016,43.2
"     Дээд сургууль, коллеж",2015,37.6
"     Дээд сургууль, коллеж",2014,46.3
"     Дээд сургууль, коллеж",2013,45.0
"     Дээд сургууль, коллеж",2012,43.6
"     Дээд сургууль, коллеж",2011,51.6
"     Дээд сургууль, коллеж",2010,49.6
     Их сургууль,2025,55.6
     Их сургууль,2024,59.2
     Их сургууль,2023,56.6
     Их сургууль,2022,58.3
     Их сургууль,2021,49.8
     Их сургууль,2020,50.8
     Их сургууль,2019,47.4
     Их сургууль,2018,51.0
     Их сургууль,2017,48.8
     Их сургууль,2016,22.1
     Их сургууль,2015,30.0
     Их сургууль,2014,28.3
     Их сургууль,2013,27.2
     Их сургууль,2012,26.2
     Их сургууль,2011,17.1
     Их сургууль,2010,16.1
 Олон нийтийн/ шашны өмчийн:,2025,9.4
 Олон нийтийн/ шашны өмчийн:,2024,8.6
 Олон нийтийн/ шашны өмчийн:,2023,8.0
 Олон нийтийн/ шашны өмчийн:,2022,6.7
 Олон нийтийн/ шашны өмчийн:,2021,7.4
 Олон нийтийн/ шашны өмчийн:,2020,6.9
 Олон нийтийн/ шашны өмчийн:,2019,
 Олон нийтийн/ шашны өмчийн:,2018,
 Олон нийтийн/ шашны өмчийн:,2017,
 Олон нийтийн/ шашны өмчийн:,2016,
 Олон нийтийн/ шашны өмчийн:,2015,0.0
 Олон нийтийн/ шашны өмчийн:,2014,0.0
 Олон нийтийн/ шашны өмчийн:,2013,
 Олон нийтийн/ шашны өмчийн:,2012,
 Олон нийтийн/ шашны өмчийн:,2011,
 Олон нийтийн/ шашны өмчийн:,2010,
" Дээд сургууль, коллеж",2025,0.0
" Дээд сургууль, коллеж",2024,0.0
" Дээд сургууль, коллеж",2023,0.0
" Дээд сургууль, коллеж",2022,0.0
" Дээд сургууль, коллеж",2021,0.4
" Дээд сургууль, коллеж",2020,0.4
" Дээд сургууль, коллеж",2019,
" Дээд сургууль, коллеж",2018,
" Дээд сургууль, коллеж",2017,
" Дээд сургууль, коллеж",2016,
" Дээд сургууль, коллеж",2015,0.0
" Дээд сургууль, коллеж",2014,0.0
" Дээд сургууль, коллеж",2013,
" Дээд сургууль, коллеж",2012,
" Дээд сургууль, коллеж",2011,
" Дээд сургууль, коллеж",2010,
 Их сургууль,2025,9.4
 Их сургууль,2024,8.6
 Их сургууль,2023,8.0
 Их сургууль,2022,6.7
 Их сургууль,2021,7.0
 Их сургууль,2020,6.5
 Их сургууль,2019,
 Их сургууль,2018,
 Их сургууль,2017,
 Их сургууль,2016,
 Их сургууль,2015,0.0
 Их сургууль,2014,0.0
 Их сургууль,2013,
 Их сургууль,2012,
 Их сургууль,2011,
 Их сургууль,2010,
 Гадаадад суралцагчид¹,2025,2.0
 Гадаадад суралцагчид¹,2024,2.5
 Гадаадад суралцагчид¹,2023,1.3
 Гадаадад суралцагчид¹,2022,0.5
 Гадаадад суралцагчид¹,2021,1.1
 Гадаадад суралцагчид¹,2020,1.4
 Гадаадад суралцагчид¹,2019,1.5
 Гадаадад суралцагчид¹,2018,1.4
 Гадаадад суралцагчид¹,2017,1.4
 Гадаадад суралцагчид¹,2016,1.4
 Гадаадад суралцагчид¹,2015,1.1
 Гадаадад суралцагчид¹,2014,1.0
 Гадаадад суралцагчид¹,2013,0.8
 Гадаадад суралцагчид¹,2012,0.8
 Гадаадад суралцагчид¹,2011,0.9
 Гадаадад суралцагчид¹,2010,0.7
