Statistical indicator,Division,Year,value
"GDP, at current prices"," Electricity, gas, steam, air conditioning supply",2010,190211.6
"GDP, at current prices"," Electricity, gas, steam, air conditioning supply",2009,157422.86
"GDP, at current prices"," Electricity, gas, steam, air conditioning supply",2008,119967.96
"GDP, at current prices"," Electricity, gas, steam, air conditioning supply",2007,97309.1
"GDP, at current prices"," Electricity, gas, steam, air conditioning supply",2006,92897.23
"GDP, at current prices"," Electricity, gas, steam, air conditioning supply",2005,75928.19
"GDP, at current prices"," Electricity, gas, steam, air conditioning supply",2004,65426.08
"GDP, at current prices"," Electricity, gas, steam, air conditioning supply",2003,53680.57
"GDP, at current prices"," Electricity, gas, steam, air conditioning supply",2002,52423.67
"GDP, at current prices"," Electricity, gas, steam, air conditioning supply",2001,36283.25
"GDP, at current prices"," Electricity, gas, steam, air conditioning supply",2000,25487.14
"GDP, at current prices"," Electricity, gas, steam, air conditioning supply",1999,32387.31
"GDP, at current prices"," Electricity, gas, steam, air conditioning supply",1998,31923.79
"GDP, at current prices"," Electricity, gas, steam, air conditioning supply",1997,24790.95
"GDP, at current prices"," Electricity, gas, steam, air conditioning supply",1996,14216.11
"GDP, at current prices"," Electricity, gas, steam, air conditioning supply",1995,12286.19
"GDP, at current prices"," Electricity, gas, steam, air conditioning supply",1994,6995.78
"GDP, at current prices"," Electricity, gas, steam, air conditioning supply",1993,4046.11
"GDP, at current prices"," Electricity, gas, steam, air conditioning supply",1992,1138.85
"GDP, at current prices"," Electricity, gas, steam, air conditioning supply",1991,418.48
"GDP, at current prices"," Electricity, gas, steam, air conditioning supply",1990,284.62
"GDP, at current prices"," Water supply; sewerage, waste management and remediation activities",2025,469082.69
"GDP, at current prices"," Water supply; sewerage, waste management and remediation activities",2024,412072.88
"GDP, at current prices"," Water supply; sewerage, waste management and remediation activities",2023,318847.37
"GDP, at current prices"," Water supply; sewerage, waste management and remediation activities",2022,236639.1
"GDP, at current prices"," Water supply; sewerage, waste management and remediation activities",2021,219754.61
"GDP, at current prices"," Water supply; sewerage, waste management and remediation activities",2020,218690.4
"GDP, at current prices"," Water supply; sewerage, waste management and remediation activities",2019,182718.05
"GDP, at current prices"," Water supply; sewerage, waste management and remediation activities",2018,164870.02
"GDP, at current prices"," Water supply; sewerage, waste management and remediation activities",2017,144202.49
"GDP, at current prices"," Water supply; sewerage, waste management and remediation activities",2016,141550.32
"GDP, at current prices"," Water supply; sewerage, waste management and remediation activities",2015,114121.61
"GDP, at current prices"," Water supply; sewerage, waste management and remediation activities",2014,86481.1
"GDP, at current prices"," Water supply; sewerage, waste management and remediation activities",2013,77534.0
"GDP, at current prices"," Water supply; sewerage, waste management and remediation activities",2012,72529.68
"GDP, at current prices"," Water supply; sewerage, waste management and remediation activities",2011,44994.36
"GDP, at current prices"," Water supply; sewerage, waste management and remediation activities",2010,31210.6
"GDP, at current prices"," Water supply; sewerage, waste management and remediation activities",2009,26356.85
"GDP, at current prices"," Water supply; sewerage, waste management and remediation activities",2008,26014.97
"GDP, at current prices"," Water supply; sewerage, waste management and remediation activities",2007,16294.69
"GDP, at current prices"," Water supply; sewerage, waste management and remediation activities",2006,14058.4
"GDP, at current prices"," Water supply; sewerage, waste management and remediation activities",2005,13768.92
"GDP, at current prices"," Water supply; sewerage, waste management and remediation activities",2004,11968.06
"GDP, at current prices"," Water supply; sewerage, waste management and remediation activities",2003,9817.51
"GDP, at current prices"," Water supply; sewerage, waste management and remediation activities",2002,9474.09
"GDP, at current prices"," Water supply; sewerage, waste management and remediation activities",2001,6478.23
"GDP, at current prices"," Water supply; sewerage, waste management and remediation activities",2000,4511.61
"GDP, at current prices"," Water supply; sewerage, waste management and remediation activities",1999,5622.57
"GDP, at current prices"," Water supply; sewerage, waste management and remediation activities",1998,5496.35
"GDP, at current prices"," Water supply; sewerage, waste management and remediation activities",1997,4346.93
"GDP, at current prices"," Water supply; sewerage, waste management and remediation activities",1996,2505.21
"GDP, at current prices"," Water supply; sewerage, waste management and remediation activities",1995,2170.72
"GDP, at current prices"," Water supply; sewerage, waste management and remediation activities",1994,1228.93
"GDP, at current prices"," Water supply; sewerage, waste management and remediation activities",1993,707.98
"GDP, at current prices"," Water supply; sewerage, waste management and remediation activities",1992,201.65
"GDP, at current prices"," Water supply; sewerage, waste management and remediation activities",1991,75.23
"GDP, at current prices"," Water supply; sewerage, waste management and remediation activities",1990,49.56
"GDP, at current prices", Construction,2025,3450418.23
"GDP, at current prices", Construction,2024,2696383.17
"GDP, at current prices", Construction,2023,2269770.11
"GDP, at current prices", Construction,2022,1783826.56
"GDP, at current prices", Construction,2021,1368827.87
"GDP, at current prices", Construction,2020,1367522.8
"GDP, at current prices", Construction,2019,1328925.99
"GDP, at current prices", Construction,2018,985716.25
"GDP, at current prices", Construction,2017,905587.14
"GDP, at current prices", Construction,2016,902883.62
"GDP, at current prices", Construction,2015,918316.62
"GDP, at current prices", Construction,2014,988960.7
"GDP, at current prices", Construction,2013,979689.0
"GDP, at current prices", Construction,2012,837487.47
"GDP, at current prices", Construction,2011,402828.29
"GDP, at current prices", Construction,2010,250230.7
"GDP, at current prices", Construction,2009,86238.66
"GDP, at current prices", Construction,2008,122051.03
"GDP, at current prices", Construction,2007,106421.12
"GDP, at current prices", Construction,2006,86792.3
"GDP, at current prices", Construction,2005,81408.37
"GDP, at current prices", Construction,2004,69429.03
"GDP, at current prices", Construction,2003,69683.82
"GDP, at current prices", Construction,2002,42858.82
"GDP, at current prices", Construction,2001,30738.57
"GDP, at current prices", Construction,2000,27254.93
"GDP, at current prices", Construction,1999,32159.55
"GDP, at current prices", Construction,1998,28095.75
"GDP, at current prices", Construction,1997,25687.1
"GDP, at current prices", Construction,1996,24992.57
"GDP, at current prices", Construction,1995,13088.55
"GDP, at current prices", Construction,1994,8386.69
"GDP, at current prices", Construction,1993,3821.77
"GDP, at current prices", Construction,1992,1285.15
"GDP, at current prices", Construction,1991,1072.22
"GDP, at current prices", Construction,1990,735.57
"GDP, at current prices", Wholesale and retail trade; repair of motor vehicles and motorcycles,2025,8969213.13
"GDP, at current prices", Wholesale and retail trade; repair of motor vehicles and motorcycles,2024,8793230.75
"GDP, at current prices", Wholesale and retail trade; repair of motor vehicles and motorcycles,2023,7316253.17
"GDP, at current prices", Wholesale and retail trade; repair of motor vehicles and motorcycles,2022,5677897.87
"GDP, at current prices", Wholesale and retail trade; repair of motor vehicles and motorcycles,2021,4069619.4
"GDP, at current prices", Wholesale and retail trade; repair of motor vehicles and motorcycles,2020,3436809.1
"GDP, at current prices", Wholesale and retail trade; repair of motor vehicles and motorcycles,2019,3644111.22
"GDP, at current prices", Wholesale and retail trade; repair of motor vehicles and motorcycles,2018,3090221.77
"GDP, at current prices", Wholesale and retail trade; repair of motor vehicles and motorcycles,2017,2867791.27
"GDP, at current prices", Wholesale and retail trade; repair of motor vehicles and motorcycles,2016,2621290.71
"GDP, at current prices", Wholesale and retail trade; repair of motor vehicles and motorcycles,2015,2664772.42
"GDP, at current prices", Wholesale and retail trade; repair of motor vehicles and motorcycles,2014,2544761.3
"GDP, at current prices", Wholesale and retail trade; repair of motor vehicles and motorcycles,2013,2267231.1
"GDP, at current prices", Wholesale and retail trade; repair of motor vehicles and motorcycles,2012,2231148.45
"GDP, at current prices", Wholesale and retail trade; repair of motor vehicles and motorcycles,2011,1973260.4
"GDP, at current prices", Wholesale and retail trade; repair of motor vehicles and motorcycles,2010,1199007.2
"GDP, at current prices", Wholesale and retail trade; repair of motor vehicles and motorcycles,2009,432646.15
"GDP, at current prices", Wholesale and retail trade; repair of motor vehicles and motorcycles,2008,472226.49
"GDP, at current prices", Wholesale and retail trade; repair of motor vehicles and motorcycles,2007,313204.36
"GDP, at current prices", Wholesale and retail trade; repair of motor vehicles and motorcycles,2006,271511.62
"GDP, at current prices", Wholesale and retail trade; repair of motor vehicles and motorcycles,2005,227478.16
"GDP, at current prices", Wholesale and retail trade; repair of motor vehicles and motorcycles,2004,202639.88
"GDP, at current prices", Wholesale and retail trade; repair of motor vehicles and motorcycles,2003,185210.82
"GDP, at current prices", Wholesale and retail trade; repair of motor vehicles and motorcycles,2002,162803.42
"GDP, at current prices", Wholesale and retail trade; repair of motor vehicles and motorcycles,2001,129544.67
"GDP, at current prices", Wholesale and retail trade; repair of motor vehicles and motorcycles,2000,115903.09
"GDP, at current prices", Wholesale and retail trade; repair of motor vehicles and motorcycles,1999,112438.52
"GDP, at current prices", Wholesale and retail trade; repair of motor vehicles and motorcycles,1998,110681.25
"GDP, at current prices", Wholesale and retail trade; repair of motor vehicles and motorcycles,1997,96650.65
"GDP, at current prices", Wholesale and retail trade; repair of motor vehicles and motorcycles,1996,69525.26
"GDP, at current prices", Wholesale and retail trade; repair of motor vehicles and motorcycles,1995,59632.69
"GDP, at current prices", Wholesale and retail trade; repair of motor vehicles and motorcycles,1994,43338.84
"GDP, at current prices", Wholesale and retail trade; repair of motor vehicles and motorcycles,1993,36320.69
