Statistical indicator,Division,Year,value
" Annual changes, by percent", Mining and quarrying,2004,30.5
" Annual changes, by percent", Mining and quarrying,2003,-0.9
" Annual changes, by percent", Mining and quarrying,2002,-5.7
" Annual changes, by percent", Mining and quarrying,2001,8.5
" Annual changes, by percent", Mining and quarrying,2000,4.9
" Annual changes, by percent", Mining and quarrying,1999,2.0
" Annual changes, by percent", Mining and quarrying,1998,3.8
" Annual changes, by percent", Mining and quarrying,1997,5.6
" Annual changes, by percent", Mining and quarrying,1996,3.9
" Annual changes, by percent", Mining and quarrying,1995,
" Annual changes, by percent", Mining and quarrying,1994,
" Annual changes, by percent", Mining and quarrying,1993,
" Annual changes, by percent", Mining and quarrying,1992,
" Annual changes, by percent", Mining and quarrying,1991,
" Annual changes, by percent", Mining and quarrying,1990,
" Annual changes, by percent", Manufacturing,2025,10.03
" Annual changes, by percent", Manufacturing,2024,-4.17
" Annual changes, by percent", Manufacturing,2023,5.07
" Annual changes, by percent", Manufacturing,2022,6.13
" Annual changes, by percent", Manufacturing,2021,-0.87
" Annual changes, by percent", Manufacturing,2020,3.4
" Annual changes, by percent", Manufacturing,2019,3.82
" Annual changes, by percent", Manufacturing,2018,19.54
" Annual changes, by percent", Manufacturing,2017,16.38
" Annual changes, by percent", Manufacturing,2016,-7.19
" Annual changes, by percent", Manufacturing,2015,2.65
" Annual changes, by percent", Manufacturing,2014,4.2
" Annual changes, by percent", Manufacturing,2013,10.3
" Annual changes, by percent", Manufacturing,2012,8.7
" Annual changes, by percent", Manufacturing,2011,7.9
" Annual changes, by percent", Manufacturing,2010,6.1
" Annual changes, by percent", Manufacturing,2009,-9.0
" Annual changes, by percent", Manufacturing,2008,2.7
" Annual changes, by percent", Manufacturing,2007,27.5
" Annual changes, by percent", Manufacturing,2006,12.3
" Annual changes, by percent", Manufacturing,2005,-19.1
" Annual changes, by percent", Manufacturing,2004,-3.3
" Annual changes, by percent", Manufacturing,2003,14.6
" Annual changes, by percent", Manufacturing,2002,25.2
" Annual changes, by percent", Manufacturing,2001,36.6
" Annual changes, by percent", Manufacturing,2000,-3.7
" Annual changes, by percent", Manufacturing,1999,-4.4
" Annual changes, by percent", Manufacturing,1998,2.1
" Annual changes, by percent", Manufacturing,1997,-13.7
" Annual changes, by percent", Manufacturing,1996,-15.6
" Annual changes, by percent", Manufacturing,1995,-63.5
" Annual changes, by percent", Manufacturing,1994,1.7
" Annual changes, by percent", Manufacturing,1993,-7.0
" Annual changes, by percent", Manufacturing,1992,-5.1
" Annual changes, by percent", Manufacturing,1991,-13.6
" Annual changes, by percent", Manufacturing,1990,
" Annual changes, by percent"," Electricity, gas, steam, air conditioning supply",2025,10.17
" Annual changes, by percent"," Electricity, gas, steam, air conditioning supply",2024,5.04
" Annual changes, by percent"," Electricity, gas, steam, air conditioning supply",2023,5.19
" Annual changes, by percent"," Electricity, gas, steam, air conditioning supply",2022,3.47
" Annual changes, by percent"," Electricity, gas, steam, air conditioning supply",2021,10.64
" Annual changes, by percent"," Electricity, gas, steam, air conditioning supply",2020,2.6
" Annual changes, by percent"," Electricity, gas, steam, air conditioning supply",2019,7.65
" Annual changes, by percent"," Electricity, gas, steam, air conditioning supply",2018,8.62
" Annual changes, by percent"," Electricity, gas, steam, air conditioning supply",2017,4.76
" Annual changes, by percent"," Electricity, gas, steam, air conditioning supply",2016,4.52
" Annual changes, by percent"," Electricity, gas, steam, air conditioning supply",2015,4.5
" Annual changes, by percent"," Electricity, gas, steam, air conditioning supply",2014,6.2
" Annual changes, by percent"," Electricity, gas, steam, air conditioning supply",2013,5.4
" Annual changes, by percent"," Electricity, gas, steam, air conditioning supply",2012,5.0
" Annual changes, by percent"," Electricity, gas, steam, air conditioning supply",2011,6.8
" Annual changes, by percent"," Electricity, gas, steam, air conditioning supply",2010,0.1
" Annual changes, by percent"," Electricity, gas, steam, air conditioning supply",2009,6.3
" Annual changes, by percent"," Electricity, gas, steam, air conditioning supply",2008,8.1
" Annual changes, by percent"," Electricity, gas, steam, air conditioning supply",2007,6.2
" Annual changes, by percent"," Electricity, gas, steam, air conditioning supply",2006,3.5
" Annual changes, by percent"," Electricity, gas, steam, air conditioning supply",2005,1.0
" Annual changes, by percent"," Electricity, gas, steam, air conditioning supply",2004,4.2
" Annual changes, by percent"," Electricity, gas, steam, air conditioning supply",2003,1.1
" Annual changes, by percent"," Electricity, gas, steam, air conditioning supply",2002,4.7
" Annual changes, by percent"," Electricity, gas, steam, air conditioning supply",2001,2.0
" Annual changes, by percent"," Electricity, gas, steam, air conditioning supply",2000,-0.1
" Annual changes, by percent"," Electricity, gas, steam, air conditioning supply",1999,3.2
" Annual changes, by percent"," Electricity, gas, steam, air conditioning supply",1998,1.8
" Annual changes, by percent"," Electricity, gas, steam, air conditioning supply",1997,0.6
" Annual changes, by percent"," Electricity, gas, steam, air conditioning supply",1996,-0.8
" Annual changes, by percent"," Electricity, gas, steam, air conditioning supply",1995,
" Annual changes, by percent"," Electricity, gas, steam, air conditioning supply",1994,
" Annual changes, by percent"," Electricity, gas, steam, air conditioning supply",1993,
" Annual changes, by percent"," Electricity, gas, steam, air conditioning supply",1992,
" Annual changes, by percent"," Electricity, gas, steam, air conditioning supply",1991,
" Annual changes, by percent"," Electricity, gas, steam, air conditioning supply",1990,
" Annual changes, by percent"," Water supply; sewerage, waste management and remediation activities",2025,5.28
" Annual changes, by percent"," Water supply; sewerage, waste management and remediation activities",2024,3.5
" Annual changes, by percent"," Water supply; sewerage, waste management and remediation activities",2023,4.28
" Annual changes, by percent"," Water supply; sewerage, waste management and remediation activities",2022,2.4
" Annual changes, by percent"," Water supply; sewerage, waste management and remediation activities",2021,3.4
" Annual changes, by percent"," Water supply; sewerage, waste management and remediation activities",2020,-2.4
" Annual changes, by percent"," Water supply; sewerage, waste management and remediation activities",2019,0.43
" Annual changes, by percent"," Water supply; sewerage, waste management and remediation activities",2018,0.57
" Annual changes, by percent"," Water supply; sewerage, waste management and remediation activities",2017,2.8
" Annual changes, by percent"," Water supply; sewerage, waste management and remediation activities",2016,-2.48
" Annual changes, by percent"," Water supply; sewerage, waste management and remediation activities",2015,-7.03
" Annual changes, by percent"," Water supply; sewerage, waste management and remediation activities",2014,-0.7
" Annual changes, by percent"," Water supply; sewerage, waste management and remediation activities",2013,5.6
" Annual changes, by percent"," Water supply; sewerage, waste management and remediation activities",2012,-1.1
" Annual changes, by percent"," Water supply; sewerage, waste management and remediation activities",2011,2.2
" Annual changes, by percent"," Water supply; sewerage, waste management and remediation activities",2010,-4.0
" Annual changes, by percent"," Water supply; sewerage, waste management and remediation activities",2009,4.8
" Annual changes, by percent"," Water supply; sewerage, waste management and remediation activities",2008,8.7
" Annual changes, by percent"," Water supply; sewerage, waste management and remediation activities",2007,6.5
" Annual changes, by percent"," Water supply; sewerage, waste management and remediation activities",2006,3.8
" Annual changes, by percent"," Water supply; sewerage, waste management and remediation activities",2005,1.1
" Annual changes, by percent"," Water supply; sewerage, waste management and remediation activities",2004,4.8
" Annual changes, by percent"," Water supply; sewerage, waste management and remediation activities",2003,1.6
" Annual changes, by percent"," Water supply; sewerage, waste management and remediation activities",2002,6.5
" Annual changes, by percent"," Water supply; sewerage, waste management and remediation activities",2001,3.9
" Annual changes, by percent"," Water supply; sewerage, waste management and remediation activities",2000,0.9
" Annual changes, by percent"," Water supply; sewerage, waste management and remediation activities",1999,2.9
" Annual changes, by percent"," Water supply; sewerage, waste management and remediation activities",1998,2.0
" Annual changes, by percent"," Water supply; sewerage, waste management and remediation activities",1997,0.8
" Annual changes, by percent"," Water supply; sewerage, waste management and remediation activities",1996,-0.9
" Annual changes, by percent"," Water supply; sewerage, waste management and remediation activities",1995,
" Annual changes, by percent"," Water supply; sewerage, waste management and remediation activities",1994,
" Annual changes, by percent"," Water supply; sewerage, waste management and remediation activities",1993,
" Annual changes, by percent"," Water supply; sewerage, waste management and remediation activities",1992,
" Annual changes, by percent"," Water supply; sewerage, waste management and remediation activities",1991,
" Annual changes, by percent"," Water supply; sewerage, waste management and remediation activities",1990,
" Annual changes, by percent", Construction,2025,15.93
" Annual changes, by percent", Construction,2024,14.04
" Annual changes, by percent", Construction,2023,3.14
" Annual changes, by percent", Construction,2022,8.17
" Annual changes, by percent", Construction,2021,-22.85
" Annual changes, by percent", Construction,2020,-3.2
" Annual changes, by percent", Construction,2019,20.32
" Annual changes, by percent", Construction,2018,1.77
" Annual changes, by percent", Construction,2017,-1.32
" Annual changes, by percent", Construction,2016,-0.39
" Annual changes, by percent", Construction,2015,-0.19
" Annual changes, by percent", Construction,2014,-4.3
" Annual changes, by percent", Construction,2013,8.0
" Annual changes, by percent", Construction,2012,85.3
" Annual changes, by percent", Construction,2011,22.7
" Annual changes, by percent", Construction,2010,16.5
" Annual changes, by percent", Construction,2009,-34.0
" Annual changes, by percent", Construction,2008,-13.8
" Annual changes, by percent", Construction,2007,7.2
" Annual changes, by percent", Construction,2006,4.1
" Annual changes, by percent", Construction,2005,16.1
" Annual changes, by percent", Construction,2004,-6.2
" Annual changes, by percent", Construction,2003,52.8
" Annual changes, by percent", Construction,2002,23.0
" Annual changes, by percent", Construction,2001,11.6
" Annual changes, by percent", Construction,2000,-15.0
" Annual changes, by percent", Construction,1999,0.1
" Annual changes, by percent", Construction,1998,-2.4
" Annual changes, by percent", Construction,1997,-2.5
" Annual changes, by percent", Construction,1996,1.3
" Annual changes, by percent", Construction,1995,6.0
" Annual changes, by percent", Construction,1994,9.6
" Annual changes, by percent", Construction,1993,-14.3
" Annual changes, by percent", Construction,1992,-40.7
" Annual changes, by percent", Construction,1991,-22.4
" Annual changes, by percent", Construction,1990,
" Annual changes, by percent", Wholesale and retail trade; repair of motor vehicles and motorcycles,2025,-4.56
" Annual changes, by percent", Wholesale and retail trade; repair of motor vehicles and motorcycles,2024,11.88
" Annual changes, by percent", Wholesale and retail trade; repair of motor vehicles and motorcycles,2023,6.77
" Annual changes, by percent", Wholesale and retail trade; repair of motor vehicles and motorcycles,2022,10.07
" Annual changes, by percent", Wholesale and retail trade; repair of motor vehicles and motorcycles,2021,5.76
" Annual changes, by percent", Wholesale and retail trade; repair of motor vehicles and motorcycles,2020,-12.5
" Annual changes, by percent", Wholesale and retail trade; repair of motor vehicles and motorcycles,2019,10.92
" Annual changes, by percent", Wholesale and retail trade; repair of motor vehicles and motorcycles,2018,0.14
" Annual changes, by percent", Wholesale and retail trade; repair of motor vehicles and motorcycles,2017,8.16
" Annual changes, by percent", Wholesale and retail trade; repair of motor vehicles and motorcycles,2016,-0.18
" Annual changes, by percent", Wholesale and retail trade; repair of motor vehicles and motorcycles,2015,-8.07
" Annual changes, by percent", Wholesale and retail trade; repair of motor vehicles and motorcycles,2014,2.4
" Annual changes, by percent", Wholesale and retail trade; repair of motor vehicles and motorcycles,2013,8.9
" Annual changes, by percent", Wholesale and retail trade; repair of motor vehicles and motorcycles,2012,12.0
" Annual changes, by percent", Wholesale and retail trade; repair of motor vehicles and motorcycles,2011,46.4
" Annual changes, by percent", Wholesale and retail trade; repair of motor vehicles and motorcycles,2010,39.3
" Annual changes, by percent", Wholesale and retail trade; repair of motor vehicles and motorcycles,2009,-11.8
" Annual changes, by percent", Wholesale and retail trade; repair of motor vehicles and motorcycles,2008,15.0
" Annual changes, by percent", Wholesale and retail trade; repair of motor vehicles and motorcycles,2007,5.5
" Annual changes, by percent", Wholesale and retail trade; repair of motor vehicles and motorcycles,2006,14.3
" Annual changes, by percent", Wholesale and retail trade; repair of motor vehicles and motorcycles,2005,3.0
" Annual changes, by percent", Wholesale and retail trade; repair of motor vehicles and motorcycles,2004,-4.6
" Annual changes, by percent", Wholesale and retail trade; repair of motor vehicles and motorcycles,2003,9.0
" Annual changes, by percent", Wholesale and retail trade; repair of motor vehicles and motorcycles,2002,26.7
" Annual changes, by percent", Wholesale and retail trade; repair of motor vehicles and motorcycles,2001,5.4
" Annual changes, by percent", Wholesale and retail trade; repair of motor vehicles and motorcycles,2000,23.8
" Annual changes, by percent", Wholesale and retail trade; repair of motor vehicles and motorcycles,1999,-0.9
" Annual changes, by percent", Wholesale and retail trade; repair of motor vehicles and motorcycles,1998,-3.5
" Annual changes, by percent", Wholesale and retail trade; repair of motor vehicles and motorcycles,1997,17.3
" Annual changes, by percent", Wholesale and retail trade; repair of motor vehicles and motorcycles,1996,-1.0
" Annual changes, by percent", Wholesale and retail trade; repair of motor vehicles and motorcycles,1995,-9.2
" Annual changes, by percent", Wholesale and retail trade; repair of motor vehicles and motorcycles,1994,-0.8
" Annual changes, by percent", Wholesale and retail trade; repair of motor vehicles and motorcycles,1993,6.8
" Annual changes, by percent", Wholesale and retail trade; repair of motor vehicles and motorcycles,1992,-22.0
" Annual changes, by percent", Wholesale and retail trade; repair of motor vehicles and motorcycles,1991,-18.4
" Annual changes, by percent", Wholesale and retail trade; repair of motor vehicles and motorcycles,1990,
" Annual changes, by percent", Transportation and storage,2025,4.78
" Annual changes, by percent", Transportation and storage,2024,16.43
" Annual changes, by percent", Transportation and storage,2023,39.64
" Annual changes, by percent", Transportation and storage,2022,9.15
" Annual changes, by percent", Transportation and storage,2021,-7.29
" Annual changes, by percent", Transportation and storage,2020,-18.2
" Annual changes, by percent", Transportation and storage,2019,4.38
" Annual changes, by percent", Transportation and storage,2018,14.61
" Annual changes, by percent", Transportation and storage,2017,0.97
" Annual changes, by percent", Transportation and storage,2016,6.51
" Annual changes, by percent", Transportation and storage,2015,5.1
" Annual changes, by percent", Transportation and storage,2014,14.8
" Annual changes, by percent", Transportation and storage,2013,-1.4
" Annual changes, by percent", Transportation and storage,2012,8.1
" Annual changes, by percent", Transportation and storage,2011,15.1
" Annual changes, by percent", Transportation and storage,2010,7.0
" Annual changes, by percent", Transportation and storage,2009,8.0
" Annual changes, by percent", Transportation and storage,2008,19.3
" Annual changes, by percent", Transportation and storage,2007,25.2
" Annual changes, by percent", Transportation and storage,2006,11.0
" Annual changes, by percent", Transportation and storage,2005,23.2
" Annual changes, by percent", Transportation and storage,2004,8.5
" Annual changes, by percent", Transportation and storage,2003,14.0
" Annual changes, by percent", Transportation and storage,2002,18.3
" Annual changes, by percent", Transportation and storage,2001,13.5
" Annual changes, by percent", Transportation and storage,2000,20.4
" Annual changes, by percent", Transportation and storage,1999,0.1
" Annual changes, by percent", Transportation and storage,1998,7.0
" Annual changes, by percent", Transportation and storage,1997,4.7
" Annual changes, by percent", Transportation and storage,1996,9.2
" Annual changes, by percent", Transportation and storage,1995,-32.3
" Annual changes, by percent", Transportation and storage,1994,-5.5
" Annual changes, by percent", Transportation and storage,1993,-16.0
" Annual changes, by percent", Transportation and storage,1992,-38.8
" Annual changes, by percent", Transportation and storage,1991,-9.9
" Annual changes, by percent", Transportation and storage,1990,
" Annual changes, by percent", Accommodation and food service activities,2025,2.8
" Annual changes, by percent", Accommodation and food service activities,2024,18.55
" Annual changes, by percent", Accommodation and food service activities,2023,24.45
" Annual changes, by percent", Accommodation and food service activities,2022,25.08
" Annual changes, by percent", Accommodation and food service activities,2021,6.48
" Annual changes, by percent", Accommodation and food service activities,2020,-23.7
" Annual changes, by percent", Accommodation and food service activities,2019,9.48
" Annual changes, by percent", Accommodation and food service activities,2018,16.94
" Annual changes, by percent", Accommodation and food service activities,2017,4.15
" Annual changes, by percent", Accommodation and food service activities,2016,16.92
" Annual changes, by percent", Accommodation and food service activities,2015,3.28
" Annual changes, by percent", Accommodation and food service activities,2014,-10.8
" Annual changes, by percent", Accommodation and food service activities,2013,5.0
" Annual changes, by percent", Accommodation and food service activities,2012,13.7
" Annual changes, by percent", Accommodation and food service activities,2011,26.7
" Annual changes, by percent", Accommodation and food service activities,2010,-5.5
" Annual changes, by percent", Accommodation and food service activities,2009,-3.4
" Annual changes, by percent", Accommodation and food service activities,2008,5.8
" Annual changes, by percent", Accommodation and food service activities,2007,14.7
" Annual changes, by percent", Accommodation and food service activities,2006,8.8
" Annual changes, by percent", Accommodation and food service activities,2005,17.3
" Annual changes, by percent", Accommodation and food service activities,2004,12.1
" Annual changes, by percent", Accommodation and food service activities,2003,-0.6
" Annual changes, by percent", Accommodation and food service activities,2002,4.5
" Annual changes, by percent", Accommodation and food service activities,2001,-7.1
" Annual changes, by percent", Accommodation and food service activities,2000,11.0
" Annual changes, by percent", Accommodation and food service activities,1999,7.2
" Annual changes, by percent", Accommodation and food service activities,1998,0.2
" Annual changes, by percent", Accommodation and food service activities,1997,0.6
" Annual changes, by percent", Accommodation and food service activities,1996,4.6
" Annual changes, by percent", Accommodation and food service activities,1995,
" Annual changes, by percent", Accommodation and food service activities,1994,
" Annual changes, by percent", Accommodation and food service activities,1993,
" Annual changes, by percent", Accommodation and food service activities,1992,
" Annual changes, by percent", Accommodation and food service activities,1991,
" Annual changes, by percent", Accommodation and food service activities,1990,
" Annual changes, by percent", Information and communication,2025,7.24
" Annual changes, by percent", Information and communication,2024,17.36
" Annual changes, by percent", Information and communication,2023,17.05
" Annual changes, by percent", Information and communication,2022,6.64
" Annual changes, by percent", Information and communication,2021,20.65
" Annual changes, by percent", Information and communication,2020,5.2
" Annual changes, by percent", Information and communication,2019,12.13
" Annual changes, by percent", Information and communication,2018,12.07
" Annual changes, by percent", Information and communication,2017,-4.5
" Annual changes, by percent", Information and communication,2016,1.07
" Annual changes, by percent", Information and communication,2015,-2.51
" Annual changes, by percent", Information and communication,2014,4.7
" Annual changes, by percent", Information and communication,2013,14.9
" Annual changes, by percent", Information and communication,2012,16.2
" Annual changes, by percent", Information and communication,2011,5.8
" Annual changes, by percent", Information and communication,2010,6.4
" Annual changes, by percent", Information and communication,2009,7.5
" Annual changes, by percent", Information and communication,2008,19.0
" Annual changes, by percent", Information and communication,2007,24.2
" Annual changes, by percent", Information and communication,2006,10.7
" Annual changes, by percent", Information and communication,2005,21.9
" Annual changes, by percent", Information and communication,2004,8.5
" Annual changes, by percent", Information and communication,2003,13.5
" Annual changes, by percent", Information and communication,2002,18.5
" Annual changes, by percent", Information and communication,2001,14.0
" Annual changes, by percent", Information and communication,2000,19.8
" Annual changes, by percent", Information and communication,1999,0.1
" Annual changes, by percent", Information and communication,1998,6.8
" Annual changes, by percent", Information and communication,1997,4.7
" Annual changes, by percent", Information and communication,1996,8.3
" Annual changes, by percent", Information and communication,1995,
" Annual changes, by percent", Information and communication,1994,
" Annual changes, by percent", Information and communication,1993,
" Annual changes, by percent", Information and communication,1992,
" Annual changes, by percent", Information and communication,1991,
" Annual changes, by percent", Information and communication,1990,
" Annual changes, by percent", Financial and insurance activities,2025,10.59
" Annual changes, by percent", Financial and insurance activities,2024,26.05
" Annual changes, by percent", Financial and insurance activities,2023,11.03
" Annual changes, by percent", Financial and insurance activities,2022,2.72
" Annual changes, by percent", Financial and insurance activities,2021,9.7
" Annual changes, by percent", Financial and insurance activities,2020,1.4
" Annual changes, by percent", Financial and insurance activities,2019,5.68
" Annual changes, by percent", Financial and insurance activities,2018,13.73
" Annual changes, by percent", Financial and insurance activities,2017,19.67
" Annual changes, by percent", Financial and insurance activities,2016,7.7
" Annual changes, by percent", Financial and insurance activities,2015,14.56
" Annual changes, by percent", Financial and insurance activities,2014,32.6
" Annual changes, by percent", Financial and insurance activities,2013,30.8
" Annual changes, by percent", Financial and insurance activities,2012,42.4
" Annual changes, by percent", Financial and insurance activities,2011,49.2
" Annual changes, by percent", Financial and insurance activities,2010,0.3
" Annual changes, by percent", Financial and insurance activities,2009,-15.6
" Annual changes, by percent", Financial and insurance activities,2008,30.4
" Annual changes, by percent", Financial and insurance activities,2007,19.5
" Annual changes, by percent", Financial and insurance activities,2006,-3.0
" Annual changes, by percent", Financial and insurance activities,2005,7.5
" Annual changes, by percent", Financial and insurance activities,2004,19.3
" Annual changes, by percent", Financial and insurance activities,2003,43.9
" Annual changes, by percent", Financial and insurance activities,2002,13.2
" Annual changes, by percent", Financial and insurance activities,2001,21.3
" Annual changes, by percent", Financial and insurance activities,2000,5.5
" Annual changes, by percent", Financial and insurance activities,1999,35.5
" Annual changes, by percent", Financial and insurance activities,1998,-32.9
" Annual changes, by percent", Financial and insurance activities,1997,-25.6
" Annual changes, by percent", Financial and insurance activities,1996,38.7
" Annual changes, by percent", Financial and insurance activities,1995,
" Annual changes, by percent", Financial and insurance activities,1994,
" Annual changes, by percent", Financial and insurance activities,1993,
" Annual changes, by percent", Financial and insurance activities,1992,
" Annual changes, by percent", Financial and insurance activities,1991,
" Annual changes, by percent", Financial and insurance activities,1990,
" Annual changes, by percent", Real estate activities,2025,0.54
" Annual changes, by percent", Real estate activities,2024,1.76
" Annual changes, by percent", Real estate activities,2023,2.15
" Annual changes, by percent", Real estate activities,2022,2.2
" Annual changes, by percent", Real estate activities,2021,-1.87
" Annual changes, by percent", Real estate activities,2020,-1.6
" Annual changes, by percent", Real estate activities,2019,-2.9
" Annual changes, by percent", Real estate activities,2018,3.08
" Annual changes, by percent", Real estate activities,2017,10.89
" Annual changes, by percent", Real estate activities,2016,2.7
" Annual changes, by percent", Real estate activities,2015,4.34
" Annual changes, by percent", Real estate activities,2014,3.7
" Annual changes, by percent", Real estate activities,2013,3.4
" Annual changes, by percent", Real estate activities,2012,2.0
" Annual changes, by percent", Real estate activities,2011,2.4
" Annual changes, by percent", Real estate activities,2010,0.2
" Annual changes, by percent", Real estate activities,2009,8.4
" Annual changes, by percent", Real estate activities,2008,8.3
" Annual changes, by percent", Real estate activities,2007,-0.3
" Annual changes, by percent", Real estate activities,2006,4.0
" Annual changes, by percent", Real estate activities,2005,3.2
" Annual changes, by percent", Real estate activities,2004,3.2
" Annual changes, by percent", Real estate activities,2003,4.2
" Annual changes, by percent", Real estate activities,2002,4.6
" Annual changes, by percent", Real estate activities,2001,2.9
" Annual changes, by percent", Real estate activities,2000,2.0
" Annual changes, by percent", Real estate activities,1999,1.1
" Annual changes, by percent", Real estate activities,1998,1.5
" Annual changes, by percent", Real estate activities,1997,3.5
" Annual changes, by percent", Real estate activities,1996,1.0
" Annual changes, by percent", Real estate activities,1995,0.9
" Annual changes, by percent", Real estate activities,1994,-0.5
" Annual changes, by percent", Real estate activities,1993,-0.9
" Annual changes, by percent", Real estate activities,1992,0.0
" Annual changes, by percent", Real estate activities,1991,-0.5
" Annual changes, by percent", Real estate activities,1990,
" Annual changes, by percent"," Professional, scientific and technical activities",2025,2.81
" Annual changes, by percent"," Professional, scientific and technical activities",2024,19.67
" Annual changes, by percent"," Professional, scientific and technical activities",2023,3.11
" Annual changes, by percent"," Professional, scientific and technical activities",2022,8.79
" Annual changes, by percent"," Professional, scientific and technical activities",2021,7.89
" Annual changes, by percent"," Professional, scientific and technical activities",2020,-5.5
" Annual changes, by percent"," Professional, scientific and technical activities",2019,18.44
" Annual changes, by percent"," Professional, scientific and technical activities",2018,0.51
" Annual changes, by percent"," Professional, scientific and technical activities",2017,2.04
" Annual changes, by percent"," Professional, scientific and technical activities",2016,-6.68
" Annual changes, by percent"," Professional, scientific and technical activities",2015,-0.17
" Annual changes, by percent"," Professional, scientific and technical activities",2014,12.3
" Annual changes, by percent"," Professional, scientific and technical activities",2013,7.9
" Annual changes, by percent"," Professional, scientific and technical activities",2012,1.1
" Annual changes, by percent"," Professional, scientific and technical activities",2011,1.1
" Annual changes, by percent"," Professional, scientific and technical activities",2010,37.9
" Annual changes, by percent"," Professional, scientific and technical activities",2009,11.1
" Annual changes, by percent"," Professional, scientific and technical activities",2008,62.5
" Annual changes, by percent"," Professional, scientific and technical activities",2007,-12.1
" Annual changes, by percent"," Professional, scientific and technical activities",2006,6.3
" Annual changes, by percent"," Professional, scientific and technical activities",2005,40.8
" Annual changes, by percent"," Professional, scientific and technical activities",2004,1.2
" Annual changes, by percent"," Professional, scientific and technical activities",2003,25.1
" Annual changes, by percent"," Professional, scientific and technical activities",2002,36.8
" Annual changes, by percent"," Professional, scientific and technical activities",2001,8.7
" Annual changes, by percent"," Professional, scientific and technical activities",2000,6.4
" Annual changes, by percent"," Professional, scientific and technical activities",1999,-5.5
" Annual changes, by percent"," Professional, scientific and technical activities",1998,5.7
" Annual changes, by percent"," Professional, scientific and technical activities",1997,0.7
" Annual changes, by percent"," Professional, scientific and technical activities",1996,3.1
" Annual changes, by percent"," Professional, scientific and technical activities",1995,
" Annual changes, by percent"," Professional, scientific and technical activities",1994,
" Annual changes, by percent"," Professional, scientific and technical activities",1993,
" Annual changes, by percent"," Professional, scientific and technical activities",1992,
" Annual changes, by percent"," Professional, scientific and technical activities",1991,
" Annual changes, by percent"," Professional, scientific and technical activities",1990,
" Annual changes, by percent", Administrative and support service activities,2025,5.07
" Annual changes, by percent", Administrative and support service activities,2024,13.55
" Annual changes, by percent", Administrative and support service activities,2023,13.37
" Annual changes, by percent", Administrative and support service activities,2022,20.54
" Annual changes, by percent", Administrative and support service activities,2021,8.09
" Annual changes, by percent", Administrative and support service activities,2020,-6.8
" Annual changes, by percent", Administrative and support service activities,2019,9.63
" Annual changes, by percent", Administrative and support service activities,2018,0.05
" Annual changes, by percent", Administrative and support service activities,2017,1.5
" Annual changes, by percent", Administrative and support service activities,2016,18.48
" Annual changes, by percent", Administrative and support service activities,2015,2.76
" Annual changes, by percent", Administrative and support service activities,2014,0.9
" Annual changes, by percent", Administrative and support service activities,2013,3.9
" Annual changes, by percent", Administrative and support service activities,2012,2.1
" Annual changes, by percent", Administrative and support service activities,2011,1.8
" Annual changes, by percent", Administrative and support service activities,2010,-11.9
" Annual changes, by percent", Administrative and support service activities,2009,9.3
" Annual changes, by percent", Administrative and support service activities,2008,33.5
" Annual changes, by percent", Administrative and support service activities,2007,10.4
" Annual changes, by percent", Administrative and support service activities,2006,9.1
" Annual changes, by percent", Administrative and support service activities,2005,30.5
" Annual changes, by percent", Administrative and support service activities,2004,5.8
" Annual changes, by percent", Administrative and support service activities,2003,18.9
" Annual changes, by percent", Administrative and support service activities,2002,25.5
" Annual changes, by percent", Administrative and support service activities,2001,12.3
" Annual changes, by percent", Administrative and support service activities,2000,16.0
" Annual changes, by percent", Administrative and support service activities,1999,-2.3
" Annual changes, by percent", Administrative and support service activities,1998,6.9
" Annual changes, by percent", Administrative and support service activities,1997,3.1
" Annual changes, by percent", Administrative and support service activities,1996,6.9
" Annual changes, by percent", Administrative and support service activities,1995,
" Annual changes, by percent", Administrative and support service activities,1994,
" Annual changes, by percent", Administrative and support service activities,1993,
" Annual changes, by percent", Administrative and support service activities,1992,
" Annual changes, by percent", Administrative and support service activities,1991,
" Annual changes, by percent", Administrative and support service activities,1990,
" Annual changes, by percent", Public administration and defence; compulsory social insurance,2025,0.49
" Annual changes, by percent", Public administration and defence; compulsory social insurance,2024,0.18
" Annual changes, by percent", Public administration and defence; compulsory social insurance,2023,4.92
" Annual changes, by percent", Public administration and defence; compulsory social insurance,2022,0.87
" Annual changes, by percent", Public administration and defence; compulsory social insurance,2021,4.19
" Annual changes, by percent", Public administration and defence; compulsory social insurance,2020,-2.3
" Annual changes, by percent", Public administration and defence; compulsory social insurance,2019,5.51
" Annual changes, by percent", Public administration and defence; compulsory social insurance,2018,1.6
" Annual changes, by percent", Public administration and defence; compulsory social insurance,2017,9.32
" Annual changes, by percent", Public administration and defence; compulsory social insurance,2016,4.6
" Annual changes, by percent", Public administration and defence; compulsory social insurance,2015,3.03
" Annual changes, by percent", Public administration and defence; compulsory social insurance,2014,2.5
" Annual changes, by percent", Public administration and defence; compulsory social insurance,2013,3.8
" Annual changes, by percent", Public administration and defence; compulsory social insurance,2012,5.3
" Annual changes, by percent", Public administration and defence; compulsory social insurance,2011,-8.9
" Annual changes, by percent", Public administration and defence; compulsory social insurance,2010,0.7
" Annual changes, by percent", Public administration and defence; compulsory social insurance,2009,6.5
" Annual changes, by percent", Public administration and defence; compulsory social insurance,2008,3.1
