SEX,SECTOR,TIME (ANNUAL),value
TOTAL,Transportation and storage,2019,1117.0
TOTAL,Transportation and storage,2018,1046.8
TOTAL,Transportation and storage,2017,1022.5
TOTAL,Transportation and storage,2016,984.8
TOTAL,Transportation and storage,2015,885.0
TOTAL,Transportation and storage,2014,924.5
TOTAL,Transportation and storage,2013,822.1
TOTAL,Transportation and storage,2012,521.3
TOTAL,Transportation and storage,2011,487.2
TOTAL,Transportation and storage,2010,369.0
TOTAL,Transportation and storage,2009,294.6
TOTAL,Transportation and storage,2008,255.6
TOTAL,Transportation and storage,2007,174.1
TOTAL,Transportation and storage,2006,130.8
TOTAL,Transportation and storage,2005,112.4
TOTAL,Transportation and storage,2004,109.0
TOTAL,Transportation and storage,2003,106.1
TOTAL,Transportation and storage,2002,90.9
TOTAL,Transportation and storage,2001,84.1
TOTAL,Accomodation and food service activities,2025,1832.2
TOTAL,Accomodation and food service activities,2024,1420.7
TOTAL,Accomodation and food service activities,2023,1170.7
TOTAL,Accomodation and food service activities,2022,968.6
TOTAL,Accomodation and food service activities,2021,801.7
TOTAL,Accomodation and food service activities,2020,730.2
TOTAL,Accomodation and food service activities,2019,691.5
TOTAL,Accomodation and food service activities,2018,621.4
TOTAL,Accomodation and food service activities,2017,585.0
TOTAL,Accomodation and food service activities,2016,555.4
TOTAL,Accomodation and food service activities,2015,527.8
TOTAL,Accomodation and food service activities,2014,532.7
TOTAL,Accomodation and food service activities,2013,601.4
TOTAL,Accomodation and food service activities,2012,377.6
TOTAL,Accomodation and food service activities,2011,298.3
TOTAL,Accomodation and food service activities,2010,267.1
TOTAL,Accomodation and food service activities,2009,239.7
TOTAL,Accomodation and food service activities,2008,193.2
TOTAL,Accomodation and food service activities,2007,153.2
TOTAL,Accomodation and food service activities,2006,122.8
TOTAL,Accomodation and food service activities,2005,116.1
TOTAL,Accomodation and food service activities,2004,100.4
TOTAL,Accomodation and food service activities,2003,88.0
TOTAL,Accomodation and food service activities,2002,80.4
TOTAL,Accomodation and food service activities,2001,70.8
TOTAL,Information and communication,2025,2870.1
TOTAL,Information and communication,2024,2467.8
TOTAL,Information and communication,2023,1937.0
TOTAL,Information and communication,2022,1728.4
TOTAL,Information and communication,2021,1317.6
TOTAL,Information and communication,2020,1196.8
TOTAL,Information and communication,2019,1086.6
TOTAL,Information and communication,2018,979.0
TOTAL,Information and communication,2017,865.8
TOTAL,Information and communication,2016,818.3
TOTAL,Information and communication,2015,798.5
TOTAL,Information and communication,2014,774.9
TOTAL,Information and communication,2013,861.6
TOTAL,Information and communication,2012,
TOTAL,Information and communication,2011,
TOTAL,Information and communication,2010,
TOTAL,Information and communication,2009,
TOTAL,Information and communication,2008,
TOTAL,Information and communication,2007,
TOTAL,Information and communication,2006,
TOTAL,Information and communication,2005,
TOTAL,Information and communication,2004,
TOTAL,Information and communication,2003,
TOTAL,Information and communication,2002,
TOTAL,Information and communication,2001,
TOTAL,Financial and insurance activities,2025,3263.4
TOTAL,Financial and insurance activities,2024,2897.0
TOTAL,Financial and insurance activities,2023,2261.5
TOTAL,Financial and insurance activities,2022,1927.8
TOTAL,Financial and insurance activities,2021,1515.8
TOTAL,Financial and insurance activities,2020,1453.7
TOTAL,Financial and insurance activities,2019,1343.1
TOTAL,Financial and insurance activities,2018,1160.6
TOTAL,Financial and insurance activities,2017,1131.6
TOTAL,Financial and insurance activities,2016,1082.3
TOTAL,Financial and insurance activities,2015,1049.7
TOTAL,Financial and insurance activities,2014,1067.6
TOTAL,Financial and insurance activities,2013,1190.0
TOTAL,Financial and insurance activities,2012,1066.7
TOTAL,Financial and insurance activities,2011,886.9
TOTAL,Financial and insurance activities,2010,696.7
TOTAL,Financial and insurance activities,2009,599.9
TOTAL,Financial and insurance activities,2008,471.4
TOTAL,Financial and insurance activities,2007,361.9
TOTAL,Financial and insurance activities,2006,265.5
TOTAL,Financial and insurance activities,2005,163.9
TOTAL,Financial and insurance activities,2004,125.4
TOTAL,Financial and insurance activities,2003,103.8
TOTAL,Financial and insurance activities,2002,83.2
TOTAL,Financial and insurance activities,2001,59.2
TOTAL,Real estate activities,2025,2389.7
TOTAL,Real estate activities,2024,2461.3
TOTAL,Real estate activities,2023,2072.5
TOTAL,Real estate activities,2022,1743.6
TOTAL,Real estate activities,2021,1401.4
TOTAL,Real estate activities,2020,1378.3
TOTAL,Real estate activities,2019,1197.7
TOTAL,Real estate activities,2018,1022.8
TOTAL,Real estate activities,2017,870.1
TOTAL,Real estate activities,2016,815.2
TOTAL,Real estate activities,2015,810.9
TOTAL,Real estate activities,2014,769.9
TOTAL,Real estate activities,2013,593.7
TOTAL,Real estate activities,2012,490.7
TOTAL,Real estate activities,2011,330.1
TOTAL,Real estate activities,2010,277.3
TOTAL,Real estate activities,2009,264.7
TOTAL,Real estate activities,2008,251.7
TOTAL,Real estate activities,2007,132.4
TOTAL,Real estate activities,2006,93.0
TOTAL,Real estate activities,2005,68.3
TOTAL,Real estate activities,2004,66.0
TOTAL,Real estate activities,2003,65.3
TOTAL,Real estate activities,2002,55.3
TOTAL,Real estate activities,2001,58.7
TOTAL,"Professional, scientific and technical activities",2025,3086.2
TOTAL,"Professional, scientific and technical activities",2024,2709.2
TOTAL,"Professional, scientific and technical activities",2023,2072.6
TOTAL,"Professional, scientific and technical activities",2022,1656.5
TOTAL,"Professional, scientific and technical activities",2021,1665.2
TOTAL,"Professional, scientific and technical activities",2020,1648.3
TOTAL,"Professional, scientific and technical activities",2019,1580.6
TOTAL,"Professional, scientific and technical activities",2018,1546.9
TOTAL,"Professional, scientific and technical activities",2017,1569.7
TOTAL,"Professional, scientific and technical activities",2016,1267.0
TOTAL,"Professional, scientific and technical activities",2015,1144.7
TOTAL,"Professional, scientific and technical activities",2014,1080.6
TOTAL,"Professional, scientific and technical activities",2013,729.9
TOTAL,"Professional, scientific and technical activities",2012,
TOTAL,"Professional, scientific and technical activities",2011,
TOTAL,"Professional, scientific and technical activities",2010,
TOTAL,"Professional, scientific and technical activities",2009,
TOTAL,"Professional, scientific and technical activities",2008,
TOTAL,"Professional, scientific and technical activities",2007,
