SEX,SECTOR,TIME (ANNUAL),value
MALE,National average,2023,2103.4
MALE,National average,2022,1642.8
MALE,National average,2021,1390.1
MALE,National average,2020,1326.2
MALE,National average,2019,1222.6
MALE,National average,2018,1100.3
MALE,National average,2017,1029.4
MALE,National average,2016,913.9
MALE,National average,2015,856.0
MALE,National average,2014,859.7
MALE,National average,2013,860.5
MALE,National average,2012,593.1
MALE,National average,2011,470.0
MALE,National average,2010,370.4
MALE,National average,2009,322.8
MALE,National average,2008,291.3
MALE,National average,2007,186.7
MALE,National average,2006,138.1
MALE,National average,2005,110.0
MALE,National average,2004,98.3
MALE,National average,2003,86.9
MALE,National average,2002,76.3
MALE,National average,2001,69.2
MALE,"Agriculture, forestry, fishing and hunting",2025,2250.3
MALE,"Agriculture, forestry, fishing and hunting",2024,1971.3
MALE,"Agriculture, forestry, fishing and hunting",2023,1498.6
MALE,"Agriculture, forestry, fishing and hunting",2022,1175.7
MALE,"Agriculture, forestry, fishing and hunting",2021,1023.1
MALE,"Agriculture, forestry, fishing and hunting",2020,962.4
MALE,"Agriculture, forestry, fishing and hunting",2019,844.1
MALE,"Agriculture, forestry, fishing and hunting",2018,750.2
MALE,"Agriculture, forestry, fishing and hunting",2017,694.2
MALE,"Agriculture, forestry, fishing and hunting",2016,641.8
MALE,"Agriculture, forestry, fishing and hunting",2015,668.3
MALE,"Agriculture, forestry, fishing and hunting",2014,787.7
MALE,"Agriculture, forestry, fishing and hunting",2013,324.3
MALE,"Agriculture, forestry, fishing and hunting",2012,243.8
MALE,"Agriculture, forestry, fishing and hunting",2011,206.1
MALE,"Agriculture, forestry, fishing and hunting",2010,182.2
MALE,"Agriculture, forestry, fishing and hunting",2009,182.9
MALE,"Agriculture, forestry, fishing and hunting",2008,163.4
MALE,"Agriculture, forestry, fishing and hunting",2007,96.0
MALE,"Agriculture, forestry, fishing and hunting",2006,64.0
MALE,"Agriculture, forestry, fishing and hunting",2005,56.4
MALE,"Agriculture, forestry, fishing and hunting",2004,52.9
MALE,"Agriculture, forestry, fishing and hunting",2003,49.4
MALE,"Agriculture, forestry, fishing and hunting",2002,45.2
MALE,"Agriculture, forestry, fishing and hunting",2001,60.6
MALE,Mining and quarrying,2025,5329.5
MALE,Mining and quarrying,2024,5048.3
MALE,Mining and quarrying,2023,4724.7
MALE,Mining and quarrying,2022,3603.3
MALE,Mining and quarrying,2021,2989.5
MALE,Mining and quarrying,2020,2855.8
MALE,Mining and quarrying,2019,2532.5
MALE,Mining and quarrying,2018,2165.7
MALE,Mining and quarrying,2017,2065.7
MALE,Mining and quarrying,2016,1792.9
MALE,Mining and quarrying,2015,1784.4
MALE,Mining and quarrying,2014,1551.7
MALE,Mining and quarrying,2013,1438.4
MALE,Mining and quarrying,2012,835.5
MALE,Mining and quarrying,2011,771.9
MALE,Mining and quarrying,2010,588.8
MALE,Mining and quarrying,2009,423.9
MALE,Mining and quarrying,2008,343.7
MALE,Mining and quarrying,2007,230.1
MALE,Mining and quarrying,2006,154.4
MALE,Mining and quarrying,2005,121.1
MALE,Mining and quarrying,2004,94.4
MALE,Mining and quarrying,2003,91.0
MALE,Mining and quarrying,2002,79.4
MALE,Mining and quarrying,2001,60.3
MALE,Manufacturing,2025,3328.7
MALE,Manufacturing,2024,2340.0
MALE,Manufacturing,2023,1913.5
MALE,Manufacturing,2022,1554.2
MALE,Manufacturing,2021,1338.8
MALE,Manufacturing,2020,1275.3
MALE,Manufacturing,2019,1264.0
MALE,Manufacturing,2018,1241.5
MALE,Manufacturing,2017,1155.7
MALE,Manufacturing,2016,919.9
MALE,Manufacturing,2015,794.2
MALE,Manufacturing,2014,788.7
MALE,Manufacturing,2013,648.2
MALE,Manufacturing,2012,562.7
MALE,Manufacturing,2011,459.0
MALE,Manufacturing,2010,374.6
MALE,Manufacturing,2009,299.0
MALE,Manufacturing,2008,315.9
MALE,Manufacturing,2007,189.4
MALE,Manufacturing,2006,142.7
MALE,Manufacturing,2005,115.0
MALE,Manufacturing,2004,98.1
MALE,Manufacturing,2003,86.9
MALE,Manufacturing,2002,69.3
MALE,Manufacturing,2001,65.9
MALE,"Electricity, gas, steam and air conditioning supply",2025,3684.4
MALE,"Electricity, gas, steam and air conditioning supply",2024,2944.1
MALE,"Electricity, gas, steam and air conditioning supply",2023,2272.6
MALE,"Electricity, gas, steam and air conditioning supply",2022,1840.2
MALE,"Electricity, gas, steam and air conditioning supply",2021,1626.0
MALE,"Electricity, gas, steam and air conditioning supply",2020,1572.1
MALE,"Electricity, gas, steam and air conditioning supply",2019,1474.0
MALE,"Electricity, gas, steam and air conditioning supply",2018,1403.6
MALE,"Electricity, gas, steam and air conditioning supply",2017,1331.5
MALE,"Electricity, gas, steam and air conditioning supply",2016,1209.7
MALE,"Electricity, gas, steam and air conditioning supply",2015,1136.5
MALE,"Electricity, gas, steam and air conditioning supply",2014,1130.9
MALE,"Electricity, gas, steam and air conditioning supply",2013,926.4
MALE,"Electricity, gas, steam and air conditioning supply",2012,556.8
MALE,"Electricity, gas, steam and air conditioning supply",2011,433.1
MALE,"Electricity, gas, steam and air conditioning supply",2010,363.1
MALE,"Electricity, gas, steam and air conditioning supply",2009,319.7
MALE,"Electricity, gas, steam and air conditioning supply",2008,259.4
MALE,"Electricity, gas, steam and air conditioning supply",2007,168.6
MALE,"Electricity, gas, steam and air conditioning supply",2006,139.9
MALE,"Electricity, gas, steam and air conditioning supply",2005,120.5
MALE,"Electricity, gas, steam and air conditioning supply",2004,114.1
MALE,"Electricity, gas, steam and air conditioning supply",2003,99.8
MALE,"Electricity, gas, steam and air conditioning supply",2002,83.2
MALE,"Electricity, gas, steam and air conditioning supply",2001,80.1
MALE,"Water supply, sewerage, waste management and remedation activities",2025,2786.2
MALE,"Water supply, sewerage, waste management and remedation activities",2024,2143.6
MALE,"Water supply, sewerage, waste management and remedation activities",2023,1549.8
MALE,"Water supply, sewerage, waste management and remedation activities",2022,1192.4
MALE,"Water supply, sewerage, waste management and remedation activities",2021,1050.2
MALE,"Water supply, sewerage, waste management and remedation activities",2020,1003.4
MALE,"Water supply, sewerage, waste management and remedation activities",2019,843.7
MALE,"Water supply, sewerage, waste management and remedation activities",2018,752.9
MALE,"Water supply, sewerage, waste management and remedation activities",2017,700.4
MALE,"Water supply, sewerage, waste management and remedation activities",2016,669.6
MALE,"Water supply, sewerage, waste management and remedation activities",2015,664.2
MALE,"Water supply, sewerage, waste management and remedation activities",2014,646.5
MALE,"Water supply, sewerage, waste management and remedation activities",2013,577.2
MALE,"Water supply, sewerage, waste management and remedation activities",2012,
MALE,"Water supply, sewerage, waste management and remedation activities",2011,
MALE,"Water supply, sewerage, waste management and remedation activities",2010,
MALE,"Water supply, sewerage, waste management and remedation activities",2009,
MALE,"Water supply, sewerage, waste management and remedation activities",2008,
MALE,"Water supply, sewerage, waste management and remedation activities",2007,
MALE,"Water supply, sewerage, waste management and remedation activities",2006,
MALE,"Water supply, sewerage, waste management and remedation activities",2005,
MALE,"Water supply, sewerage, waste management and remedation activities",2004,
MALE,"Water supply, sewerage, waste management and remedation activities",2003,
MALE,"Water supply, sewerage, waste management and remedation activities",2002,
MALE,"Water supply, sewerage, waste management and remedation activities",2001,
MALE,Construction,2025,2533.5
MALE,Construction,2024,2275.8
MALE,Construction,2023,1885.5
MALE,Construction,2022,1433.7
MALE,Construction,2021,1244.5
MALE,Construction,2020,1252.8
MALE,Construction,2019,1152.0
MALE,Construction,2018,1023.8
MALE,Construction,2017,864.3
MALE,Construction,2016,749.9
MALE,Construction,2015,685.1
MALE,Construction,2014,699.9
MALE,Construction,2013,736.1
MALE,Construction,2012,506.8
MALE,Construction,2011,351.2
MALE,Construction,2010,250.8
MALE,Construction,2009,235.8
MALE,Construction,2008,219.7
MALE,Construction,2007,170.8
MALE,Construction,2006,125.0
MALE,Construction,2005,113.5
MALE,Construction,2004,103.2
MALE,Construction,2003,87.6
MALE,Construction,2002,92.8
MALE,Construction,2001,75.6
MALE,"Wholesale and retail trade, repair of motor vehicles and motorcycles",2025,2362.8
MALE,"Wholesale and retail trade, repair of motor vehicles and motorcycles",2024,1994.9
MALE,"Wholesale and retail trade, repair of motor vehicles and motorcycles",2023,1616.7
MALE,"Wholesale and retail trade, repair of motor vehicles and motorcycles",2022,1370.9
MALE,"Wholesale and retail trade, repair of motor vehicles and motorcycles",2021,1153.0
MALE,"Wholesale and retail trade, repair of motor vehicles and motorcycles",2020,1079.0
MALE,"Wholesale and retail trade, repair of motor vehicles and motorcycles",2019,966.5
MALE,"Wholesale and retail trade, repair of motor vehicles and motorcycles",2018,884.1
MALE,"Wholesale and retail trade, repair of motor vehicles and motorcycles",2017,838.4
MALE,"Wholesale and retail trade, repair of motor vehicles and motorcycles",2016,797.8
MALE,"Wholesale and retail trade, repair of motor vehicles and motorcycles",2015,741.9
MALE,"Wholesale and retail trade, repair of motor vehicles and motorcycles",2014,768.5
MALE,"Wholesale and retail trade, repair of motor vehicles and motorcycles",2013,804.3
MALE,"Wholesale and retail trade, repair of motor vehicles and motorcycles",2012,409.0
MALE,"Wholesale and retail trade, repair of motor vehicles and motorcycles",2011,300.2
MALE,"Wholesale and retail trade, repair of motor vehicles and motorcycles",2010,248.6
MALE,"Wholesale and retail trade, repair of motor vehicles and motorcycles",2009,234.4
MALE,"Wholesale and retail trade, repair of motor vehicles and motorcycles",2008,194.8
MALE,"Wholesale and retail trade, repair of motor vehicles and motorcycles",2007,125.3
MALE,"Wholesale and retail trade, repair of motor vehicles and motorcycles",2006,94.1
MALE,"Wholesale and retail trade, repair of motor vehicles and motorcycles",2005,81.3
MALE,"Wholesale and retail trade, repair of motor vehicles and motorcycles",2004,75.8
MALE,"Wholesale and retail trade, repair of motor vehicles and motorcycles",2003,70.4
MALE,"Wholesale and retail trade, repair of motor vehicles and motorcycles",2002,63.0
MALE,"Wholesale and retail trade, repair of motor vehicles and motorcycles",2001,56.2
MALE,Transportation and storage,2025,3287.3
MALE,Transportation and storage,2024,2584.9
MALE,Transportation and storage,2023,2140.6
MALE,Transportation and storage,2022,1671.9
MALE,Transportation and storage,2021,1273.3
MALE,Transportation and storage,2020,1175.4
MALE,Transportation and storage,2019,1084.2
MALE,Transportation and storage,2018,1036.3
MALE,Transportation and storage,2017,1023.4
MALE,Transportation and storage,2016,1021.8
MALE,Transportation and storage,2015,931.4
MALE,Transportation and storage,2014,978.9
MALE,Transportation and storage,2013,911.1
MALE,Transportation and storage,2012,542.5
MALE,Transportation and storage,2011,547.5
MALE,Transportation and storage,2010,389.1
MALE,Transportation and storage,2009,312.2
MALE,Transportation and storage,2008,284.7
MALE,Transportation and storage,2007,187.4
MALE,Transportation and storage,2006,133.8
MALE,Transportation and storage,2005,112.0
MALE,Transportation and storage,2004,108.6
MALE,Transportation and storage,2003,108.7
MALE,Transportation and storage,2002,94.8
MALE,Transportation and storage,2001,88.6
MALE,Accomodation and food service activities,2025,1920.2
MALE,Accomodation and food service activities,2024,1451.8
MALE,Accomodation and food service activities,2023,1213.8
MALE,Accomodation and food service activities,2022,1007.4
MALE,Accomodation and food service activities,2021,827.9
MALE,Accomodation and food service activities,2020,760.7
MALE,Accomodation and food service activities,2019,717.8
MALE,Accomodation and food service activities,2018,651.0
MALE,Accomodation and food service activities,2017,628.4
MALE,Accomodation and food service activities,2016,587.6
MALE,Accomodation and food service activities,2015,555.9
MALE,Accomodation and food service activities,2014,577.0
MALE,Accomodation and food service activities,2013,684.7
MALE,Accomodation and food service activities,2012,390.9
MALE,Accomodation and food service activities,2011,315.2
MALE,Accomodation and food service activities,2010,285.4
MALE,Accomodation and food service activities,2009,252.3
MALE,Accomodation and food service activities,2008,206.9
MALE,Accomodation and food service activities,2007,158.2
MALE,Accomodation and food service activities,2006,111.3
MALE,Accomodation and food service activities,2005,118.5
MALE,Accomodation and food service activities,2004,97.4
MALE,Accomodation and food service activities,2003,96.9
MALE,Accomodation and food service activities,2002,88.2
MALE,Accomodation and food service activities,2001,75.5
MALE,Information and communication,2025,3098.2
MALE,Information and communication,2024,2617.1
MALE,Information and communication,2023,2071.0
MALE,Information and communication,2022,1899.6
MALE,Information and communication,2021,1441.0
MALE,Information and communication,2020,1308.4
MALE,Information and communication,2019,1188.9
MALE,Information and communication,2018,1067.5
MALE,Information and communication,2017,943.3
MALE,Information and communication,2016,878.9
MALE,Information and communication,2015,847.0
MALE,Information and communication,2014,823.8
MALE,Information and communication,2013,1001.4
MALE,Information and communication,2012,
MALE,Information and communication,2011,
MALE,Information and communication,2010,
MALE,Information and communication,2009,
MALE,Information and communication,2008,
MALE,Information and communication,2007,
MALE,Information and communication,2006,
MALE,Information and communication,2005,
MALE,Information and communication,2004,
MALE,Information and communication,2003,
MALE,Information and communication,2002,
MALE,Information and communication,2001,
MALE,Financial and insurance activities,2025,3823.3
MALE,Financial and insurance activities,2024,3376.8
MALE,Financial and insurance activities,2023,2612.9
MALE,Financial and insurance activities,2022,2365.8
MALE,Financial and insurance activities,2021,1819.3
MALE,Financial and insurance activities,2020,1735.4
MALE,Financial and insurance activities,2019,1595.9
MALE,Financial and insurance activities,2018,1374.3
MALE,Financial and insurance activities,2017,1340.6
MALE,Financial and insurance activities,2016,1240.8
MALE,Financial and insurance activities,2015,1227.6
MALE,Financial and insurance activities,2014,1250.7
MALE,Financial and insurance activities,2013,1365.5
MALE,Financial and insurance activities,2012,1193.3
MALE,Financial and insurance activities,2011,970.9
MALE,Financial and insurance activities,2010,762.1
MALE,Financial and insurance activities,2009,654.7
MALE,Financial and insurance activities,2008,549.8
MALE,Financial and insurance activities,2007,398.5
MALE,Financial and insurance activities,2006,273.8
MALE,Financial and insurance activities,2005,155.1
MALE,Financial and insurance activities,2004,122.0
MALE,Financial and insurance activities,2003,103.6
MALE,Financial and insurance activities,2002,81.0
MALE,Financial and insurance activities,2001,55.4
MALE,Real estate activities,2025,2397.5
MALE,Real estate activities,2024,2725.0
MALE,Real estate activities,2023,2270.6
MALE,Real estate activities,2022,1853.1
MALE,Real estate activities,2021,1554.3
MALE,Real estate activities,2020,1520.3
MALE,Real estate activities,2019,1298.6
MALE,Real estate activities,2018,1090.8
MALE,Real estate activities,2017,878.8
MALE,Real estate activities,2016,799.2
MALE,Real estate activities,2015,823.7
MALE,Real estate activities,2014,760.5
MALE,Real estate activities,2013,658.0
MALE,Real estate activities,2012,483.0
MALE,Real estate activities,2011,325.2
MALE,Real estate activities,2010,256.2
MALE,Real estate activities,2009,257.1
MALE,Real estate activities,2008,255.8
MALE,Real estate activities,2007,136.4
MALE,Real estate activities,2006,87.5
MALE,Real estate activities,2005,65.8
MALE,Real estate activities,2004,62.7
MALE,Real estate activities,2003,67.1
MALE,Real estate activities,2002,55.4
MALE,Real estate activities,2001,58.3
MALE,"Professional, scientific and technical activities",2025,3299.3
MALE,"Professional, scientific and technical activities",2024,2809.8
MALE,"Professional, scientific and technical activities",2023,2161.2
MALE,"Professional, scientific and technical activities",2022,1714.2
MALE,"Professional, scientific and technical activities",2021,1703.8
MALE,"Professional, scientific and technical activities",2020,1689.8
MALE,"Professional, scientific and technical activities",2019,1687.3
MALE,"Professional, scientific and technical activities",2018,1624.4
MALE,"Professional, scientific and technical activities",2017,1611.0
MALE,"Professional, scientific and technical activities",2016,1220.5
MALE,"Professional, scientific and technical activities",2015,1134.7
MALE,"Professional, scientific and technical activities",2014,1029.9
MALE,"Professional, scientific and technical activities",2013,781.1
MALE,"Professional, scientific and technical activities",2012,
MALE,"Professional, scientific and technical activities",2011,
MALE,"Professional, scientific and technical activities",2010,
MALE,"Professional, scientific and technical activities",2009,
MALE,"Professional, scientific and technical activities",2008,
MALE,"Professional, scientific and technical activities",2007,
MALE,"Professional, scientific and technical activities",2006,
MALE,"Professional, scientific and technical activities",2005,
MALE,"Professional, scientific and technical activities",2004,
MALE,"Professional, scientific and technical activities",2003,
MALE,"Professional, scientific and technical activities",2002,
MALE,"Professional, scientific and technical activities",2001,
MALE,Administrative and support service activities,2025,2598.0
MALE,Administrative and support service activities,2024,1991.8
MALE,Administrative and support service activities,2023,1595.2
MALE,Administrative and support service activities,2022,1259.4
MALE,Administrative and support service activities,2021,1157.8
MALE,Administrative and support service activities,2020,1083.2
MALE,Administrative and support service activities,2019,968.9
MALE,Administrative and support service activities,2018,824.2
MALE,Administrative and support service activities,2017,752.1
MALE,Administrative and support service activities,2016,670.9
MALE,Administrative and support service activities,2015,654.7
MALE,Administrative and support service activities,2014,616.4
MALE,Administrative and support service activities,2013,574.1
MALE,Administrative and support service activities,2012,
MALE,Administrative and support service activities,2011,
MALE,Administrative and support service activities,2010,
MALE,Administrative and support service activities,2009,
MALE,Administrative and support service activities,2008,
MALE,Administrative and support service activities,2007,
MALE,Administrative and support service activities,2006,
MALE,Administrative and support service activities,2005,
MALE,Administrative and support service activities,2004,
MALE,Administrative and support service activities,2003,
MALE,Administrative and support service activities,2002,
MALE,Administrative and support service activities,2001,
MALE,Public administration and defense; compulsory social security,2025,2883.7
MALE,Public administration and defense; compulsory social security,2024,2573.8
MALE,Public administration and defense; compulsory social security,2023,1919.1
MALE,Public administration and defense; compulsory social security,2022,1342.8
MALE,Public administration and defense; compulsory social security,2021,1191.1
MALE,Public administration and defense; compulsory social security,2020,1147.0
MALE,Public administration and defense; compulsory social security,2019,1084.6
MALE,Public administration and defense; compulsory social security,2018,944.1
MALE,Public administration and defense; compulsory social security,2017,874.1
MALE,Public administration and defense; compulsory social security,2016,817.4
MALE,Public administration and defense; compulsory social security,2015,815.8
MALE,Public administration and defense; compulsory social security,2014,793.5
MALE,Public administration and defense; compulsory social security,2013,741.1
MALE,Public administration and defense; compulsory social security,2012,629.0
MALE,Public administration and defense; compulsory social security,2011,442.7
MALE,Public administration and defense; compulsory social security,2010,361.1
MALE,Public administration and defense; compulsory social security,2009,342.1
MALE,Public administration and defense; compulsory social security,2008,334.2
MALE,Public administration and defense; compulsory social security,2007,200.6
MALE,Public administration and defense; compulsory social security,2006,136.4
MALE,Public administration and defense; compulsory social security,2005,107.2
MALE,Public administration and defense; compulsory social security,2004,97.8
MALE,Public administration and defense; compulsory social security,2003,80.7
MALE,Public administration and defense; compulsory social security,2002,68.1
MALE,Public administration and defense; compulsory social security,2001,62.8
MALE,Education,2025,2372.1
MALE,Education,2024,2047.1
MALE,Education,2023,1572.6
MALE,Education,2022,1224.5
MALE,Education,2021,1079.2
MALE,Education,2020,1040.3
MALE,Education,2019,915.9
MALE,Education,2018,786.5
MALE,Education,2017,746.4
MALE,Education,2016,727.0
MALE,Education,2015,761.7
MALE,Education,2014,732.3
MALE,Education,2013,735.8
MALE,Education,2012,514.8
MALE,Education,2011,378.5
MALE,Education,2010,321.3
MALE,Education,2009,319.1
MALE,Education,2008,302.1
MALE,Education,2007,179.7
MALE,Education,2006,86.2
MALE,Education,2005,109.2
MALE,Education,2004,92.5
MALE,Education,2003,79.8
MALE,Education,2002,61.7
MALE,Education,2001,59.7
MALE,Human health and social work activities,2025,2757.7
MALE,Human health and social work activities,2024,2365.8
MALE,Human health and social work activities,2023,1885.4
MALE,Human health and social work activities,2022,1545.8
MALE,Human health and social work activities,2021,1308.7
MALE,Human health and social work activities,2020,1133.9
MALE,Human health and social work activities,2019,976.5
MALE,Human health and social work activities,2018,827.9
MALE,Human health and social work activities,2017,804.5
MALE,Human health and social work activities,2016,763.4
MALE,Human health and social work activities,2015,886.4
MALE,Human health and social work activities,2014,766.7
MALE,Human health and social work activities,2013,865.6
MALE,Human health and social work activities,2012,580.4
MALE,Human health and social work activities,2011,413.0
MALE,Human health and social work activities,2010,330.7
MALE,Human health and social work activities,2009,318.3
MALE,Human health and social work activities,2008,348.8
MALE,Human health and social work activities,2007,217.0
MALE,Human health and social work activities,2006,133.6
MALE,Human health and social work activities,2005,95.3
MALE,Human health and social work activities,2004,87.5
MALE,Human health and social work activities,2003,66.3
MALE,Human health and social work activities,2002,54.6
MALE,Human health and social work activities,2001,57.3
MALE,"Arts, entertainment and recreation",2025,2302.6
MALE,"Arts, entertainment and recreation",2024,1882.9
MALE,"Arts, entertainment and recreation",2023,1404.1
MALE,"Arts, entertainment and recreation",2022,980.2
MALE,"Arts, entertainment and recreation",2021,877.9
MALE,"Arts, entertainment and recreation",2020,849.3
MALE,"Arts, entertainment and recreation",2019,736.8
MALE,"Arts, entertainment and recreation",2018,624.1
MALE,"Arts, entertainment and recreation",2017,597.8
MALE,"Arts, entertainment and recreation",2016,583.4
MALE,"Arts, entertainment and recreation",2015,626.2
MALE,"Arts, entertainment and recreation",2014,597.5
MALE,"Arts, entertainment and recreation",2013,579.7
MALE,"Arts, entertainment and recreation",2012,
MALE,"Arts, entertainment and recreation",2011,
MALE,"Arts, entertainment and recreation",2010,
MALE,"Arts, entertainment and recreation",2009,
MALE,"Arts, entertainment and recreation",2008,
MALE,"Arts, entertainment and recreation",2007,
MALE,"Arts, entertainment and recreation",2006,
MALE,"Arts, entertainment and recreation",2005,
MALE,"Arts, entertainment and recreation",2004,
MALE,"Arts, entertainment and recreation",2003,
MALE,"Arts, entertainment and recreation",2002,
MALE,"Arts, entertainment and recreation",2001,
MALE,Other service activities,2025,2306.3
MALE,Other service activities,2024,2037.2
MALE,Other service activities,2023,1628.5
MALE,Other service activities,2022,1343.9
MALE,Other service activities,2021,1160.0
MALE,Other service activities,2020,1096.1
MALE,Other service activities,2019,981.7
MALE,Other service activities,2018,874.7
MALE,Other service activities,2017,795.9
MALE,Other service activities,2016,729.1
MALE,Other service activities,2015,741.4
MALE,Other service activities,2014,618.7
MALE,Other service activities,2013,404.9
MALE,Other service activities,2012,431.6
MALE,Other service activities,2011,299.3
MALE,Other service activities,2010,251.0
MALE,Other service activities,2009,302.3
MALE,Other service activities,2008,218.7
MALE,Other service activities,2007,146.5
MALE,Other service activities,2006,86.1
MALE,Other service activities,2005,64.6
MALE,Other service activities,2004,64.6
MALE,Other service activities,2003,57.9
MALE,Other service activities,2002,54.6
MALE,Other service activities,2001,50.3
MALE,Activities of households as employers; undifferentiated goods-and services-producing activities of household for own use,2025,3338.8
MALE,Activities of households as employers; undifferentiated goods-and services-producing activities of household for own use,2024,2593.1
MALE,Activities of households as employers; undifferentiated goods-and services-producing activities of household for own use,2023,2038.7
MALE,Activities of households as employers; undifferentiated goods-and services-producing activities of household for own use,2022,1296.0
MALE,Activities of households as employers; undifferentiated goods-and services-producing activities of household for own use,2021,1144.4
MALE,Activities of households as employers; undifferentiated goods-and services-producing activities of household for own use,2020,933.6
MALE,Activities of households as employers; undifferentiated goods-and services-producing activities of household for own use,2019,834.2
MALE,Activities of households as employers; undifferentiated goods-and services-producing activities of household for own use,2018,671.9
MALE,Activities of households as employers; undifferentiated goods-and services-producing activities of household for own use,2017,554.2
MALE,Activities of households as employers; undifferentiated goods-and services-producing activities of household for own use,2016,538.7
MALE,Activities of households as employers; undifferentiated goods-and services-producing activities of household for own use,2015,549.2
MALE,Activities of households as employers; undifferentiated goods-and services-producing activities of household for own use,2014,508.2
MALE,Activities of households as employers; undifferentiated goods-and services-producing activities of household for own use,2013,
MALE,Activities of households as employers; undifferentiated goods-and services-producing activities of household for own use,2012,
MALE,Activities of households as employers; undifferentiated goods-and services-producing activities of household for own use,2011,
MALE,Activities of households as employers; undifferentiated goods-and services-producing activities of household for own use,2010,
MALE,Activities of households as employers; undifferentiated goods-and services-producing activities of household for own use,2009,
MALE,Activities of households as employers; undifferentiated goods-and services-producing activities of household for own use,2008,
MALE,Activities of households as employers; undifferentiated goods-and services-producing activities of household for own use,2007,
MALE,Activities of households as employers; undifferentiated goods-and services-producing activities of household for own use,2006,
MALE,Activities of households as employers; undifferentiated goods-and services-producing activities of household for own use,2005,
MALE,Activities of households as employers; undifferentiated goods-and services-producing activities of household for own use,2004,
MALE,Activities of households as employers; undifferentiated goods-and services-producing activities of household for own use,2003,
MALE,Activities of households as employers; undifferentiated goods-and services-producing activities of household for own use,2002,
MALE,Activities of households as employers; undifferentiated goods-and services-producing activities of household for own use,2001,
MALE,Activities of extraterritorial organizations and bodies,2025,3203.7
MALE,Activities of extraterritorial organizations and bodies,2024,5785.7
MALE,Activities of extraterritorial organizations and bodies,2023,5801.7
MALE,Activities of extraterritorial organizations and bodies,2022,5144.3
MALE,Activities of extraterritorial organizations and bodies,2021,1883.3
MALE,Activities of extraterritorial organizations and bodies,2020,1831.9
MALE,Activities of extraterritorial organizations and bodies,2019,1754.6
MALE,Activities of extraterritorial organizations and bodies,2018,1475.5
MALE,Activities of extraterritorial organizations and bodies,2017,1624.8
MALE,Activities of extraterritorial organizations and bodies,2016,1175.8
MALE,Activities of extraterritorial organizations and bodies,2015,1588.2
MALE,Activities of extraterritorial organizations and bodies,2014,1518.8
MALE,Activities of extraterritorial organizations and bodies,2013,983.0
MALE,Activities of extraterritorial organizations and bodies,2012,377.5
MALE,Activities of extraterritorial organizations and bodies,2011,167.6
MALE,Activities of extraterritorial organizations and bodies,2010,164.8
MALE,Activities of extraterritorial organizations and bodies,2009,150.9
MALE,Activities of extraterritorial organizations and bodies,2008,
MALE,Activities of extraterritorial organizations and bodies,2007,
MALE,Activities of extraterritorial organizations and bodies,2006,
MALE,Activities of extraterritorial organizations and bodies,2005,
MALE,Activities of extraterritorial organizations and bodies,2004,
MALE,Activities of extraterritorial organizations and bodies,2003,
MALE,Activities of extraterritorial organizations and bodies,2002,
MALE,Activities of extraterritorial organizations and bodies,2001,
