month,exports,imports,net
2019-07,582.426,609.109,-26.682999999999993
2019-08,767.703,587.351,180.35199999999998
2019-09,528.754,507.049,21.70500000000004
2019-10,515.076,465.425,49.65100000000001
2019-11,497.268,519.411,-22.142999999999972
2019-12,541.738,541.557,0.18100000000004002
2020-01,376.125,475.284,-99.15899999999999
2020-02,259.883,272.504,-12.621000000000038
2020-03,218.01,403.049,-185.039
2020-04,293.833,417.266,-123.43299999999999
2020-05,611.237,400.373,210.86399999999998
2020-06,814.575,460.11,354.46500000000003
2020-07,921.862,474.357,447.50499999999994
2020-08,663.942,506.05,157.892
2020-09,586.432,469.099,117.33300000000003
2020-10,739.368,501.729,237.63900000000007
2020-11,841.089,447.222,393.8670000000001
2020-12,664.307,408.061,256.24600000000004
2021-01,598.374,444.241,154.13300000000004
2021-02,546.649,452.352,94.29700000000003
2021-03,683.413,583.146,100.26700000000005
2021-04,363.99,436.562,-72.572
2021-05,675.81,636.973,38.83699999999999
2021-06,635.018,655.33,-20.312000000000012
2021-07,524.545,563.456,-38.91100000000006
2021-08,748.756,623.99,124.76599999999996
2021-09,711.0,649.09,61.90999999999997
2021-10,1039.088,516.902,522.1859999999999
2021-11,1277.65,544.275,733.3750000000001
2021-12,331.447,659.798,-328.351
2022-01,461.517,567.362,-105.84499999999997
2022-02,538.335,498.109,40.226000000000056
2022-03,566.027,657.192,-91.16499999999996
2022-04,572.782,657.253,-84.471
2022-05,868.378,783.227,85.15100000000007
2022-06,835.48,798.459,37.02100000000007
2022-07,851.948,789.344,62.60399999999993
2022-08,1007.339,819.719,187.62
2022-09,1070.712,739.02,331.692
2022-10,915.799,777.613,138.18599999999992
2022-11,1071.55,718.848,352.702
2022-12,1094.335,815.537,278.798
2023-01,1005.255,688.381,316.874
2023-02,1090.479,513.596,576.883
2023-03,1252.772,743.125,509.64699999999993
2023-04,1192.779,728.711,464.068
2023-05,1054.991,810.938,244.053
2023-06,1141.921,812.934,328.9870000000001
2023-07,1097.37,754.762,342.60799999999995
2023-08,1270.707,941.465,329.2420000000001
2023-09,1209.219,823.371,385.84800000000007
2023-10,1060.419,806.044,254.3750000000001
2023-11,1271.606,842.935,428.67100000000005
2023-12,1266.778,899.383,367.395
2024-01,1167.357,946.31,221.04700000000003
2024-02,832.863,675.593,157.2700000000001
2024-03,1430.747,864.265,566.4820000000001
2024-04,1192.079,1082.413,109.66599999999994
2024-05,1337.973,948.093,389.88
2024-06,1482.182,984.101,498.081
2024-07,1277.666,1023.975,253.69099999999992
2024-08,1316.524,1087.724,228.79999999999995
2024-09,1026.348,1087.127,-60.778999999999996
2024-10,1321.304,973.69,347.61400000000003
2024-11,1326.564,977.844,348.72
2024-12,1038.267,1017.284,20.98300000000006
2025-01,978.76,984.11,-5.350000000000023
2025-02,954.51,761.05,193.46000000000004
2025-03,908.5,837.24,71.25999999999999
2025-04,1158.66,1012.37,146.29000000000008
2025-05,1099.88,962.38,137.5000000000001
2025-06,1140.28,962.75,177.52999999999997
2025-07,1062.48,958.57,103.90999999999997
2025-08,1367.15,960.0,407.1500000000001
2025-09,1615.5,1048.44,567.06
2025-10,1499.32,866.77,632.55
2025-11,1495.43,821.46,673.97
2025-12,2065.29,1158.19,907.0999999999999
2026-01,1677.313,835.932,841.3810000000001
2026-02,1431.327,711.818,719.509
2026-03,1829.138,883.929,945.209
2026-04,1990.524,1162.754,827.77
2026-05,1474.986,1213.874,261.1120000000001
