id,object_no,object_name,geom_type,lon,lat,Давхаргын төрөл,Хэсэгчилсэн ерөнхий төлөвлөгөөний нэр,Нэмэлт тайлбар,Дүүрэг,Хороо,Хаягийн бүс,Гудамж,Батлагдсан дугаар
15500,,,Polygon,106.856844,47.915789,ХЕТ-ний хил хязгаар-1,"БГД орон сууцны 2, 3 дугаар хорооллын хуучин барилгыг буулгах, шинэчлэн барилгажуулах судалгаа, ТЭЗҮ",Д.Одгэрэлийн нэхэмжлэлтэй Захиргааны хэрэг хянан шийдвэрлэгдэж байгаа.,,,,,
15501,,,Polygon,106.674199,47.880738,ХЕТ-ний хил хязгаар-1,Авто худалдааны төв орчмын шинэ суурьшлын бүсийн ХЕТ,,,,,,
15502,,,Polygon,106.714775,47.845128,ХЕТ-ний хил хязгаар-1,Морингийн даваа орчмын шинэ суурьшлын бүсийн ХЕТ,,,,,,
15503,,,Polygon,106.666894,47.824902,ХЕТ-ний хил хязгаар-1,Био-Сонгино орчмын шинэ суурьшлын бүсийн ХЕТ,,,,,,
15504,,,MultiPolygon,107.043181,47.941489,ХЕТ-ний хил хязгаар-1,Улиастайн амны шинэ суурьшлын бүсийн ХЕТ,,,,,,
15505,,,Polygon,106.780719,47.85837,ХЕТ-ний хил хязгаар-2,Яармагийн спорт цогцолборын орчмын шинэ суурьшлын бүсийн ХЕТ,,,,,,-
15506,,,Polygon,108.353456,47.826954,ХЕТ-ний хил хязгаар-2,Багануур дүүргийн ХЕТ,-,,,,,-
15507,,,Polygon,108.40424,47.787276,ХЕТ-ний хил хязгаар-1,Багануур дүүргийн Их сургуулиудын хотхоны ХЕТ,-,,,,,
15508,,,Polygon,106.56771,47.850656,ХЕТ-ний хил хязгаар-1,Аргалант-Эмээлт хотын ЕТ,,,,,,
15509,,,Polygon,106.963087,48.044658,ХЕТ-ний хил хязгаар-1,Сэлх зуслангийн ХЕТ,,,,,,
15510,,,Polygon,107.004943,48.085814,ХЕТ-ний хил хязгаар-1,Сэлбэ зуслангийн ХЕТ,,,,,,
15511,,,Polygon,106.983549,48.038457,ХЕТ-ний хил хязгаар-1,Бэлхийн даваат зуслангийн ХЕТ,,,,,,
15512,,,Polygon,106.986781,48.047756,ХЕТ-ний хил хязгаар-1,Бэлхийн цээнэ зуслангийн ХЕТ,,,,,,
15513,,,Polygon,107.005882,48.02926,ХЕТ-ний хил хязгаар-1,Бэлхийн цуурай зуслангийн ХЕТ,,,,,,
15514,,,Polygon,107.018292,48.047399,ХЕТ-ний хил хязгаар-1,Бэлхийн хадат зуслангийн ХЕТ,,,,,,
15515,,,Polygon,107.190342,47.795347,ХЕТ-ний хил хязгаар-1,Хонхор хаяа хотын ХЕТ,,,,,,
1428057,,,Polygon,106.760481,47.913551,ХЕТ-ний хил хязгаар-1,23-р нэгж хороолол ХЕТ,,Сонгинохайрхан,20-р хороо,"Орбит-4 /18173/, Толгойт-6 /18105/, Орбит-3 /18172/, Сонсголон-1 /18130/, Сонсголон-5 /18134/, Толгойт-4 /18103/, Толгойт-3 /18102/, Орбит-2 /18171/, Орбит-1 /18170/, Толгойт-5 /18104/, Сонсголон-6 /18135/, Баянголын ам-1 /18180/",Толгойтын гудамж,
1430568,,,Polygon,107.477727,47.346494,ХЕТ-ний хил хязгаар-1,,,Багахангай,1-р хороо,"Өндөр толгой /12330/, Үйлдвэрийн хэсэг /12340/, Өртөөний хэсэг /12310/",,
