id,object_no,object_name,geom_type,lon,lat,Давхаргын төрөл,Замын ангилал,Батлагдсан огноо,Замын зурвас газар,Хэсэгчилсэн ерөнхий төлөвлөгөөний нэр,Нэмэлт тайлбар,Дүүрэг,Хороо,Хаягийн бүс,Гудамж
526510,,,Polygon,107.091605,47.88707,ХЕТ-ний төлөвлөлтийн зам,Төлөвлөгдсөн явган хүний зам,2015.04.15,1,31-р нэгж хорооллын ХЕТ,2016.09.15 ний өдөр Т.Соёл-эрдэнэ мэдээг оруулав.,,,,
526511,,,Polygon,107.091605,47.88707,ХЕТ-ний төлөвлөлтийн зам,Төлөвлөгдсөн явган хүний зам,2015.04.15,1,31-р нэгж хорооллын ХЕТ,2016.09.15 ний өдөр Т.Соёл-эрдэнэ мэдээг оруулав.,,,,
526512,,,Polygon,107.097477,47.887482,ХЕТ-ний төлөвлөлтийн зам,Төлөвлөгдсөн явган хүний зам,2015.04.15,1,31-р нэгж хорооллын ХЕТ,2016.09.15 ний өдөр Т.Соёл-эрдэнэ мэдээг оруулав.,,,,
526513,,,Polygon,107.097477,47.887482,ХЕТ-ний төлөвлөлтийн зам,Төлөвлөгдсөн явган хүний зам,2015.04.15,1,31-р нэгж хорооллын ХЕТ,2016.09.15 ний өдөр Т.Соёл-эрдэнэ мэдээг оруулав.,,,,
526514,,,Polygon,107.097477,47.887482,ХЕТ-ний төлөвлөлтийн зам,Төлөвлөгдсөн явган хүний зам,2015.04.15,1,31-р нэгж хорооллын ХЕТ,2016.09.15 ний өдөр Т.Соёл-эрдэнэ мэдээг оруулав.,,,,
526515,,,Polygon,107.097477,47.887482,ХЕТ-ний төлөвлөлтийн зам,Төлөвлөгдсөн явган хүний зам,2015.04.15,1,31-р нэгж хорооллын ХЕТ,2016.09.15 ний өдөр Т.Соёл-эрдэнэ мэдээг оруулав.,,,,
526516,,,Polygon,107.100687,47.88963,ХЕТ-ний төлөвлөлтийн зам,Төлөвлөгдсөн явган хүний зам,2015.04.15,1,31-р нэгж хорооллын ХЕТ,2016.09.15 ний өдөр Т.Соёл-эрдэнэ мэдээг оруулав.,,,,
526517,,,Polygon,107.100687,47.88963,ХЕТ-ний төлөвлөлтийн зам,Төлөвлөгдсөн явган хүний зам,2015.04.15,1,31-р нэгж хорооллын ХЕТ,2016.09.15 ний өдөр Т.Соёл-эрдэнэ мэдээг оруулав.,,,,
526518,,,Polygon,107.100687,47.88963,ХЕТ-ний төлөвлөлтийн зам,Төлөвлөгдсөн явган хүний зам,2015.04.15,1,31-р нэгж хорооллын ХЕТ,2016.09.15 ний өдөр Т.Соёл-эрдэнэ мэдээг оруулав.,,,,
526519,,,Polygon,107.100687,47.88963,ХЕТ-ний төлөвлөлтийн зам,Төлөвлөгдсөн явган хүний зам,2015.04.15,1,31-р нэгж хорооллын ХЕТ,2016.09.15 ний өдөр Т.Соёл-эрдэнэ мэдээг оруулав.,,,,
526520,,,Polygon,107.10405,47.889319,ХЕТ-ний төлөвлөлтийн зам,Төлөвлөгдсөн явган хүний зам,2015.04.15,1,31-р нэгж хорооллын ХЕТ,2016.09.15 ний өдөр Т.Соёл-эрдэнэ мэдээг оруулав.,,,,
526521,,,Polygon,107.10405,47.889319,ХЕТ-ний төлөвлөлтийн зам,Төлөвлөгдсөн явган хүний зам,2015.04.15,1,31-р нэгж хорооллын ХЕТ,2016.09.15 ний өдөр Т.Соёл-эрдэнэ мэдээг оруулав.,,,,
526522,,,Polygon,107.10405,47.889319,ХЕТ-ний төлөвлөлтийн зам,Төлөвлөгдсөн явган хүний зам,2015.04.15,1,31-р нэгж хорооллын ХЕТ,2016.09.15 ний өдөр Т.Соёл-эрдэнэ мэдээг оруулав.,,,,
526523,,,Polygon,107.10405,47.889319,ХЕТ-ний төлөвлөлтийн зам,Төлөвлөгдсөн явган хүний зам,2015.04.15,1,31-р нэгж хорооллын ХЕТ,2016.09.15 ний өдөр Т.Соёл-эрдэнэ мэдээг оруулав.,,,,
