id,object_no,object_name,geom_type,lon,lat,Давхаргын төрөл,Хаяг
3974,,,Point,106.908002,47.913453,Хөшөө,
3975,,,Point,106.915054,47.915427,Хөшөө,"Сүхбаатар дүүргийн 1-р хороо, Сөүлийн гудамж, Чингисийн өргөн чөлөөний уулзварын баруун урд талбайд"
3976,,,Point,106.915916,47.914858,Хөшөө,"Сүхбаатар дүүргийн 1-р хороо, Үндэсний номын сангийн үүдэнд"
3977,,,Point,106.915795,47.916561,Хөшөө,"Сүхбаатар дүүргийн 1-р хороо, Нийслэлийн ардчилсан намын хойно"
3978,,,Point,106.914663,47.91276,Хөшөө,"Сүхбаатар дүүргийн 1-р хороо, Чингисийн өргөн чөлөөний баруун талд, Баянгол зочид буудлын хашаанд"
3979,,,Point,106.920196,47.914043,Хөшөө,Гэрлэх ёслолын ордны өмнөх талбайд
3980,,,Point,106.813734,47.922235,Хөшөө,СХД-ийн тамгын газрын урд
3981,,,Point,106.742063,47.913822,Хөшөө,"Сонгинохайрхан дүүргийн 22-р хороо, 0151 цэргийн ангийн хашаанд"
3982,,,Point,106.729249,48.017014,Хөшөө,"Сонгинохайрхан дүүргийн 1-р хороо, Хүүхдийн Найрамдал зуслангийн төв байрны урд"
3983,,,Point,106.647944,48.12225,Хөшөө,"Сонгинохайрхан дүүргийн 21-р хороо, Жаргалант тосгонд, Соёлын ордны өмнөх талбайд"
3984,,,Point,106.81867,47.910437,Хөшөө,"Сонгинохайрхан дүүргийн 18-р хороо, Геологийн төв лабораторийн зүүн урд, 21 хорооллын уулзварт"
3985,,,Point,106.837863,47.911711,Хөшөө,"Сонгинохайрхан дүүргийн 16-р хороо, Энхтайвны өргөн чөлөө, Хархорин явган хүний гүүрэн гарцны оройд"
3986,,,Point,106.844393,47.913914,Хөшөө,"Сонгинохайрхан дүүргийн 14-р хороо, 14 байрны хойно"
3987,,,Point,106.740111,47.911556,Хөшөө,"Сонгинохайрхан дүүргийн 22-р хороо, 05 цэргийн ангийн хашаанд"
3988,,,Point,106.74525,47.914083,Хөшөө,"Сонгинорхайрхан дүүргийн 22-р хороо, ОБЕГ-ын харъяа Аврах тусгай ангийн хашаанд"
3989,,,Point,106.993232,48.064109,Хөшөө,"Сүхбаатар дүүргийн 20-р хороо, Сэлбийн зуслангийн баруун хойн, ойн нөхөрлөлийн хашаанд"
3990,,,Point,106.993014,48.063914,Хөшөө,"Сүхбаатар дүүргийн 20-р хороо, Сэлбийн зуслангийн баруун хойн, ойн нөхөрлөлийн хашаанд"
3991,,,Point,106.992677,48.064111,Хөшөө,"Сүхбаатар дүүргийн 20-р хороо, Сэлбийн зуслангийн баруун хойн, ойн нөхөрлөлийн хашаанд"
3992,,,Point,106.99235,48.06424,Хөшөө,"Сүхбаатар дүүргийн 20-р хороо, Сэлбийн зуслангийн баруун хойн, ойн нөхөрлөлийн хашаанд"
3993,,,Point,106.992064,48.064329,Хөшөө,"Сүхбаатар дүүргийн 20-р хороо, Сэлбийн зуслангийн баруун хойн, ойн нөхөрлөлийн хашаанд"
3994,,,Point,106.992352,48.064497,Хөшөө,"Сүхбаатар дүүргийн 20-р хороо, Сэлбийн зуслангийн баруун хойн, ойн нөхөрлөлийн хашаанд"
3995,,,Point,106.992672,48.064473,Хөшөө,"Сүхбаатар дүүргийн 20-р хороо, Сэлбийн зуслангийн баруун хойн, ойн нөхөрлөлийн хашаанд"
3996,,,Point,106.909445,47.914256,Хөшөө,"Сүхбаатар дүүргийн 2-р хороо, Сөүлийн гудамжны урд, Чин ван Ханддоржийн өргөөний хашааны хойн"
3997,,,Point,106.911372,47.917232,Хөшөө,ЧД-1р хороо 5-р байрны ханад
3998,,,Point,106.908967,47.921247,Хөшөө,"Чингэлтэй дүүргийн 4-р хороо, Төр захиргааны XII-р байрны хананд"
3999,,,Point,106.916293,47.911908,Хөшөө,Төв цэнгэлдэх хүрээлэнгийн баруун талд
4000,,,Point,106.908403,47.917523,Хөшөө,1-р 40 мянгатын 12-р байрны хананд
4001,,,Point,106.908321,47.916078,Хөшөө,40 мянгатын 40-р байр
4002,,,Point,106.890476,47.927121,Хөшөө,"Баянгол дүүргийн 11-р хороо, ЭНЭШ төвийн хананд"
4003,,,Point,106.938718,47.918107,Хөшөө,13-р хорооллын 2-р байрны хананд
4004,,,Point,106.902145,47.916933,Хөшөө,Энхтайван найрамдлын ордны хананд
4005,,,Point,106.902953,47.915601,Хөшөө,50 мянгатын 20-р байрны хананд
4006,,,Point,106.914929,47.923943,Хөшөө,Цэцээ гүн коллежийн барилгын хананд
4007,,,Point,106.909115,47.885653,Хөшөө,Мал эмнэлгийн сургуулийн хананд
4008,,,Point,106.972554,47.917654,Хөшөө,Алдар спорт сургалтын төвийн хананд
4009,,,Point,106.948762,47.919382,Хөшөө,13-р хорооллын 3-р байрны хананд
4010,,,Point,106.916102,47.914682,Хөшөө,Улсын төв номын сангийн хананд
4011,,,Point,106.91376,47.914356,Хөшөө,Улсын ардын дуу бүжгийн чуулгын урд
4012,,,Point,106.919363,47.924373,Хөшөө,34-р байрны хананд
4013,,,Point,106.907488,47.916532,Хөшөө,1-р 40 мянгатын 3-р байрн хананд
4014,,,Point,106.895414,47.903014,Хөшөө,Хараагүйчдүүдийн хөдөлмөр сургалтын төвийн байрны ха
4015,,,Point,106.882004,47.926086,Хөшөө,6а байрны 2-р орцны хананд
4016,,,Point,106.939443,47.927187,Хөшөө,25-р байрны хананд
4017,,,Point,106.911595,47.924861,Хөшөө,5-р сургуулийн урд талбайд
4018,,,Point,106.907039,47.903948,Хөшөө,39-р байрны хананд
4019,,,Point,106.876173,47.919817,Хөшөө,Чингүнжавын гудамжинд
4020,,,Point,106.905431,47.916762,Хөшөө,76-р байрны хананд
4021,,,Point,107.043856,47.877823,Хөшөө,Одон орон судлах төвд
4022,,,Point,106.908761,47.927801,Хөшөө,Автобаазын хананд
4023,,,Point,106.906602,47.915473,Хөшөө,УИД урд
4024,,,Point,106.912222,47.916861,Хөшөө,"Чингэлтэй 1-хороо, Энхтайваны өргөн чөлөөний хойно, 1-р 40 мянгатын 7-р байрны хананд"
4025,,,Point,106.907438,47.916074,Хөшөө,Энхтайваны өргөн чөлөө 42-р байрны хананд
4026,,,Point,106.881445,47.924158,Хөшөө,14-р байрны хананд
4027,,,Point,106.91533,47.920432,Хөшөө,"Чингэлтэй дүүрэг, 4 дүгээр хороо, Монголын Үндэсний түүхийн музейн зүүн урд түшиц хананд"
4028,,,Point,106.916087,47.913577,Хөшөө,Хүүхдийн ордны баруун хойно
4029,,,Point,106.903783,47.926371,Хөшөө,24-р байрны хананд
4030,,,Point,106.920075,47.917365,Хөшөө,Central tower-урд
4031,,,Point,106.910759,47.925054,Хөшөө,5-р сургуулийн спорт заалны баруун хананд
4032,,,Point,106.91035,47.917222,Хөшөө,10-р байрны хананд
4033,,,Point,106.938598,47.923367,Хөшөө,56-р байрны хананд
4034,,,Point,106.922233,47.922282,Хөшөө,"Сүхбаатар дүүргийн 8-р хороо, МУИС 2-р байрны урд"
4035,,,Point,106.909471,47.922145,Хөшөө,"Чингэлтэй дүүргийн 4 дүгээр хороо, Хүнсний 1 дүгээр дэлгүүрийн урд, Ж.Самбуугийн гудамжны цэцэрлэгт"
4036,,,Point,106.908651,47.922125,Хөшөө,"Чингэлтэй дүүргийн 4-р хороо, Хүнсний 1-р дэлгүүрийн урд, Ж.Самбуугийн гудамжны цэцэрлэгт"
4037,,,Point,106.909346,47.920009,Хөшөө,"Чингэлтэй дүүргийн 4 дүгээр хороо, Жуулчны гудамжны хойн, Барилгачдын талбайн зүүн урд"
4038,,,Point,106.921333,47.925639,Хөшөө,"Сүхбаатар дүүргийн 8 дугаар хороо, МУИС-ийн эдийн засгийн сургуулийн үүдэнд"
4039,,,Point,106.919694,47.917778,Хөшөө,"Сүхбаатар дүүргийн 8-р хороо, Централ таурын урд цэцэрлэгт"
4040,,,Point,106.918969,47.9225,Хөшөө,"Сүхбаатар дүүргийн 8-р хороо, МУИС-ын хичээлийн төв байрны үүдэнд"
4041,,,Point,106.920536,47.927236,Хөшөө,"Сүхбаатар дүүргийн 1-р хороо, Н.Содномын гудамжны баруун талд"
4042,,,Point,106.931417,47.978111,Хөшөө,"Сүхбаатар дүүргийн 15-р хороо, Дамбадаржаагийн гудамжинд"
4043,,,Point,106.922024,47.917943,Хөшөө,"Сүхбаатар дүүргийн 8-р хороо, Энхтайвны өргөн чөлөөний хойд хэсэгт, Централ таурын урд зүүн цэцрлэгт"
4044,,,Point,106.909472,47.913833,Хөшөө,"Сүхбаатар дүүргийн 2-р хороо, Сөүлийн гудамжны урд, Нацагдоржийн номын сангийн зүүн хэсэгт"
4045,,,Point,106.931884,47.96245,Хөшөө,"Сүхбаатар дүүргийн 16-р хороо, Дарь-Эхийн Гудамжны баруун тал, Сэлбэ голын баруун талд"
4046,,,Point,106.918255,47.915127,Хөшөө,"Сүхбаатар дүүргийн 1-р хороо, О.Жамъян гүний гудамжны урд, Гэндэнгийн гудамжны хойно"
4047,,,Point,106.895611,47.912917,Хөшөө,"Сүхбаатар дүүргийн 5-р хороо, Сөүлийн гудамжны урд, Өгөөжийн баруун урд, 52 байрны хойно"
4048,,,Point,106.915889,47.927139,Хөшөө,"Сүхбаатар дүүргийн 6-р хороо, Хүүхдийн урлан бүтээх төвийн барилгын хойно хашаанд"
4049,,,Point,106.936222,47.982722,Хөшөө,"Сүхбаатар дүүргийн 17-р хороо, Дамбадаржаагийн гудамжны баруун талд"
4050,,,Point,106.917884,47.917324,Хөшөө,"Сүхбаатар дүүргийн 6-р хороо, Сүхбаатарын талбайн урд цэцэрлэгт"
4051,,,Point,106.728313,48.01097,Хөшөө,"Сонгинохайрхан дүүргийн 1-р хороо, Баянголын ам, Найрамдлын замд, Найрамдал зуслан орох замд"
4052,,,Point,106.784667,47.896083,Хөшөө,"Сонгинохайрхан дүүргийн 20-р хороо, Сонсголын замын баруун талд, Зэвсэгт хүчний 013-р ангийн хашаанд"
4053,,,Point,106.95225,47.923417,Хөшөө,"Баянзүрх дүүрэг 4-р хороо, Б.Доржийн гудамж, Хилийн 0253-р тусгай ангийн зүүн хойно"
4054,,,Point,106.998889,47.906,Хөшөө,"Баянзүрх дүүргийн 12-р хороо, Жанжны замын хойд талд, Сүхбаатарын төрсөн газрын баруун хойно"
4055,,,Point,106.95808,47.917629,Хөшөө,"Баянзүрх дүүргийн 5-р хороо, Энхтайвны өргөн чөлөөний хойно, Отгонтэнгэр их сургуулийн зүүн талд"
4056,,,Point,106.933,47.915833,Хөшөө,"Баянзүрх дүүргийн 6-р хороо, 21-р сургуулийн зүүн хойно, Баянзүрх захын баруун талд"
4057,,,Point,106.934727,47.918298,Хөшөө,"Баянзүрх дүүргийн 6-р хороо, Энхтайвны өргөн чөлөөний урд талд, Бөхийн өргөөний баруун хойно"
4058,,,Point,106.952986,47.918027,Хөшөө,"Баянзүрх дүүргийн 5-р хороо, Энхтайваны ө.ч, Ж.Лхагвасүрэнгийн гудамжны уулзварын зүүн хойд талд"
4059,,,Point,106.936078,47.918245,Хөшөө,"Баянзүрх дүүрэг 15-р хороо, Энхтайваны өргөн чөлөөний урд, Бөхийн өргөөний зүүн хойно"
4060,,,Point,106.956856,47.917877,Хөшөө,"Баянзүрх дүүргийн 5-р хороо, Энхтайвны өргөн чөлөөний хойно, Отгонтэнгэр их сургуулийн зүүн талд"
4061,,,Point,106.949165,47.917572,Хөшөө,"Баянзүрх дүүргийн 14-р хороо, Энхтайвны өргөн чөлөөний урд, Орос эмнэлгийн хашаанд"
4062,,,Point,106.972,47.92925,Хөшөө,"Баянзүрх дүүргийн 22-р хороо, Алтан Өлгийн гудамжны баруун талд"
4063,,,Point,106.894955,47.923115,Хөшөө,"Баянгол дүүргийн 16-р хороо, Өндөр гэгээн Занабазарын гудамжны төгсгөлд, Гандангийн дэнжид"
4064,,,Point,106.766876,47.855559,Хөшөө,"Хан-уул дүүргийн 10-р хороо, Наадамчдын замын урд, ОУНОБ-ын зүүн хойно"
4065,,,Point,106.766706,47.855599,Хөшөө,"Хан-Уул дүүргийн 10-р хороо, Наадамчдын замын урд, Чингис хааны ОУНОБ-ын зүүн хойно"
4066,,,Point,106.907223,47.897492,Хөшөө,"Хан-Уул дүүргийн 15-р хороо, Чингисийн өргөн чөлөө, Зайсангийн гудамжны уулварын баруун урд"
4067,,,Point,106.885139,47.834139,Хөшөө,"Хан-Уул дүүргийн 4-р хороо, Нүхтийн амны эхэнд, жижиг хадтай толгойн зүүн хойд хэсэгт жижиг агуу"
4068,,,Point,106.826888,47.867571,Хөшөө,"Хан-Уул дүүргийн 4-р хороо, Наадамчдын гудамжны урд, ХУДЭМН баруун талд Арцатын 18 гудамж задгайд"
4069,,,Point,106.949917,47.884083,Хөшөө,"Хан-уул дүүргийн 11-р хороо, Богдхан уулын Их тэнгэрийн амны зүүн үзүүрт хаданд"
4070,,,Point,106.850523,47.828366,Хөшөө,"Хан-Уул дүүргийн 4-р хороо, Нүхтийн зам, Хуучин нүхтийн амралтын газрын хойно"
4071,,,Point,107.434692,47.349152,Хөшөө,"Багахангай дүүргийн 1-р хороо, Засаг даргын тамгын газрын урд талбайд"
4072,,,Point,107.268,47.765361,Хөшөө,"Налайх дүүргийн 3-р хороо, Хорооны байрны зүүн тал, 109 сургуулийн зүүн хойно"
4073,,,Point,107.254591,47.767413,Хөшөө,"Налайх дүүргийн 2-р хороо, Уул уурхайн аврах ангийн хашаанд байрлалтай"
4074,,,Point,107.255389,47.772472,Хөшөө,"Налайх дүүргийн 2-р хороо, Хуульчдын гудамжны дунд"
4075,,,Point,107.256139,47.751139,Хөшөө,"Налайх дүүргийн 3-р хороо, Налайхын баруун урд дахь толгойн орой дээр байрлалтай"
4076,,,Point,108.363362,47.764449,Хөшөө,"Багануур дүүргийн 2-р хороо, Багануур дүүргийн өндөрлөгөөс зүүн тийш 30м зайд"
4077,,,Point,108.277722,47.745611,Хөшөө,"Багануур дүүргийн 2-р хороо, Дүүргийн төвөөс урагш, төв замын зүүн талд"
4078,,,Point,108.366472,47.7805,Хөшөө,"Багануур дүүргийн 1-р хороо, Д.Нацагдоржийн талбайн дунд байрлалтай"
4079,,,Point,108.381528,47.640028,Хөшөө,"Багануур дүүргийн 3-р хороо, дүүргийн төвөөс 17 км Аягын аманд"
4080,,,Point,106.90597,47.922694,Хөшөө,"Чингэлтэй дүүргийн 5-р хороо, Тусгаар тогтнолын талбайд"
4081,,,Point,106.91068,47.922548,Хөшөө,"Чингэлтэй дүүргийн 4-р хороо, Анкарагийн гудамжинд"
4082,,,Point,107.263278,48.044222,Хөшөө,"БЗД 20-р хороо, Хангал хайрхны урд,Халзангийн амны адагт, Овоот толгойн зүүн хойд бэлд"
4083,,,Point,106.900361,47.923056,Хөшөө,"ЧД 5-р хороо, Хувьсгалчдын гудамжны зүүн, Тасганы овооны өвөрт, Гэсэр сүмийн хойно"
4084,,,Point,106.914,47.894667,Хөшөө,"ХУД 11-р хороо, Богд Жавзундамбын гудамжны урд, Удирдлагын академийн урд"
4085,,,Point,107.257917,47.949917,Хөшөө,"БЗД 20-р хороо, Ар Арцатын амны адагт зам дагуу 1 дөрвөлжин булш"
4086,,,Point,106.915944,47.919139,Хөшөө,"ЧД 1-р хороо, Сүхбаатарын гудамжны баруун, МҮЭХ-ы барилгын урд"
4087,,,Point,107.346389,47.825306,Хөшөө,"НД 1-р хороо, Тэрэлжийн гүүрээс зүүн 400 м, хадтай уулын урд энгэр, замынхаа хойно"
4088,,,Point,106.625111,47.800306,Хөшөө,"ХУД 13-р хороо, Сонгинохайрхан уулын өвөр, Туул голын урд, Шувуун фабрикийн зам хойно"
4089,,,Point,106.909083,47.886611,Хөшөө,"ХУД 11-р хороо, Зайсангийн гудамжны баруун, (ХААИС)-ийн хашаанд"
4090,,,Point,107.237694,48.053028,Хөшөө,"БЗД 20-р хороо, 10 -р хэсэг, Гачууртын Дархитын аманд"
4091,,,Point,106.675889,47.878722,Хөшөө,"СХД 32-р хороо, Сонгинохайрхан уулын зүүн хойд аманд"
4092,,,Point,106.9145,47.914056,Хөшөө,"СБД 1-р хороо, Сөүлийн гудамжны зүүн үзүүрийн урд хэсэгт"
4093,,,Point,106.760583,47.853806,Хөшөө,"ХУД 10-р хороо, Чингис хааны Олон улсын нисэх онгоцны буудлын баруун хойд талд"
4094,,,Point,106.991028,48.082667,Хөшөө,"СБД 20-р хороо, Сэлбийн зуслангаас баруун хойд зүгт, ойн нөхөрлөлийн хашаанд"
4095,,,Point,108.277722,47.745611,Хөшөө,"БНД 2-р хороо, БНД өндөрлөгөөс зүүн тийш 30 м зайд байрлалтай"
4096,,,Point,106.839667,47.986389,Хөшөө,"СХД 25-р хороо, Одонтын 23 -р гудамжинд"
4097,,,Point,106.58575,47.979306,Хөшөө,"СХД 21 -р хороо, Шижирийн даваа дээр"
4098,,,Point,107.123056,47.988361,Хөшөө,"БЗД 20-р хороо, Гүнжийн хоолойн дунд хавьд, жижиг довцогийн зүүн хэсэгт"
4099,,,Point,107.258278,47.854056,Хөшөө,"БЗД 20-р хороо, 8 -р хэсэг, Дээндийн амны адаг дахь баруун талын толгойн баруун урд"
4100,,,Point,106.785972,48.093,Хөшөө,"СХД 21-р хороо, Ар Гүнтийн амны дунд хэсэгт"
4101,,,Point,107.315556,48.002306,Хөшөө,"БЗД 20-р хороо, Их Хуандийн амны эхэнд, Майнт толгойн зүүн бэлд"
4102,,,Point,107.257111,47.882306,Хөшөө,"БЗД 20-р хороо, 7 -р хэсэг, “Гачууртын Нарст булангийн Их Улиастай дахь"
