id,object_no,object_name,geom_type,lon,lat,Давхаргын төрөл,Хаяг,Нэр
4578,,,Point,106.890639,47.902976,Хувийн цэцэрлэг,БГД 1-р хороо 12-р байр,Түвшин Бүүвэй
4579,,,Point,106.88684,47.913068,Хувийн цэцэрлэг,БГД 3-р хороо 53-р байр,Шинэ зууны хүүхдүүд
4580,,,Point,106.880332,47.920723,Хувийн цэцэрлэг,БГД 19-р хороо 52А байр,Унагалдай
4581,,,Point,106.855795,47.910937,Хувийн цэцэрлэг,БГД 4-р хороо 19-44 тоот,Тэлмэн
4582,,,Point,106.867436,47.912267,Хувийн цэцэрлэг,БГД 4-р хороо 102-2тоот,Чингүндэй өргөө
4583,,,Point,106.856713,47.911784,Хувийн цэцэрлэг,БГД 5-р хороо 16-р байр,Эрин үууны багачууд
4584,,,Point,106.86683,47.914816,Хувийн цэцэрлэг,"БГД 5-р хороо, 10-р байр",Эрдмийн эх
4585,,,Point,106.858064,47.915531,Хувийн цэцэрлэг,БГД 6-р хороо 83-р байр,Гэгээн өргөө
4586,,,Point,106.85236,47.912245,Хувийн цэцэрлэг,БГД 20-р хороо Жаргалан сургууль дотор,Шинэ жаргалан
4587,,,Point,106.887951,47.903634,Хувийн цэцэрлэг,БГД 1-р хороо 19-р байр,Титэм ордон
4588,,,Point,106.877975,47.920728,Хувийн цэцэрлэг,БГД 19-р хороо 54А байр,Оджин
4589,,,Point,106.873802,47.921705,Хувийн цэцэрлэг,БГД 8-р хороо 9а байр,Эрхэмсэг оршихуй
4590,,,Point,106.885672,47.916034,Хувийн цэцэрлэг,БГД 2-р хороо 56-р байр,Монгол маамуу
4591,,,Point,106.951668,47.925774,Хувийн цэцэрлэг,БЗД 4-р хороо 46б байр,Мандах нар
4592,,,Point,106.95248,47.924192,Хувийн цэцэрлэг,"БЗД 4-р хороо, их засаг хашаан дотор",Тэмүүжин
4593,,,Point,106.932329,47.905492,Хувийн цэцэрлэг,БЗД 26-р хороо баянмонгол хороолол 410,Алдрай
4594,,,Point,106.934589,47.906201,Хувийн цэцэрлэг,БЗД 26-р хороо баянмонгол хороолол 404,Ану
4595,,,Point,106.940804,47.910012,Хувийн цэцэрлэг,"БЗД 25-р хороо, Ногоон төгөл хотхон 171",Жи жи
4596,,,Point,106.936771,47.911456,Хувийн цэцэрлэг,БЗД 25-р хороо 50-2тоот,Тэнгэрлэг Багачууд
4597,,,Point,106.987101,47.918987,Хувийн цэцэрлэг,"БЗД 8-р хороо, Улаанхуаран Авто блок.ххк",Нахиа
4598,,,Point,106.975886,47.914907,Хувийн цэцэрлэг,БЗД 8-р хороо 108 байр,Хотхоны андууд
4599,,,Point,106.932311,47.915431,Хувийн цэцэрлэг,"БЗД 6-р хороо, ХД 37-р байр",Бяцхан имж
4600,,,Point,106.931366,47.91404,Хувийн цэцэрлэг,БЗД 6-р хороо 21-р байр,Жаргалан-2
4601,,,Point,106.933709,47.914775,Хувийн цэцэрлэг,БЗД 6-р хороо 22 В байр,Жигүүр
4602,,,Point,106.933816,47.913492,Хувийн цэцэрлэг,БЗД 6-р хороо 19-р байр,Нархан М
4603,,,Point,106.935177,47.915528,Хувийн цэцэрлэг,БЗД 6-р хороо 53-р байр,Сэргэлэн жаалууд
4604,,,Point,106.935179,47.914575,Хувийн цэцэрлэг,БЗД 6-р хороо 23-р байр,Цахиур чулууныхан
4605,,,Point,106.933328,47.915913,Хувийн цэцэрлэг,"БЗД 6-р хороо, 56-р байр",Хөөрхөн жаал
4606,,,Point,106.941937,47.917434,Хувийн цэцэрлэг,"БЗД 15-р хороо, Оюун ухааны музейн байр",Оньсхон-Загадка
4607,,,Point,106.979667,47.920767,Хувийн цэцэрлэг,БЗД 16-р хороо 44-р сургуулийн баруун талд,Бамбага эгч
4608,,,Point,106.9411,47.920832,Хувийн цэцэрлэг,БЗД 3-р хороо Зохиомж дээд сургуулийн залгаа,Хотын жаалууд
4609,,,Point,106.939724,47.919892,Хувийн цэцэрлэг,"БЗД 3-р хороо, сансарын түнел дээр 34-р байр",ЭНх-Ирээдүй
4610,,,Point,106.984174,47.921166,Хувийн цэцэрлэг,БЗД 16-р хороо 9-р байр,Дэлгэрэх-Ирээдүй
4611,,,Point,106.98488,47.920478,Хувийн цэцэрлэг,БЗД 16-р хороо 72-р байр,ЭНэрэл
4612,,,Point,106.932457,47.927769,Хувийн цэцэрлэг,"БЗД 1-р хороо, Сэлбийн гудамж 76",Даянхүү
4613,,,Point,106.932495,47.926412,Хувийн цэцэрлэг,"БЗД 1-р хороо, Сэлбийн гудамж 106",
4614,,,Point,106.933383,47.925754,Хувийн цэцэрлэг,"БЗД 1-р хороо, Сэлбийн гудамж 104",
4615,,,Point,106.934111,47.927702,Хувийн цэцэрлэг,"БЗД 1-р хороо, эрэл сургууль дотор",Эрэл
4616,,,Point,106.93256,47.919877,Хувийн цэцэрлэг,БЗД 1-р хороо 41-р сургууль,Эх дэлхий нөхөрлөл
4617,,,Point,106.941745,47.918285,Хувийн цэцэрлэг,БЗД 1-р хороо Сансарын түнел,Одод Звезда
4618,,,Point,106.942508,47.906841,Хувийн цэцэрлэг,БЗД 26-р хороо Их монгол хороолол,Жаргалтай хотхон
4619,,,Point,106.942374,47.906496,Хувийн цэцэрлэг,БЗД 26-р хороо Их монгол хороолол,Их монголын үрс
4620,,,Point,106.926029,47.926606,Хувийн цэцэрлэг,"СБД 7-р хороо, 5-р байр 4тоот",Бөмбөлөг
4621,,,Point,106.946328,47.920359,Хувийн цэцэрлэг,"БЗД 4-р хороо, Американ дэнж",Мөрөөдлийн хотхон
4622,,,Point,106.952436,47.921713,Хувийн цэцэрлэг,"БЗД 4-р хороо, Жуковын музейн хойно",Саруул өргөө
