id,object_no,object_name,geom_type,lon,lat,Давхаргын төрөл,Тогтоолын дугаар
5633,,,Polygon,106.947319,47.905297,Гамшгийн үед цуглах талбай_192 байршил,17
5634,,,Polygon,106.980478,47.919769,Гамшгийн үед цуглах талбай_192 байршил,17
5635,,,Polygon,107.014858,47.912666,Гамшгийн үед цуглах талбай_192 байршил,17
5636,,,Polygon,107.022397,47.906353,Гамшгийн үед цуглах талбай_192 байршил,17
5637,,,Polygon,107.075916,47.924246,Гамшгийн үед цуглах талбай_192 байршил,17
5638,,,Polygon,107.033782,47.917848,Гамшгийн үед цуглах талбай_192 байршил,17
5639,,,Polygon,106.994131,47.907647,Гамшгийн үед цуглах талбай_192 байршил,17
5640,,,Polygon,106.965643,47.915148,Гамшгийн үед цуглах талбай_192 байршил,17
5641,,,Polygon,106.970104,47.924512,Гамшгийн үед цуглах талбай_192 байршил,17
5642,,,Polygon,106.986409,47.928117,Гамшгийн үед цуглах талбай_192 байршил,17
5643,,,Polygon,107.002271,47.929678,Гамшгийн үед цуглах талбай_192 байршил,17
5644,,,Polygon,106.96755,47.952999,Гамшгийн үед цуглах талбай_192 байршил,17
5645,,,Polygon,106.946109,47.943456,Гамшгийн үед цуглах талбай_192 байршил,17
5646,,,Polygon,106.889107,47.909347,Гамшгийн үед цуглах талбай_192 байршил,17
5647,,,Polygon,106.865009,47.924603,Гамшгийн үед цуглах талбай_192 байршил,17
