id,object_no,object_name,geom_type,lon,lat,Давхаргын төрөл,Архитектур төлөвлөлтийн даалгаврын дугаар,"Барилга, байгууламжийн нэр",Барилгын зориулалт,Дүүрэг,Хороо,Хаягийн бүс,Үйлчилгээ албан конторын давхарын тоо /бусад/,Гудамж,Хүчинтэй хугацаа,Орон сууцны давхарын тоо,Барилгын ажлыг эхлэх/үргэлжлүүлэх зөвшөөрлийн дугаар
236013,ТБА131600086231000,Аялал жуулчлал,Polygon,107.094752,47.860826,Архитектур төлөвлөлтийн даалгавар,ГБМЗХ2020/34-022,Аялал жуулчлал,Аялал жуулчлалын барилга,Баянзүрх,11-р хороо,Чулуут /13220/,,,,,
236029,ТБА131480343457000,Аялал жуулчлалын цогцрлбор,Polygon,107.068947,47.873001,Архитектур төлөвлөлтийн даалгавар,МЗХ2016/04-01,Аялал жуулчлалын цогцрлбор,Аялал жуулчлалын барилга,Баянзүрх,11-р хороо,,,,,,
237514,ТБА131586794787000,"Үйлчилгээ, орон сууц, сургуулийн барилга",Polygon,106.992873,47.913898,Архитектур төлөвлөлтийн даалгавар,ГБМЗХ2020/14-032,"Үйлчилгээ, орон сууц, сургуулийн барилга",,Баянзүрх,8-р хороо,Улаанхуаран-2 /13301/,,,,,
238304,ТБА131600094696000,Аялал жуулчлал,Polygon,107.002678,47.882804,Архитектур төлөвлөлтийн даалгавар,ГБМЗХ2020/34-021,Аялал жуулчлал,Аялал жуулчлалын барилга,Баянзүрх,11-р хороо,Залаатын ам /13241/,,,,,
238442,ТБА131595410675000,"Үйлчилгээтэй орон сууц, сургууль, цэцэрлэгийн цогц",Polygon,107.116108,47.87092,Архитектур төлөвлөлтийн даалгавар,ГБМЗХ2020/30-004,"Үйлчилгээтэй орон сууц, сургууль, цэцэрлэгийн цогц",Үйлчилгээтэй орон сууц,Баянзүрх,11-р хороо,,,,,,
238737,ТБА131589297237000,Конторын барилга,Polygon,107.03493,47.913,Архитектур төлөвлөлтийн даалгавар,ГБМЗХ2020/20-029,Конторын барилга,Албан конторын /төрийн байгууллага/,Баянзүрх,23-р хороо,Улиастай /13250/,,,,,
239229,ТБА131586195109000,Аялал жуулчлалын,Polygon,107.01679,47.880419,Архитектур төлөвлөлтийн даалгавар,ГБМЗХ2020/13-026,Аялал жуулчлалын,Аялал жуулчлалын барилга,Баянзүрх,11-р хороо,Залаатын ам /13241/,,,,,
239235,ТБА131257811200004,,Polygon,107.162755,47.828635,Архитектур төлөвлөлтийн даалгавар,,,"Их, дээд сургуулийн барилга",Баянзүрх,11-р хороо,Харгана /13091/,,,,,
239363,ТБА131587403633000,Сургуулийн барилга,Polygon,106.99154,47.923137,Архитектур төлөвлөлтийн даалгавар,ГБМЗХ2020/14-030,Сургуулийн барилга,Сургуулийн барилга,Баянзүрх,16-р хороо,Улаанхуаран-1 /13300/,,,,,
242947,ТБА131331078400008,,Polygon,107.164741,47.826804,Архитектур төлөвлөлтийн даалгавар,,,Соёлын ордон,Баянзүрх,11-р хороо,Харгана /13091/,,,,,
244186,ТБА131584522421000,Аялал жуулчлалын цогцолбор,Polygon,107.019493,47.878934,Архитектур төлөвлөлтийн даалгавар,ГБМЗХ2020/04-007,Аялал жуулчлалын цогцолбор,Аялал жуулчлалын барилга,Баянзүрх,11-р хороо,Залаатын ам /13241/,,,,,
244193,ТБА131306281600011,,Polygon,107.208448,47.75464,Архитектур төлөвлөлтийн даалгавар,,,Үйлчилгээний барилга,Баянзүрх,11-р хороо,Хонхор нуур /13085/,,,,,
244730,ТБА131501785047000,Аялал жуулчлалын цогцолбор,Polygon,107.017744,47.88617,Архитектур төлөвлөлтийн даалгавар,МЗХ2017/16-04,Аялал жуулчлалын цогцолбор,Аялал жуулчлалын барилга,Баянзүрх,11-р хороо,Залаатын ам /13241/,,Дүнжингаравын гудамж,,,
244734,ТБА131505935996000,,Polygon,106.985386,47.960348,Архитектур төлөвлөлтийн даалгавар,МЗХ2017/13-06,,Тодорхойгүй,Баянзүрх,24-р хороо,Цагаан даваа /13251/,,,,,
244841,ТТО131618781382000,Цэцэрлэгт хүрээлэн,Polygon,107.051144,47.894376,Архитектур төлөвлөлтийн даалгавар,МЗХ2021/05-081,Цэцэрлэгт хүрээлэн,Цэцэрлэгт хүрээлэнгийн барилга,Баянзүрх,11-р хороо,Хүрхрээ /13240/,,,,,
247065,ТБА131505936122000,,Polygon,106.990064,47.965086,Архитектур төлөвлөлтийн даалгавар,МЗХ2017/13-06,,Тодорхойгүй,Баянзүрх,24-р хороо,Цагаан даваа /13251/,,,,,
247469,ТБА131624205953000,Аялал жуулчлалын цогцолбор,Polygon,107.057812,47.864151,Архитектур төлөвлөлтийн даалгавар,МЗХ2021/09-059,Аялал жуулчлалын цогцолбор,Аялал жуулчлалын барилга,Баянзүрх,11-р хороо,Хүрхрээ /13240/,,,,,
248020,ТБА131454088734000,Шатахуун түгээх станц.,Polygon,107.127059,47.859898,Архитектур төлөвлөлтийн даалгавар,ГБЗХ-2016-02-,Шатахуун түгээх станц.,Шатахуун түгээх станцын барилга,Баянзүрх,11-р хороо,Ургах наран /13180/,,,,,
248357,ТБА131505935325000,Хог хаягдал дахин боловсруулах,Polygon,106.992412,47.960346,Архитектур төлөвлөлтийн даалгавар,МЗХ2017/13-06,Хог хаягдал дахин боловсруулах,Тодорхойгүй,Баянзүрх,24-р хороо,Цагаан даваа /13251/,,,,,
248916,ТБА131505935946000,,Polygon,106.984456,47.957809,Архитектур төлөвлөлтийн даалгавар,МЗХ2017/13-06,,Тодорхойгүй,Баянзүрх,24-р хороо,Цагаан даваа /13251/,,,,,
249737,ТБА131589203080000,Түр отоглох байр,Polygon,107.018377,47.882132,Архитектур төлөвлөлтийн даалгавар,ГБМЗХ2020/20-021,Түр отоглох байр,,Баянзүрх,11-р хороо,Залаатын ам /13241/,,,,,
251934,ТБА131628276848000,,Polygon,106.955478,47.915282,Архитектур төлөвлөлтийн даалгавар,МЗХ2021/14-025,Үйлчилгээтэй орон сууц,Амины орон сууц /үйлчилгээгүй/,Баянзүрх,14-р хороо,14-р хороолол-4 /13333/,1,,,6,
251937,ТБА131629971430000,Үйлчилгээтэй орон сууцны барилга,Polygon,106.965777,47.913239,,,,,,,,,,,,
252742,ТБА131505936025000,,Polygon,106.987084,47.961138,Архитектур төлөвлөлтийн даалгавар,МЗХ2017/13-06,,Тодорхойгүй,Баянзүрх,24-р хороо,Цагаан даваа /13251/,,,,,
253426,ТБА131505935971000,,Polygon,106.982362,47.956589,Архитектур төлөвлөлтийн даалгавар,МЗХ2017/13-06,,Тодорхойгүй,Баянзүрх,22-р хороо,Алтан-Өлгий /13292/,,,,,
254145,ТБА131618826248000,Үйлчилгээтэй орон сууцны барилга,Polygon,107.011835,47.912191,Архитектур төлөвлөлтийн даалгавар,МЗХ2021/06-062,Үйлчилгээтэй орон сууцны барилга,Үйлчилгээтэй орон сууц,Баянзүрх,10-р хороо,Амгалан-1 /13260/,,Цагдаагийн академийн өргөн чөлөө,,,
254277,ТБА131628091784000,Худалдаа үйлчилгээний цогцолбор,Polygon,106.959623,47.905989,Архитектур төлөвлөлтийн даалгавар,МЗХ2021/13-006,Худалдаа үйлчилгээний цогцолбор,Үйлчилгээний барилга,Баянзүрх,26-р хороо,Амгалан-3 /13271/,,Нийслэл хүрээ өргөн чөлөө,,,
255110,ТБА131628277080000,,Polygon,106.956043,47.914876,Архитектур төлөвлөлтийн даалгавар,МЗХ2021/14-025,Үйлчилгээтэй орон сууц,Амины орон сууц /үйлчилгээгүй/,Баянзүрх,14-р хороо,14-р хороолол-4 /13333/,1,,,6,
255189,ТБА131428067049002,Аялал жуулчлалын цогцолбор,Polygon,107.002769,47.885025,Архитектур төлөвлөлтийн даалгавар,МЗХ2017/07-29,Аялал жуулчлалын цогцолбор,Аялал жуулчлалын барилга,Баянзүрх,11-р хороо,Залаатын ам /13241/,,,,,
255540,ТБА131623065295000,Үйлчилгээтэй орон сууцны барилга,Polygon,106.944894,47.910844,Архитектур төлөвлөлтийн даалгавар,МЗХ2021/09-106,Үйлчилгээтэй орон сууцны барилга,Үйлчилгээтэй орон сууц,Баянзүрх,14-р хороо,14-р хороолол-7 /13336/,,Сангийн хорооны гудамж,,16,
255682,ТБА131407927714000,Бичил хотхон,Polygon,107.194539,47.809573,Архитектур төлөвлөлтийн даалгавар,,Бичил хотхон,Амины орон сууц /үйлчилгээгүй/,Баянзүрх,11-р хороо,Нам даваа /13088/,,,,,
256179,ТБА131624205809000,Аялал жуулчлалын цогцолбор,Polygon,107.053423,47.866795,Архитектур төлөвлөлтийн даалгавар,МЗХ2021/09-059,Аялал жуулчлалын цогцолбор,Аялал жуулчлалын барилга,Баянзүрх,11-р хороо,Хүрхрээ /13240/,,,,,
256183,ТБА131406713743000,Аялал жуулчлалын төв,Polygon,107.002057,47.886625,Архитектур төлөвлөлтийн даалгавар,2014-11,Аялал жуулчлалын төв,Аялал жуулчлалын барилга,Баянзүрх,11-р хороо,Залаатын ам /13241/,,,,,
257036,ТБА131505935849000,,Polygon,106.992191,47.962383,Архитектур төлөвлөлтийн даалгавар,ТЗХ2017/13-06,,Тодорхойгүй,Баянзүрх,24-р хороо,Цагаан даваа /13251/,,,,,
258876,ТБА131505936145000,,Polygon,106.990913,47.965615,Архитектур төлөвлөлтийн даалгавар,МЗХ2017/13-06,,Тодорхойгүй,Баянзүрх,24-р хороо,Цагаан даваа /13251/,,,,,
259358,ТБА171628261505000,,Polygon,106.843512,47.854804,Архитектур төлөвлөлтийн даалгавар,,,Аялал жуулчлалын барилга,Хан-Уул,23-р хороо,Арцатын ам /17100/,,,,,
259841,ТБА131404474554000,Залаат дэд станц 110/35,Polygon,107.020071,47.88603,Архитектур төлөвлөлтийн даалгавар,,Залаат дэд станц 110/35,,Баянзүрх,11-р хороо,Залаатын ам /13241/,,,,,
260038,ТБА131505935898000,Цагаан давааны төвлөрсөн хогийн  боловсруулах эко,Polygon,106.98863,47.960411,Архитектур төлөвлөлтийн даалгавар,МЗХ2017/13-06,Цагаан давааны төвлөрсөн хогийн  боловсруулах эко,Тодорхойгүй,Баянзүрх,24-р хороо,Цагаан даваа /13251/,,,,,
261075,ТБА131407927235000,Амины орон сууцны хотхон,Polygon,107.188851,47.81301,Архитектур төлөвлөлтийн даалгавар,НЗД 2012-03-07 А/152,Амины орон сууцны хотхон,Амины орон сууц /үйлчилгээгүй/,Баянзүрх,11-р хороо,Нам даваа /13088/,,,,,
261832,ТБА131505936098000,,Polygon,106.989345,47.964042,Архитектур төлөвлөлтийн даалгавар,МЗХ2017/13-06,,Тодорхойгүй,Баянзүрх,24-р хороо,Цагаан даваа /13251/,,,,,
