id,object_no,object_name,geom_type,lon,lat,Давхаргын төрөл,"Барилга, байгууламжийн нэр"
5871,,,Point,106.911831,47.921882,Төрийн байгууллага,Нийслэлийн Засаг Захиргааны 4 байр 7 давхарт
5872,,,Point,108.365814,47.780816,Төрийн байгууллага,БНДЗДТГ-ын байр
5873,,,Point,106.887863,47.89681,Төрийн байгууллага,Хөдөлмөрийн төв бирж
5874,,,Point,106.9476,47.916336,Төрийн байгууллага,Улаанбаатар зам засвар арчлалтын газар
5875,,,Point,106.902126,47.916556,Төрийн байгууллага,Энхтайван найрамдлын ордон
5876,,,Point,106.911725,47.921914,Төрийн байгууллага,Нийслэлийн Засаг Захиргааны 4 байр 12 давхар
5877,,,Point,106.911216,47.927314,Төрийн байгууллага,Орон сууц нийтийн аж ахуйн удирдах газар
5878,,,Point,106.872983,47.894986,Төрийн байгууллага,Дулааны 3-р цахилгаан станц
5879,,,Point,106.92531,47.931087,Төрийн байгууллага,УБЦТС-гийн байр
5880,,,Point,107.000568,47.914348,Төрийн байгууллага,Хүүхэд залуучуудын сургалт хүмүүжлийн тусгай цогцолбор
5881,,,Point,106.916183,47.926754,Төрийн байгууллага,Хүүхдийн урлан бүтээх төв
5882,,,Point,106.929099,47.916962,Төрийн байгууллага,Азмон төв 602 тоот
5883,,,Point,106.915556,47.920054,Төрийн байгууллага,Улаанбаатар банк
5884,,,Point,106.890232,47.898233,Төрийн байгууллага,Улаанбаатар цахилгаан түгээх сүлжээ
5885,,,Point,106.936062,47.918253,Төрийн байгууллага,Улаанбаатар музей
5886,,,Point,106.940117,47.917607,Төрийн байгууллага,Улаанбаатар лифт
5887,,,Point,106.894506,47.905428,Төрийн байгууллага,Улаанбаатар дулааны сүлжээ
5888,,,Point,106.8828,47.920078,Төрийн байгууллага,Хувийн орон сууц
5889,,,Point,107.433317,47.350393,Төрийн байгууллага,БХДЗДТГ-ын байр
5890,,,Point,107.25657,47.772072,Төрийн байгууллага,НДЗДТГ-ын байр
5891,,,Point,106.878908,47.910552,Төрийн байгууллага,БГДЗДТГ-ын байр
5892,,,Point,106.878375,47.919842,Төрийн байгууллага,БГД-ийн биеийн тамир спортын хороо өөрийн байр
5893,,,Point,106.878521,47.910615,Төрийн байгууллага,БГДЗДТГ-ын байр
