id,object_no,object_name,geom_type,lon,lat,Давхаргын төрөл
12318,157,Туул гол гудамж,LineString,106.904403,47.89139,"Гудамж, талбайн нэр"
12319,170,Ц.Намсрайн гудамж,LineString,106.86617,47.920414,"Гудамж, талбайн нэр"
12320,172,Ээрмэлийн гудамж,LineString,106.905141,47.896594,"Гудамж, талбайн нэр"
12321,171,Болгарын гудамж,LineString,106.930348,47.920761,"Гудамж, талбайн нэр"
12322,3,С.Данзангийн гудамж,LineString,106.913086,47.923089,"Гудамж, талбайн нэр"
12323,177,Баруун Алтан-Өлгий гудамж,LineString,106.966879,47.932577,"Гудамж, талбайн нэр"
12324,4,Хилчний гудамж,LineString,106.99543,47.918642,"Гудамж, талбайн нэр"
12325,178,Нийслэл хүрээ өргөн чөлөө,LineString,106.926448,47.903609,"Гудамж, талбайн нэр"
12326,179,Хүннүгийн гудамж,LineString,106.935858,47.904536,"Гудамж, талбайн нэр"
12327,180,Б.Ширэндэвийн гудамж,LineString,106.91355,47.917941,"Гудамж, талбайн нэр"
12328,181,Дүнжингаравын гудамж,LineString,106.965321,47.887045,"Гудамж, талбайн нэр"
12329,185,Ж.Раднаабазарын гудамж,LineString,106.890571,47.912292,"Гудамж, талбайн нэр"
12330,184,Э.Галданбошготын гудамж,LineString,106.90985,47.934285,"Гудамж, талбайн нэр"
12331,43,Чингисийн өргөн чөлөө,LineString,106.890084,47.901282,"Гудамж, талбайн нэр"
12332,26,Сөүлийн гудамж,LineString,106.903618,47.914495,"Гудамж, талбайн нэр"
12333,16,Жуулчны гудамж,LineString,106.907167,47.919497,"Гудамж, талбайн нэр"
12334,36,Л.Энэбишийн өргөн чөлөө,LineString,106.890519,47.925293,"Гудамж, талбайн нэр"
12335,20,Н.Содномын гудамж,LineString,106.92089,47.927624,"Гудамж, талбайн нэр"
12336,41,Хилчин холбоочдын гудамж,LineString,106.743608,47.9132,"Гудамж, талбайн нэр"
12337,103,Махатма Гандигийн гудамж,LineString,106.919239,47.903533,"Гудамж, талбайн нэр"
12338,85,Москвагийн гудамж,LineString,106.828563,47.911273,"Гудамж, талбайн нэр"
12339,90,Ар Зайсангийн гудамж,LineString,106.905589,47.873761,"Гудамж, талбайн нэр"
12340,100,Хилчдийн гудамж,LineString,106.951398,47.922391,"Гудамж, талбайн нэр"
12341,109,Зайсангийн тойруу,LineString,106.914728,47.884027,"Гудамж, талбайн нэр"
12342,134,Эрчим хүчний гудамж,LineString,106.82067,47.897208,"Гудамж, талбайн нэр"
12343,129,Барилгачны гудамж,LineString,106.837871,47.914335,"Гудамж, талбайн нэр"
12344,136,Залуусын гудамж,LineString,106.845981,47.914652,"Гудамж, талбайн нэр"
12345,175,Хуульчдын талбай,LineString,106.915104,47.921751,"Гудамж, талбайн нэр"
12346,176,Ч.Шархүүгийн нэрэмжит талбай,LineString,106.910461,47.925411,"Гудамж, талбайн нэр"
12347,183,Г.Лувсанцэвээний гудамж,LineString,106.960095,47.920364,"Гудамж, талбайн нэр"
12348,198,Худгийн гудамж,LineString,106.921351,47.931218,"Гудамж, талбайн нэр"
12349,189,Бэлхийн гудамж,LineString,106.991779,48.032404,"Гудамж, талбайн нэр"
12350,83,Партизаны 1-р гудамж,LineString,107.254679,47.771067,"Гудамж, талбайн нэр"
12351,194,Сангийн хорооны гудамж,LineString,106.937534,47.915636,"Гудамж, талбайн нэр"
12352,193,Самбалхүндэвийн зам,LineString,106.882174,47.946445,"Гудамж, талбайн нэр"
12353,192,Ноолуурын гудамж,LineString,106.881452,47.90103,"Гудамж, талбайн нэр"
12354,200,Баруун Сонсголонгийн гудамж,LineString,106.762582,47.860664,"Гудамж, талбайн нэр"
12355,199,Хайгуулчдын гудамж,LineString,106.795925,47.912607,"Гудамж, талбайн нэр"
12356,195,Тахилт гудамж,LineString,106.709211,47.920756,"Гудамж, талбайн нэр"
12357,201,Эмээлт зам,LineString,106.596112,47.893681,"Гудамж, талбайн нэр"
12358,202,Элистейн гудамж,LineString,106.921907,47.934094,"Гудамж, талбайн нэр"
12359,205,Хонхны гудамж,LineString,106.888025,47.914236,"Гудамж, талбайн нэр"
12360,204,Рерихийн гудамж,LineString,106.956151,47.91881,"Гудамж, талбайн нэр"
12361,203,Г.Ганхуягийн гудамж,LineString,106.789994,47.866721,"Гудамж, талбайн нэр"
12362,197,Цайзын гудамж,LineString,107.270851,47.787223,"Гудамж, талбайн нэр"
12363,191,Нефтийн гудамж,LineString,107.249579,47.783842,"Гудамж, талбайн нэр"
12364,48,Партизаны 2-р гудамж,LineString,107.254072,47.774025,"Гудамж, талбайн нэр"
12365,190,Найрамдлын гудамж,LineString,107.256043,47.772727,"Гудамж, талбайн нэр"
12366,80,Д.Даваажавын гудамж,LineString,107.253888,47.773246,"Гудамж, талбайн нэр"
