id,object_no,object_name,geom_type,lon,lat,Давхаргын төрөл,Барилгын зориулалт,"Барилга, байгууламжийн нэр",Архитектур төлөвлөлтийн даалгаврын дугаар,Дүүрэг,Хороо,Хаягийн бүс,Гудамж
368851,ТАЗ1660495717001,Үйлчилгээтэй орон сууцны барилга,Polygon,106.785238,47.856909,"Авто зам, замын байгууламжийн архитектур төлөвлөлтийн даалгавар",Авто замын барилга,Үйлчилгээтэй орон сууцны барилга,МЗХ2022/26-018,,,,
368915,ТАЗ1616095567001,Орон сууцны цогцолбор,Polygon,106.717361,47.841334,"Авто зам, замын байгууламжийн архитектур төлөвлөлтийн даалгавар",Авто замын барилга,Орон сууцны цогцолбор,МЗХ2019/11-001,,,,
368957,ТАЗ1616519386001,Туул гол гудамжнаас Ээрмэлийн гудамж хүртэлх авто ,Polygon,106.901971,47.894408,"Авто зам, замын байгууламжийн архитектур төлөвлөлтийн даалгавар",Авто замын барилга,Туул гол гудамжнаас Ээрмэлийн гудамж хүртэлх авто,МЗХ2021/04-004,,,,
369000,ТАЗ1662400850001,,Polygon,106.8293,47.864278,"Авто зам, замын байгууламжийн архитектур төлөвлөлтийн даалгавар",Авто замын барилга,,МЗХ2022/31-019,,,,
369140,ТАЗ1615293627001,Үйлчилгээ,Polygon,106.780391,47.853261,"Авто зам, замын байгууламжийн архитектур төлөвлөлтийн даалгавар",Авто замын барилга,Үйлчилгээ,ГБМЗХ2019/18-013,,,,
369323,ТАЗ1517575894001,,Polygon,106.850441,47.874944,"Авто зам, замын байгууламжийн архитектур төлөвлөлтийн даалгавар",Авто замын барилга,,МЗХ2017/11-22,,,,
369356,ТАЗ1616062751001,аруун Сонсголонгийн гудамжнаас Тайнь 7-р гудамжны ,Polygon,106.766176,47.861165,"Авто зам, замын байгууламжийн архитектур төлөвлөлтийн даалгавар",Авто замын барилга,аруун Сонсголонгийн гудамжнаас Тайнь 7-р гудамжны,МЗХ2021/03-010,,,,
369436,ТАЗ1510574070001,Хотын төвийн хэсэгт хийгдэх унадаг дугуйн замын тр,Polygon,106.825507,47.873777,"Авто зам, замын байгууламжийн архитектур төлөвлөлтийн даалгавар",,Хотын төвийн хэсэгт хийгдэх унадаг дугуйн замын тр,2017/16-15,,,,
369579,ТАЗ1659813936001,Мишээл экспогийн авто замаас зүүн тийш Монгол шевр,MultiPolygon,106.890651,47.894015,"Авто зам, замын байгууламжийн архитектур төлөвлөлтийн даалгавар",Авто замын барилга,Мишээл экспогийн авто замаас зүүн тийш Монгол шевр,,,,,
369868,ТАЗ1617621061001,,Polygon,106.776817,47.855386,"Авто зам, замын байгууламжийн архитектур төлөвлөлтийн даалгавар",Авто замын барилга,,ГБМЗХ2020/17-049,,,,
370092,ТАЗ1556208555001,Автобусны эцсийн зогсоол,Polygon,106.788727,47.844367,"Авто зам, замын байгууламжийн архитектур төлөвлөлтийн даалгавар",Авто замын барилга,Автобусны эцсийн зогсоол,МЗХ2019/06-96,,,,
370094,ТАЗ1615377004001,Үйлчилгээтэй орон сууцны цогцолбор барилга,Polygon,106.919425,47.903676,"Авто зам, замын байгууламжийн архитектур төлөвлөлтийн даалгавар",Авто замын барилга,Үйлчилгээтэй орон сууцны цогцолбор барилга,ГБМЗХ2020/25-013,,,,
370143,ТАЗ1520194518001,Тоглоомын талбай,Polygon,106.915813,47.897173,"Авто зам, замын байгууламжийн архитектур төлөвлөлтийн даалгавар",Тоглоомын талбайн барилга,Тоглоомын талбай,,,,,
370417,ТАЗ1517574727001,,Polygon,106.85511,47.877307,"Авто зам, замын байгууламжийн архитектур төлөвлөлтийн даалгавар",Авто замын барилга,,,,,,
370455,ТАЗ1520194491001,Тохижилт,Polygon,106.916444,47.897126,"Авто зам, замын байгууламжийн архитектур төлөвлөлтийн даалгавар",Талбайн тохижилт барилга,Тохижилт,,,,,
370676,ТАЗ1614602612001,,Polygon,106.840145,47.890797,"Авто зам, замын байгууламжийн архитектур төлөвлөлтийн даалгавар",Авто замын барилга,,2015/04-15,,,,
370722,ТАЗ1612958250001,,Polygon,106.796136,47.841022,"Авто зам, замын байгууламжийн архитектур төлөвлөлтийн даалгавар",Авто замын барилга,,ГБМЗХ2019/02-016,,,,
370794,ТАЗ1650982855001,Интермед эмнэлэг,Polygon,106.905591,47.898118,"Авто зам, замын байгууламжийн архитектур төлөвлөлтийн даалгавар",Авто замын барилга,Интермед эмнэлэг,МЗХ2022/03-007,,,,
370964,ТАЗ1591713467001,"ХУД, 10-р хороо, Морингийн даваа орчмын шинэ суурь",Polygon,106.720611,47.8397,"Авто зам, замын байгууламжийн архитектур төлөвлөлтийн даалгавар",Авто замын барилга,"ХУД, 10-р хороо, Морингийн даваа орчмын шинэ суурь",ГБМЗХ2020/22-031,,,,
371127,ТАЗ1533121823001,,Polygon,106.758235,47.830616,"Авто зам, замын байгууламжийн архитектур төлөвлөлтийн даалгавар",Авто замын барилга,,,,,,
371172,ТАЗ1534438177001,,Polygon,106.898693,47.892618,"Авто зам, замын байгууламжийн архитектур төлөвлөлтийн даалгавар",Авто замын барилга,,,,,,
371349,ТАЗ1614878323001,,Polygon,106.846043,47.865545,"Авто зам, замын байгууламжийн архитектур төлөвлөлтийн даалгавар",Авто замын барилга,,ГБМЗХ2020/16-012,,,,
371439,ТАЗ1517574601001,,Polygon,106.838314,47.861639,"Авто зам, замын байгууламжийн архитектур төлөвлөлтийн даалгавар",Авто замын барилга,,,,,,
371724,ТАЗ1517574656001,,Polygon,106.865699,47.873756,"Авто зам, замын байгууламжийн архитектур төлөвлөлтийн даалгавар",Авто замын барилга,,,,,,
371802,ТАЗ1520194480001,Тоглоомын талбай,Polygon,106.916542,47.897581,"Авто зам, замын байгууламжийн архитектур төлөвлөлтийн даалгавар",Тоглоомын талбайн барилга,Тоглоомын талбай,,,,,
371960,ТАЗ1432146274001,,Polygon,106.914675,47.931773,"Авто зам, замын байгууламжийн архитектур төлөвлөлтийн даалгавар",,Ус дулаан дамжуулах төв К,,,,,
372047,ТАЗ1612957973001,,Polygon,106.792545,47.841573,"Авто зам, замын байгууламжийн архитектур төлөвлөлтийн даалгавар",Авто замын барилга,,ГБМЗХ2019/02-016,,,,
372282,ТАЗ1531103128002,"ПК2-5,6 зв-д байрлах авто машины нүхэн гарц",Polygon,106.912178,47.906692,"Авто зам, замын байгууламжийн архитектур төлөвлөлтийн даалгавар",Авто замын барилга,"ПК2-5,6 зв-д байрлах авто машины нүхэн гарц",МЗХ2018/16-25,,,,
372618,ТАЗ1479224113001,Авто зам,Polygon,106.928612,47.921843,"Авто зам, замын байгууламжийн архитектур төлөвлөлтийн даалгавар",,Авто зам,,,,,
372683,ТАЗ1659529616001,90 байршил авто зам,Polygon,106.892043,47.895513,"Авто зам, замын байгууламжийн архитектур төлөвлөлтийн даалгавар",Авто замын барилга,90 байршил авто зам,,,,,
372795,ТАЗ1449218995001,Авто замын уулзвар,Polygon,106.915107,47.913248,"Авто зам, замын байгууламжийн архитектур төлөвлөлтийн даалгавар",Тодорхойгүй,Авто замын уулзвар,,,,,
372825,ТАЗ1582231129001,"Богд Жавзандамбын гудамж, 61/5-р байрнаас 47-р бай",Polygon,106.915539,47.89375,"Авто зам, замын байгууламжийн архитектур төлөвлөлтийн даалгавар",Авто замын барилга,"Богд Жавзандамбын гудамж, 61/5-р байрнаас 47-р бай",МЗХ2022/24-027,,,,
373090,ТАЗ1432146253001,,Polygon,106.914942,47.93114,"Авто зам, замын байгууламжийн архитектур төлөвлөлтийн даалгавар",,Ус дулаан дамжуулах төвийн барилга Б,,,,,
373248,ТАЗ1635172170001,Үйлчилгээний цогцолбор барилга,Polygon,106.920276,47.898976,"Авто зам, замын байгууламжийн архитектур төлөвлөлтийн даалгавар",Авто замын барилга,Үйлчилгээний цогцолбор барилга,ГБМЗХ2020/29-003,,,,
373331,ТАЗ1638203441001,Цэцэрлэг бүхий үйлчилгээтэй орон сууцны цогцолбор,Polygon,106.782095,47.848004,"Авто зам, замын байгууламжийн архитектур төлөвлөлтийн даалгавар",Авто замын барилга,Цэцэрлэг бүхий үйлчилгээтэй орон сууцны цогцолбор,МЗХ2021/03-006,,,,
373333,ТАЗ1638282105001,Аялал жуулчлалын цогцолбор,Polygon,106.839332,47.863814,"Авто зам, замын байгууламжийн архитектур төлөвлөлтийн даалгавар",Авто замын барилга,Аялал жуулчлалын цогцолбор,ГБМЗХ2020/17-041,,,,
373835,ТАЗ1534438148001,,Polygon,106.898892,47.892537,"Авто зам, замын байгууламжийн архитектур төлөвлөлтийн даалгавар",Авто замын барилга,,,,,,
373837,ТАЗ1534438224001,,Polygon,106.898771,47.892615,"Авто зам, замын байгууламжийн архитектур төлөвлөлтийн даалгавар",Авто замын барилга,,,,,,
373839,ТАЗ1534438299001,,Polygon,106.898776,47.892541,"Авто зам, замын байгууламжийн архитектур төлөвлөлтийн даалгавар",Авто замын барилга,,,,,,
