id,object_no,object_name,geom_type,lon,lat,Давхаргын төрөл,Архитектур орон зайн бүс,Нэр
77290,,,Polygon,106.637746,47.89335,Төмөр замын хамгаалалтын зурвас,Төмөр замын хамгаалалтын зурвас,
77291,,,Polygon,106.641845,47.899982,Төмөр замын хамгаалалтын зурвас,Төмөр замын хамгаалалтын зурвас,
77293,,,Polygon,106.641464,47.899831,Төмөр замын хамгаалалтын зурвас,Төмөр замын хамгаалалтын зурвас,
77295,,,Polygon,106.641871,47.90002,Төмөр замын хамгаалалтын зурвас,Төмөр замын хамгаалалтын зурвас,
77296,,,Polygon,106.641898,47.900058,Төмөр замын хамгаалалтын зурвас,Төмөр замын хамгаалалтын зурвас,
77298,,,Polygon,106.641925,47.900096,Төмөр замын хамгаалалтын зурвас,Төмөр замын хамгаалалтын зурвас,
77300,,,Polygon,106.641954,47.900133,Төмөр замын хамгаалалтын зурвас,Төмөр замын хамгаалалтын зурвас,
77301,,,Polygon,106.643994,47.901306,Төмөр замын хамгаалалтын зурвас,Төмөр замын хамгаалалтын зурвас,
77303,,,Polygon,106.644053,47.901319,Төмөр замын хамгаалалтын зурвас,Төмөр замын хамгаалалтын зурвас,
77305,,,Polygon,106.644113,47.901332,Төмөр замын хамгаалалтын зурвас,Төмөр замын хамгаалалтын зурвас,
77306,,,Polygon,106.644173,47.901343,Төмөр замын хамгаалалтын зурвас,Төмөр замын хамгаалалтын зурвас,
77308,,,Polygon,106.644233,47.901354,Төмөр замын хамгаалалтын зурвас,Төмөр замын хамгаалалтын зурвас,
77310,,,Polygon,106.644294,47.901365,Төмөр замын хамгаалалтын зурвас,Төмөр замын хамгаалалтын зурвас,
77311,,,Polygon,106.644354,47.901375,Төмөр замын хамгаалалтын зурвас,Төмөр замын хамгаалалтын зурвас,
77313,,,Polygon,106.644416,47.901383,Төмөр замын хамгаалалтын зурвас,Төмөр замын хамгаалалтын зурвас,
77315,,,Polygon,106.644477,47.901392,Төмөр замын хамгаалалтын зурвас,Төмөр замын хамгаалалтын зурвас,
77316,,,Polygon,106.645995,47.901368,Төмөр замын хамгаалалтын зурвас,Төмөр замын хамгаалалтын зурвас,
77318,,,Polygon,106.644538,47.901399,Төмөр замын хамгаалалтын зурвас,Төмөр замын хамгаалалтын зурвас,
77320,,,Polygon,106.645909,47.901381,Төмөр замын хамгаалалтын зурвас,Төмөр замын хамгаалалтын зурвас,
77321,,,Polygon,106.6446,47.901406,Төмөр замын хамгаалалтын зурвас,Төмөр замын хамгаалалтын зурвас,
77323,,,Polygon,106.645848,47.90139,Төмөр замын хамгаалалтын зурвас,Төмөр замын хамгаалалтын зурвас,
77325,,,Polygon,106.644662,47.901412,Төмөр замын хамгаалалтын зурвас,Төмөр замын хамгаалалтын зурвас,
77326,,,Polygon,106.645785,47.901397,Төмөр замын хамгаалалтын зурвас,Төмөр замын хамгаалалтын зурвас,
77328,,,Polygon,106.644724,47.901417,Төмөр замын хамгаалалтын зурвас,Төмөр замын хамгаалалтын зурвас,
77330,,,Polygon,106.645723,47.901404,Төмөр замын хамгаалалтын зурвас,Төмөр замын хамгаалалтын зурвас,
77331,,,Polygon,106.644786,47.901422,Төмөр замын хамгаалалтын зурвас,Төмөр замын хамгаалалтын зурвас,
77333,,,Polygon,106.645661,47.901411,Төмөр замын хамгаалалтын зурвас,Төмөр замын хамгаалалтын зурвас,
77335,,,Polygon,106.644849,47.901426,Төмөр замын хамгаалалтын зурвас,Төмөр замын хамгаалалтын зурвас,
77337,,,Polygon,106.645599,47.901416,Төмөр замын хамгаалалтын зурвас,Төмөр замын хамгаалалтын зурвас,
77338,,,Polygon,106.644911,47.901429,Төмөр замын хамгаалалтын зурвас,Төмөр замын хамгаалалтын зурвас,
77340,,,Polygon,106.645536,47.901421,Төмөр замын хамгаалалтын зурвас,Төмөр замын хамгаалалтын зурвас,
77342,,,Polygon,106.644973,47.901432,Төмөр замын хамгаалалтын зурвас,Төмөр замын хамгаалалтын зурвас,
77343,,,Polygon,106.645474,47.901425,Төмөр замын хамгаалалтын зурвас,Төмөр замын хамгаалалтын зурвас,
77345,,,Polygon,106.645036,47.901433,Төмөр замын хамгаалалтын зурвас,Төмөр замын хамгаалалтын зурвас,
77347,,,Polygon,106.645411,47.901429,Төмөр замын хамгаалалтын зурвас,Төмөр замын хамгаалалтын зурвас,
77348,,,Polygon,106.645099,47.901434,Төмөр замын хамгаалалтын зурвас,Төмөр замын хамгаалалтын зурвас,
