id,object_no,object_name,geom_type,lon,lat
1052686,,,MultiPolygon,107.11393,47.874387
1052688,,,MultiPolygon,106.976129,47.918393
1052689,,,MultiPolygon,107.003893,47.929466
1052691,,,MultiPolygon,106.974482,47.916374
1052692,,,MultiPolygon,106.958307,47.910347
1052695,,,MultiPolygon,106.959866,47.910096
1052696,,,MultiPolygon,106.959263,47.909054
1052698,,,MultiPolygon,106.955878,47.910661
1052699,,,MultiPolygon,106.930463,47.926173
1052701,,,MultiPolygon,106.942402,47.906051
1052702,,,MultiPolygon,106.978753,47.924231
1052704,,,MultiPolygon,106.937413,47.909019
1052706,,,MultiPolygon,106.932268,47.909497
1052708,,,MultiPolygon,106.934475,47.909335
1052709,,,MultiPolygon,106.940891,47.904207
1052710,,,MultiPolygon,106.935641,47.903681
1052712,,,MultiPolygon,106.941432,47.903223
1052713,,,MultiPolygon,106.934122,47.901095
1052715,,,MultiPolygon,106.946096,47.904036
1052717,,,MultiPolygon,106.950151,47.925867
1052719,,,MultiPolygon,106.934239,47.917054
1052720,,,MultiPolygon,106.945496,47.927252
1052722,,,MultiPolygon,106.847812,47.878382
1052723,,,MultiPolygon,106.981512,47.922338
1052725,,,MultiPolygon,106.929126,47.935641
1052726,,,MultiPolygon,106.930141,47.930977
1052728,,,MultiPolygon,106.911841,47.910013
1052730,,,MultiPolygon,106.913999,47.913801
1052732,,,MultiPolygon,106.890187,47.924311
1052733,,,MultiPolygon,106.8812,47.894325
1052735,,,MultiPolygon,106.905423,47.892154
1052736,,,MultiPolygon,106.900431,47.892821
1052737,,,MultiPolygon,106.905104,47.892816
1052739,,,MultiPolygon,106.907781,47.895608
1052741,,,MultiPolygon,106.895146,47.896035
1052743,,,MultiPolygon,106.894107,47.896182
1052744,,,MultiPolygon,106.83065,47.892879
1052746,,,MultiPolygon,106.911271,47.886645
1052747,,,MultiPolygon,106.86514,47.912075
1052749,,,MultiPolygon,106.877011,47.910091
1052750,,,MultiPolygon,106.860628,47.919241
1052752,,,MultiPolygon,106.945218,47.917922
1052754,,,MultiPolygon,106.956273,47.920848
1052756,,,MultiPolygon,106.951896,47.922169
1052757,,,MultiPolygon,106.935181,47.909781
1052759,,,MultiPolygon,106.929745,47.909234
1052760,,,MultiPolygon,106.927858,47.912092
1052762,,,MultiPolygon,106.9277,47.895852
1052763,,,MultiPolygon,106.906779,47.89288
1052766,,,MultiPolygon,106.912651,47.877846
1052767,,,MultiPolygon,106.918148,47.884584
1052769,,,MultiPolygon,106.853028,47.881613
1052770,,,MultiPolygon,106.854893,47.880872
1052772,,,MultiPolygon,106.921025,47.881828
1052773,,,MultiPolygon,106.901107,47.90581
1052774,,,MultiPolygon,106.919208,47.93577
1052777,,,MultiPolygon,106.932308,47.91016
1052778,,,MultiPolygon,106.936454,47.909699
1052780,,,MultiPolygon,106.936451,47.906008
1052781,,,MultiPolygon,106.930713,47.905322
1052783,,,MultiPolygon,106.924764,47.890996
1052784,,,MultiPolygon,106.944304,47.91228
1052786,,,MultiPolygon,106.937586,47.910807
1052788,,,MultiPolygon,106.842061,47.909959
1052790,,,MultiPolygon,106.84052,47.911144
1052791,,,MultiPolygon,106.939398,47.921342
1052793,,,MultiPolygon,106.942536,47.928621
1052794,,,MultiPolygon,106.758397,47.82722
1052795,,,MultiPolygon,106.765128,47.827682
1052797,,,MultiPolygon,106.910104,47.905159
1052798,,,MultiPolygon,106.937183,47.921482
1052801,,,MultiPolygon,106.922492,47.880856
1052802,,,MultiPolygon,106.924414,47.879158
1052803,,,MultiPolygon,106.920554,47.876443
1052805,,,MultiPolygon,106.90701,47.927023
1052806,,,MultiPolygon,106.859042,47.88279
1052808,,,MultiPolygon,106.897986,47.891708
1052809,,,MultiPolygon,106.894299,47.89022
1052811,,,MultiPolygon,106.863876,47.912095
1052812,,,MultiPolygon,106.871652,47.915605
1052814,,,MultiPolygon,106.912804,47.931867
1052816,,,MultiPolygon,106.955567,47.912234
1052817,,,MultiPolygon,106.96009,47.910926
1052819,,,MultiPolygon,106.950257,47.916872
1052820,,,MultiPolygon,106.960946,47.919841
1052822,,,MultiPolygon,106.784769,47.844001
1052823,,,MultiPolygon,106.765169,47.85666
1052824,,,MultiPolygon,106.773347,47.858593
1052826,,,MultiPolygon,106.781587,47.855622
1052828,,,MultiPolygon,106.931895,47.903934
1052830,,,MultiPolygon,106.932018,47.903037
1052831,,,MultiPolygon,106.92989,47.902949
1052832,,,MultiPolygon,106.933278,47.903568
1052834,,,MultiPolygon,106.878813,47.88514
1052835,,,MultiPolygon,106.853916,47.900847
1052837,,,MultiPolygon,106.792781,47.850036
1052839,,,MultiPolygon,106.909174,47.87451
1052841,,,MultiPolygon,106.819638,47.920694
1052842,,,MultiPolygon,106.933746,47.90591
1052844,,,MultiPolygon,106.918299,47.894004
1052845,,,MultiPolygon,106.920605,47.894122
1052846,,,MultiPolygon,106.875169,47.892601
1052848,,,MultiPolygon,106.874758,47.892058
1052850,,,MultiPolygon,106.860956,47.897623
