id,object_no,object_name,geom_type,lon,lat,Давхаргын төрөл,Хаягийн бүс,Хаягийн бүсийн код
93190,18250,Шижиртийн даваа,Polygon,106.706702,48.016864,Бүсчлэлийн код /Зип код/,Шижиртийн даваа,18250
93191,18223,Найрамдал-4,Polygon,106.724096,48.008081,Бүсчлэлийн код /Зип код/,Найрамдал-4,18223
93192,18270,Хотын шинэ төв,Polygon,106.672209,47.885572,Бүсчлэлийн код /Зип код/,Хотын шинэ төв,18270
93194,18081,21-р хороолол-2,Polygon,106.814288,47.91827,Бүсчлэлийн код /Зип код/,21-р хороолол-2,18081
93195,18082,21-р хороолол-3,Polygon,106.814492,47.930828,Бүсчлэлийн код /Зип код/,21-р хороолол-3,18082
93196,13330,14-р хороолол-1,Polygon,106.968023,47.915089,Бүсчлэлийн код /Зип код/,14-р хороолол-1,13330
93197,18080,21-р хороолол-1,Polygon,106.814365,47.912494,Бүсчлэлийн код /Зип код/,21-р хороолол-1,18080
93198,18172,Орбит-3,Polygon,106.742365,47.912423,Бүсчлэлийн код /Зип код/,Орбит-3,18172
93199,18151,Толгойтын баруун салаа-2,Polygon,106.780594,48.005763,Бүсчлэлийн код /Зип код/,Толгойтын баруун салаа-2,18151
93200,18101,Толгойт-2,Polygon,106.800388,47.912391,Бүсчлэлийн код /Зип код/,Толгойт-2,18101
93201,18100,Толгойт-1,Polygon,106.803732,47.91775,Бүсчлэлийн код /Зип код/,Толгойт-1,18100
93202,18130,Сонсголон-1,Polygon,106.77533,47.904105,Бүсчлэлийн код /Зип код/,Сонсголон-1,18130
93204,18131,Сонсголон-2,Polygon,106.774211,47.896738,Бүсчлэлийн код /Зип код/,Сонсголон-2,18131
93205,18133,Сонсголон-4,Polygon,106.772823,47.881955,Бүсчлэлийн код /Зип код/,Сонсголон-4,18133
93206,18132,Сонсголон-3,Polygon,106.759344,47.887712,Бүсчлэлийн код /Зип код/,Сонсголон-3,18132
93207,18134,Сонсголон-5,Polygon,106.755151,47.901229,Бүсчлэлийн код /Зип код/,Сонсголон-5,18134
93208,18103,Толгойт-4,Polygon,106.782627,47.908144,Бүсчлэлийн код /Зип код/,Толгойт-4,18103
93209,18102,Толгойт-3,Polygon,106.788921,47.915182,Бүсчлэлийн код /Зип код/,Толгойт-3,18102
93210,18110,Богдын ар,Polygon,106.779276,48.045008,Бүсчлэлийн код /Зип код/,Богдын ар,18110
93211,18160,Их наран,Polygon,106.758552,47.959281,Бүсчлэлийн код /Зип код/,Их наран,18160
93212,18222,Найрамдал-3 ,Polygon,106.73979,48.021329,Бүсчлэлийн код /Зип код/,Найрамдал-3,18222
93213,18090,Баянхошуу-3,Polygon,106.802049,47.961926,Бүсчлэлийн код /Зип код/,Баянхошуу-3,18090
93215,18060,Ханын материал-1,Polygon,106.833533,47.933052,Бүсчлэлийн код /Зип код/,Ханын материал-1,18060
93216,18061,Ханын материал-2,Polygon,106.824124,47.925657,Бүсчлэлийн код /Зип код/,Ханын материал-2,18061
93217,12622,Хайрханы ам,Polygon,107.339285,47.667029,Бүсчлэлийн код /Зип код/,Хайрханы ам,12622
93218,18062,Ханын материал-3,Polygon,106.824187,47.918366,Бүсчлэлийн код /Зип код/,Ханын материал-3,18062
93219,18070,Москва хороолол-1,Polygon,106.828287,47.913004,Бүсчлэлийн код /Зип код/,Москва хороолол-1,18070
93220,18071,Москва хороолол-2,Polygon,106.824458,47.912908,Бүсчлэлийн код /Зип код/,Москва хороолол-2,18071
93221,18072,Москва хороолол-3,Polygon,106.82079,47.912839,Бүсчлэлийн код /Зип код/,Москва хороолол-3,18072
93222,18030,1-р хороолол-1,Polygon,106.850272,47.914656,Бүсчлэлийн код /Зип код/,1-р хороолол-1,18030
93223,18031,1-р хороолол-2,Polygon,106.841955,47.914312,Бүсчлэлийн код /Зип код/,1-р хороолол-2,18031
93225,18032,1-р хороолол-3,Polygon,106.834619,47.913941,Бүсчлэлийн код /Зип код/,1-р хороолол-3,18032
93226,18040,Өнөр хороолол,Polygon,106.845999,47.929626,Бүсчлэлийн код /Зип код/,Өнөр хороолол,18040
93227,17081,Их тэнгэрийн ам-2,Polygon,106.935957,47.855561,Бүсчлэлийн код /Зип код/,Их тэнгэрийн ам-2,17081
93228,18171,Орбит-2,Polygon,106.746074,47.905881,Бүсчлэлийн код /Зип код/,Орбит-2,18171
93229,18170,Орбит-1,Polygon,106.76136,47.926073,Бүсчлэлийн код /Зип код/,Орбит-1,18170
93230,18140,Наран-1,Polygon,106.844631,47.945367,Бүсчлэлийн код /Зип код/,Наран-1,18140
93231,18104,Толгойт-5,Polygon,106.772206,47.912891,Бүсчлэлийн код /Зип код/,Толгойт-5,18104
93232,18460,Хүй 7 худаг,Polygon,106.533391,47.931673,Бүсчлэлийн код /Зип код/,Хүй 7 худаг,18460
93233,18401,Эмээлт-2,Polygon,106.569212,47.889182,Бүсчлэлийн код /Зип код/,Эмээлт-2,18401
93235,18500,Их булаг,Polygon,106.486992,48.023014,Бүсчлэлийн код /Зип код/,Их булаг,18500
93236,16091,3-р хороолол-2,Polygon,106.870816,47.92368,Бүсчлэлийн код /Зип код/,3-р хороолол-2,16091
93237,18510,Замтын булаг,Polygon,106.491611,48.089482,Бүсчлэлийн код /Зип код/,Замтын булаг,18510
93238,18472,Эмээлт уулын баруун хоолой,Polygon,106.541853,47.879118,Бүсчлэлийн код /Зип код/,Эмээлт уулын баруун хоолой,18472
93239,18152,Суурьшилгүй бүс,Polygon,106.738346,48.020683,Бүсчлэлийн код /Зип код/,Суурьшилгүй бүс,18152
93240,18010,Баянхошуу-1,Polygon,106.846668,47.974634,Бүсчлэлийн код /Зип код/,Баянхошуу-1,18010
93241,16092,3-р хороолол-3,Polygon,106.871066,47.919861,Бүсчлэлийн код /Зип код/,3-р хороолол-3,16092
93242,18050,Толгойтын зүүн салаа-1,Polygon,106.833398,48.030512,Бүсчлэлийн код /Зип код/,Толгойтын зүүн салаа-1,18050
93243,18135,Сонсголон-6,Polygon,106.733187,47.888784,Бүсчлэлийн код /Зип код/,Сонсголон-6,18135
93245,16020,Үйлдвэрийн төвийн бүс-2,Polygon,106.903021,47.905227,Бүсчлэлийн код /Зип код/,Үйлдвэрийн төвийн бүс-2,16020
93246,16010,Үйлдвэрийн төвийн бүс-1,Polygon,106.884041,47.910809,Бүсчлэлийн код /Зип код/,Үйлдвэрийн төвийн бүс-1,16010
93247,16094,3-р хороолол-5,Polygon,106.860741,47.919661,Бүсчлэлийн код /Зип код/,3-р хороолол-5,16094
93248,16101,Үйлдвэрийн баруун бүс-2,Polygon,106.813366,47.900959,Бүсчлэлийн код /Зип код/,Үйлдвэрийн баруун бүс-2,16101
93249,16102,Үйлдвэрийн баруун бүс-3,Polygon,106.79418,47.899699,Бүсчлэлийн код /Зип код/,Үйлдвэрийн баруун бүс-3,16102
93250,16081,10-р хороолол-2,Polygon,106.860648,47.915451,Бүсчлэлийн код /Зип код/,10-р хороолол-2,16081
93251,16080,10-р хороолол-1,Polygon,106.870602,47.915645,Бүсчлэлийн код /Зип код/,10-р хороолол-1,16080
93252,16050,2-р хороолол-1,Polygon,106.885538,47.915222,Бүсчлэлийн код /Зип код/,2-р хороолол-1,16050
93253,12607,Мойлтын хүр,Polygon,107.341963,47.81487,Бүсчлэлийн код /Зип код/,Мойлтын хүр,12607
93255,16093,3-р хороолол-4,Polygon,106.865811,47.925752,Бүсчлэлийн код /Зип код/,3-р хороолол-4,16093
93256,16090,3-р хороолол-1,Polygon,106.872496,47.927447,Бүсчлэлийн код /Зип код/,3-р хороолол-1,16090
93257,16095,3-р хороолол-6,MultiPolygon,106.858513,47.922775,Бүсчлэлийн код /Зип код/,3-р хороолол-6,16095
93258,17132,Тайны ам,Polygon,106.792953,47.806939,Бүсчлэлийн код /Зип код/,Тайны ам,17132
93259,13313,Үндэсний цэцэрлэгт хүрээлэн,Polygon,106.984445,47.897347,Бүсчлэлийн код /Зип код/,Үндэсний цэцэрлэгт хүрээлэн,13313
93260,16067,4-р хороолол-8,Polygon,106.880783,47.920539,Бүсчлэлийн код /Зип код/,4-р хороолол-8,16067
93261,16063,4-р хороолол-4,Polygon,106.886893,47.920958,Бүсчлэлийн код /Зип код/,4-р хороолол-4,16063
93262,16065,4-р хороолол-6,Polygon,106.879836,47.928551,Бүсчлэлийн код /Зип код/,4-р хороолол-6,16065
93263,16061,4-р хороолол-2,Polygon,106.885493,47.931342,Бүсчлэлийн код /Зип код/,4-р хороолол-2,16061
93264,16066,4-р хороолол-7,Polygon,106.879657,47.92411,Бүсчлэлийн код /Зип код/,4-р хороолол-7,16066
93266,16062,4-р хороолол-3,Polygon,106.886266,47.92491,Бүсчлэлийн код /Зип код/,4-р хороолол-3,16062
93267,16060,4-р хороолол-1,Polygon,106.891627,47.925653,Бүсчлэлийн код /Зип код/,4-р хороолол-1,16060
93268,16064,4-р хороолол-5,Polygon,106.883677,47.917287,Бүсчлэлийн код /Зип код/,4-р хороолол-5,16064
93269,16030,Үйлдвэрийн төвийн бүс-3,Polygon,106.87471,47.905885,Бүсчлэлийн код /Зип код/,Үйлдвэрийн төвийн бүс-3,16030
93270,16040,Гандан,Polygon,106.895329,47.920082,Бүсчлэлийн код /Зип код/,Гандан,16040
93271,16070,Наран-БГД,Polygon,106.867884,47.933442,Бүсчлэлийн код /Зип код/,Наран-БГД,16070
93272,17009,Шинэ суурьшил,Polygon,106.929444,47.907311,Бүсчлэлийн код /Зип код/,Шинэ суурьшил,17009
93273,16100,Үйлдвэрийн баруун бүс-1,Polygon,106.842885,47.905223,Бүсчлэлийн код /Зип код/,Үйлдвэрийн баруун бүс-1,16100
93274,13170,Бумбат,Polygon,107.104447,47.84294,Бүсчлэлийн код /Зип код/,Бумбат,13170
93276,13210,Хужирбулан,Polygon,107.072256,47.928854,Бүсчлэлийн код /Зип код/,Хужирбулан,13210
93277,13300,Улаанхуаран-1,Polygon,106.988946,47.921381,Бүсчлэлийн код /Зип код/,Улаанхуаран-1,13300
93278,13301,Улаанхуаран-2,Polygon,106.98751,47.91548,Бүсчлэлийн код /Зип код/,Улаанхуаран-2,13301
93279,13270,Амгалан-2,Polygon,107.010538,47.905746,Бүсчлэлийн код /Зип код/,Амгалан-2,13270
93280,13280,Шар хад-1,Polygon,107.008779,47.930941,Бүсчлэлийн код /Зип код/,Шар хад-1,13280
93281,13380,12-р хороолол-1,Polygon,106.936778,47.926441,Бүсчлэлийн код /Зип код/,12-р хороолол-1,13380
93282,13381,12-р хороолол-2,Polygon,106.936366,47.921192,Бүсчлэлийн код /Зип код/,12-р хороолол-2,13381
93283,13321,16-р хороолол-2,Polygon,106.977099,47.919878,Бүсчлэлийн код /Зип код/,16-р хороолол-2,13321
93284,13320,16-р хороолол-1,Polygon,106.982542,47.920918,Бүсчлэлийн код /Зип код/,16-р хороолол-1,13320
93286,13120,Баян дөхөм,Polygon,107.124221,47.931602,Бүсчлэлийн код /Зип код/,Баян дөхөм,13120
93287,13218,Улиастай гол,Polygon,107.107272,48.125702,Бүсчлэлийн код /Зип код/,Улиастай гол,13218
93288,13372,13-р хороолол 2-3,Polygon,106.938566,47.910089,Бүсчлэлийн код /Зип код/,13-р хороолол 2-3,13372
93289,13332,14-р хороолол-3,Polygon,106.968602,47.909322,Бүсчлэлийн код /Зип код/,14-р хороолол-3,13332
93290,13331,14-р хороолол-2,Polygon,106.968964,47.912431,Бүсчлэлийн код /Зип код/,14-р хороолол-2,13331
93291,13334,14-р хороолол-5,Polygon,106.956199,47.909987,Бүсчлэлийн код /Зип код/,14-р хороолол-5,13334
93292,13333,14-р хороолол-4,Polygon,106.955768,47.914887,Бүсчлэлийн код /Зип код/,14-р хороолол-4,13333
93293,13335,14-р хороолол-6,Polygon,106.948616,47.915795,Бүсчлэлийн код /Зип код/,14-р хороолол-6,13335
93294,13371,13-р хороолол 2-2,Polygon,106.941454,47.910045,Бүсчлэлийн код /Зип код/,13-р хороолол 2-2,13371
93296,13370,13-р хороолол 2-1,Polygon,106.939614,47.915496,Бүсчлэлийн код /Зип код/,13-р хороолол 2-1,13370
93297,13373,13-р хороолол 2-4,Polygon,106.932814,47.915674,Бүсчлэлийн код /Зип код/,13-р хороолол 2-4,13373
93298,13302,Улаанхуаран-3,Polygon,106.979201,47.91498,Бүсчлэлийн код /Зип код/,Улаанхуаран-3,13302
93299,13341,15-р хороолол-2,Polygon,106.966756,47.920055,Бүсчлэлийн код /Зип код/,15-р хороолол-2,13341
93300,13340,15-р хороолол-1,Polygon,106.97171,47.919967,Бүсчлэлийн код /Зип код/,15-р хороолол-1,13340
93301,13342,15-р хороолол-3,Polygon,106.962796,47.920236,Бүсчлэлийн код /Зип код/,15-р хороолол-3,13342
93302,13343,15-р хороолол-4,Polygon,106.955739,47.920263,Бүсчлэлийн код /Зип код/,15-р хороолол-4,13343
93303,13344,15-р хороолол-5,Polygon,106.949123,47.9209,Бүсчлэлийн код /Зип код/,15-р хороолол-5,13344
93304,13345,15-р хороолол-6,Polygon,106.94457,47.922895,Бүсчлэлийн код /Зип код/,15-р хороолол-6,13345
93306,13360,Цэргийн хотхон,Polygon,106.954957,47.934621,Бүсчлэлийн код /Зип код/,Цэргийн хотхон,13360
93307,13292,Алтан-Өлгий,Polygon,106.973628,47.94147,Бүсчлэлийн код /Зип код/,Алтан-Өлгий,13292
93308,13260,Амгалан-1,Polygon,107.012515,47.916208,Бүсчлэлийн код /Зип код/,Амгалан-1,13260
93309,13291,Цайз,Polygon,106.981021,47.936889,Бүсчлэлийн код /Зип код/,Цайз,13291
93310,13240,Хүрхрээ,Polygon,107.046487,47.867832,Бүсчлэлийн код /Зип код/,Хүрхрээ,13240
93311,13250,Улиастай,Polygon,107.037412,47.916237,Бүсчлэлийн код /Зип код/,Улиастай,13250
93312,13070,"Их ам, бага ам",Polygon,107.18601,47.963042,Бүсчлэлийн код /Зип код/,"Их ам, бага ам",13070
93313,13020,Шар хоолой,Polygon,107.241213,48.032782,Бүсчлэлийн код /Зип код/,Шар хоолой,13020
93314,15171,"40, 50 мянгат-2",Polygon,106.902517,47.920411,Бүсчлэлийн код /Зип код/,"40, 50 мянгат-2",15171
93316,13085,Хонхор нуур,Polygon,107.208855,47.761057,Бүсчлэлийн код /Зип код/,Хонхор нуур,13085
93317,13080,Гялалзах,Polygon,107.179257,47.922554,Бүсчлэлийн код /Зип код/,Гялалзах,13080
93318,13160,Гүнжийн хоолой,Polygon,107.128672,48.011029,Бүсчлэлийн код /Зип код/,Гүнжийн хоолой,13160
93319,13140,Эмийн ургамал,Polygon,107.14285,47.851354,Бүсчлэлийн код /Зип код/,Эмийн ургамал,13140
93320,13182,Ногоон зоорь,Polygon,107.101192,47.884993,Бүсчлэлийн код /Зип код/,Ногоон зоорь,13182
93321,13050,Могойн дэнж,Polygon,107.195394,47.901803,Бүсчлэлийн код /Зип код/,Могойн дэнж,13050
93322,13012,Арцат,Polygon,107.236419,47.938793,Бүсчлэлийн код /Зип код/,Арцат,13012
93323,13336,14-р хороолол-7,Polygon,106.946918,47.910063,Бүсчлэлийн код /Зип код/,14-р хороолол-7,13336
93324,13010,Дэндийн ам,Polygon,107.293589,47.906166,Бүсчлэлийн код /Зип код/,Дэндийн ам,13010
93326,13009,Суурьшилгүй бүс,Polygon,107.357759,47.911489,Бүсчлэлийн код /Зип код/,Суурьшилгүй бүс,13009
93327,13201,Суурьшилгүй бүс,Polygon,107.021555,47.781512,Бүсчлэлийн код /Зип код/,Суурьшилгүй бүс,13201
93328,13241,Залаатын ам,Polygon,107.003087,47.864989,Бүсчлэлийн код /Зип код/,Залаатын ам,13241
93329,13011,Хуандай,Polygon,107.290424,47.991766,Бүсчлэлийн код /Зип код/,Хуандай,13011
93330,15172,"40, 50 мянгат-3",Polygon,106.900931,47.917454,Бүсчлэлийн код /Зип код/,"40, 50 мянгат-3",15172
93331,17082,Суурьшилгүй бүс,Polygon,106.902835,47.852493,Бүсчлэлийн код /Зип код/,Суурьшилгүй бүс,17082
93332,15140,6-р хороолол-1,MultiPolygon,106.909149,47.926687,Бүсчлэлийн код /Зип код/,6-р хороолол-1,15140
93333,15141,6-р хороолол-2,Polygon,106.906576,47.92426,Бүсчлэлийн код /Зип код/,6-р хороолол-2,15141
93334,15150,Тасганы овоо,Polygon,106.900598,47.924831,Бүсчлэлийн код /Зип код/,Тасганы овоо,15150
93336,15060,Салхит,Polygon,106.910311,47.995625,Бүсчлэлийн код /Зип код/,Салхит,15060
93337,15130,Телевиз,Polygon,106.879582,47.944836,Бүсчлэлийн код /Зип код/,Телевиз,15130
93338,15070,Ойнбулаг,Polygon,106.868397,48.124207,Бүсчлэлийн код /Зип код/,Ойнбулаг,15070
93339,15170,"40, 50 мянгат-1",Polygon,106.909015,47.919261,Бүсчлэлийн код /Зип код/,"40, 50 мянгат-1",15170
93340,15160,Бага тойруу-3 ,Polygon,106.913543,47.92132,Бүсчлэлийн код /Зип код/,Бага тойруу-3,15160
93341,15120,Дэнжийн мянга-1,Polygon,106.893004,47.948955,Бүсчлэлийн код /Зип код/,Дэнжийн мянга-1,15120
93342,15110,Хайлааст-1,Polygon,106.888154,47.96795,Бүсчлэлийн код /Зип код/,Хайлааст-1,15110
93343,13110,Төвийн хэсэг,Polygon,107.156257,47.934358,Бүсчлэлийн код /Зип код/,Төвийн хэсэг,13110
93344,17160,"Доод Өлзийт, Гавьжийн шанд",Polygon,106.686433,47.75338,Бүсчлэлийн код /Зип код/,"Доод Өлзийт, Гавьжийн шанд",17160
93346,15031,Чингэлтэй-1,Polygon,106.892445,47.995406,Бүсчлэлийн код /Зип код/,Чингэлтэй-1,15031
93347,14105,Зуун мод-1,Polygon,106.931905,48.027461,Бүсчлэлийн код /Зип код/,Зуун мод-1,14105
93348,17150,Өлзийт-1,Polygon,106.698795,47.791663,Бүсчлэлийн код /Зип код/,Өлзийт-1,17150
93349,17144,Сонгины амралтын хэсэг,Polygon,106.653904,47.839437,Бүсчлэлийн код /Зип код/,Сонгины амралтын хэсэг,17144
93350,17122,Буянт Ухаа хороолол-3,Polygon,106.730035,47.863674,Бүсчлэлийн код /Зип код/,Буянт Ухаа хороолол-3,17122
93351,17031,19-р хороолол-2,Polygon,106.906412,47.903051,Бүсчлэлийн код /Зип код/,19-р хороолол-2,17031
93352,17022,Зайсан-3,Polygon,106.91147,47.867381,Бүсчлэлийн код /Зип код/,Зайсан-3,17022
93353,17028,Зайсан-8,Polygon,106.90257,47.870878,Бүсчлэлийн код /Зип код/,Зайсан-8,17028
93354,17029,Зайсан-9,Polygon,106.905804,47.884545,Бүсчлэлийн код /Зип код/,Зайсан-9,17029
93356,17041,Үйлдвэр 2-2,Polygon,106.902199,47.89127,Бүсчлэлийн код /Зип код/,Үйлдвэр 2-2,17041
93357,17040,Үйлдвэр 2-1,Polygon,106.904641,47.896273,Бүсчлэлийн код /Зип код/,Үйлдвэр 2-1,17040
93358,17090,Нүхтийн ам,Polygon,106.872989,47.833295,Бүсчлэлийн код /Зип код/,Нүхтийн ам,17090
93359,12791,Жаргалант-2,Polygon,107.246771,47.770824,Бүсчлэлийн код /Зип код/,Жаргалант-2,12791
93360,17110,Яармаг-1,Polygon,106.834947,47.87622,Бүсчлэлийн код /Зип код/,Яармаг-1,17110
93361,17101,"Морин тойруулга, наадамчдын талбай",Polygon,106.808809,47.852819,Бүсчлэлийн код /Зип код/,"Морин тойруулга, наадамчдын талбай",17101
93362,16103,Үйлдвэрийн баруун бүс-4,Polygon,106.806845,47.886685,Бүсчлэлийн код /Зип код/,Үйлдвэрийн баруун бүс-4,16103
93363,17032,19-р хороолол-3,Polygon,106.898817,47.901169,Бүсчлэлийн код /Зип код/,19-р хороолол-3,17032
93364,17033,19-р хороолол-4,Polygon,106.895256,47.90079,Бүсчлэлийн код /Зип код/,19-р хороолол-4,17033
93366,17070,Үйлдвэрийн баруун бүс-1,Polygon,106.867006,47.894664,Бүсчлэлийн код /Зип код/,Үйлдвэрийн баруун бүс-1,17070
93367,17060,Үйлдвэр 1-1,Polygon,106.884226,47.900407,Бүсчлэлийн код /Зип код/,Үйлдвэр 1-1,17060
93368,17061,Үйлдвэр 1-2,Polygon,106.875133,47.898437,Бүсчлэлийн код /Зип код/,Үйлдвэр 1-2,17061
93369,17062,Үйлдвэр 1-3,Polygon,106.865832,47.902068,Бүсчлэлийн код /Зип код/,Үйлдвэр 1-3,17062
93370,17042,Үйлдвэр 2-3,Polygon,106.893288,47.894222,Бүсчлэлийн код /Зип код/,Үйлдвэр 2-3,17042
93371,17080,Хүүшийн ам,Polygon,106.863046,47.868278,Бүсчлэлийн код /Зип код/,Хүүшийн ам,17080
93372,17071,Үйлдвэрийн баруун бүс-2,Polygon,106.841556,47.89002,Бүсчлэлийн код /Зип код/,Үйлдвэрийн баруун бүс-2,17071
93373,12790,Жаргалант-1,Polygon,107.255881,47.77156,Бүсчлэлийн код /Зип код/,Жаргалант-1,12790
93374,17030,19-р хороолол-1,Polygon,106.908113,47.902754,Бүсчлэлийн код /Зип код/,19-р хороолол-1,17030
93376,17025,Зайсан-6,Polygon,106.910694,47.872876,Бүсчлэлийн код /Зип код/,Зайсан-6,17025
93377,17021,Зайсан-2,Polygon,106.923372,47.878079,Бүсчлэлийн код /Зип код/,Зайсан-2,17021
93378,17024,Зайсан-5,Polygon,106.91469,47.879141,Бүсчлэлийн код /Зип код/,Зайсан-5,17024
93379,17027,Зайсан-7,Polygon,106.910681,47.879457,Бүсчлэлийн код /Зип код/,Зайсан-7,17027
93380,18211,Суурьшилгүй бүс,Polygon,106.777833,48.13431,Бүсчлэлийн код /Зип код/,Суурьшилгүй бүс,18211
93381,17020,Зайсан-1,Polygon,106.924862,47.88379,Бүсчлэлийн код /Зип код/,Зайсан-1,17020
93382,17023,Зайсан-4,Polygon,106.917933,47.885285,Бүсчлэлийн код /Зип код/,Зайсан-4,17023
93383,17012,Стадион Оргил-3,Polygon,106.924195,47.890728,Бүсчлэлийн код /Зип код/,Стадион Оргил-3,17012
93384,17010,Стадион Оргил-1,Polygon,106.919611,47.905736,Бүсчлэлийн код /Зип код/,Стадион Оргил-1,17010
93385,17013,Стадион Оргил-4,Polygon,106.921366,47.896887,Бүсчлэлийн код /Зип код/,Стадион Оргил-4,17013
93387,17172,Шувуун фабрик-2,Polygon,106.565406,47.737393,Бүсчлэлийн код /Зип код/,Шувуун фабрик-2,17172
93388,17175,Улаан овоот,Polygon,106.561277,47.810192,Бүсчлэлийн код /Зип код/,Улаан овоот,17175
93389,17152,Бугын ам,Polygon,106.843874,47.78059,Бүсчлэлийн код /Зип код/,Бугын ам,17152
93390,14252,5-р хороолол-3,Polygon,106.903046,47.911131,Бүсчлэлийн код /Зип код/,5-р хороолол-3,14252
93391,14250,5-р хороолол-1,MultiPolygon,106.905448,47.914965,Бүсчлэлийн код /Зип код/,5-р хороолол-1,14250
93392,14253,5-р хороолол-4,Polygon,106.897006,47.910971,Бүсчлэлийн код /Зип код/,5-р хороолол-4,14253
93393,14191,11-р хороолол-2,Polygon,106.927386,47.920519,Бүсчлэлийн код /Зип код/,11-р хороолол-2,14191
93394,14210,13-р хороолол 1-1,Polygon,106.924942,47.916149,Бүсчлэлийн код /Зип код/,13-р хороолол 1-1,14210
93395,14220,13-р хороолол 1-2,Polygon,106.925772,47.913407,Бүсчлэлийн код /Зип код/,13-р хороолол 1-2,14220
93397,14181,7-р хороолол-2,Polygon,106.920597,47.931095,Бүсчлэлийн код /Зип код/,7-р хороолол-2,14181
