id,object_no,object_name,geom_type,lon,lat,Давхаргын төрөл,Хэсэгчилсэн ерөнхий төлөвлөгөөний нэр,Батлагдсан дугаар,Дүүрэг,Хороо,Хаягийн бүс
32641,,,Polygon,106.789274,47.870979,Дахин төлөвлөлтийн хэсэгчилсэн талбайн хил,Хан-Уул дүүрэг 8-р хороо,А/62,,,
32642,,,Polygon,106.925709,47.935742,Дахин төлөвлөлтийн хэсэгчилсэн талбайн хил,Орон сууцны 7-р хорооллийн ХЕТ,3/31,,,
32643,,,Polygon,106.907834,47.932371,Дахин төлөвлөлтийн хэсэгчилсэн талбайн хил,Орон сууцны 7-р хорооллийн ХЕТ,7.29,,,
32644,,,Polygon,106.821977,47.923704,Дахин төлөвлөлтийн хэсэгчилсэн талбайн хил,,,,,
32645,,,Polygon,106.821595,47.870998,Дахин төлөвлөлтийн хэсэгчилсэн талбайн хил,,,,,
32646,,,Polygon,106.791148,47.867495,Дахин төлөвлөлтийн хэсэгчилсэн талбайн хил,,,,,
32647,,,Polygon,106.799845,47.867505,Дахин төлөвлөлтийн хэсэгчилсэн талбайн хил,,,,,
32648,,,Polygon,106.80601,47.8699,Дахин төлөвлөлтийн хэсэгчилсэн талбайн хил,,,,,
32649,,,Polygon,106.811468,47.87068,Дахин төлөвлөлтийн хэсэгчилсэн талбайн хил,,,,,
32650,,,Polygon,106.819209,47.873165,Дахин төлөвлөлтийн хэсэгчилсэн талбайн хил,,,,,
32651,,,Polygon,106.828745,47.873101,Дахин төлөвлөлтийн хэсэгчилсэн талбайн хил,,,,,
33525,,,Polygon,106.898998,47.930334,Дахин төлөвлөлтийн хэсэгчилсэн талбайн хил,,,,,
1421326,,,Polygon,106.915611,47.96738,Дахин төлөвлөлтийн хэсэгчилсэн талбайн хил,,,,,
1421327,,,Polygon,106.831374,47.956284,Дахин төлөвлөлтийн хэсэгчилсэн талбайн хил,,,,,
1427525,,,Polygon,106.970289,47.922332,Дахин төлөвлөлтийн хэсэгчилсэн талбайн хил,,,Баянзүрх,"32-р хороо, 22-р хороо","15-р хороолол-2 /13341/, 15-р хороолол-1 /13340/"
3075574,,,Polygon,106.969498,47.913476,Дахин төлөвлөлтийн хэсэгчилсэн талбайн хил,,,Баянзүрх,13-р хороо,"14-р хороолол-1 /13330/, 14-р хороолол-2 /13331/"
