id,object_no,object_name,geom_type,lon,lat,Давхаргын төрөл,Үүсгэн байгуулсан он,Нэр,Хаяг
5379,,,Point,106.941664,47.911216,Их сургууль,1995,Улаанбаатар дээд сургууль-1 байр,"БЗД-25 хороо, Намъяанжу гудамж"
5380,,,Point,106.984632,47.926168,Их сургууль,1995,Газарчин дээд сургууль,"БЗД-19 хороо, Цайз захын баруун талд"
5381,,,Point,106.920107,47.930427,Их сургууль,1992,Евро Ази дээд сургууль,"СБД-10 хороо, монгол 3-р сургуулийн зүүн талд"
5382,,,Point,106.930699,47.925608,Их сургууль,1998,Монголжингоо дээд сургууль,"СБД-7 хороо, 11-р хороолол, америк элчингын урд"
5383,,,Point,106.9471,47.926085,Их сургууль,1991,Оточ манрамба дээд сургууль,"БЗД-2 хороо, КТМС-ийн баруун хойно,"
5384,,,Point,106.919667,47.92884,Их сургууль,,Оюу дээд сургууль,"СБД-8 хороо, Тулга.ХХК-ны байр, ардын эрх"
5385,,,Point,106.890504,47.916393,Их сургууль,1998,Сан дээд сургууль,"БГД-17 хороо, Амарсанаагийн гудамж, Баруун 4 замын хойно."
5386,,,Point,106.878242,47.920766,Их сургууль,1997,Санко коллеж,"БГД-19 хороо, Чингүнжавын гудамж,47-р сургуулийн урд"
5387,,,Point,106.901945,47.921142,Их сургууль,2005,Хартфорд институт,"ЧД-5 хороо, ХИД 1-ийн байр"
5388,,,Point,106.883597,47.92597,Их сургууль,2002,Хvрээ дээд сургууль,"БГД-11 хороо, Хашбаатарын гудамж, 28-р сургуулийн урд"
5389,,,Point,106.926274,47.928814,Их сургууль,1993,Хэл иргэншил дээд сургууль,"СБД-7 хороо, 11-р хороолол,"
5390,,,Point,106.940972,47.928972,Их сургууль,1993,Нийгмийн ухааны дээд сургууль,"БЗД-2 хороо, КТМС-ийн баруун талд"
5391,,,Point,106.916984,47.923924,Их сургууль,2000,Шинэ иргэншил дээд сургууль,"СБД-6 хороо, Нийгмийн хамгаалал хөдөлтөрийн яам эсрэг талд"
5392,,,Point,106.917178,47.925485,Их сургууль,2005,Түшээ дээд сургууль,"СБД-6 хороо, Их сургуулийн гудамж"
5393,,,Point,106.917186,47.925391,Их сургууль,2007,Аптэч институт,"СБД, 6-р хороо, Түшээ дээд сургуулийн байр, 4 давхар"
5394,,,Point,106.908924,47.885296,Их сургууль,1961,Мал аж ахуйн эрдэм шинжилгээний хүрээлэн,"ХУД-11 хороо, Зайсангийн гудамж"
5395,,,Point,106.91848,47.932576,Их сургууль,2012,Глобал Удирдагч  дээд сургууль,"СБД-11 хороо,Ногоон нуурын гудамж-51, Найрамдал дунд сургуулийн баруун талд"
5396,,,Point,106.919203,47.923648,Их сургууль,1960,МИУС хууль зүйн сургууль,"СБД-6 хороо, Бага тойруу,"
5397,,,Point,106.912552,47.920728,Их сургууль,,Үндэсний тагнуулын академи,"ЧД,"
5398,,,Point,106.78277,47.89618,Их сургууль,,Хилийн цэргийн дээд сургууль,"БГД-20 хороо, Сонсголонгийн зам"
5399,,,Point,106.995626,47.914969,Их сургууль,,Цагдаагийн академи,БЗД-8 хороо
5400,,,Point,107.260821,47.774246,Их сургууль,,"Монгол Германы Ашигт малтмал, технологийн дээд сургууль","НД 2-р хороо,"
5401,,,Point,106.926306,47.923814,Их сургууль,,Хөгжим бүжгийн коллеж,"СБД-7 хороо, Бээжингийн гудамж"
5402,,,Point,106.891815,47.89594,Их сургууль,,Аварга дээд сургууль,"ХУД 3-р хороо, Б.Шаравын гудамж"
5403,,,Point,106.809067,47.910227,Их сургууль,,Ач дээд сургууль,"СХД 18-р хороо, 5-н шарын замын хойно"
5404,,,Point,106.927681,47.919914,Их сургууль,,Билиг дээд сургууль,"СБД-8 хороо, Сантис төвийн хойно"
5405,,,Point,106.894541,47.922777,Их сургууль,,Бурхан шашины дээд сургууль,"БГД 16-р хороо,Гандантэгчинлин хийд"
5406,,,Point,106.889545,47.916458,Их сургууль,1993,Гурван-Эрдэнэ багшийн дээд сургууль,"БГД 17-р хороо, С.Амарсанаагийн гудамж-7"
5407,,,Point,106.893283,47.898519,Их сургууль,,Монгол дээд сургууль,"ХУД 3-р хороо, Чингисийн өргөн чөлөө"
5408,,,Point,106.891611,47.925101,Их сургууль,,Монголын үндэсний дээд сургууль,"БГД 11-р хороо, баруун тасган, энигма төвийн А,Б корпус"
5409,,,Point,106.944022,47.91151,Их сургууль,2014,Улаанбаатар дээд сургууль-2 байр,"БЗД-14 хороо, Намъяанжу гудамж Sunday plaza хойно"
5410,,,Point,106.78415,47.906617,Их сургууль,,Монос дээд сургууль,"СХД 20-р хороо, Сонсголонгийн уулзвар"
5411,,,Point,106.930601,47.925488,Их сургууль,,Сити институт,"СБД 7-р хороо, 11-р хороололд"
5412,,,Point,106.922221,47.926188,Их сургууль,,Соёмбо дээд сургууль,"СБД 8-р хороо, Ж.Батмөнхийн гудамж"
5413,,,Point,106.922429,47.926746,Их сургууль,,Чингис хаан дээд сургууль,"СБД 8-р хороо, Ж.Батмөнхийн гудамж"
5414,,,Point,106.890384,47.901536,Их сургууль,,Технологийн дээд сургууль,"ХУД 3-р хороо, Үйлдвжрийн гудамж"
5415,,,Point,106.813691,47.911923,Их сургууль,,Урлах эрдэм дээд сургууль,"СХД 18-р хороо, 5-н шарын ард"
5416,,,Point,106.897771,47.898266,Их сургууль,,Хангай институт,"ХУД, 3-р хороо, Чингисийн өргөн чөлөө-193"
5417,,,Point,106.973936,47.914386,Их сургууль,,Эм Ай Юу дээд сургууль,"БЗД 8-р хороо, Баянзүрх хотхоны баруун талд"
5418,,,Point,106.956894,47.917515,Их сургууль,2013,Отгонтэнгэр их сургууль-2 байр,
5419,,,Point,106.910641,47.883871,Их сургууль,,Мал эмнэлэгийн хүрээлэн,ХУД 11-р хороо 32-р сургуулийн хойно
5420,,,Point,106.909122,47.884815,Их сургууль,,"Ургамал, газар тариалангийн хүрээлэн","ХУД 11-р хороо, ХААИС-ийн"
5421,,,Point,106.864339,47.90207,Их сургууль,,Хөнгөн үйлдвэрийн судалгаа хөгжлийн хүрээлэн,"ХУД, 2-р хороо, (Хуучин Арьс ширний үйлдвэрийн хашаанд)"
5422,,,Point,106.918482,47.923709,Их сургууль,,Математикийн хүрээлэн,"СБД 8-р хороо, МИУС-ын 4-р байр"
5423,,,Point,106.922279,47.923335,Их сургууль,,Цөмийн физикийн судалгааны хүрээлэн,"СБД 8-р хороо, МУИС Хичээлийн 1-р байр 109 тоот"
