id,object_no,object_name,geom_type,lon,lat,Давхаргын төрөл,Нэр,Хаяг
2056,,,Point,106.811926,47.867129,Эмийн сан,Эрдэнэсийн сан,HUD-6
2057,,,Point,106.903472,47.916173,Эмийн сан,Бадаан,CHD-3
2058,,,Point,106.904328,47.919023,Эмийн сан,Ангел,CHD-3
2059,,,Point,106.906606,47.917873,Эмийн сан,Юу смайл,CHD-3
2060,,,Point,106.906357,47.91926,Эмийн сан,Гүнтулга,CHD-3
2061,,,Point,106.907071,47.919881,Эмийн сан,Хонхондой,CHD-1
2062,,,Point,106.906538,47.920512,Эмийн сан,Төхөм фарм,CHD-1
2063,,,Point,106.910013,47.919715,Эмийн сан,Чин ван,CHD-1
2064,,,Point,106.906538,47.920512,Эмийн сан,Шинэст,CHD-1
2065,,,Point,106.900643,47.918619,Эмийн сан,Эмийн үйлдвэр,CHD-2
2066,,,Point,106.899214,47.915765,Эмийн сан,Алтан удам,CHD-2
2067,,,Point,106.900252,47.918771,Эмийн сан,Тун эрдэнэ,CHD-2
2068,,,Point,106.900041,47.918758,Эмийн сан,Армонфарм,CHD-2
2069,,,Point,106.881817,47.925676,Эмийн сан,Зүтгэл-энх,BGD-12
2070,,,Point,106.865423,47.921836,Эмийн сан,Мерит,BGD-7
2071,,,Point,106.865247,47.921171,Эмийн сан,Лав ххк,BGD-7
2072,,,Point,106.861664,47.921553,Эмийн сан,Ар соронзон,BGD-7
2073,,,Point,106.888424,47.919596,Эмийн сан,Үнээн рашаан,BGD-17
2074,,,Point,106.857783,47.92105,Эмийн сан,Үрэл ундар фарм,BGD-7
2075,,,Point,106.870068,47.921367,Эмийн сан,Заяанаа,BGD-8
2076,,,Point,106.856829,47.920549,Эмийн сан,Хос зүтгэл,BGD-7
2077,,,Point,106.875477,47.919574,Эмийн сан,Очир энх тан,BGD-8
2078,,,Point,106.87313,47.922075,Эмийн сан,Бабтот ххк,BGD-8
2079,,,Point,106.868203,47.924858,Эмийн сан,Буяндэлгэмэл,BGD-10
2080,,,Point,106.867232,47.924988,Эмийн сан,Занар,BGD-10
2081,,,Point,106.891862,47.926899,Эмийн сан,АСЭ,BGD-11
2082,,,Point,106.885228,47.929066,Эмийн сан,Алое,BGD-11
2083,,,Point,106.878334,47.927308,Эмийн сан,Их шүүдэргэнэ Ариунаа,BGD-12
2084,,,Point,106.911074,47.923254,Эмийн сан,Ази фарм,CHD-4
2085,,,Point,106.911121,47.922941,Эмийн сан,Жаргал мөнх,CHD-4
2086,,,Point,106.911325,47.923749,Эмийн сан,Армон,CHD-4
