id,object_no,object_name,geom_type,lon,lat,Давхаргын төрөл,Үүсгэн байгуулсан он,Хичээлийн байрны дугаар,Нэр,Барилгын дугаар,Цэцэрлэгийн ангилал
4349,,,Point,106.843543,47.96158,Цэцэрлэг,1999,2,38-р цэцэрлэг,Ц38,Ахлах
4350,,,Point,106.910454,47.957284,Цэцэрлэг,2007,1,126-р цэцэрлэг,Ц126,Ахлах
4351,,,Point,106.561165,47.75332,Цэцэрлэг,1964,1,144-р цэцэрлэг,Ц144,Ахлах
4352,,,Point,107.25522,47.773158,Цэцэрлэг,1957/2005,1,23-р цэцэрлэг,Ц23,Ахлах
4353,,,Point,107.254518,47.777856,Цэцэрлэг,1988,1,151-р цэцэрлэг,Ц151,Ахлах
4354,,,Point,107.25501,47.771749,Цэцэрлэг,1957,1,123-р цэцэрлэг,Ц123,Ахлах
4355,,,Point,107.245204,47.768727,Цэцэрлэг,2010,1,140-р цэцэрлэг,Ц140,Ахлах
4356,,,Point,107.268079,47.765846,Цэцэрлэг,2004,1,152-р цэцэрлэг,Ц152,Ахлах
4357,,,Point,107.263361,47.768919,Цэцэрлэг,2000,2,123-р цэцэрлэг,Ц123,Ахлах
4358,,,Point,107.268691,47.773959,Цэцэрлэг,2005,1,187-р цэцэрлэг,Ц23-2,Ахлах
4359,,,Point,108.370285,47.779846,Цэцэрлэг,1983/2007,1,138-р цэцэрлэг,Ц138,Ахлах
4360,,,Point,108.371546,47.779946,Цэцэрлэг,1990,1,142-р цэцэрлэг,Ц142,Ахлах
4361,,,Point,108.373585,47.781738,Цэцэрлэг,1990,1,139-р цэцэрлэг,Ц139,Ахлах
4362,,,Point,107.162306,47.811026,Цэцэрлэг,2012,1,64-р цэцэрлэг,Ц64,Ахлах
4363,,,Point,107.391819,47.781948,Цэцэрлэг,1967,1,153-р цэцэрлэг,Ц153,Ахлах
4364,,,Point,106.928956,47.931383,Цэцэрлэг,2012,1,186-р цэцэрлэг,Ц186,Ахлах
4365,,,Point,106.826002,47.967166,Цэцэрлэг,2011,1,170-р цэцэрлэг,Ц170,Ахлах
4366,,,Point,107.154142,47.927994,Цэцэрлэг,1987,1,63-р цэцэрлэг,Ц63,Ахлах
4367,,,Point,106.963191,47.919539,Цэцэрлэг,2010,1,128-р цэцэрлэг,Ц128,Ахлах
4368,,,Point,106.934607,47.914723,Цэцэрлэг,2011,1,136-р цэцэрлэг,Ц136,Ахлах
4369,,,Point,106.734042,48.021119,Цэцэрлэг,1981,1,48-р цэцэрлэг,Ц48,Ахлах
4370,,,Point,106.646871,48.123591,Цэцэрлэг,1987,1,116-р цэцэрлэг,Ц116,Ахлах
4371,,,Point,106.837779,47.921224,Цэцэрлэг,2009,1,125-р цэцэрлэг,Ц125,Ахлах
4372,,,Point,106.810541,47.925731,Цэцэрлэг,2011,1,156-р цэцэрлэг,Ц156,Ахлах
4373,,,Point,106.852943,47.933938,Цэцэрлэг,2012,1,176-р цэцэрлэг,Ц176,Ахлах
4374,,,Point,106.695366,47.920299,Цэцэрлэг,2012,1,188-р цэцэрлэг,Ц188,Ахлах
4375,,,Point,106.814702,47.94269,Цэцэрлэг,2013,1,192-р цэцэрлэг,Ц192,Ахлах
4376,,,Point,106.92405,47.995462,Цэцэрлэг,2010,1,155-р цэцэрлэг,Ц155,Ахлах
4377,,,Point,106.896291,47.948542,Цэцэрлэг,2011/2017,1,154-р цэцэрлэг,Ц154,Ахлах
4378,,,Point,106.889806,47.934077,Цэцэрлэг,2012,1,173-р цэцэрлэг,Ц173,Ахлах
4379,,,Point,106.880497,47.99027,Цэцэрлэг,2011,1,174-р цэцэрлэг,Ц174,Ахлах
4380,,,Point,106.894605,47.899215,Цэцэрлэг,1934/1957,1,4-р Хүүхдийн клиник сувилал,ХКС 4,Ахлах
4381,,,Point,106.67646,47.843839,Цэцэрлэг,1979,1,121-р цэцэрлэг,Ц121,Ахлах
4382,,,Point,106.677218,47.839068,Цэцэрлэг,2013,2,190-р цэцэрлэг,Ц190,Ахлах
4383,,,Point,106.811903,47.866659,Цэцэрлэг,2012,1,189-р цэцэрлэг,Ц189,Ахлах
4384,,,Point,108.368943,47.784477,Цэцэрлэг,1978,1,131-р цэцэрлэг,Ц131,Ахлах
4385,,,Point,108.379451,47.791731,Цэцэрлэг,1978/2005/2010,3,132-р цэцэрлэг,Ц132,Ахлах
4386,,,Point,107.006344,47.935837,Цэцэрлэг,2011,1,167-р цэцэрлэг,Ц167,Ахлах
