id,object_no,object_name,geom_type,lon,lat,Давхаргын төрөл,Автобусны дугаар,Нэр
13120,,,Point,106.9437,47.914587,Автобусны буудал,"М4, М6, М15, М21, М23, М40, М41, М44, ХО Гачуурт, М32, ХО Хонхор, ХО Шарга морьт",Хавдар судлалын эмнэлэг
13121,,,Point,106.948411,47.912636,Автобусны буудал,"М4, М6, М21, М23, М44, ХО Гачуурт, ХО Шарга морьт",ХАЛДВАРТЫН ЭМНЭЛЭГ
13122,,,Point,106.936562,47.912799,Автобусны буудал,М15,Натур худалдааны төв
13123,,,Point,106.936557,47.912624,Автобусны буудал,М15,Баянзүрх дүүргийн 6-р хороо
13124,,,Point,106.943643,47.910426,Автобусны буудал,"М40, М41, М32, ХО Хонхор",Sunday худалдааны төв
13125,,,Point,106.94342,47.910614,Автобусны буудал,"М40, М41, М32, ХО Хонхор",Улаанбаатар их сургууль
13126,,,Point,106.949825,47.908084,Автобусны буудал,"М40, М32",Нарантуул зах
13127,,,Point,106.950349,47.907827,Автобусны буудал,"М40, М32",Нарантуул зах
13128,,,Point,106.960287,47.907801,Автобусны буудал,"М40, М32",Ахмадын хороолол
13129,,,Point,106.95953,47.907924,Автобусны буудал,"М40, М32",Ахмадын хороолол
13130,,,Point,106.972881,47.909127,Автобусны буудал,"М40, М32",Баянзүрх дүүргийн 13-р хороо
13131,,,Point,106.972405,47.908978,Автобусны буудал,"М40, М32",Баянзүрх дүүргийн 13-р хороо
13132,,,Point,106.941939,47.923348,Автобусны буудал,"М6, М9, М15, М20, М40, М42, М52",Сансарын үйлчилгээний төв
13133,,,Point,106.94167,47.925687,Автобусны буудал,"М2, М6, М15, М20, М38, М42, М46, М52",Сансарын үйлчилгээний төв
13134,,,Point,106.941203,47.924189,Автобусны буудал,"М10, М38, М35",Сансар /Тунель/
13135,,,Point,106.93887,47.927913,Автобусны буудал,"М2, М6, М9, М10, М15, М20, М34, М40, М42, М46, М52",Сансарын ШТС
13136,,,Point,106.937608,47.92845,Автобусны буудал,"М2, М6, М15, М20, М34, М42, М46, М52",Сансарын ШТС
13137,,,Point,106.952899,47.923678,Автобусны буудал,"М34, М38",Их засаг их сургууль
13138,,,Point,106.954032,47.923491,Автобусны буудал,"М2, М34, М46, М38",Хилийн цэргийн удирдах газар
13139,,,Point,106.947966,47.924454,Автобусны буудал,"М34, М38",Цагдаагийн 801-р анги
13140,,,Point,106.948375,47.92399,Автобусны буудал,"М2, М34, М46, М38",Цагдаагийн 801-р анги
13141,,,Point,106.964422,47.923904,Автобусны буудал,"М34, М38",1000 оюутны байр
13142,,,Point,106.964361,47.923738,Автобусны буудал,"М2, М34, М38, М46",1000 оюутны байр
13143,,,Point,106.973736,47.923947,Автобусны буудал,"М34, М38",Цайз зах
13144,,,Point,106.973523,47.924141,Автобусны буудал,"М2, М34, М38, М46",Цайз зах
13145,,,Point,106.974313,47.922938,Автобусны буудал,"М1, М2, М46, М13",72-р хотхон
13146,,,Point,106.973989,47.922313,Автобусны буудал,"М1, М2, М46, М13",72-р хотхон
13147,,,Point,106.981388,47.923511,Автобусны буудал,"М1, М2, М34, М38, М13",16-р хороолол
13148,,,Point,106.984208,47.923746,Автобусны буудал,"М1, М2, М34, М38, М13",16-р хороолол
13149,,,Point,106.995533,47.924017,Автобусны буудал,"М2, М34, М38, М13",Эрдэнэ толгой
13150,,,Point,106.996122,47.924225,Автобусны буудал,"М2, М34, М38, М13",Эрдэнэ толгой
13151,,,Point,107.000185,47.927113,Автобусны буудал,"М2, М34, М38, М13",Цахлай
13152,,,Point,107.000399,47.927324,Автобусны буудал,"М2, М34, М38, М13",Цахлай
13153,,,Point,107.005074,47.929998,Автобусны буудал,"М2, М34, М38, М13",Да хүрээ зах
13154,,,Point,107.006043,47.930567,Автобусны буудал,"М2, М34, М38, М13",Да хүрээ зах
13155,,,Point,107.005554,47.934506,Автобусны буудал,"М2, М34, М38, М13",ШАР ХАДНЫ ЭЦЭС
13156,,,Point,106.984572,47.918496,Автобусны буудал,"М1, М35",УЛААНХУАРАН -ын эцсийн буудал
13157,,,Point,107.047319,47.913325,Автобусны буудал,"ХО Гачуурт, ХО Хужирбулан",Мангай
13158,,,Point,107.047825,47.9133,Автобусны буудал,"ХО Гачуурт, ХО Хужирбулан",Мангай
13159,,,Point,107.053929,47.915175,Автобусны буудал,"ХО Гачуурт, ХО Хужирбулан",Хар хошуу
13160,,,Point,107.054402,47.915159,Автобусны буудал,"ХО Гачуурт, ХО Хужирбулан",Хар хошуу
13161,,,Point,107.067848,47.915598,Автобусны буудал,"ХО Гачуурт, ХО Хужирбулан",Давхар дэлгүүр
13162,,,Point,107.06855,47.915458,Автобусны буудал,"ХО Гачуурт, ХО Хужирбулан",Давхар дэлгүүр
13163,,,Point,107.07841,47.915774,Автобусны буудал,"ХО Гачуурт, ХО Хужирбулан",11-р цэргийн анги
13164,,,Point,107.07842,47.915603,Автобусны буудал,"ХО Гачуурт, ХО Хужирбулан",11-р цэргийн анги
13165,,,Point,107.078637,47.916242,Автобусны буудал,ХО Хужирбулан,11-р цэргийн анги
13166,,,Point,107.0944,47.915695,Автобусны буудал,ХО Гачуурт,Цагдаагийн пост
13167,,,Point,107.094784,47.915391,Автобусны буудал,ХО Гачуурт,Цагдаагийн пост
13168,,,Point,107.140877,47.92495,Автобусны буудал,ХО Гачуурт,Монгол шилтгээн
13169,,,Point,107.140378,47.92499,Автобусны буудал,ХО Гачуурт,Монгол шилтгээн
13170,,,Point,107.161153,47.928882,Автобусны буудал,ХО Гачуурт,Дунд буудал
13171,,,Point,107.162187,47.928295,Автобусны буудал,ХО Гачуурт,ГАЧУУРТЫН ЭЦЭС
13172,,,Point,107.147598,47.928598,Автобусны буудал,ХО Гачуурт,Баруун дэнж
13173,,,Point,107.147152,47.928693,Автобусны буудал,ХО Гачуурт,Баруун дэнж
13174,,,Point,107.077278,47.921719,Автобусны буудал,ХО Хужирбулан,Хүнсний дэлгүүр
13175,,,Point,107.077265,47.920878,Автобусны буудал,ХО Хужирбулан,Хүнсний дэлгүүр
13176,,,Point,107.076264,47.924333,Автобусны буудал,ХО Хужирбулан,ХУЖИРБУЛАНГИЙН ЭЦЭС
13177,,,Point,107.069895,47.888146,Автобусны буудал,"ХО Налайх, ХО Городок, ХО Ургах наран, ХО Хонхор, М27",Баянзүрхийн шалган бүртгэх товчоо
13178,,,Point,107.069703,47.887934,Автобусны буудал,"ХО Налайх, ХО Городок, ХО Ургах наран, ХО Хонхор, М27",Баянзүрхийн шалган бүртгэх товчоо
13179,,,Point,107.095838,47.880904,Автобусны буудал,"ХО Налайх, ХО Городок, ХО Ургах наран, ХО Хонхор",Ногооны зоорь
13180,,,Point,107.095735,47.880791,Автобусны буудал,"ХО Налайх, ХО Городок, ХО Ургах наран, ХО Хонхор",Ногооны зоорь
13181,,,Point,107.100168,47.87835,Автобусны буудал,"ХО Налайх, ХО Городок, ХО Хонхор",Ургах наран хороолол
13182,,,Point,107.099719,47.878399,Автобусны буудал,"ХО Налайх, ХО Городок, ХО Хонхор",Ургах наран хороолол
13183,,,Point,107.105012,47.880788,Автобусны буудал,ХО Ургах наран,УРГАХ НАРАН ХОРООЛОЛ
13184,,,Point,107.173013,47.822472,Автобусны буудал,"ХО Налайх, ХО Городок, ХО Хонхор",Хонхор
13185,,,Point,107.171618,47.822318,Автобусны буудал,"ХО Налайх, ХО Городок, ХО Хонхор",Хонхор
13186,,,Point,107.254083,47.776079,Автобусны буудал,ХО Налайх,Налайх
13187,,,Point,107.253943,47.77594,Автобусны буудал,ХО Налайх,НАЛАЙХ
13188,,,Point,107.252555,47.77083,Автобусны буудал,ХО Налайх,10 ШАР БАЙР
13189,,,Point,106.931585,47.973586,Автобусны буудал,"М20, М50, М51, М52",Дундын буудал
13190,,,Point,106.93264,47.974596,Автобусны буудал,"М20, М50, М51, М52",Дундын буудал
13191,,,Point,106.933813,47.956378,Автобусны буудал,"М20, М50, М51, М52",Ганц худаг
13192,,,Point,106.933835,47.955137,Автобусны буудал,"М20, М50, М51, М52",Ганц худаг
13193,,,Point,106.933716,47.931938,Автобусны буудал,"М20, М50, М51, М52",Дундын буудал
13194,,,Point,106.933624,47.931756,Автобусны буудал,"М20, М50, М51, М52",Дундын буудал
13195,,,Point,106.932592,47.949823,Автобусны буудал,"М20, М50, М51, М52",Шинэ буудал
13196,,,Point,106.932887,47.95083,Автобусны буудал,"М20, М50, М51, М52",Шинэ буудал
13197,,,Point,106.932108,47.941411,Автобусны буудал,"М20, М50, М51, М52",Хуучин эцэс
13198,,,Point,106.931904,47.941297,Автобусны буудал,"М20, М50, М51, М52",Хуучин эцэс
13199,,,Point,106.562707,47.754338,Автобусны буудал,ХО1 Туул тосгон,ТУУЛ ТОСГОН
13200,,,Point,106.58037,47.758835,Автобусны буудал,ХО1 Туул тосгон,Дэвшилийн талбай
13201,,,Point,106.579207,47.758786,Автобусны буудал,ХО1 Туул тосгон,Дэвшилийн талбай
13202,,,Point,106.634061,47.799352,Автобусны буудал,ХО1 Туул тсгон,Бетонон гүүрний буудал
13203,,,Point,106.632258,47.799684,Автобусны буудал,ХО1 Туул тсгон,Бетонон гүүрний буудал
13204,,,Point,106.653999,47.822927,Автобусны буудал,"ХО1 Туул тсгон, ХО Био, ХО Нисэх",Мод үржүүлэг
13205,,,Point,106.65365,47.823183,Автобусны буудал,"ХО1 Туул тсгон, ХО Био, ХО Нисэх",Мод үржүүлэг
13206,,,Point,106.661877,47.831128,Автобусны буудал,"ХО1 Туул тсгон, ХО Био, ХО Нисэх",Хабитат хороолол
13207,,,Point,106.662368,47.831189,Автобусны буудал,"ХО1 Туул тсгон, ХО Био, ХО Нисэх",Хабитат хороолол
13208,,,Point,106.678357,47.842824,Автобусны буудал,"ХО1 Туул тсгон, ХО Био, ХО Нисэх",Био комбинат
13209,,,Point,106.677546,47.84295,Автобусны буудал,"ХО1 Туул тсгон, ХО Био, ХО Нисэх",БИО КОМБИНАТ
13210,,,Point,106.727533,47.843624,Автобусны буудал,"ХО1 Туул тсгон, ХО Био, ХО Нисэх",МОРИНГИЙН ДАВАА
13211,,,Point,106.727789,47.843451,Автобусны буудал,"ХО1 Туул тсгон, ХО Био, ХО Нисэх",Морингийн даваа хороолол
13212,,,Point,106.759793,47.855857,Автобусны буудал,"ХО1 Туул тсгон, ХО Био, ХО Нисэх",Орон сууц
13213,,,Point,106.758856,47.855949,Автобусны буудал,"ХО1 Туул тсгон, ХО Био, ХО Нисэх",Орон сууц
13214,,,Point,106.763409,47.865622,Автобусны буудал,"М11, М22 ХО Нисэх",НИСЭХ
13215,,,Point,106.761787,47.859766,Автобусны буудал,"М11, М22 ХО Нисэх",7-р сургууль
13216,,,Point,106.761978,47.859868,Автобусны буудал,"М11, М22 ХО Нисэх",7-р сургууль
13217,,,Point,106.762158,47.856934,Автобусны буудал,"М11, М22 ХО Нисэх",Орон сууц
13218,,,Point,106.76231,47.856872,Автобусны буудал,"М11, М22 ХО Нисэх",Орон сууц
13219,,,Point,106.779012,47.856258,Автобусны буудал,"М11, ХО1 Туул тосгон, ХО Өлзийт, ХО Био",ИНЕГ
