Насны бүлэг,Бүс,Хүйс,2024,2023,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992
Бүгд,Хөвсгөл,Эрэгтэй,33674,36427,32645,36229,35032,33292,33365,32813,31039,28594,27391,31740,31280,27509,30685,29110,28042,28631,27377,26569,26394,26202,25760,25262,24957,25822,23879,23399,23432,23732,25377,24644,23237
Бүгд,Хөвсгөл,Эмэгтэй,31814,35347,28869,30605,33117,31741,27774,28765,28612,27897,25290,31226,28684,26452,27721,27833,27601,27731,27194,26290,26139,26155,24959,24006,22642,22419,22973,22139,21090,20453,21632,22667,20899
Бүгд,Төвийн бүс,Нийт,211522,210642,208265,213794,229314,236029,234194,234418,215221,208233,202834,205999,197384,214152,215428,215526,185535,183335,180270,176487,175384,178674,171532,169596,158572,164442,158289,154717,154376,155496,157482,159593,172875
Бүгд,Төвийн бүс,Эрэгтэй,113220,114738,114000,117337,121873,125428,123320,123825,113562,111328,108259,109103,105634,114229,115654,112913,93509,92132,91629,89728,89461,91926,87042,89015,84281,87790,83872,80410,82778,83485,81886,82855,89981
Бүгд,Төвийн бүс,Эмэгтэй,98302,95904,94265,96457,107441,110601,110874,110593,101659,96905,94575,96896,91750,99923,99774,102613,92026,91203,88641,86759,85923,86748,84490,80581,74291,76652,74417,74307,71598,72011,75596,76738,82894
Бүгд,Говьсүмбэр,Нийт,8287,6943,6612,8303,8085,8274,7468,7711,6239,6318,5086,5559,3433,5565,5783,6086,4337,4352,3897,4297,4037,4114,4162,3756,3856,3814,3711,2913,2990,3306,3699,4451,5071
Бүгд,Говьсүмбэр,Эрэгтэй,4420,3834,3809,4616,4219,4252,3850,4028,3223,3222,2863,3031,1930,2836,3110,3436,2277,2227,2024,2330,2221,2309,2258,1969,2058,1984,1911,1544,1555,1738,1989,2399,2702
Бүгд,Говьсүмбэр,Эмэгтэй,3867,3109,2803,3688,3866,4022,3618,3683,3016,3096,2223,2528,1503,2729,2673,2650,2060,2125,1873,1967,1816,1805,1904,1787,1798,1830,1800,1369,1435,1568,1710,2052,2369
Бүгд,Дархан-Уул,Нийт,39016,37515,39675,40054,42979,42074,39223,42522,37992,39839,36749,36951,37450,40214,38985,40361,34491,29223,28799,27239,27933,29349,24359,25351,22295,28848,27211,28005,30146,30200,26949,28161,29629
Бүгд,Дархан-Уул,Эрэгтэй,20394,20175,22269,21753,22812,21853,21524,22929,20357,21512,18192,20072,20332,21782,21424,21266,16846,13536,14352,13247,13474,14488,11562,14282,12234,15375,14952,13631,16661,16696,12517,13190,14160
Бүгд,Дархан-Уул,Эмэгтэй,18622,17341,17407,18301,20167,20221,17699,19593,17635,18327,18557,16879,17118,18432,17561,19095,17645,15687,14447,13992,14459,14861,12797,11069,10061,13473,12259,14374,13485,13504,14432,14971,15469
Бүгд,Дорноговь,Нийт,30473,31244,29966,32173,33457,37175,31340,33439,31177,27127,28714,28566,23628,21352,29211,25332,20781,20148,19740,19929,20190,19983,19989,19279,17896,17892,16905,17848,16509,17806,17426,17870,19808
