Үзүүлэлт,"Аймаг, нийслэл",Он,value
"Арьс, мян.шир",Төвийн бүс,2012,2066.7
"Арьс, мян.шир",Төвийн бүс,2011,2048.7
"Арьс, мян.шир",Төвийн бүс,2010,4056.0
"Арьс, мян.шир",    Дорноговь,2025,223.459
"Арьс, мян.шир",    Дорноговь,2024,365.2
"Арьс, мян.шир",    Дорноговь,2023,595.0
"Арьс, мян.шир",    Дорноговь,2022,408.9
"Арьс, мян.шир",    Дорноговь,2021,384.9
"Арьс, мян.шир",    Дорноговь,2020,381.4
"Арьс, мян.шир",    Дорноговь,2019,291.0
"Арьс, мян.шир",    Дорноговь,2018,444.9
"Арьс, мян.шир",    Дорноговь,2017,312.6
"Арьс, мян.шир",    Дорноговь,2016,403.7
"Арьс, мян.шир",    Дорноговь,2015,399.7
"Арьс, мян.шир",    Дорноговь,2014,352.48
"Арьс, мян.шир",    Дорноговь,2013,306.4
"Арьс, мян.шир",    Дорноговь,2012,274.1
"Арьс, мян.шир",    Дорноговь,2011,241.4
"Арьс, мян.шир",    Дорноговь,2010,286.1
"Арьс, мян.шир",    Дундговь,2025,714.377
"Арьс, мян.шир",    Дундговь,2024,563.0
"Арьс, мян.шир",    Дундговь,2023,734.0
"Арьс, мян.шир",    Дундговь,2022,552.7
"Арьс, мян.шир",    Дундговь,2021,743.2
"Арьс, мян.шир",    Дундговь,2020,890.4
"Арьс, мян.шир",    Дундговь,2019,667.5
"Арьс, мян.шир",    Дундговь,2018,778.8
"Арьс, мян.шир",    Дундговь,2017,559.2
"Арьс, мян.шир",    Дундговь,2016,548.5
"Арьс, мян.шир",    Дундговь,2015,574.6
"Арьс, мян.шир",    Дундговь,2014,367.23
"Арьс, мян.шир",    Дундговь,2013,366.4
"Арьс, мян.шир",    Дундговь,2012,231.2
"Арьс, мян.шир",    Дундговь,2011,240.6
"Арьс, мян.шир",    Дундговь,2010,960.1
"Арьс, мян.шир",    Өмнөговь,2025,264.89
"Арьс, мян.шир",    Өмнөговь,2024,209.7
"Арьс, мян.шир",    Өмнөговь,2023,416.8
"Арьс, мян.шир",    Өмнөговь,2022,489.8
"Арьс, мян.шир",    Өмнөговь,2021,374.3
"Арьс, мян.шир",    Өмнөговь,2020,485.4
"Арьс, мян.шир",    Өмнөговь,2019,249.7
"Арьс, мян.шир",    Өмнөговь,2018,354.5
"Арьс, мян.шир",    Өмнөговь,2017,291.9
"Арьс, мян.шир",    Өмнөговь,2016,245.0
"Арьс, мян.шир",    Өмнөговь,2015,276.0
"Арьс, мян.шир",    Өмнөговь,2014,251.14
"Арьс, мян.шир",    Өмнөговь,2013,232.0
"Арьс, мян.шир",    Өмнөговь,2012,194.9
"Арьс, мян.шир",    Өмнөговь,2011,192.4
"Арьс, мян.шир",    Өмнөговь,2010,569.8
"Арьс, мян.шир",    Сэлэнгэ,2025,543.58
"Арьс, мян.шир",    Сэлэнгэ,2024,422.7
"Арьс, мян.шир",    Сэлэнгэ,2023,461.4
"Арьс, мян.шир",    Сэлэнгэ,2022,410.7
"Арьс, мян.шир",    Сэлэнгэ,2021,406.7
"Арьс, мян.шир",    Сэлэнгэ,2020,304.5
"Арьс, мян.шир",    Сэлэнгэ,2019,259.4
"Арьс, мян.шир",    Сэлэнгэ,2018,495.9
"Арьс, мян.шир",    Сэлэнгэ,2017,408.3
"Арьс, мян.шир",    Сэлэнгэ,2016,409.0
"Арьс, мян.шир",    Сэлэнгэ,2015,516.6
"Арьс, мян.шир",    Сэлэнгэ,2014,388.26
"Арьс, мян.шир",    Сэлэнгэ,2013,493.4
"Арьс, мян.шир",    Сэлэнгэ,2012,443.1
"Арьс, мян.шир",    Сэлэнгэ,2011,501.3
"Арьс, мян.шир",    Сэлэнгэ,2010,683.2
"Арьс, мян.шир",    Төв,2025,1038.031
"Арьс, мян.шир",    Төв,2024,975.3
"Арьс, мян.шир",    Төв,2023,1065.6
"Арьс, мян.шир",    Төв,2022,896.3
"Арьс, мян.шир",    Төв,2021,1028.5
"Арьс, мян.шир",    Төв,2020,1073.8
"Арьс, мян.шир",    Төв,2019,808.0
"Арьс, мян.шир",    Төв,2018,1213.6
