огноо,валютын_код,валютын_нэр,ханш_төгрөг
2023-05-01,USD,Америк доллар,3461.0739
2023-06-01,CNY,Хятад юань,480.7877
2023-06-01,EUR,Евро,3726.0277
2023-06-01,JPY,Японы иен,24.3657
2023-06-01,KRW,Солонгосын вон,2.651
2023-06-01,RUB,Оросын рубль,41.2537
2023-06-01,USD,Америк доллар,3439.0003
2023-07-01,CNY,Хятад юань,477.4035
2023-07-01,EUR,Евро,3780.0929
2023-07-01,JPY,Японы иен,24.2187
2023-07-01,KRW,Солонгосын вон,2.6619
2023-07-01,RUB,Оросын рубль,37.8665
2023-07-01,USD,Америк доллар,3441.1329
2023-08-01,CNY,Хятад юань,478.5442
2023-08-01,EUR,Евро,3785.2481
2023-08-01,JPY,Японы иен,23.9823
2023-08-01,KRW,Солонгосын вон,2.6229
2023-08-01,RUB,Оросын рубль,36.4048
2023-08-01,USD,Америк доллар,3470.0952
2023-09-01,CNY,Хятад юань,475.0297
2023-09-01,EUR,Евро,3705.9457
2023-09-01,JPY,Японы иен,23.4877
2023-09-01,KRW,Солонгосын вон,2.5993
2023-09-01,RUB,Оросын рубль,35.863
2023-09-01,USD,Америк доллар,3466.2827
2023-10-01,CNY,Хятад юань,472.3765
2023-10-01,EUR,Евро,3646.58
2023-10-01,JPY,Японы иен,23.0819
2023-10-01,KRW,Солонгосын вон,2.5548
2023-10-01,RUB,Оросын рубль,35.6248
2023-10-01,USD,Америк доллар,3452.5713
2023-11-01,CNY,Хятад юань,475.661
2023-11-01,EUR,Евро,3712.935
2023-11-01,JPY,Японы иен,22.9373
2023-11-01,KRW,Солонгосын вон,2.629
2023-11-01,RUB,Оросын рубль,38.0587
2023-11-01,USD,Америк доллар,3440.8883
2023-12-01,CNY,Хятад юань,479.07
2023-12-01,EUR,Евро,3737.8223
2023-12-01,JPY,Японы иен,23.7813
2023-12-01,KRW,Солонгосын вон,2.6261
2023-12-01,RUB,Оросын рубль,37.6445
2023-12-01,USD,Америк доллар,3420.6768
2024-01-01,CNY,Хятад юань,475.2116
2024-01-01,EUR,Евро,3718.2419
2024-01-01,JPY,Японы иен,23.3387
2024-01-01,KRW,Солонгосын вон,2.5729
2024-01-01,RUB,Оросын рубль,38.1461
2024-01-01,USD,Америк доллар,3407.4471
2024-02-01,CNY,Хятад юань,471.6493
2024-02-01,EUR,Евро,3663.771
2024-02-01,JPY,Японы иен,22.71
2024-02-01,KRW,Солонгосын вон,2.5483
2024-02-01,RUB,Оросын рубль,37.031
2024-02-01,USD,Америк доллар,3392.4545
2024-03-01,CNY,Хятад юань,468.6177
2024-03-01,EUR,Евро,3665.5181
2024-03-01,JPY,Японы иен,22.5313
2024-03-01,KRW,Солонгосын вон,2.5306
2024-03-01,RUB,Оросын рубль,36.8155
2024-03-01,USD,Америк доллар,3376.2123
2024-04-01,CNY,Хятад юань,466.4317
2024-04-01,EUR,Евро,3623.003
2024-04-01,JPY,Японы иен,21.9647
2024-04-01,KRW,Солонгосын вон,2.4663
2024-04-01,RUB,Оросын рубль,36.304
2024-04-01,USD,Америк доллар,3376.5297
2024-05-01,CNY,Хятад юань,467.4119
2024-05-01,EUR,Евро,3652.9274
2024-05-01,JPY,Японы иен,21.7
2024-05-01,KRW,Солонгосын вон,2.4765
2024-05-01,RUB,Оросын рубль,37.1797
2024-05-01,USD,Америк доллар,3381.2929
2024-06-01,CNY,Хятад юань,466.036
2024-06-01,EUR,Евро,3638.4013
2024-06-01,JPY,Японы иен,21.415
2024-06-01,KRW,Солонгосын вон,2.4483
2024-06-01,RUB,Оросын рубль,38.467
2024-06-01,USD,Америк доллар,3381.1577
2024-07-01,CNY,Хятад юань,465.441
2024-07-01,EUR,Евро,3663.7397
2024-07-01,JPY,Японы иен,21.3994
2024-07-01,KRW,Солонгосын вон,2.4439
2024-07-01,RUB,Оросын рубль,38.7758
2024-07-01,USD,Америк доллар,3380.89
2024-08-01,CNY,Хятад юань,472.4629
2024-08-01,EUR,Евро,3719.9181
2024-08-01,JPY,Японы иен,23.0552
2024-08-01,KRW,Солонгосын вон,2.5
2024-08-01,RUB,Оросын рубль,37.9381
2024-08-01,USD,Америк доллар,3381.0106
2024-09-01,CNY,Хятад юань,477.9393
2024-09-01,EUR,Евро,3755.7013
2024-09-01,JPY,Японы иен,23.6343
2024-09-01,KRW,Солонгосын вон,2.5417
2024-09-01,RUB,Оросын рубль,37.0077
2024-09-01,USD,Америк доллар,3380.9967
2024-10-01,CNY,Хятад юань,478.6542
2024-10-01,EUR,Евро,3698.7581
2024-10-01,JPY,Японы иен,22.6865
2024-10-01,KRW,Солонгосын вон,2.4923
2024-10-01,RUB,Оросын рубль,35.1987
2024-10-01,USD,Америк доллар,3391.6065
2024-11-01,CNY,Хятад юань,473.7953
2024-11-01,EUR,Евро,3630.862
2024-11-01,JPY,Японы иен,22.207
2024-11-01,KRW,Солонгосын вон,2.448
2024-11-01,RUB,Оросын рубль,33.9667
2024-11-01,USD,Америк доллар,3412.7827
2024-12-01,CNY,Хятад юань,469.45
2024-12-01,EUR,Евро,3579.7265
2024-12-01,JPY,Японы иен,22.22
2024-12-01,KRW,Солонгосын вон,2.3739
2024-12-01,RUB,Оросын рубль,33.3345
2024-12-01,USD,Америк доллар,3417.9658
2025-01-01,CNY,Хятад юань,469.6735
2025-01-01,EUR,Евро,3548.9319
2025-01-01,JPY,Японы иен,21.9084
2025-01-01,KRW,Солонгосын вон,2.3594
2025-01-01,RUB,Оросын рубль,33.4574
2025-01-01,USD,Америк доллар,3430.6061
2025-02-01,CNY,Хятад юань,475.5232
2025-02-01,EUR,Евро,3603.1025
2025-02-01,JPY,Японы иен,22.7404
2025-02-01,KRW,Солонгосын вон,2.3932
2025-02-01,RUB,Оросын рубль,37.4318
2025-02-01,USD,Америк доллар,3458.3239
2025-03-01,CNY,Хятад юань,478.9913
2025-03-01,EUR,Евро,3740.4994
2025-03-01,JPY,Японы иен,23.2784
2025-03-01,KRW,Солонгосын вон,2.3835
2025-03-01,RUB,Оросын рубль,40.479
2025-03-01,USD,Америк доллар,3474.0745
2025-04-01,CNY,Хятад юань,485.224
2025-04-01,EUR,Евро,3982.9473
2025-04-01,JPY,Японы иен,24.5943
2025-04-01,KRW,Солонгосын вон,2.461
2025-04-01,RUB,Оросын рубль,42.5663
2025-04-01,USD,Америк доллар,3542.0263
2025-05-01,CNY,Хятад юань,494.9577
2025-05-01,EUR,Евро,4031.6529
2025-05-01,JPY,Японы иен,24.6997
2025-05-01,KRW,Солонгосын вон,2.5665
2025-05-01,RUB,Оросын рубль,44.2416
2025-05-01,USD,Америк доллар,3572.7958
2025-06-01,CNY,Хятад юань,498.119
