Indicators,Region,Annual,value
Total, Central region,2022,623.0
Total, Central region,2021,577.0
Total, Central region,2020,550.0
Total, Central region,2019,547.0
Total, Central region,2018,534.0
Total, Central region,2017,529.0
Total, Central region,2016,506.0
Total, Central region,2015,501.0
Total, Govisumber,2024,26.0
Total, Govisumber,2023,26.0
Total, Govisumber,2022,23.0
Total, Govisumber,2021,20.0
Total, Govisumber,2020,25.0
Total, Govisumber,2019,22.0
Total, Govisumber,2018,21.0
Total, Govisumber,2017,22.0
Total, Govisumber,2016,21.0
Total, Govisumber,2015,19.0
Total, Darkhan-Uul,2024,162.0
Total, Darkhan-Uul,2023,147.0
Total, Darkhan-Uul,2022,146.0
Total, Darkhan-Uul,2021,145.0
Total, Darkhan-Uul,2020,123.0
Total, Darkhan-Uul,2019,120.0
Total, Darkhan-Uul,2018,117.0
Total, Darkhan-Uul,2017,124.0
Total, Darkhan-Uul,2016,124.0
Total, Darkhan-Uul,2015,130.0
Total, Dornogovi,2024,114.0
Total, Dornogovi,2023,116.0
Total, Dornogovi,2022,93.0
Total, Dornogovi,2021,76.0
Total, Dornogovi,2020,87.0
Total, Dornogovi,2019,89.0
Total, Dornogovi,2018,84.0
Total, Dornogovi,2017,76.0
Total, Dornogovi,2016,73.0
Total, Dornogovi,2015,68.0
Total, Dundgovi,2024,78.0
Total, Dundgovi,2023,72.0
Total, Dundgovi,2022,65.0
Total, Dundgovi,2021,56.0
Total, Dundgovi,2020,53.0
Total, Dundgovi,2019,52.0
Total, Dundgovi,2018,53.0
Total, Dundgovi,2017,46.0
Total, Dundgovi,2016,46.0
Total, Dundgovi,2015,45.0
Total, Umnugovi,2024,121.0
Total, Umnugovi,2023,132.0
Total, Umnugovi,2022,128.0
Total, Umnugovi,2021,118.0
Total, Umnugovi,2020,113.0
Total, Umnugovi,2019,108.0
Total, Umnugovi,2018,94.0
Total, Umnugovi,2017,90.0
Total, Umnugovi,2016,85.0
Total, Umnugovi,2015,86.0
Total, Selenge,2024,98.0
Total, Selenge,2023,101.0
Total, Selenge,2022,98.0
Total, Selenge,2021,89.0
Total, Selenge,2020,90.0
Total, Selenge,2019,86.0
Total, Selenge,2018,94.0
Total, Selenge,2017,95.0
Total, Selenge,2016,84.0
Total, Selenge,2015,84.0
Total, Tuv,2024,80.0
Total, Tuv,2023,75.0
Total, Tuv,2022,70.0
Total, Tuv,2021,73.0
Total, Tuv,2020,59.0
Total, Tuv,2019,70.0
Total, Tuv,2018,71.0
Total, Tuv,2017,76.0
Total, Tuv,2016,73.0
Total, Tuv,2015,69.0
Total, Eastern region,2024,226.0
Total, Eastern region,2023,226.0
Total, Eastern region,2022,220.0
Total, Eastern region,2021,232.0
Total, Eastern region,2020,170.0
Total, Eastern region,2019,175.0
Total, Eastern region,2018,190.0
Total, Eastern region,2017,187.0
Total, Eastern region,2016,178.0
Total, Eastern region,2015,169.0
Total, Dornod,2024,96.0
Total, Dornod,2023,93.0
Total, Dornod,2022,89.0
Total, Dornod,2021,76.0
Total, Dornod,2020,64.0
Total, Dornod,2019,61.0
Total, Dornod,2018,59.0
Total, Dornod,2017,56.0
Total, Dornod,2016,47.0
Total, Dornod,2015,48.0
Total, Sukhbaatar,2024,29.0
Total, Sukhbaatar,2023,31.0
Total, Sukhbaatar,2022,31.0
Total, Sukhbaatar,2021,49.0
Total, Sukhbaatar,2020,20.0
Total, Sukhbaatar,2019,32.0
Total, Sukhbaatar,2018,49.0
Total, Sukhbaatar,2017,48.0
Total, Sukhbaatar,2016,52.0
Total, Sukhbaatar,2015,46.0
Total, Khentii,2024,101.0
Total, Khentii,2023,102.0
Total, Khentii,2022,100.0
Total, Khentii,2021,107.0
Total, Khentii,2020,86.0
Total, Khentii,2019,82.0
Total, Khentii,2018,82.0
Total, Khentii,2017,83.0
Total, Khentii,2016,79.0
Total, Khentii,2015,75.0
Total, Ulaanbaatar,2024,2683.0
Total, Ulaanbaatar,2023,2540.0
Total, Ulaanbaatar,2022,2534.0
Total, Ulaanbaatar,2021,2358.0
Total, Ulaanbaatar,2020,2385.0
Total, Ulaanbaatar,2019,2689.0
Total, Ulaanbaatar,2018,2617.0
Total, Ulaanbaatar,2017,2338.0
Total, Ulaanbaatar,2016,1898.0
Total, Ulaanbaatar,2015,1703.0
Total,   Ulaanbaatar,2024,
Total,   Ulaanbaatar,2023,
Total,   Ulaanbaatar,2022,
Total,   Ulaanbaatar,2021,
Total,   Ulaanbaatar,2020,
Total,   Ulaanbaatar,2019,
Total,   Ulaanbaatar,2018,
Total,   Ulaanbaatar,2017,
Total,   Ulaanbaatar,2016,
Total,   Ulaanbaatar,2015,
 Family health center,Total,2024,227.0
 Family health center,Total,2023,224.0
 Family health center,Total,2022,207.0
 Family health center,Total,2021,208.0
 Family health center,Total,2020,209.0
 Family health center,Total,2019,209.0
 Family health center,Total,2018,219.0
 Family health center,Total,2017,218.0
 Family health center,Total,2016,220.0
 Family health center,Total,2015,218.0
 Family health center, Western region,2024,20.0
 Family health center, Western region,2023,20.0
 Family health center, Western region,2022,20.0
 Family health center, Western region,2021,20.0
 Family health center, Western region,2020,20.0
 Family health center, Western region,2019,20.0
 Family health center, Western region,2018,20.0
 Family health center, Western region,2017,21.0
 Family health center, Western region,2016,21.0
 Family health center, Western region,2015,21.0
 Family health center, Bayan-Ulgii,2024,4.0
 Family health center, Bayan-Ulgii,2023,4.0
 Family health center, Bayan-Ulgii,2022,4.0
 Family health center, Bayan-Ulgii,2021,4.0
 Family health center, Bayan-Ulgii,2020,4.0
 Family health center, Bayan-Ulgii,2019,4.0
 Family health center, Bayan-Ulgii,2018,4.0
 Family health center, Bayan-Ulgii,2017,4.0
 Family health center, Bayan-Ulgii,2016,4.0
 Family health center, Bayan-Ulgii,2015,4.0
 Family health center, Govi-Altai,2024,3.0
 Family health center, Govi-Altai,2023,3.0
 Family health center, Govi-Altai,2022,3.0
 Family health center, Govi-Altai,2021,3.0
 Family health center, Govi-Altai,2020,3.0
 Family health center, Govi-Altai,2019,3.0
 Family health center, Govi-Altai,2018,3.0
 Family health center, Govi-Altai,2017,3.0
 Family health center, Govi-Altai,2016,3.0
 Family health center, Govi-Altai,2015,3.0
 Family health center, Zavkhan,2024,3.0
 Family health center, Zavkhan,2023,3.0
 Family health center, Zavkhan,2022,3.0
 Family health center, Zavkhan,2021,3.0
 Family health center, Zavkhan,2020,3.0
 Family health center, Zavkhan,2019,3.0
 Family health center, Zavkhan,2018,3.0
 Family health center, Zavkhan,2017,4.0
 Family health center, Zavkhan,2016,4.0
 Family health center, Zavkhan,2015,4.0
 Family health center, Uvs,2024,4.0
 Family health center, Uvs,2023,4.0
 Family health center, Uvs,2022,4.0
 Family health center, Uvs,2021,4.0
 Family health center, Uvs,2020,4.0
 Family health center, Uvs,2019,4.0
 Family health center, Uvs,2018,4.0
 Family health center, Uvs,2017,4.0
 Family health center, Uvs,2016,4.0
 Family health center, Uvs,2015,4.0
 Family health center, Khovd,2024,6.0
 Family health center, Khovd,2023,6.0
 Family health center, Khovd,2022,6.0
 Family health center, Khovd,2021,6.0
 Family health center, Khovd,2020,6.0
 Family health center, Khovd,2019,6.0
 Family health center, Khovd,2018,6.0
 Family health center, Khovd,2017,6.0
 Family health center, Khovd,2016,6.0
 Family health center, Khovd,2015,6.0
 Family health center, Khangai region,2024,26.0
 Family health center, Khangai region,2023,26.0
 Family health center, Khangai region,2022,26.0
 Family health center, Khangai region,2021,26.0
 Family health center, Khangai region,2020,26.0
 Family health center, Khangai region,2019,26.0
 Family health center, Khangai region,2018,29.0
 Family health center, Khangai region,2017,29.0
 Family health center, Khangai region,2016,31.0
 Family health center, Khangai region,2015,33.0
 Family health center, Arkhangai,2024,3.0
 Family health center, Arkhangai,2023,3.0
 Family health center, Arkhangai,2022,3.0
 Family health center, Arkhangai,2021,3.0
 Family health center, Arkhangai,2020,3.0
 Family health center, Arkhangai,2019,3.0
 Family health center, Arkhangai,2018,5.0
 Family health center, Arkhangai,2017,5.0
 Family health center, Arkhangai,2016,5.0
 Family health center, Arkhangai,2015,5.0
 Family health center, Bayankhongor,2024,4.0
 Family health center, Bayankhongor,2023,4.0
 Family health center, Bayankhongor,2022,4.0
 Family health center, Bayankhongor,2021,4.0
 Family health center, Bayankhongor,2020,4.0
 Family health center, Bayankhongor,2019,4.0
 Family health center, Bayankhongor,2018,5.0
 Family health center, Bayankhongor,2017,5.0
 Family health center, Bayankhongor,2016,5.0
 Family health center, Bayankhongor,2015,5.0
 Family health center, Bulgan,2024,2.0
 Family health center, Bulgan,2023,2.0
 Family health center, Bulgan,2022,2.0
 Family health center, Bulgan,2021,2.0
 Family health center, Bulgan,2020,2.0
 Family health center, Bulgan,2019,2.0
 Family health center, Bulgan,2018,2.0
 Family health center, Bulgan,2017,2.0
 Family health center, Bulgan,2016,2.0
 Family health center, Bulgan,2015,2.0
 Family health center, Orkhon,2024,8.0
 Family health center, Orkhon,2023,8.0
 Family health center, Orkhon,2022,8.0
 Family health center, Orkhon,2021,8.0
 Family health center, Orkhon,2020,8.0
 Family health center, Orkhon,2019,8.0
 Family health center, Orkhon,2018,8.0
 Family health center, Orkhon,2017,8.0
 Family health center, Orkhon,2016,9.0
 Family health center, Orkhon,2015,11.0
 Family health center, Uvurkhangai,2024,4.0
 Family health center, Uvurkhangai,2023,4.0
 Family health center, Uvurkhangai,2022,4.0
 Family health center, Uvurkhangai,2021,4.0
 Family health center, Uvurkhangai,2020,4.0
 Family health center, Uvurkhangai,2019,4.0
 Family health center, Uvurkhangai,2018,4.0
 Family health center, Uvurkhangai,2017,4.0
 Family health center, Uvurkhangai,2016,5.0
 Family health center, Uvurkhangai,2015,5.0
 Family health center, Khuvsgul,2024,5.0
 Family health center, Khuvsgul,2023,5.0
 Family health center, Khuvsgul,2022,5.0
 Family health center, Khuvsgul,2021,5.0
 Family health center, Khuvsgul,2020,5.0
 Family health center, Khuvsgul,2019,5.0
 Family health center, Khuvsgul,2018,5.0
 Family health center, Khuvsgul,2017,5.0
 Family health center, Khuvsgul,2016,5.0
 Family health center, Khuvsgul,2015,5.0
 Family health center, Central region,2024,21.0
 Family health center, Central region,2023,21.0
 Family health center, Central region,2022,21.0
 Family health center, Central region,2021,21.0
 Family health center, Central region,2020,22.0
 Family health center, Central region,2019,22.0
 Family health center, Central region,2018,25.0
 Family health center, Central region,2017,25.0
 Family health center, Central region,2016,25.0
 Family health center, Central region,2015,25.0
 Family health center, Govisumber,2024,1.0
 Family health center, Govisumber,2023,1.0
 Family health center, Govisumber,2022,1.0
 Family health center, Govisumber,2021,1.0
 Family health center, Govisumber,2020,1.0
 Family health center, Govisumber,2019,1.0
 Family health center, Govisumber,2018,1.0
 Family health center, Govisumber,2017,1.0
 Family health center, Govisumber,2016,1.0
 Family health center, Govisumber,2015,1.0
 Family health center, Darkhan-Uul,2024,5.0
 Family health center, Darkhan-Uul,2023,5.0
 Family health center, Darkhan-Uul,2022,5.0
 Family health center, Darkhan-Uul,2021,5.0
 Family health center, Darkhan-Uul,2020,5.0
 Family health center, Darkhan-Uul,2019,5.0
 Family health center, Darkhan-Uul,2018,5.0
 Family health center, Darkhan-Uul,2017,5.0
 Family health center, Darkhan-Uul,2016,5.0
 Family health center, Darkhan-Uul,2015,5.0
 Family health center, Dornogovi,2024,4.0
 Family health center, Dornogovi,2023,4.0
 Family health center, Dornogovi,2022,4.0
 Family health center, Dornogovi,2021,4.0
 Family health center, Dornogovi,2020,4.0
 Family health center, Dornogovi,2019,4.0
 Family health center, Dornogovi,2018,5.0
 Family health center, Dornogovi,2017,5.0
 Family health center, Dornogovi,2016,5.0
 Family health center, Dornogovi,2015,5.0
 Family health center, Dundgovi,2024,2.0
 Family health center, Dundgovi,2023,2.0
 Family health center, Dundgovi,2022,2.0
 Family health center, Dundgovi,2021,2.0
 Family health center, Dundgovi,2020,2.0
 Family health center, Dundgovi,2019,2.0
 Family health center, Dundgovi,2018,2.0
 Family health center, Dundgovi,2017,2.0
 Family health center, Dundgovi,2016,2.0
 Family health center, Dundgovi,2015,2.0
 Family health center, Umnugovi,2024,3.0
 Family health center, Umnugovi,2023,3.0
 Family health center, Umnugovi,2022,3.0
 Family health center, Umnugovi,2021,3.0
 Family health center, Umnugovi,2020,4.0
 Family health center, Umnugovi,2019,4.0
 Family health center, Umnugovi,2018,4.0
 Family health center, Umnugovi,2017,4.0
 Family health center, Umnugovi,2016,4.0
 Family health center, Umnugovi,2015,4.0
 Family health center, Selenge,2024,5.0
 Family health center, Selenge,2023,5.0
 Family health center, Selenge,2022,5.0
 Family health center, Selenge,2021,5.0
 Family health center, Selenge,2020,5.0
 Family health center, Selenge,2019,5.0
 Family health center, Selenge,2018,7.0
 Family health center, Selenge,2017,7.0
 Family health center, Selenge,2016,7.0
 Family health center, Selenge,2015,7.0
 Family health center, Tuv,2024,1.0
 Family health center, Tuv,2023,1.0
 Family health center, Tuv,2022,1.0
 Family health center, Tuv,2021,1.0
 Family health center, Tuv,2020,1.0
 Family health center, Tuv,2019,1.0
 Family health center, Tuv,2018,1.0
 Family health center, Tuv,2017,1.0
 Family health center, Tuv,2016,1.0
 Family health center, Tuv,2015,1.0
 Family health center, Eastern region,2024,9.0
 Family health center, Eastern region,2023,9.0
 Family health center, Eastern region,2022,9.0
 Family health center, Eastern region,2021,10.0
 Family health center, Eastern region,2020,10.0
 Family health center, Eastern region,2019,10.0
 Family health center, Eastern region,2018,10.0
 Family health center, Eastern region,2017,10.0
 Family health center, Eastern region,2016,10.0
 Family health center, Eastern region,2015,10.0
 Family health center, Dornod,2024,3.0
 Family health center, Dornod,2023,3.0
 Family health center, Dornod,2022,3.0
 Family health center, Dornod,2021,3.0
 Family health center, Dornod,2020,3.0
 Family health center, Dornod,2019,3.0
 Family health center, Dornod,2018,3.0
 Family health center, Dornod,2017,3.0
 Family health center, Dornod,2016,3.0
 Family health center, Dornod,2015,3.0
 Family health center, Sukhbaatar,2024,2.0
 Family health center, Sukhbaatar,2023,2.0
 Family health center, Sukhbaatar,2022,2.0
 Family health center, Sukhbaatar,2021,3.0
 Family health center, Sukhbaatar,2020,3.0
 Family health center, Sukhbaatar,2019,3.0
 Family health center, Sukhbaatar,2018,3.0
 Family health center, Sukhbaatar,2017,3.0
 Family health center, Sukhbaatar,2016,3.0
 Family health center, Sukhbaatar,2015,3.0
 Family health center, Khentii,2024,4.0
 Family health center, Khentii,2023,4.0
 Family health center, Khentii,2022,4.0
 Family health center, Khentii,2021,4.0
 Family health center, Khentii,2020,4.0
 Family health center, Khentii,2019,4.0
 Family health center, Khentii,2018,4.0
 Family health center, Khentii,2017,4.0
 Family health center, Khentii,2016,4.0
 Family health center, Khentii,2015,4.0
 Family health center, Ulaanbaatar,2024,151.0
 Family health center, Ulaanbaatar,2023,148.0
 Family health center, Ulaanbaatar,2022,131.0
 Family health center, Ulaanbaatar,2021,131.0
 Family health center, Ulaanbaatar,2020,131.0
 Family health center, Ulaanbaatar,2019,131.0
 Family health center, Ulaanbaatar,2018,135.0
 Family health center, Ulaanbaatar,2017,133.0
 Family health center, Ulaanbaatar,2016,133.0
 Family health center, Ulaanbaatar,2015,129.0
 Family health center,   Ulaanbaatar,2024,
 Family health center,   Ulaanbaatar,2023,
 Family health center,   Ulaanbaatar,2022,
 Family health center,   Ulaanbaatar,2021,
 Family health center,   Ulaanbaatar,2020,
 Family health center,   Ulaanbaatar,2019,
 Family health center,   Ulaanbaatar,2018,
 Family health center,   Ulaanbaatar,2017,
 Family health center,   Ulaanbaatar,2016,
 Family health center,   Ulaanbaatar,2015,
 Village health center,Total,2024,20.0
 Village health center,Total,2023,20.0
 Village health center,Total,2022,19.0
 Village health center,Total,2021,7.0
 Village health center,Total,2020,6.0
 Village health center,Total,2019,6.0
 Village health center,Total,2018,19.0
 Village health center,Total,2017,19.0
 Village health center,Total,2016,19.0
 Village health center,Total,2015,19.0
 Village health center, Western region,2024,3.0
 Village health center, Western region,2023,3.0
 Village health center, Western region,2022,2.0
 Village health center, Western region,2021,0.0
 Village health center, Western region,2020,0.0
 Village health center, Western region,2019,0.0
 Village health center, Western region,2018,4.0
 Village health center, Western region,2017,4.0
 Village health center, Western region,2016,4.0
 Village health center, Western region,2015,4.0
 Village health center, Bayan-Ulgii,2024,1.0
 Village health center, Bayan-Ulgii,2023,1.0
 Village health center, Bayan-Ulgii,2022,0.0
 Village health center, Bayan-Ulgii,2021,0.0
 Village health center, Bayan-Ulgii,2020,0.0
 Village health center, Bayan-Ulgii,2019,0.0
 Village health center, Bayan-Ulgii,2018,2.0
 Village health center, Bayan-Ulgii,2017,2.0
 Village health center, Bayan-Ulgii,2016,2.0
 Village health center, Bayan-Ulgii,2015,2.0
 Village health center, Govi-Altai,2024,2.0
 Village health center, Govi-Altai,2023,2.0
 Village health center, Govi-Altai,2022,2.0
 Village health center, Govi-Altai,2021,0.0
 Village health center, Govi-Altai,2020,0.0
 Village health center, Govi-Altai,2019,0.0
 Village health center, Govi-Altai,2018,2.0
 Village health center, Govi-Altai,2017,2.0
 Village health center, Govi-Altai,2016,2.0
 Village health center, Govi-Altai,2015,2.0
 Village health center, Zavkhan,2024,0.0
 Village health center, Zavkhan,2023,0.0
 Village health center, Zavkhan,2022,0.0
 Village health center, Zavkhan,2021,0.0
 Village health center, Zavkhan,2020,0.0
 Village health center, Zavkhan,2019,0.0
 Village health center, Zavkhan,2018,0.0
 Village health center, Zavkhan,2017,0.0
 Village health center, Zavkhan,2016,0.0
 Village health center, Zavkhan,2015,0.0
 Village health center, Uvs,2024,0.0
 Village health center, Uvs,2023,0.0
 Village health center, Uvs,2022,0.0
 Village health center, Uvs,2021,0.0
 Village health center, Uvs,2020,0.0
 Village health center, Uvs,2019,0.0
 Village health center, Uvs,2018,0.0
 Village health center, Uvs,2017,0.0
 Village health center, Uvs,2016,0.0
 Village health center, Uvs,2015,0.0
 Village health center, Khovd,2024,0.0
 Village health center, Khovd,2023,0.0
 Village health center, Khovd,2022,0.0
 Village health center, Khovd,2021,0.0
 Village health center, Khovd,2020,0.0
 Village health center, Khovd,2019,0.0
 Village health center, Khovd,2018,0.0
 Village health center, Khovd,2017,0.0
 Village health center, Khovd,2016,0.0
 Village health center, Khovd,2015,0.0
 Village health center, Khangai region,2024,3.0
 Village health center, Khangai region,2023,3.0
 Village health center, Khangai region,2022,3.0
 Village health center, Khangai region,2021,2.0
 Village health center, Khangai region,2020,1.0
 Village health center, Khangai region,2019,1.0
 Village health center, Khangai region,2018,2.0
 Village health center, Khangai region,2017,2.0
 Village health center, Khangai region,2016,2.0
 Village health center, Khangai region,2015,2.0
 Village health center, Arkhangai,2024,0.0
 Village health center, Arkhangai,2023,0.0
 Village health center, Arkhangai,2022,0.0
 Village health center, Arkhangai,2021,0.0
 Village health center, Arkhangai,2020,0.0
 Village health center, Arkhangai,2019,0.0
 Village health center, Arkhangai,2018,0.0
 Village health center, Arkhangai,2017,0.0
 Village health center, Arkhangai,2016,0.0
 Village health center, Arkhangai,2015,0.0
 Village health center, Bayankhongor,2024,1.0
 Village health center, Bayankhongor,2023,1.0
 Village health center, Bayankhongor,2022,1.0
 Village health center, Bayankhongor,2021,1.0
 Village health center, Bayankhongor,2020,1.0
 Village health center, Bayankhongor,2019,1.0
 Village health center, Bayankhongor,2018,1.0
 Village health center, Bayankhongor,2017,1.0
 Village health center, Bayankhongor,2016,1.0
 Village health center, Bayankhongor,2015,1.0
 Village health center, Bulgan,2024,1.0
 Village health center, Bulgan,2023,1.0
 Village health center, Bulgan,2022,1.0
 Village health center, Bulgan,2021,1.0
 Village health center, Bulgan,2020,0.0
 Village health center, Bulgan,2019,0.0
 Village health center, Bulgan,2018,1.0
 Village health center, Bulgan,2017,1.0
 Village health center, Bulgan,2016,1.0
 Village health center, Bulgan,2015,1.0
 Village health center, Orkhon,2024,0.0
 Village health center, Orkhon,2023,0.0
 Village health center, Orkhon,2022,0.0
 Village health center, Orkhon,2021,0.0
 Village health center, Orkhon,2020,0.0
 Village health center, Orkhon,2019,0.0
 Village health center, Orkhon,2018,0.0
 Village health center, Orkhon,2017,0.0
 Village health center, Orkhon,2016,0.0
 Village health center, Orkhon,2015,0.0
 Village health center, Uvurkhangai,2024,0.0
 Village health center, Uvurkhangai,2023,0.0
 Village health center, Uvurkhangai,2022,0.0
 Village health center, Uvurkhangai,2021,0.0
 Village health center, Uvurkhangai,2020,0.0
 Village health center, Uvurkhangai,2019,0.0
 Village health center, Uvurkhangai,2018,0.0
 Village health center, Uvurkhangai,2017,0.0
 Village health center, Uvurkhangai,2016,0.0
 Village health center, Uvurkhangai,2015,0.0
 Village health center, Khuvsgul,2024,1.0
 Village health center, Khuvsgul,2023,1.0
 Village health center, Khuvsgul,2022,1.0
 Village health center, Khuvsgul,2021,0.0
 Village health center, Khuvsgul,2020,0.0
 Village health center, Khuvsgul,2019,0.0
 Village health center, Khuvsgul,2018,0.0
 Village health center, Khuvsgul,2017,0.0
 Village health center, Khuvsgul,2016,0.0
 Village health center, Khuvsgul,2015,0.0
 Village health center, Central region,2024,6.0
 Village health center, Central region,2023,6.0
 Village health center, Central region,2022,6.0
 Village health center, Central region,2021,0.0
 Village health center, Central region,2020,0.0
 Village health center, Central region,2019,0.0
 Village health center, Central region,2018,6.0
 Village health center, Central region,2017,6.0
 Village health center, Central region,2016,6.0
 Village health center, Central region,2015,6.0
 Village health center, Govisumber,2024,0.0
 Village health center, Govisumber,2023,0.0
 Village health center, Govisumber,2022,0.0
 Village health center, Govisumber,2021,0.0
 Village health center, Govisumber,2020,0.0
 Village health center, Govisumber,2019,0.0
 Village health center, Govisumber,2018,0.0
 Village health center, Govisumber,2017,0.0
 Village health center, Govisumber,2016,0.0
 Village health center, Govisumber,2015,0.0
 Village health center, Darkhan-Uul,2024,0.0
 Village health center, Darkhan-Uul,2023,0.0
 Village health center, Darkhan-Uul,2022,0.0
 Village health center, Darkhan-Uul,2021,0.0
 Village health center, Darkhan-Uul,2020,0.0
 Village health center, Darkhan-Uul,2019,0.0
 Village health center, Darkhan-Uul,2018,0.0
 Village health center, Darkhan-Uul,2017,0.0
 Village health center, Darkhan-Uul,2016,0.0
 Village health center, Darkhan-Uul,2015,0.0
 Village health center, Dornogovi,2024,0.0
 Village health center, Dornogovi,2023,0.0
 Village health center, Dornogovi,2022,0.0
 Village health center, Dornogovi,2021,0.0
 Village health center, Dornogovi,2020,0.0
 Village health center, Dornogovi,2019,0.0
 Village health center, Dornogovi,2018,0.0
 Village health center, Dornogovi,2017,0.0
 Village health center, Dornogovi,2016,0.0
 Village health center, Dornogovi,2015,0.0
 Village health center, Dundgovi,2024,0.0
 Village health center, Dundgovi,2023,0.0
 Village health center, Dundgovi,2022,0.0
 Village health center, Dundgovi,2021,0.0
 Village health center, Dundgovi,2020,0.0
 Village health center, Dundgovi,2019,0.0
 Village health center, Dundgovi,2018,0.0
 Village health center, Dundgovi,2017,0.0
 Village health center, Dundgovi,2016,0.0
 Village health center, Dundgovi,2015,0.0
 Village health center, Umnugovi,2024,0.0
