Байршил,Зарлагын төрөл,Он,value
Улсын дундаж,2. Бусдаас үнэгүй авсан,2003,7790.0
Улсын дундаж,2. Бусдаас үнэгүй авсан,2002,6428.0
Улсын дундаж,2. Бусдаас үнэгүй авсан,2001,1987.0
Улсын дундаж,2. Бусдаас үнэгүй авсан,2000,1120.0
Улсын дундаж,2. Бусдаас үнэгүй авсан,1999,
Улсын дундаж,2. Бусдаас үнэгүй авсан,1998,
Улсын дундаж,2. Бусдаас үнэгүй авсан,1997,
Улсын дундаж,3. Өөрийн аж ахуйгаас хэрэглэсэн хүнсний бүтээгдэхүүн,2025,103783.0
Улсын дундаж,3. Өөрийн аж ахуйгаас хэрэглэсэн хүнсний бүтээгдэхүүн,2024,98562.0
Улсын дундаж,3. Өөрийн аж ахуйгаас хэрэглэсэн хүнсний бүтээгдэхүүн,2023,87594.0
Улсын дундаж,3. Өөрийн аж ахуйгаас хэрэглэсэн хүнсний бүтээгдэхүүн,2022,72848.0
Улсын дундаж,3. Өөрийн аж ахуйгаас хэрэглэсэн хүнсний бүтээгдэхүүн,2021,78856.0
Улсын дундаж,3. Өөрийн аж ахуйгаас хэрэглэсэн хүнсний бүтээгдэхүүн,2020,62559.0
Улсын дундаж,3. Өөрийн аж ахуйгаас хэрэглэсэн хүнсний бүтээгдэхүүн,2019,51783.0
Улсын дундаж,3. Өөрийн аж ахуйгаас хэрэглэсэн хүнсний бүтээгдэхүүн,2018,42746.0
Улсын дундаж,3. Өөрийн аж ахуйгаас хэрэглэсэн хүнсний бүтээгдэхүүн,2017,44595.0
Улсын дундаж,3. Өөрийн аж ахуйгаас хэрэглэсэн хүнсний бүтээгдэхүүн,2016,37872.0
Улсын дундаж,3. Өөрийн аж ахуйгаас хэрэглэсэн хүнсний бүтээгдэхүүн,2015,51629.0
Улсын дундаж,3. Өөрийн аж ахуйгаас хэрэглэсэн хүнсний бүтээгдэхүүн,2014,59670.0
Улсын дундаж,3. Өөрийн аж ахуйгаас хэрэглэсэн хүнсний бүтээгдэхүүн,2013,59451.0
Улсын дундаж,3. Өөрийн аж ахуйгаас хэрэглэсэн хүнсний бүтээгдэхүүн,2012,46112.0
Улсын дундаж,3. Өөрийн аж ахуйгаас хэрэглэсэн хүнсний бүтээгдэхүүн,2011,46979.0
Улсын дундаж,3. Өөрийн аж ахуйгаас хэрэглэсэн хүнсний бүтээгдэхүүн,2010,41572.0
Улсын дундаж,3. Өөрийн аж ахуйгаас хэрэглэсэн хүнсний бүтээгдэхүүн,2009,32815.0
Улсын дундаж,3. Өөрийн аж ахуйгаас хэрэглэсэн хүнсний бүтээгдэхүүн,2008,27873.0
Улсын дундаж,3. Өөрийн аж ахуйгаас хэрэглэсэн хүнсний бүтээгдэхүүн,2007,16368.0
Улсын дундаж,3. Өөрийн аж ахуйгаас хэрэглэсэн хүнсний бүтээгдэхүүн,2006,22420.0
Улсын дундаж,3. Өөрийн аж ахуйгаас хэрэглэсэн хүнсний бүтээгдэхүүн,2005,15541.0
Улсын дундаж,3. Өөрийн аж ахуйгаас хэрэглэсэн хүнсний бүтээгдэхүүн,2004,34556.0
Улсын дундаж,3. Өөрийн аж ахуйгаас хэрэглэсэн хүнсний бүтээгдэхүүн,2003,26722.0
Улсын дундаж,3. Өөрийн аж ахуйгаас хэрэглэсэн хүнсний бүтээгдэхүүн,2002,24801.0
Улсын дундаж,3. Өөрийн аж ахуйгаас хэрэглэсэн хүнсний бүтээгдэхүүн,2001,6999.0
Улсын дундаж,3. Өөрийн аж ахуйгаас хэрэглэсэн хүнсний бүтээгдэхүүн,2000,5516.0
Улсын дундаж,3. Өөрийн аж ахуйгаас хэрэглэсэн хүнсний бүтээгдэхүүн,1999,
Улсын дундаж,3. Өөрийн аж ахуйгаас хэрэглэсэн хүнсний бүтээгдэхүүн,1998,
Улсын дундаж,3. Өөрийн аж ахуйгаас хэрэглэсэн хүнсний бүтээгдэхүүн,1997,
Хот,Нийт зарлага,2025,3326146.0
Хот,Нийт зарлага,2024,2824079.0
Хот,Нийт зарлага,2023,2314620.0
Хот,Нийт зарлага,2022,1935522.0
Хот,Нийт зарлага,2021,1545828.0
Хот,Нийт зарлага,2020,1610308.0
Хот,Нийт зарлага,2019,1476833.0
Хот,Нийт зарлага,2018,1320376.0
Хот,Нийт зарлага,2017,1150764.0
Хот,Нийт зарлага,2016,1003893.0
Хот,Нийт зарлага,2015,1100058.0
Хот,Нийт зарлага,2014,1145363.0
Хот,Нийт зарлага,2013,1036809.0
Хот,Нийт зарлага,2012,905269.0
Хот,Нийт зарлага,2011,648829.0
Хот,Нийт зарлага,2010,501042.0
Хот,Нийт зарлага,2009,471336.0
Хот,Нийт зарлага,2008,421924.0
Хот,Нийт зарлага,2007,308016.0
Хот,Нийт зарлага,2006,232188.0
Хот,Нийт зарлага,2005,205109.0
Хот,Нийт зарлага,2004,180291.0
Хот,Нийт зарлага,2003,173493.0
Хот,Нийт зарлага,2002,174847.0
Хот,Нийт зарлага,2001,133579.0
Хот,Нийт зарлага,2000,113644.0
Хот,Нийт зарлага,1999,84158.0
Хот,Нийт зарлага,1998,80189.0
Хот,Нийт зарлага,1997,61989.0
Хот,1. Мөнгөн зарлага,2025,3237661.0
Хот,1. Мөнгөн зарлага,2024,2751452.0
Хот,1. Мөнгөн зарлага,2023,2248152.0
Хот,1. Мөнгөн зарлага,2022,1864101.0
Хот,1. Мөнгөн зарлага,2021,1495970.0
Хот,1. Мөнгөн зарлага,2020,1548241.0
Хот,1. Мөнгөн зарлага,2019,1406925.0
Хот,1. Мөнгөн зарлага,2018,1260852.0
Хот,1. Мөнгөн зарлага,2017,1095088.0
Хот,1. Мөнгөн зарлага,2016,962203.0
Хот,1. Мөнгөн зарлага,2015,1048923.0
Хот,1. Мөнгөн зарлага,2014,1099693.0
Хот,1. Мөнгөн зарлага,2013,993937.0
Хот,1. Мөнгөн зарлага,2012,867185.0
Хот,1. Мөнгөн зарлага,2011,622850.0
Хот,1. Мөнгөн зарлага,2010,479560.0
Хот,1. Мөнгөн зарлага,2009,458353.0
Хот,1. Мөнгөн зарлага,2008,410134.0
Хот,1. Мөнгөн зарлага,2007,297898.0
Хот,1. Мөнгөн зарлага,2006,223468.0
Хот,1. Мөнгөн зарлага,2005,194530.0
Хот,1. Мөнгөн зарлага,2004,166848.0
Хот,1. Мөнгөн зарлага,2003,158978.0
Хот,1. Мөнгөн зарлага,2002,161853.0
Хот,1. Мөнгөн зарлага,2001,130402.0
Хот,1. Мөнгөн зарлага,2000,111787.0
Хот,1. Мөнгөн зарлага,1999,84158.0
Хот,1. Мөнгөн зарлага,1998,80189.0
Хот,1. Мөнгөн зарлага,1997,61989.0
Хот,    Хүнсний зүйлийн зарлага,2025,589811.0
Хот,    Хүнсний зүйлийн зарлага,2024,541504.0
Хот,    Хүнсний зүйлийн зарлага,2023,505046.0
Хот,    Хүнсний зүйлийн зарлага,2022,443543.0
Хот,    Хүнсний зүйлийн зарлага,2021,374293.0
Хот,    Хүнсний зүйлийн зарлага,2020,359081.0
Хот,    Хүнсний зүйлийн зарлага,2019,325479.0
Хот,    Хүнсний зүйлийн зарлага,2018,294612.0
Хот,    Хүнсний зүйлийн зарлага,2017,269512.0
Хот,    Хүнсний зүйлийн зарлага,2016,247638.0
Хот,    Хүнсний зүйлийн зарлага,2015,285268.0
Хот,    Хүнсний зүйлийн зарлага,2014,306786.0
Хот,    Хүнсний зүйлийн зарлага,2013,283062.0
Хот,    Хүнсний зүйлийн зарлага,2012,250977.0
Хот,    Хүнсний зүйлийн зарлага,2011,207886.0
Хот,    Хүнсний зүйлийн зарлага,2010,166614.0
Хот,    Хүнсний зүйлийн зарлага,2009,158215.0
Хот,    Хүнсний зүйлийн зарлага,2008,151853.0
Хот,    Хүнсний зүйлийн зарлага,2007,106120.0
Хот,    Хүнсний зүйлийн зарлага,2006,88281.0
Хот,    Хүнсний зүйлийн зарлага,2005,76269.0
Хот,    Хүнсний зүйлийн зарлага,2004,75196.0
Хот,    Хүнсний зүйлийн зарлага,2003,68902.0
Хот,    Хүнсний зүйлийн зарлага,2002,67169.0
Хот,    Хүнсний зүйлийн зарлага,2001,57157.0
Хот,    Хүнсний зүйлийн зарлага,2000,51603.0
Хот,    Хүнсний зүйлийн зарлага,1999,37115.0
Хот,    Хүнсний зүйлийн зарлага,1998,36408.0
Хот,    Хүнсний зүйлийн зарлага,1997,31491.0
Хот,"    Хүнсний бус бараа, үйлчилгээний зарлага",2025,2591485.0
Хот,"    Хүнсний бус бараа, үйлчилгээний зарлага",2024,2162119.0
Хот,"    Хүнсний бус бараа, үйлчилгээний зарлага",2023,1708260.0
Хот,"    Хүнсний бус бараа, үйлчилгээний зарлага",2022,1387247.0
Хот,"    Хүнсний бус бараа, үйлчилгээний зарлага",2021,1098924.0
Хот,"    Хүнсний бус бараа, үйлчилгээний зарлага",2020,1163604.0
Хот,"    Хүнсний бус бараа, үйлчилгээний зарлага",2019,1057644.0
Хот,"    Хүнсний бус бараа, үйлчилгээний зарлага",2018,942055.0
Хот,"    Хүнсний бус бараа, үйлчилгээний зарлага",2017,805045.0
Хот,"    Хүнсний бус бараа, үйлчилгээний зарлага",2016,692455.0
Хот,"    Хүнсний бус бараа, үйлчилгээний зарлага",2015,737192.0
Хот,"    Хүнсний бус бараа, үйлчилгээний зарлага",2014,769945.0
Хот,"    Хүнсний бус бараа, үйлчилгээний зарлага",2013,692630.0
Хот,"    Хүнсний бус бараа, үйлчилгээний зарлага",2012,601495.0
Хот,"    Хүнсний бус бараа, үйлчилгээний зарлага",2011,396627.0
Хот,"    Хүнсний бус бараа, үйлчилгээний зарлага",2010,301709.0
Хот,"    Хүнсний бус бараа, үйлчилгээний зарлага",2009,287510.0
Хот,"    Хүнсний бус бараа, үйлчилгээний зарлага",2008,251185.0
Хот,"    Хүнсний бус бараа, үйлчилгээний зарлага",2007,187702.0
Хот,"    Хүнсний бус бараа, үйлчилгээний зарлага",2006,130101.0
Хот,"    Хүнсний бус бараа, үйлчилгээний зарлага",2005,113299.0
Хот,"    Хүнсний бус бараа, үйлчилгээний зарлага",2004,88377.0
Хот,"    Хүнсний бус бараа, үйлчилгээний зарлага",2003,85169.0
Хот,"    Хүнсний бус бараа, үйлчилгээний зарлага",2002,89948.0
Хот,"    Хүнсний бус бараа, үйлчилгээний зарлага",2001,72769.0
Хот,"    Хүнсний бус бараа, үйлчилгээний зарлага",2000,59943.0
Хот,"    Хүнсний бус бараа, үйлчилгээний зарлага",1999,46152.0
Хот,"    Хүнсний бус бараа, үйлчилгээний зарлага",1998,43482.0
Хот,"    Хүнсний бус бараа, үйлчилгээний зарлага",1997,30084.0
Хот,    Хадгаламжид,2025,
Хот,    Хадгаламжид,2024,
Хот,    Хадгаламжид,2023,
Хот,    Хадгаламжид,2022,
Хот,    Хадгаламжид,2021,
Хот,    Хадгаламжид,2020,
Хот,    Хадгаламжид,2019,
Хот,    Хадгаламжид,2018,
Хот,    Хадгаламжид,2017,
Хот,    Хадгаламжид,2016,
Хот,    Хадгаламжид,2015,
Хот,    Хадгаламжид,2014,
Хот,    Хадгаламжид,2013,
Хот,    Хадгаламжид,2012,
Хот,    Хадгаламжид,2011,
Хот,    Хадгаламжид,2010,
Хот,    Хадгаламжид,2009,
Хот,    Хадгаламжид,2008,
Хот,    Хадгаламжид,2007,
Хот,    Хадгаламжид,2006,868.0
Хот,    Хадгаламжид,2005,1587.0
Хот,    Хадгаламжид,2004,638.0
Хот,    Хадгаламжид,2003,1461.0
Хот,    Хадгаламжид,2002,996.0
Хот,    Хадгаламжид,2001,476.0
Хот,    Хадгаламжид,2000,241.0
Хот,    Хадгаламжид,1999,891.0
Хот,    Хадгаламжид,1998,299.0
Хот,    Хадгаламжид,1997,414.0
Хот,"    Бусдад өгсөн бэлэг, тусламж",2025,56365.0
Хот,"    Бусдад өгсөн бэлэг, тусламж",2024,47829.0
Хот,"    Бусдад өгсөн бэлэг, тусламж",2023,34846.0
Хот,"    Бусдад өгсөн бэлэг, тусламж",2022,33311.0
Хот,"    Бусдад өгсөн бэлэг, тусламж",2021,22753.0
Хот,"    Бусдад өгсөн бэлэг, тусламж",2020,25556.0
