Үзүүлэлт,Огноо,Дүн (тэрбум төг)
М1,2010-09,958.81
Бусад хадгаламж,2010-09,2891.38
М2,2010-10,3871.65
М1,2010-10,1000.38
Бусад хадгаламж,2010-10,2871.27
М2,2010-11,3938.21
М1,2010-11,995.55
Бусад хадгаламж,2010-11,2942.66
М2,2010-12,4678.68
М1,2010-12,1157.43
Бусад хадгаламж,2010-12,3521.25
М2,2011-01,4804.18
М1,2011-01,1131.37
Бусад хадгаламж,2011-01,3672.82
М2,2011-02,4866.15
М1,2011-02,1031.11
Бусад хадгаламж,2011-02,3835.04
М2,2011-03,4953.94
М1,2011-03,1181.38
Бусад хадгаламж,2011-03,3772.56
М2,2011-04,5349.58
М1,2011-04,1338.32
Бусад хадгаламж,2011-04,4011.25
М2,2011-05,5428.28
М1,2011-05,1422.61
Бусад хадгаламж,2011-05,4005.68
М2,2011-06,5771.55
М1,2011-06,1552.47
Бусад хадгаламж,2011-06,4219.08
М2,2011-07,5919.39
М1,2011-07,1559.25
Бусад хадгаламж,2011-07,4360.14
М2,2011-08,5902.23
М1,2011-08,1653.63
Бусад хадгаламж,2011-08,4248.6
М2,2011-09,6049.32
М1,2011-09,1672.57
Бусад хадгаламж,2011-09,4376.76
М2,2011-10,6073.73
М1,2011-10,1619.26
Бусад хадгаламж,2011-10,4454.47
М2,2011-11,6112.14
М1,2011-11,1552.52
Бусад хадгаламж,2011-11,4559.62
М2,2011-12,6411.18
М1,2011-12,1740.94
Бусад хадгаламж,2011-12,4670.24
М2,2012-01,6146.03
М1,2012-01,1565.67
Бусад хадгаламж,2012-01,4580.37
М2,2012-02,6236.17
М1,2012-02,1500.2
Бусад хадгаламж,2012-02,4735.97
М2,2012-03,6102.59
М1,2012-03,1488.04
Бусад хадгаламж,2012-03,4614.55
М2,2012-04,6360.71
М1,2012-04,1595.68
Бусад хадгаламж,2012-04,4765.02
М2,2012-05,6727.36
М1,2012-05,1741.24
Бусад хадгаламж,2012-05,4986.12
М2,2012-06,7048.92
М1,2012-06,1797.05
Бусад хадгаламж,2012-06,5251.86
М2,2012-07,6951.22
М1,2012-07,1660.24
Бусад хадгаламж,2012-07,5290.98
М2,2012-08,6995.64
М1,2012-08,1680.97
Бусад хадгаламж,2012-08,5314.67
М2,2012-09,7110.34
М1,2012-09,1657.9
Бусад хадгаламж,2012-09,5452.44
М2,2012-10,7130.81
М1,2012-10,1578.62
Бусад хадгаламж,2012-10,5552.18
М2,2012-11,7031.39
М1,2012-11,1557.02
Бусад хадгаламж,2012-11,5474.37
М2,2012-12,7611.88
М1,2012-12,1834.78
Бусад хадгаламж,2012-12,5777.09
М2,2013-01,7338.85
М1,2013-01,1579.29
Бусад хадгаламж,2013-01,5759.57
М2,2013-02,7236.12
М1,2013-02,1480.26
Бусад хадгаламж,2013-02,5755.86
М2,2013-03,7298.74
М1,2013-03,1589.07
Бусад хадгаламж,2013-03,5709.67
М2,2013-04,7182.08
М1,2013-04,1668.19
Бусад хадгаламж,2013-04,5513.89
М2,2013-05,7906.68
М1,2013-05,1779.07
Бусад хадгаламж,2013-05,6127.61
М2,2013-06,8001.59
М1,2013-06,2026.4
Бусад хадгаламж,2013-06,5975.19
М2,2013-07,8086.23
М1,2013-07,1927.09
Бусад хадгаламж,2013-07,6159.14
М2,2013-08,8406.73
М1,2013-08,1949.38
Бусад хадгаламж,2013-08,6457.36
М2,2013-09,8476.62
М1,2013-09,2013.51
Бусад хадгаламж,2013-09,6463.11
М2,2013-10,8712.04
М1,2013-10,1936.55
Бусад хадгаламж,2013-10,6775.49
М2,2013-11,9099.22
М1,2013-11,1826.73
Бусад хадгаламж,2013-11,7272.48
М2,2013-12,9452.55
М1,2013-12,2092.73
Бусад хадгаламж,2013-12,7359.82
М2,2014-01,10019.29
М1,2014-01,1962.83
Бусад хадгаламж,2014-01,8056.46
М2,2014-02,9845.62
М1,2014-02,1755.05
Бусад хадгаламж,2014-02,8090.57
М2,2014-03,9947.31
М1,2014-03,1737.2
Бусад хадгаламж,2014-03,8210.1
М2,2014-04,10201.16
М1,2014-04,1845.64
Бусад хадгаламж,2014-04,8355.51
М2,2014-05,10238.37
М1,2014-05,1826.3
Бусад хадгаламж,2014-05,8412.07
М2,2014-06,10104.9
М1,2014-06,1862.13
Бусад хадгаламж,2014-06,8242.77
М2,2014-07,10076.03
М1,2014-07,1698.46
Бусад хадгаламж,2014-07,8377.57
М2,2014-08,10133.83
М1,2014-08,1874.67
Бусад хадгаламж,2014-08,8259.17
М2,2014-09,10072.14
М1,2014-09,1836.35
Бусад хадгаламж,2014-09,8235.79
М2,2014-10,9972.08
М1,2014-10,1751.74
Бусад хадгаламж,2014-10,8220.34
М2,2014-11,9926.95
М1,2014-11,1689.73
Бусад хадгаламж,2014-11,8237.23
М2,2014-12,10634.33
М1,2014-12,1816.39
Бусад хадгаламж,2014-12,8817.94
М2,2015-01,10313.1
М1,2015-01,1578.69
Бусад хадгаламж,2015-01,8734.41
М2,2015-02,10228.99
М1,2015-02,1586.54
Бусад хадгаламж,2015-02,8642.44
М2,2015-03,9902.26
М1,2015-03,1445.93
Бусад хадгаламж,2015-03,8456.33
М2,2015-04,9703.58
М1,2015-04,1480.86
Бусад хадгаламж,2015-04,8222.72
М2,2015-05,9844.47
М1,2015-05,1689.54
Бусад хадгаламж,2015-05,8154.93
М2,2015-06,10039.92
М1,2015-06,1664.08
Бусад хадгаламж,2015-06,8375.84
М2,2015-07,9860.65
М1,2015-07,1654.16
Бусад хадгаламж,2015-07,8206.49
М2,2015-08,9963.1
М1,2015-08,1681.85
Бусад хадгаламж,2015-08,8281.25
М2,2015-09,9933.22
М1,2015-09,1613.59
Бусад хадгаламж,2015-09,8319.63
М2,2015-10,9899.0
М1,2015-10,1630.73
Бусад хадгаламж,2015-10,8268.28
М2,2015-11,9808.05
М1,2015-11,1562.73
Бусад хадгаламж,2015-11,8245.32
М2,2015-12,10049.0
М1,2015-12,1685.42
Бусад хадгаламж,2015-12,8363.58
М2,2016-01,9849.54
М1,2016-01,1608.09
Бусад хадгаламж,2016-01,8241.46
М2,2016-02,10011.03
М1,2016-02,1522.93
Бусад хадгаламж,2016-02,8488.1
М2,2016-03,10112.43
М1,2016-03,1583.73
Бусад хадгаламж,2016-03,8528.7
М2,2016-04,10517.39
М1,2016-04,1683.51
Бусад хадгаламж,2016-04,8833.88
М2,2016-05,10657.8
М1,2016-05,1743.87
Бусад хадгаламж,2016-05,8913.92
М2,2016-06,11186.37
М1,2016-06,1982.2
Бусад хадгаламж,2016-06,9204.17
М2,2016-07,11308.84
М1,2016-07,1941.6
Бусад хадгаламж,2016-07,9367.25
М2,2016-08,11379.76
М1,2016-08,1987.87
Бусад хадгаламж,2016-08,9391.89
М2,2016-09,11556.93
М1,2016-09,2020.54
Бусад хадгаламж,2016-09,9536.39
М2,2016-10,11612.01
М1,2016-10,2087.63
Бусад хадгаламж,2016-10,9524.38
М2,2016-11,11726.41
М1,2016-11,1928.61
Бусад хадгаламж,2016-11,9797.79
М2,2016-12,12158.53
М1,2016-12,2147.72
Бусад хадгаламж,2016-12,10010.81
М2,2017-01,11973.7
М1,2017-01,2013.27
Бусад хадгаламж,2017-01,9960.42
М2,2017-02,12324.74
М1,2017-02,2185.65
Бусад хадгаламж,2017-02,10139.09
М2,2017-03,12259.34
М1,2017-03,2124.91
Бусад хадгаламж,2017-03,10134.43
М2,2017-04,12467.83
М1,2017-04,2313.34
Бусад хадгаламж,2017-04,10154.49
М2,2017-05,12989.77
М1,2017-05,2487.8
Бусад хадгаламж,2017-05,10501.97
М2,2017-06,13483.24
М1,2017-06,2719.73
Бусад хадгаламж,2017-06,10763.5
М2,2017-07,13999.63
М1,2017-07,2584.18
Бусад хадгаламж,2017-07,11415.45
М2,2017-08,14526.3
М1,2017-08,2759.05
Бусад хадгаламж,2017-08,11767.25
М2,2017-09,14749.71
М1,2017-09,2800.4
Бусад хадгаламж,2017-09,11949.31
М2,2017-10,14520.67
М1,2017-10,2626.54
Бусад хадгаламж,2017-10,11894.14
М2,2017-11,14821.85
М1,2017-11,2639.51
Бусад хадгаламж,2017-11,12182.34
М2,2017-12,15861.2
М1,2017-12,2826.0
Бусад хадгаламж,2017-12,13035.2
М2,2018-01,15762.99
М1,2018-01,2632.71
Бусад хадгаламж,2018-01,13130.28
М2,2018-02,15913.17
М1,2018-02,2733.56
Бусад хадгаламж,2018-02,13179.61
М2,2018-03,16073.94
М1,2018-03,2776.68
